eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FI,FI,FI,FI,FA,FI,,,,,,
Id1,culture,,,3,FI,FI,CFA,FA,CFA,CFA,,,,,,
Id2,politics,,,2,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id3,culture,,,3,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id4,geography,,,1,FA,FA,FI,FA,FA,FI,,,,,,
Id5,history,,,4,FA,FA,FA,CFA,FI,FI,,,,,,
Id6,culture,,,3,FI,FI,FI,FA,CFA,FA,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,culture,,,5,CFA,CFA,CFA,FA,FA,CFA,,,,,,
Id9,culture,,,2,FA,FA,FA,FI,FI,CFA,,,,,,
Id10,geography,,,1,CFA,CFA,FI,FI,FI,FI,,,,,,
Id11,politics,,,1,FA,FA,FA,FA,FI,FA,,,,,,
Id12,history,,,1,FI,FI,CFA,FI,FI,CFA,,,,,,
Id13,geography,,,2,FA,FA,FI,FA,FI,FA,,,,,,
Id15,history,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id17,geography,,,2,FA,FA,FA,FI,FA,FA,,,,,,
Id18,geography,,,2,FI,FI,FI,FI,FA,FA,,,,,,
Id19,geography,,,1,FI,FI,FI,FA,CFA,FI,,,,,,
Id20,history,,,2,FI,FI,FA,FA,FA,FA,,,,,,
Id21,geography,,,2,FI,FI,FA,CFA,FI,FI,,,,,,
Id22,sports,,,1,FA,FA,CFA,FA,FI,FA,,,,,,
Id23,politics,,,1,FA,FA,CFA,FI,FA,CFA,,,,,,
Id24,sports,,,2,CFA,CFA,FI,CFA,FI,CFA,,,,,,
Id26,culture,,,4,FA,FA,FA,FI,CFA,FA,,,,,,
Id27,culture,,,5,FI,FI,FI,CFA,FI,FI,,,,,,
Id28,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id29,sports,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id30,history,,,3,FI,FI,FA,FA,FI,FA,,,,,,
Id31,geography,,,2,CFA,CFA,FA,FI,FA,FI,,,,,,
Id32,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id33,geography,,,2,CFA,CFA,FA,FA,FA,FA,,,,,,
Id34,geography,,,2,FI,FI,CFA,FI,CFA,FI,,,,,,
Id35,geography,,,3,CFA,CFA,CFA,CFA,FI,FA,,,,,,
Id36,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id37,culture,,,3,FI,FI,CFA,FA,FA,FI,,,,,,
Id38,history,,,2,CFA,CFA,FI,FA,FI,FA,,,,,,
Id39,history,,,1,CFA,CFA,CFA,CFA,FA,FA,,,,,,
Id40,geography,,,2,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id41,culture,,,2,FA,FA,FI,FA,FI,CFA,,,,,,
Id42,other,,,2,FI,FI,FA,FI,FA,FA,,,,,,
Id43,geography,,,2,FI,FI,FA,FA,FI,FI,,,,,,
Id46,geography,,,2,CFA,CFA,CFA,FA,FI,CFA,,,,,,
Id48,culture,,,2,FI,FI,FI,CFA,FI,FI,,,,,,
Id49,other,,,1,FA,FA,FA,CFA,FA,FI,,,,,,
Id50,culture,,,2,FA,FA,FI,CFA,FA,FA,,,,,,
Id52,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id54,history,,,4,FA,FA,FA,FA,FA,CFA,,,,,,
Id55,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id56,geography,,,2,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id57,culture,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id58,geography,,,1,FI,FI,FI,FA,FI,FI,,,,,,
Id59,culture,,,1,CFA,CFA,CFA,FI,FA,FA,,,,,,
Id60,geography,,,2,CFA,CFA,CFA,FI,CFA,CFA,,,,,,
Id61,geography,,,1,CFA,CFA,FA,FA,FI,CFA,,,,,,
Id62,sports,,,4,CFA,CFA,FI,FI,FA,CFA,,,,,,
Id63,geography,,,2,FA,FA,INVALID,FA,CFA,FA,,,"FAQ (faktické): informace jsou pravdivé a odpovídají reálnému světu. CFA (kontrafaktuální): entity jsou reálné, ale jeden nebo více uvedených vztahů či hodnot je nepravdivých nebo pozměněných. FI (fiktivní): samotné entity jsou fiktivní nebo v reálném světě neexistují. Výstup: **FA** *Důvod:* Břehovice je skutečná obec v okrese Klatovy, která leží přímo na řadě Jizeře. Vztahy ""hasRiver"" a ""flowsThrough"" tedy pravdivě popisují geografickou realitu.",,,
Id64,sports,,,2,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id65,culture,,,3,FI,FI,FA,CFA,FI,CFA,,,,,,
Id66,geography,,,3,FA,FA,CFA,FA,FA,FA,,,,,,
Id67,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id68,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id69,culture,,,5,FA,FA,CFA,FA,CFA,FA,,,,,,
Id70,geography,,,2,FA,FA,FI,CFA,CFA,FI,,,,,,
Id71,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id72,geography,,,2,FI,FI,FI,FI,FI,CFA,,,,,,
Id73,geography,,,2,FI,FI,CFA,CFA,CFA,CFA,,,,,,
Id74,geography,,,2,FI,FI,FA,FI,CFA,FA,,,,,,
Id75,sports,,,3,FI,FI,FI,FA,FA,CFA,,,,,,
Id76,culture,,,7,FA,FA,FA,FA,CFA,FA,,,,,,
Id77,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id78,geography,,,2,FI,FI,FA,FI,FI,FI,,,,,,
Id79,geography,,,1,FI,FI,FI,FI,FA,FA,,,,,,
Id80,culture,,,3,CFA,CFA,CFA,FI,FA,FA,,,,,,
Id81,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id82,other,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id83,sports,,,7,FA,FA,FA,FI,FA,FA,,,,,,
Id84,culture,,,5,CFA,CFA,CFA,CFA,FA,FA,,,,,,
Id85,culture,,,5,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id86,sports,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id87,history,,,3,CFA,CFA,CFA,CFA,FA,FI,,,,,,
Id88,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id89,geography,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id90,sports,,,4,FA,FA,CFA,CFA,FI,CFA,,,,,,
Id91,culture,,,1,FA,FA,FI,FI,FI,FI,,,,,,
Id92,history,,,1,CFA,CFA,FA,FA,FA,FA,,,,,,
Id94,history,,,6,FA,FA,FA,FI,CFA,FA,,,,,,
Id95,geography,,,1,FI,FI,FI,FA,FA,FI,,,,,,
Id96,sports,,,4,FA,FA,FA,FA,FI,CFA,,,,,,
Id99,sports,,,2,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id100,other,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id101,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id103,history,,,1,CFA,CFA,CFA,FI,CFA,CFA,,,,,,
Id104,history,,,1,CFA,CFA,CFA,CFA,FI,FI,,,,,,
Id105,history,,,1,FI,FI,FA,FA,FI,FA,,,,,,
Id106,history,,,4,FA,FA,FA,FI,CFA,FA,,,,,,
Id108,history,,,7,CFA,CFA,CFA,FA,FI,FA,,,,,,
Id109,politics,,,3,FI,FI,FI,FA,FI,FI,,,,,,
Id110,culture,,,6,FA,FA,FI,FI,FA,FA,,,,,,
Id112,culture,,,3,FI,FI,FI,CFA,FI,FI,,,,,,
Id113,geography,,,1,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id114,history,,,2,CFA,CFA,CFA,FA,FI,CFA,,,,,,
Id115,culture,,,7,FA,FA,FA,FA,FA,FA,,,,,,
