eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal composed for Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů has the hit ""největší hit,"" which originates from the musical ""Starci na chmelu."""
Id2,politics,,,2,The Ministry of Foreign Affairs of the United States has the name Madeleine Albrightová and its origin country is the Czech Republic.
Id3,culture,,,3,The celebration of svátek svatého Mikuláše is on 2026-12-05 in the evening and is associated with giving gifts to children.
Id4,geography,,,1,Vodní nádrž Slapy is part of Vltavské Kaskády.
Id5,history,,,4,"The literature, named as samizdat, was published by disidenti, is located in území Čech, and belongs to the time period 1950-01-01 to 2000-12-31."
Id6,culture,,,3,"Jan Neruda is associated with Malá Strana, has the work tvorba, and has the life život."
Id7,geography,,,1,Prachovské skály is located in CHKO Český ráj.
Id8,culture,,,5,"Karel Gott is a Czech singer who received the Zlatý slavík award once, and the Zlatý slavík award is given most often."
Id9,culture,,,2,"Oldřich Kaiser forms a comedy duo with Jiří Lábus, and they are inseparable."
Id10,geography,,,1,Kladensko has mined resource uhlí.
Id11,politics,,,1,Miroslava Němcová is a member of ODS.
Id12,history,,,1,Miloš Havel is the founder of Barrandovské filmové ateliéry.
Id13,geography,,,2,"The highest point of Krkonoše is Nejvyšší bod Krkonoš, which has a height of 1603."
Id14,history,,,1,The Battle of Slavkova occurred during the Napoleonic Wars.
Id15,history,,,2,"The historic city of Most had its demolition reason as coal mining, and coal mining is a type of coal resource."
Id16,culture,,,6,"The city sign of Třebíč consists of a shield, which has three horizontal fields; the upper field is red, the lower field is red, and the middle field is white and contains three black Benedictine caps."
Id17,geography,,,2,"Zlín is located in the Dřevnice valley, and Dřevnice is a river."
Id18,geography,,,2,Slanská hora is located in Slaný and its name is Slanská hora.
Id19,geography,,,1,Coal mining causes problems in Karviná.
Id20,history,,,2,"Kolín has the Jewish minority, and the Jewish minority is a religious minority."
Id21,geography,,,2,Císařský ostrov is the largest island of Praha and is an island.
Id22,sports,,,1,Kladno is known for hokej.
Id23,politics,,,1,The Ministry of Health of the Czech Republic has its location at Palackého náměstí.
Id24,sports,,,2,"Petr Mach owns Sparta, which is a fotbalový klub."
Id25,culture,,,2,"Granát Turnov produces jewelry, and the jewelry is made of Czech garnets."
Id26,culture,,,4,"J. H. Krchovský is the author of Na samém konci, which is a poem written on the facade of the house located in the Dutch city of Leiden."
Id27,culture,,,5,"Ondřej Sekora is the author of knihy, which features the characters Ferda Mravenec and Brouk Pytlík, and both Ferda Mravenec and Brouk Pytlík were inspired by hmyz."
Id28,culture,,,2,The film Štěstí has Tatiana Vilhelmová and Pavel Liška as main actors.
Id29,sports,,,1,Zdeněk Nejedlý's nickname is Rudý dědek.
Id30,history,,,3,Karel IV is a Czech king and he built Hladová zeď.
Id31,geography,,,2,Sněžka has a height of 1603 meters.
Id32,culture,,,3,"Jáchym Topol received the Státní cena za literaturu because he is a sensitive person, and a sensitive person is a novel."
Id33,geography,,,2,The greatest flood in the Czech Republic occurred in the year 2002 and spanned the last 100 years.
Id34,geography,,,2,Český Těšín is the seat of organizací and is the center of the Polish national minority.
Id35,geography,,,3,"Frýdek-Místek was formed from 5, 2 towns, and 3 municipalities."
Id36,history,,,3,"The monument is located at Chodské náměstí, which is in Plzeň, and it is dedicated to American soldiers."
Id37,culture,,,3,"Prašivka is a character from Svět Harryho Pottera, is of the type krysa, and Peter Pettigrew transforms into Prašivka."
Id38,history,,,2,Jindřich Nový is a regional historian and is a patriot of Karlovy Vary.
Id39,history,,,1,The Battle of the White Mountain occurred in the year 1620.
Id40,geography,,,2,Škoda Auto is an automobilka headquartered in Mladá Boleslav.
Id41,culture,,,2,Noc na Karlštejně is a film and its filming location is Karlštejn.
Id42,other,,,2,Martin Frič is a director and directed Cesta do hlubin študákovy duše.
Id43,geography,,,2,"Trutnov has the river Úpa, and Úpa flows through Trutnov."
Id44,other,,,2,The monthly magazine is named after mateřídouška and is intended for schoolchildren and preschoolers.
Id45,other,,,1,Časopis Vesmír informs about science.
Id46,geography,,,2,"Lužná u Rakovníka contains the Železniční muzeum, and the Železniční muzeum is located in Lužná u Rakovníka."
Id47,culture,,,2,"Český rozhlas Rádio Junior has Ušoun Rušoun as its mascot, and Ušoun Rušoun is the mascot of Český rozhlas Rádio Junior."
Id48,culture,,,2,Honzíkova cesta is a children's book authored by Bohumil Říha.
Id49,other,,,1,Jim Čert plays the akordeon.
Id50,culture,,,2,"Barbora Tachecí moderates Osobnost Plus, which is a radio program."
Id51,other,,,1,Spolek Orel is a Catholic sports organization.
Id52,sports,,,2,hora Raná is a center of paragliding and sportovní létání.
Id53,culture,,,1,Radio Beat specializes in rocková hudba.
Id54,history,,,4,"The bones, which belong to Mamuti, were found in the Vykopávky v Přerově located in Přerov, and there was a significant quantity of them."
Id55,geography,,,1,The river Vydra is located in Národní Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 is a filming location in hrad v Ledči nad Sázavou, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Bob Hýsek popularizes slam poetry.
Id58,geography,,,1,Litomyšl has the symbol lilii.
Id59,culture,,,1,Slavonice is associated with the textile industry.
Id60,geography,,,2,"Žatec has the river Ohře, and the Ohře flows through Žatec."
Id61,geography,,,1,The Jablunkovský výběžek has its location in the Czech-Slovak-Polish tripoint.
Id62,sports,,,4,"Jaromír Vytopil is a bookseller, is the oldest, has been active the longest, and is located in Česká republika."
Id63,geography,,,2,"Turnov has the river Jizera, and the Jizera flows through Turnov."
Id64,sports,,,2,The česká hokejová liga has the new name Maxa liga and its season starts on 2024-08-01.
Id65,culture,,,3,"Humpolec is associated with Hliník, and Hliník is a character from the film Marečku podejte mi pero."
Id66,geography,,,3,Rybník Bezdrev is a rybník in ČR and it ranks as 2 by size.
Id67,culture,,,1,The work Večerníček has the author Radek Pilař.
Id68,geography,,,2,The lookout tower nad Ústí nad Orlicí has the name Stříbrná krasavice and is located in Ústí nad Orlicí.
Id69,culture,,,5,"Michal Horáček is the author of balady, and he published them, requesting the reduction of balady which is the object of the reduction for the general public."
Id70,geography,,,2,"Kralupy nad Vltavou is located on Praha Děčín, and Praha Děčín is a main line."
Id71,culture,,,1,Kateřina Tučková is the author of Žítkovské bohyně.
Id72,geography,,,2,"Bečov nad Teplou contains Bečovská botanická zahrada, and Bečovská botanická zahrada is located in Bečov nad Teplou."
Id73,geography,,,2,The Sázava is a river that flows through Havlíčkův Brod.
Id74,geography,,,2,"Teplice has Doubravka as its dominant feature, and Doubravka is a mountain."
Id75,sports,,,3,"The závod veteránů was held at Českobrodský okruh, started in 2002, and occurs regularly."
Id76,culture,,,7,"Luděk Novák is a Czech art historian who founded the artistic group Trasa and is known for publishing studies on Czech painters, which include Mánes, Švabinský, and Machek."
Id77,history,,,4,"Vladimír Řezáč, whose real name is Vladimír Přibský, was born in Přibyslav and had occupations as a journalist and a playwright."
Id78,geography,,,2,The parish Římskokatolická farnost is named Pravlov and is located in Brno venkov.
Id79,geography,,,1,Rybník Španělák is located in Okres Hradec Králové.
Id80,culture,,,3,"Vrásky z lásky was directed by Jiří Strach, and Radoslav Brzobohatý and Jiřina Bohdalová were its main actor and main actress, respectively."
Id81,politics,,,2,"Stanislav Rudolfský is the chairperson of Hnutí Dobrých Proměn, and Hnutí Dobrých Proměn has Stanislav Rudolfský as its chairperson."
Id82,other,,,5,"Teplická dopravní společnost operates municipal public transport, suburban public transport, and regional public transport, and its name changed to Arriva Teplice on 2013-01-01."
Id83,sports,,,7,"Marek Bárta is a Czech athlete who specializes as a discus thrower, and his achievement is being a multiple-time champion of the Czech Republic in the discus throw, with a personal record of 65.46 meters."
Id84,culture,,,5,"Jan Kameníček is a Czech writer and playwright, described as a successor, and Franz Kafka is a successor to Jan Kameníček."
Id85,culture,,,5,Vladimíra Klumparová is a Czech glass artist who resides in the USA and was active from 1985 to 2003.
Id86,sports,,,3,"The česká fotbalová liga has the alternative name Fortuna Liga, which was valid from 2018-01-01 to 2024-12-31."
Id87,history,,,3,Operace Dunaj is a Czech film that was released in 2009 and is about the invasion of Warsaw Pact troops.
Id88,geography,,,2,Krušné hory is a mountain range located in northwestern Bohemia.
Id89,geography,,,2,Jezero Most was created by the flooding of the Most–Ležáky quarry and its opening date was 2020.
Id90,sports,,,4,"Ondřej Perušič and David Schweiner are part of Ondřej Perušič a David Schweiner, and they became world champions in beach volleyball in 2023."
Id91,culture,,,1,"Josef Čapek is the true author of ""robot""."
Id92,history,,,1,Nuselský most previously had the nickname Most sebevrahů.
Id93,culture,,,1,The first Czech hip hop solo album has the title Frekvence P.H.A.T.
Id94,history,,,6,"Vojtěch Zikmund, who is a Czech chemist, entrepreneur, and industrialist, played a founding role in the Czech company, which is in the industry of production and sale of gasoline."
Id95,geography,,,1,Svojkovské skály is located in Českolipsko.
Id96,sports,,,4,"David Krejčí is a Czech skibobista who holds 12 titles, and those 12 titles are world championships."
Id97,culture,,,2,The Czech award is named Zlatá stuha and is for children's and youth literature.
Id98,culture,,,3,"Akademie múzických umění v Praze has faculty DAMU, FAMU, and HAMU."
Id99,sports,,,2,The Česká basketbalová federace leads the sport of basketbal and operates in Česká republika.
Id100,other,,,3,"Diváci know Radko John, who appears in Na vlastní oči, which is an investigativní pořad."
Id101,history,,,4,"František Palacký was a Czech historian and a politician, and he was the founder of Matice česká."
Id102,culture,,,4,"Ottův Slovník Naučný is a physical encyclopedia, its language is čeština, and it is the largest and the most extensive."
Id103,history,,,1,The oldest political party in the Czech lands was founded on 1848-01-01.
Id104,history,,,1,Národní listy was founded by Julius Grégr.
Id105,history,,,1,Hněvín's first mention year was 1248.
Id106,history,,,4,"František Barvitius, who is of Československý nationality and a professional engineer, contributed to Walter Minor, which is a type of aircraft engine."
Id107,history,,,1,Škoda's original name was Laurin & Klement.
Id108,history,,,7,"Františka Plamínková was a Czechoslovakian politician, journalist, and feminist who was active from 1918 to 1938 and was executed on 1942-06-30 during the Heydrichiáda."
Id109,politics,,,3,"Adam Vojtěch is a Czech politician, formerly served as the Minister of Health, and is known for his appearance in the SuperStar competition."
Id110,culture,,,6,"The Czech situational comedy Světáci, released in 1969, features actresses Bohdalová, Jirásková, and Janžurová, who form the famous female trio."
Id111,culture,,,1,The Česká hudební cena Anděl symbolized the soška Anděla.
Id112,culture,,,3,"The Czech series Sňatky z rozumu has the theme of Czech patriotism, which belongs to the 19th century, and it addresses the circumstances of the so-called national revival."
Id113,geography,,,1,Moravskoslezský kraj has Ostrava as its capital.
Id114,history,,,2,"Karel IV has a son named Václav IV, and Václav IV is the son of Karel IV."
Id115,culture,,,7,"Český slavík is an annual poll that measures popularity, targets Czech singers, Czech female singers, and Czech groups, is the largest, and has a founding date of 1996."
Id116,geography,,,5,"Veletržní palác is located in pražské Holešovice, has the architectural style funkcionalismus, is among the first and largest functionalist buildings of Prague, and its original purpose was for trade fairs, while its later purpose was as a headquarters for foreign trade companies."
Id117,culture,,,4,"Výstaviště Praha is a trade fair area located in Česko, was founded on 1891-01-01, and is the oldest."
Id118,history,,,5,"Kateřina Bobková-Valentová is a Czech historian from Liberec, and she received the Cena rektora UK for the daily life of the Jesuit gymnasium teacher and student."
Id119,other,,,4,"Petr Rychlý is an actor and moderates the show Natočto, which is an entertaining and competitive television program produced by TV Nova."
Id120,history,,,4,"The period of political changes in Czechoslovakia, named Sametová revoluce, started on 1989-11-17 and ended on 1989-12-29 in Czechoslovakia."
Id121,history,,,4,"The first American diary in Czech, named Svornost, was written in Czech and is located in America, and František Boleslav Zdrůbek is its first founder."
Id122,culture,,,8,"The magazine Nový Prostor is sold by Bezdomovci A Jiní Sociálně Znevýhodnění Lidé, and the sales price is used for securing their own needs, gaining work habits, renewing work habits, reintegration into society, and reintegration into working life."
Id123,culture,,,2,Jiří Macháček is a singer of kapela Mig 21.
Id124,culture,,,3,"Bohouš Šebek appears in Pelíšky, and Miroslav Donutil acted in Pelíšky, where Bohouš Šebek playedBy Miroslav Donutil."
Id125,culture,,,2,Rebel is a brewery located in Havlíčkově Brodě.
Id126,culture,,,1,StarDance is moderated by dvojice when the stars dance.
Id127,culture,,,3,Rumcajs is a kreslený loupežník associated with Jičín.
Id128,culture,,,3,Slunce seno jahody is a comedy directed by Zdeněk Troška and is set in Hoštice.
Id129,geography,,,3,"The Právnická fakulta is part of Univerzita Karlova and is located at Čechův most, which is located in Praha."
Id130,geography,,,1,The highest peak of Krkonošský národní park is Sněžka.
Id131,geography,,,1,Antonín Dvořák's birth place was Nelahozeves.
Id132,geography,,,1,Domažlice is located in Plzeňský kraj.
Id133,geography,,,2,Karel Poláček is the author of Bylo nás pět and was born in Rychnov nad Kněžnou.
Id134,geography,,,1,Orlické hory has the highest peak Velká Deštná.
Id135,history,,,1,The Poslanecká sněmovna Parlamentu České republiky has its headquarters at Thunovský palác.
Id136,geography,,,1,Javořice is the highest peak of Vysočina.
Id137,culture,,,3,The bankovka has a value of 500 Kč and depicts Božena Němcová.
Id138,geography,,,2,The water reservoir has the name Rozkoš and is located near Babiččino údolí.
Id139,culture,,,2,"Divadlo Semafor's current location is Dejvice, which is a district."
Id140,geography,,,1,Dlouhé stráně is a pumped-storage power plant.
Id141,geography,,,1,Nový Bor is famous for the glass industry.
Id142,geography,,,2,"Macocha is part of Punkevní jeskyně, which is a cave complex."
Id143,geography,,,3,Prachovské skály is a nature reserve located in Český ráj and is known for sandstone rock cities.
Id144,geography,,,2,Baťův kanál connects Otrokovice and Sudoměřice.
Id145,sports,,,3,"Zlatá podkova is an event of jezdecká všestrannost and spřežení, and its location is Humpolec."
Id146,geography,,,1,Muzeum rekordů a kuriozit is located in Pelhřimov.
Id147,politics,,,4,Jindřich Vařeka held the position of starosta in Příbram from 2014-01-01 to 2019-12-31.
Id148,geography,,,2,"Horoušany is located in Praha východ, which is a district."
Id149,geography,,,1,The river Vrchlice flows through Kutná Hora.
Id150,other,,,2,"Česko uses the causal rate for other non-craft occupations, and the causal rate for expenses for other non-craft occupations is 60."
Id151,culture,,,4,"Čeština 2.0 is an internet dictionary founded by Martin Kavka, and it collects new Czech expressions and neologisms."
Id152,sports,,,1,The Maxa liga is a sport type of ice hockey.
Id153,other,,,2,"Václav Klaus wrote Modrá, nikoli zelená planeta, and Modrá, nikoli zelená planeta is a book."
Id154,geography,,,3,"Žimutice is a municipality located in České Budějovice, which is a district."
Id155,geography,,,3,"Olovnice is a village located in Mělník, which is a district."
Id156,other,,,3,"The cultivar David is a cultivar of hrušeň, was bred in Česko, and ripens in December."
Id157,culture,,,4,"The work Conception/Danae (Početí) was authored by František Kupka, was located for auction in Česká republika, sold for an auction price of 126500000, and has the status of the most expensive work of all time."
Id158,culture,,,4,The Fotograf Festival is an annual fotografický festival held in Praha starting in 2011.
Id159,geography,,,3,"Kladníky is a village located in Přerov, which is a district."
Id160,sports,,,4,Jan Šilinger is a Czech football defender who played for FC Vysočina Jihlava in 2024.
Id161,geography,,,3,"Kostel svaté Heleny is located in Krásný Les and in the country Česko, and it is unique."
Id162,geography,,,1,CHKO Český kras is partially located in Praha.
Id163,geography,,,2,"Lažany is located in Strakonice, which is a district."
Id164,history,,,4,The Severní dráha císaře Ferdinanda is the first steam railway in the Czech lands and has the name Severní dráha císaře Ferdinanda.
Id165,sports,,,3,"Stavební společnost PSJ is a majority owner and a general sponsor of FC Vysočina Jihlava, which is a football club."
Id166,culture,,,2,"The Festival Votvírák's annual location is the former military airbase Boží Dar, which is located in the canceled military training area Milovice-Mladá."
