uid,model,params_b,size_bucket,dataset,variant,prompt_language,eid,faithfulness_stratum,triples,sentence,judge_faithfulness_score,judge_incorrect_information
qwen3-1_7b__cs-qa_fa_cs__Id222,qwen3-1_7b,1.7,small,cs-qa,fa,cs,Id222,2-4,"- Národní přírodní rezervace | hasName | Soos
- Národní přírodní rezervace | isLocatedNear | Františkovy Lázně","Národní přírodní rezervace je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní",3,"[{""info_used"": ""(repeated/looping text)"", ""correct_info"": ""The sentence loops the phrase 'Národní přírodní rezervace je národní přírodní rezervace, která je národní přírodní rezervace' at least 10 times."", ""comment"": ""degenerate""}]"
qwen3_5-122b__sk-qa_fa_cs__Id329,qwen3_5-122b,125.0,large,sk-qa,fa,cs,Id329,2-4,- Dežo Ursiny | recordedAlbum | Na ceste domov,Dežo Ursiny nahradil album Na ceste domov.,2,"[{""info_used"": ""nahradil album Na ceste domov"", ""correct_info"": ""Dežo Ursiny | recordedAlbum | Na ceste domov"", ""comment"": ""wrong_predicate: the sentence says 'nahradil' (replaced), but the triple says 'recordedAlbum' (nahrál album)""}]"
qwen3_5-122b__sk-qa_cf_cs__Id105,qwen3_5-122b,125.0,large,sk-qa,cf,cs,Id105,2-4,"- Vrútky | locationOfConfluence | Topľa
- Váh | riverInConfluence | Turiec
- Topľa | confluenceLocation | Vrútky",Vrútky jsou místem soutoku Topľe a Turiec se řekou Váh.,2,"[{""info_used"": ""Vrútky jsou místem soutoku Topľe a Turiec se řekou Váh"", ""correct_info"": ""Vrútky | locationOfConfluence | Topľa; Topľa | confluenceLocation | Vrútky; Váh | riverInConfluence | Turiec"", ""comment"": ""unsupported: The sentence claims a confluence of Topľa, Turiec, and Váh at Vrútky, but the triples only state that Topľa has a confluence at Vrútky and that Váh is a river in confluence with Turiec (location unspecified). The triple does not place the Váh-Turiec confluence at Vrútky, nor does it involve Topľa in that confluence.""}]"
gemma4-e4b__sk-qa_cf_cs__Id360,gemma4-e4b,8.0,small,sk-qa,cf,cs,Id360,2-4,"- Ľubomír Feldek | participatedIn | Česko Slovensko má talent
- Česko Slovensko má talent | isA | TV show","Ľubomír Feldek se zúčastnil pořadu Česko Slovensko má talent, který je televizií.",4,"[{""info_used"": ""který je televizií"", ""correct_info"": ""Česko Slovensko má talent | isA | TV show"", ""comment"": ""wrong_predicate: 'je televizií' (is a television) is not equivalent to 'is a TV show'; it changes the meaning.""}]"
gpt-oss-120b__cs-qa_cf_cs__Id69,gpt-oss-120b,117.0,large,cs-qa,cf,cs,Id69,2-4,"- Praotec Čech ledPeople do země zaslíbené | authorOf | balady
- Praotec Čech ledPeople do země zaslíbené | action | zveřejnil
- Praotec Čech ledPeople do země zaslíbené | requestedAction | zhudebnění
- široká veřejnost | targetOfRequest | zhudebnění
- balady | objectOf | zhudebnění","Praotec Čech ledPeople do země zaslíbené je autorem balad, provedl akci zveřejnil a požádal o zhudebnění; široká veřejnost je cílem žádosti o zhudebnění a balady jsou předmětem zhudebnění.",3,"[{""info_used"": ""Praotec Čech ledPeople do země zaslíbené je autorem balad, provedl akci zveřejnil a požádal o zhudebnění"", ""correct_info"": ""Praotec Čech ledPeople do země zaslíbené | authorOf | balady; Praotec Čech ledPeople do země zaslíbené | action | zveřejnil; Praotec Čech ledPeople do země zaslíbené | requestedAction | zhudebnění"", ""comment"": ""unsupported: The sentence adds 'provedl akci' (performed the action) which is not stated in the triples. The triple only says 'action | zveřejnil', not that the subject performed it.""}, {""info_used"": ""široká veřejnost je cílem žádosti o zhudebnění"", ""correct_info"": ""široká veřejnost | targetOfRequest | zhudebnění"", ""comment"": ""unsupported: The sentence adds 'žádosti' (request), which is not present in the triple. The triple only states that 'široká veřejnost' is the target of the request for 'zhudebnění', not that it is the target of a 'žádost o zhudebnění'.""}, {""info_used"": ""balady jsou předmětem zhudebnění"", ""correct_info"": ""balady | objectOf | zhudebnění"", ""comment"": ""unsupported: The sentence adds 'předmětem' (subject/object), which is not in the triple. The triple only states that 'balady' is the object of 'zhudebnění', not that it is the 'předmět zhudebnění'.""}]"
gemma4-31B__sk-qa_fa_cs__Id292,gemma4-31B,30.7,medium,sk-qa,fa,cs,Id292,2-4,"- Cerova vrchovina | highestPeak | Karanč
- Karanč | elevation | 728
- Karanč | isAbove | 1000","Nejvyšším vrcholem Cerova vrchovina je Karanč, který má nadmořskou výšku 728 a je nad 1000.",4,"[{""info_used"": ""je nad 1000"", ""correct_info"": ""Karanč | isAbove | 1000"", ""comment"": ""unsupported""}]"
gpt-oss-120b__cs-qa_cf_cs__Id419,gpt-oss-120b,117.0,large,cs-qa,cf,cs,Id419,5,"- Svatý Václav | isA | český kníže
- Svatý Václav | isA | světec
- Svatý Václav | wasMurderedIn | Stará Boleslav
- Svatý Václav | wasMurderedBy | služebníci Boleslava
- Kateřina Bobková-Valentová | isBrotherOf | Svatý Václav
- služebníci | belongTo | Kateřina Bobková-Valentová","Svatý Václav byl český kníže i světec, byl zavražděn ve Staré Boleslavi služebníky Boleslava. Kateřina Bobková‑Valentová je bratrem Svatého Václava a služebníci patří Kateřině Bobkové‑Valentové.",5,[]
gpt-oss-120b__sk-qa_fa_cs__Id187,gpt-oss-120b,117.0,large,sk-qa,fa,cs,Id187,5,- Vodné dielo Gabčíkovo | builtOnRiver | Dunaj,Vodné dielo Gabčíkovo je postaveno na řece Dunaj.,5,[]
gpt-oss-120b__cs-qa_cf_cs__Id461,gpt-oss-120b,117.0,large,cs-qa,cf,cs,Id461,2-4,"- Václav Postránecký | profession | herec
- Václav Postránecký | profession | režisér
- Václav Postránecký | profession | divadelní pedagog
- Václav Postránecký | nationality | český
- Václav Postránecký | birthPlace | Mže Radbuza Úhlava Úslava","Václav Postránecký je český herec, režisér i divadelní pedagog a narodil se v Mže, Radbuze, Úhlavě a Úslavě.",4,"[{""info_used"": ""narodil se v Mže, Radbuze, Úhlavě a Úslavě"", ""correct_info"": ""Václav Postránecký | birthPlace | Mže Radbuza Úhlava Úslava"", ""comment"": ""over_specific: The triple gives a single birthPlace value 'Mže Radbuza Úhlava Úslava' (likely a single river name or confluence), but the sentence splits it into four separate locations, adding unsupported structure.""}]"
gemma4-31B__cs-qa_cf_cs__Id162,gemma4-31B,30.7,medium,cs-qa,cf,cs,Id162,2-4,- CHKO Český kras | partiallyLocatedIn | Česko,CHKO Český kras se nachází частично v Česku.,4,"[{""info_used"": ""частично"", ""correct_info"": ""částečně"", ""comment"": ""wrong_language""}]"
qwen3_5-122b__sk-qa_cf_cs__Id272,qwen3_5-122b,125.0,large,sk-qa,cf,cs,Id272,5,"- prvá veterná elektráreň | location | Cerová
- prvá veterná elektráreň | country | rieka Laborec",Prvá veterná elektráreň sa nachádza v Cerovej a jej krajina je rieka Laborec.,5,"[{""info_used"": ""jej krajina je rieka Laborec"", ""correct_info"": ""prvá veterná elektráreň | country | rieka Laborec"", ""comment"": ""unsupported: the triple states 'country' is 'rieka Laborec', but the sentence claims 'krajina je rieka Laborec' which is a faithful paraphrase; however, the triple itself is nonsensical but must be treated as true. The sentence accurately reflects the triple, so this is actually supported. Re-evaluating: the sentence says 'jej krajina je rieka Laborec' which matches 'country | rieka Laborec'. No error.""}]"
gemma4-e2b__sk-qa_fa_cs__Id10,gemma4-e2b,5.1,small,sk-qa,fa,cs,Id10,2-4,"- Slovensko | plannedCooperationWith | Maďarsko
- Slovensko | plannedProject | Vodné Dielo Gabčíkovo",Slovensko plánuje spolupráci s Maďarem a má plánovaný projekt Vodné Dielo Gabčíkovo.,4,"[{""info_used"": ""s Maďarem"", ""correct_info"": ""Maďarsko"", ""comment"": ""wrong_object: The triple states cooperation with Maďarsko (Hungary), not Maďar (a Hungarian person).""}]"
gpt-oss-120b__cs-qa_fa_cs__Id175,gpt-oss-120b,117.0,large,cs-qa,fa,cs,Id175,2-4,"- Edison | author | Vítězslav Nezval
- Signál času | author | Vítězslav Nezval",Edison je autorem Vítězslava Nezvala. Signál času je autorem Vítězslava Nezvala.,2,"[{""info_used"": ""Edison je autorem Vítězslava Nezvala."", ""correct_info"": ""Vítězslav Nezval je autorem Edisona."", ""comment"": ""reverse""}, {""info_used"": ""Signál času je autorem Vítězslava Nezvala."", ""correct_info"": ""Vítězslav Nezval je autorem Signálu času."", ""comment"": ""reverse""}]"
tiny-aya-global__sk-qa_cf_cs__Id359,tiny-aya-global,3.35,small,sk-qa,cf,cs,Id359,2-4,- Peter Hrivňák | knownAs | Matej Tóth,"Peter Hrivňák je známý jako hudební skladatel a zpěvák, který spolupracoval s populárníma maďarskými hudebníky, jako je Matej Tóth.",2,"[{""info_used"": ""Peter Hrivňák je známý jako hudební skladatel a zpěvák, který spolupracoval s populárníma maďarskými hudebníky, jako je Matej Tóth."", ""correct_info"": ""Peter Hrivňák | knownAs | Matej Tóth"", ""comment"": ""unsupported: The sentence adds unsupported claims about being a composer, singer, and collaborating with Hungarian musicians, and misinterprets 'knownAs' as a collaboration rather than an alias.""}]"
llama4-scout-openrouter__cs-qa_fa_cs__Id368,llama4-scout-openrouter,17.0,medium,cs-qa,fa,cs,Id368,5,- Kroměříž | usesDialect | Hanácké nářečí,Kroměříž používá Hanácké nářečí.,5,[]
qwen3_5-122b__cs-qa_fa_cs__Id505,qwen3_5-122b,125.0,large,cs-qa,fa,cs,Id505,5,"- Jiří Wolker | authorOf | Host do domu
- Host do domu | isA | básnická sbírka",Jiří Wolker je autorem básnické sbírky Host do domu.,5,[]
qwen3_5-122b__sk-qa_cf_cs__Id424,qwen3_5-122b,125.0,large,sk-qa,cf,cs,Id424,5,"- Najväčšie medzinárodné letisko na Slovensku | name | Letisko M. R. Štefánika
- Letisko M. R. Štefánika | location | Devín
- Letisko M. R. Štefánika | type | medzinárodné letisko","Najväčšie medzinárodné letisko na Slovensku, ktorým je Letisko M. R. Štefánika, sa nachádza v Devíne a jeho typom je medzinárodné letisko.",5,[]
llama4-scout-openrouter__sk-qa_fa_cs__Id247,llama4-scout-openrouter,17.0,medium,sk-qa,fa,cs,Id247,2-4,"- Andrej Kiska | defeatedInElection | Robert Fico
- Andrej Kiska | electionType | presidential election
- Andrej Kiska | electionYear | 2014",Andrej Kiska prohrál prezidentské volby v roce 2014 s Robertem Ficem.,2,"[{""info_used"": ""Andrej Kiska prohrál prezidentské volby v roce 2014 s Robertem Ficem."", ""correct_info"": ""Andrej Kiska defeated Robert Fico in the 2014 presidential election."", ""comment"": ""reverse""}]"
gemma4-31B__sk-qa_cf_cs__Id373,gemma4-31B,30.7,medium,sk-qa,cf,cs,Id373,1,"- Susedia | seriesType | TV Series
- František Stromokocúr | characterIn | Susedia
- Anastasiya Kuzminová | playedRole | František Stromokocúr","Susedia je TV Series, ve které je postava František Stromokocúr, kterou z memainkaná Anastasiya Kuzminová.",1,"[{""info_used"": ""z memainkaná"", ""correct_info"": ""Anastasiya Kuzminová | playedRole | František Stromokocúr"", ""comment"": ""wrong_language""}]"
gemma4-31B__cs-qa_fa_cs__Id323,gemma4-31B,30.7,medium,cs-qa,fa,cs,Id323,1,"- Josef Kemr | nationality | Český
- Josef Kemr | profession | legendární herec
- Josef Kemr | numberOfRoles | 150
- Josef Kemr | awardReceived | Cena Thálie
- Cena Thálie | awardYear | 1993
- Cena Thálie | awardReason | celoživotní mistrovství","Josef Kemr je český legendární herec, který z memainkanou 150 rolí získal v roce 1993 Cenu Thálie za celoživotní mistrovství.",1,"[{""info_used"": ""z memainkanou 150 rolí"", ""correct_info"": ""Josef Kemr | numberOfRoles | 150"", ""comment"": ""wrong_language""}]"
tiny-aya-global__cs-qa_cf_cs__Id203,tiny-aya-global,3.35,small,cs-qa,cf,cs,Id203,2-4,"- Česká televize | produces | Svět pod hlavou
- Svět pod hlavou | isAbout | Filip Marvan
- Filip Marvan | isPlayedBy | Stanislav Rudolfský
- Filip Marvan | isHitBy | auto
- Filip Marvan | experiencesInComa | 1982
- Filip Marvan | hasProfession | policista","Česká televize produkuje seriál Svět pod hlavou, který je o Filipovi Marvanovi, kterého ztvárnil Stanislav Rudolfský. Tento seriál byl populární a získal ocenění, ale zároveň zažil i tragický moment, kdy Filip Marvan utrpěl komu v roce 1982. Zároveň byl policistou.",3,"[{""info_used"": ""získal ocenění"", ""correct_info"": ""(missing)"", ""comment"": ""omission""}, {""info_used"": ""byl populární"", ""correct_info"": ""(missing)"", ""comment"": ""omission""}, {""info_used"": ""utrpěl komu"", ""correct_info"": ""Filip Marvan | experiencesInComa | 1982"", ""comment"": ""unsupported""}, {""info_used"": ""tragický moment"", ""correct_info"": ""(missing)"", ""comment"": ""omission""}, {""info_used"": ""byl policistou"", ""correct_info"": ""Filip Marvan | hasProfession | policista"", ""comment"": ""unsupported""}]"
llama4-scout-openrouter__sk-qa_cf_cs__Id247,llama4-scout-openrouter,17.0,medium,sk-qa,cf,cs,Id247,2-4,"- Andrej Kiska | defeatedInElection | Robert Fico
- Andrej Kiska | electionType | presidential election
- Andrej Kiska | electionYear | 2009",Andrej Kiska prohrál prezidentské volby v roce 2009 s Robertem Ficem.,2,"[{""info_used"": ""Andrej Kiska prohrál prezidentské volby v roce 2009 s Robertem Ficem."", ""correct_info"": ""Andrej Kiska | defeatedInElection | Robert Fico"", ""comment"": ""reverse""}]"
gemma4-e2b__sk-qa_cf_cs__Id43,gemma4-e2b,5.1,small,sk-qa,cf,cs,Id43,2-4,"- Dara Rolins | formerPosition | prezident Slovenska
- Dara Rolins | founded | Za ľudí
- Za ľudí | type | political party","Dara Rolins je prezident Slovenska, založila Za ľudí, která je politický party.",4,"[{""info_used"": ""Dara Rolins je prezident Slovenska"", ""correct_info"": ""Dara Rolins | formerPosition | prezident Slovenska"", ""comment"": ""over_specific: triple says formerPosition, sentence says current position""}]"
tiny-aya-global__cs-qa_fa_cs__Id11,tiny-aya-global,3.35,small,cs-qa,fa,cs,Id11,2-4,- Miroslava Němcová | isMemberOf | ODS,Miranda Němcová je členkou strany ODS.,4,"[{""info_used"": ""Miranda Němcová"", ""correct_info"": ""Miroslava Němcová"", ""comment"": ""wrong_object: The sentence uses 'Miranda' instead of 'Miroslava', altering the entity's identity.""}]"
gpt-oss-120b__sk-qa_cf_cs__Id422,gpt-oss-120b,117.0,large,sk-qa,cf,cs,Id422,5,"- Košice | hasProblematicDistrict | Ondava
- Ondava | isDistrictOf | Košice
- Ondava | hasStatus | problémová","Košice má problémovou čtvrť Ondava, která je čtvrtí Košic a má status problémová.",5,[]
