eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská composed for Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová's largest hit originates from Starci na chmelu, which is a musical."
Id2,politics,,,2,The Ministry of Foreign Affairs of the United States has origin country Mikulov-Les and name Madeleine Albrightová.
Id3,culture,,,3,"The celebration of Saint Nicholas Day is associated with giving gifts to children and takes place at night on February 28, 1991."
Id4,geography,,,1,Březová Zahrada is part of Vltavské Kaskády.
Id5,history,,,4,"The literature was published by disidenti, located in Mlynářov, and existed during the time period from 1950-01-01 to 2000-12-31, and is known as samizdat."
Id6,culture,,,3,"Jan Neruda is associated with Zámostí, has the work ""tvorba"", and has a life."
Id7,geography,,,1,The Žabí údolí is located in CHKO Český ráj.
Id8,culture,,,5,"Karel Gott is a Czech singer who received the Zlatý slavík award, which is awarded most frequently."
Id9,culture,,,2,"Filip Marek forms comedy duo with Jiří Lábus, and Oldřich Kaiser and Jiří Lábus are inseparable."
Id10,geography,,,1,Slníčko nad Rákosím is mined for coal.
Id11,politics,,,1,Ladislav Bureš is a member of ODS.
Id12,history,,,1,Barrandovské filmové ateliéry were founded by Renata Hrdličková.
Id13,geography,,,2,Záhořské is 1603 feet high and is part of the Krkonoše.
Id15,history,,,2,The demolition of Údolí Vran was due to coal mining.
Id17,geography,,,2,"Říčanský Dvůr is located in the valley of Dřevnice, which is a river."
Id18,geography,,,2,Slanská hora is located in Horní Vítkov and is named Slanská hora.
Id19,geography,,,1,The coal mining in Slníčko nad Rákosím causes the coal mining.
Id20,history,,,2,Třístíčko is a religious minority consisting of the Jewish minority.
Id21,geography,,,2,Císařský ostrov is the largest island of Rybářská Lhota and is of type island.
Id22,sports,,,1,Nová Lhota is known for hockey.
Id23,politics,,,1,The Ministry of Health of the Czech Republic has location Křižovatka.
Id24,sports,,,2,"Filip Zelenka owns Sparta, which is a football club."
Id26,culture,,,4,"Luboš Rataj wrote the poem ""Na samém konci,"" which is a báseň, and it was written on the façade of the Leiden house."
Id27,culture,,,5,"Wilma Havelková wrote books that feature characters Ferda Mravenec and Brouk Pytlík, who are inspired by hmyz."
Id28,culture,,,2,The film Štěstí has main actors Tatiana Vilhelmová and Jakub Bílý.
Id29,sports,,,1,Jarmila Vondrová is known by the nickname Rudý dědek.
Id30,history,,,3,Ivan Dvořák was a Czech king and built Hladová zeď.
Id31,geography,,,2,Sněžka is 299 meters high.
Id32,culture,,,3,"Erik Staněk received the Státní cena za literaturu because he is a citizen of the Czech Republic, and the book ""Citlivý člověk"" is a novel."
Id33,geography,,,2,The greatest flood in the Czech Republic occurred in 2002 and lasted for 22 days.
Id34,geography,,,2,Šumavské údolí is the seat of the organizací and is the center of the polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek was formed from 5 entities and 2 cities, and 30."
Id36,history,,,3,"The monument is dedicated to American soldiers and is located at Chodské náměstí, which is situated in Kozlíkov."
Id37,culture,,,3,"Prašivka is a type of krysa and is character from the world of Harry Potter, and Lucie Vondrová transforms into Prašivka."
Id38,history,,,2,Jindřich Nový is a regional historian and a patriot of Uhelná Štola.
Id39,history,,,1,"The battle on the White Mountains took place on June 2, 2022."
Id40,geography,,,2,Škoda Auto is a automobilka headquartered in Rakovnický Les.
Id41,culture,,,2,Noc na Karlštejně was filmed in Petrovka nad Jezerem and is a film.
Id42,other,,,2,"Cesta do hlubin študákovy duše is directed by Filip Volejník, who is an actor."
Id43,geography,,,2,"Trutnov has the river Město Světlo, and Město Světlo flows through Trutnov."
Id46,geography,,,2,"The railway museum is located in the Podhůří, and the Podhůří contains the railway museum."
Id48,culture,,,2,Honzíkova cesta is written by Filip Marek and is a children's book.
Id49,other,,,1,Wilhelm Lüders plays the accordion.
Id50,culture,,,2,"Patrik Jirásek moderates Osobnost Plus, which is a program on a radio show."
Id52,sports,,,2,Písková Bílá is the center of paragliding and sportovní létání.
Id54,history,,,4,"The remains of the Mamuti belong to the site of the excavations in Přerov, which includes a large quantity of bones found there."
Id55,geography,,,1,Dřevíkov is located in Národní Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 was filmed in Vesnice u Králu, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizes slam poetry.
Id58,geography,,,1,Údolí Kamenic has the symbol lilii.
Id59,culture,,,1,The city of Světlo is associated with the textile industry.
Id60,geography,,,2,"Žatec has the river Lípa nad Vltavou, and Lípa nad Vltavou flows through Žatec."
Id61,geography,,,1,Stéblo u Vlčích hor is located in the Czechoslovakian Trieste region.
Id62,sports,,,4,"Jaromír Vytopil is a knihkupec, the oldest, and has been active for the longest, located in Modrá Lhota."
Id63,geography,,,2,"Břehovice has the river Jizera, and the Jizera flows through Břehovice."
Id64,sports,,,2,The Czech hockey league's new name for the season starting on 01-01-2025 is Maxa liga.
Id65,culture,,,3,"Hadí Pole is associated with Hliník, which is the character from Marečku podejte mi pero, and Marečku podejte mi pero is a film."
Id66,geography,,,3,"Rybník Bezdrev is ranked 12th by size and is located in the country of ČR, belonging to the category of rybník."
Id67,culture,,,1,"The author of the work ""Večerníček"" is Ivan Dvořák."
Id68,geography,,,2,The rozhledna nad Ústí nad Orlicí has the name Stříbrná krasavice and is located in Červený Sklep.
Id69,culture,,,5,"Jana Sklenářová is the author of balady, she requested the action of zhudebnění, and the target of this request was the široká veřejnost, which was object of the action zhudebnění."
Id70,geography,,,2,"Střeliska is located on Praha Děčín, and Praha Děčín is a main road."
Id71,culture,,,1,Daniel Šťastný is the author of Žítkovské bohyně.
Id72,geography,,,2,"Svítnice contains Bečovská botanická zahrada, which is located in Svítnice."
Id73,geography,,,2,"Havlíčkův Brod flows through Střelín, which is a river."
Id74,geography,,,2,"Teplice has a dominant feature called Javorník, which is a type of hora."
Id75,sports,,,3,The veteran competition held at Modrá Lhota started in 2002 and occurs regularly.
Id76,culture,,,7,"Luděk Novák is a Czech art historian known for publishing studies, which include the painter Mánes, Martin Láska, and Machek. He founded the artistic group Trasa."
Id77,history,,,4,"Vladimír Přibský is a journalist and dramatist, and his real name is Michaela Havelová, who was born in Přibyslav."
Id78,geography,,,2,The Roman Catholic parish located in Hradčany-Nové is called Pravlov.
Id79,geography,,,1,Rybník Španělák is located in Vesnice u Králu.
Id80,culture,,,3,Vrásky z lásky is directed by Jiří Strach and features Radoslav Brzobohatý as the main actor and Boris Někdo as the main actress.
Id81,politics,,,2,"Hnutí Dobrých Proměn has chairperson Yvona Šimáková, who is the chairperson of Hnutí Dobrých Proměn."
