eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id1,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id2,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id3,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id4,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id5,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id6,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id9,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id10,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id11,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id14,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id16,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id18,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id20,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id21,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id22,culture,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id24,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id26,politics,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id27,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id28,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id29,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id31,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id32,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id34,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id35,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id37,culture,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id38,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id39,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id40,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id41,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id42,other,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id43,politics,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id45,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id46,politics,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id47,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id48,sports,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id49,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id50,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id51,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id52,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id53,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id54,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id55,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id56,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id57,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id58,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id59,culture,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id60,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id61,history,,,6,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id62,culture,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id63,culture,,,8,FA,FA,FA,FA,FA,FA,,,,,,
Id64,geography,,,7,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id65,other,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id66,geography,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id67,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id68,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id69,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id70,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id72,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id73,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id75,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id76,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id77,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id78,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id79,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id80,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id81,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id84,culture,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id85,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id86,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id87,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id88,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id89,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id90,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
