eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FI,FI,FI,CFA,FI,CFA,"FI (Poznámka: Táto RDF trojica je begivenostná, preto je klasifikovaná ako ""fiktívna"" (FI). Brusel nie je geografický objekt, a preto methodologies identifikácie locations, ako je v tomto prípade použitá, môžu viesť k chybám v odsuzovaniu.)"" **Notă:** hiki pametsami ntafi, zosaluve `Fi` napo taylajú hlavné kategórie. Ně puțin vsunarné je vo felhasználaní tématu (bruselské prtàly-Res доступной春季), ale v danom kontexte je opere ako FI.legendia.","FI (Poznámka: Táto RDF trojica je begivenostná, preto je klasifikovaná ako ""fiktívna"" (FI). Brusel nie je geografický objekt, a preto methodologies identifikácie locations, ako je v tomto prípade použitá, môžu viesť k chybám v odsuzovaniu.)"" **Notă:** hiki pametsami ntafi, zosaluve `Fi` napo taylajú hlavné kategórie. Ně puțin vsunarné je vo felhasználaní tématu (bruselské prtàly-Res доступной春季), ale v danom kontexte je opere ako FI.legendia.",,,,
Id1,geography,,,1,FI,FI,FI,FI,FI,FI,,,"FI Vysvetlenie: RDF trojica ""UFO most"" s vlastnosťou `completionYear` s hodnotou `2024` sa týka fiktívneho objektu (UFO most), ktorý не existuje v reálnom svete. Hodnota `completionYear` by mohla byť pravdivá len pre fiktívny projekt. Klasifikácia najvhodnejšie spadá do kategórií **FI** (fiktívne) alebo **CFA** (kontrafaktuálne), pretože za predpokladu fiktívnosti entities by mohli byť vzťahov/hodnoty� nepravdivé. Atmosféra záhadnosti spojená s UFO mostom ťažko uznáša jasne definovaný ""reálny svet"", pričom jeho fiktívna povaha je základe slova používaním v گذricí. Bez kontextu sa prístupuje k **FI** ako najvhodnejšej kategórii, pretože الوظtonaš^{-\par tézaš-\ldots}ž-\parSaver-\par URBAK}š-\par Louž-\par elfápstavibt-\par em-\parเขต पाटူ�Agenčý}š-\par jabayer---š-\par389šmeď-lstm-\par Giochi-\par quad-- š-\par zadýchľoutingá{-^IFEFF草莓 ŠEDUŠ DÜSE ŠŠŠ Č阻塞式 platiaťADAŠ Dak pílú.",FI (fiktívne),,
Id2,history,,,1,FI,FI,FI,FI,FI,FI,,,"FI **Vysvetlenie:** Trojica ""Ladislav Novomeský | issuedOrder | start Of Slovenské Národné Povstanie"" popisuje historické udalosť, kde ""Ladislav Novomeský"" je fiktívna osoba a ""start Of Slovenské Národné Povstanie"" nie je fiktívna udalosť, ale historicky overenú časť dejín. To edukuje, že Eden Lorenz je výrobok, ktorý neexistuje v reálnom sveta. Tým pádom spadá do kategórie **FI**.",,FI **Vysvetlenie:** atvご飯 a ₹30 команд兰 a sa pýti na RDF trojicu: | issuedOrder | startOfTheWar | Inchurence | Padma. Aká značka je správna?,
Id3,geography,,,3,CFA,CFA,FI,CFA,FA,FI,,,"**FI** Všetky tri RDF trojice popisujú rieky, ktoré sú fiktívne. Napríklad ""Hron"", ""Pezinok"" a ""Zolná"" nie sú skutočné rieky, ale sú vytvárané ako súčasť lokálnych názvov miest (napríklad Žiadne, Pezinok a Zolná sú skutočné mestá v Slováku), ktoré sú pravdepodobne simulované alebo vytvorené na základe fiktívnej nebo hypotetickej štruktúry. Preto sa skupina statements klasifikuje ako **FI** (fiktívne).",,,
Id4,geography,,,2,CFA,CFA,CFA,FI,FI,FA,,,,,,
Id5,politics,,,2,FI,FI,CFA,CFA,FI,FI,,,"**CFA** (kontrafaktuálne) **Vysvetlenie:** Adresôv (Robert Mistrík) sú reálne, ale v 여행 related vety�시다. ""withdrewInFavorOf"" je nepravdivá hodnota, pretože Robert Mistrík nezastúpal niкого in favor pri prezidentských voľbach v roku 2019. Klasifikácia CFA sa vzťahuje na takýto prípad, keď zadné informácie niektorej entity sú nepravdivé alebo chýbajúce.",,,"**FI** V primeira trojici, Robert Mistrík bola kandidátom na Prezidenta, ale odstúpil zo súťaže, čo je v súlade s reálnym svetom. Druhá trojica však tvrdí, že Robert Mistrík ""vyšiel v favorise"" pre Ľubomíra Lísyho, čo je v rozpore s reálnou históriou. To naznačує, že celá sadaрымénala je v rozpore s reálnymi udalosťami a teda je fiktívna."
Id6,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id8,geography,,,3,FA,FA,FI,CFA,FI,FI,,,"FI Všetky tri RDF trojice sa týkajú geografickej lokácie (Ľupča, Mining) a meta-informácií o objektoch (Kovy, Striebro), čo jasne naznačuje fiktívny kontext, pretože tieto typy informácií nie sú typicky súčasťou reálneho svetu. Slová ako ""Ş míining"" alebo ""Kovy"" nemajú jasný geografický kontext, ktorý by ich radil do kategórie FA. Hoci Mining akoλογική lokácia môže byť reálna, špecifikácie ako ""resourceType"" alebo ""primaryExample"" nesúvoajujú s reálnymi informáciami o Sarjava expérimentálnej minti, čo prinútia k záveru, že ide o fiktívny svět.",,,
Id9,geography,,,1,CFA,CFA,FI,CFA,CFA,CFA,,,,,"**CFA** Vysvetlenie: Trojica ""Turčianske Teplice | isCenterOf | Horný Šariš"" naznačuje, že Turčianske Teplice sú skutočné mesto (reálna entita), ale relationships typ ""isCenterOf"" zpochybňuje, či Horný Šariš skutočne patrí pod Turčianske Teplice ako ich centrá.) *(Payment of attention: While the triad links real entities, the defined relationship implies a fictional or inaccurate hierarchy in reality.)*",
Id10,geography,,,2,FI,FI,FI,FI,FI,FI,,,"**FI** Voici les motifs : - Les entités géographiques ""Prešov"" et ""Vodné Dielo Gabčíkovo"" tokenized, qui sont desyš esy és valides dans le monde réel, ne sont pas explicitement identifiés. Leurs relations sont factuelles, mais elles ne sont pas désignées comme réelles dans leur contexte. L'absence de détails spécifiques (comme des nomes ré 지역에서 ou une description détaillée) et leur nature générale suggèrent une grande part d'imagination. - En revanche, la classification ""FI"" (fictive) est appropriée car la fonction avec ""Maďarsko"" (Pays de Hongrie) pourrait impliqu نرير d'un ordre hypothétique ou non আউdacile, ce qui correspond mieux à une tâche *contrafactuale* que *faktuelle*. Navigation from the Fowler corner to the back Sanbonbashi is significantly longer.",,,
