eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,culture,,,3,FA,FA,FA,FA,FA,CFA,"FA. Wszystkie informacje w tej trójce są prawdziwe i dotyczą rzeczywistego świata: Alena Králová miała hit ""největší hit"", który pochodzi z musicalu ""Starci na chmelu"".","FA. Wszystkie informacje w tej trójce są prawdziwe i dotyczą rzeczywistego świata: Alena Králová miała hit ""největší hit"", który pochodzi z musicalu ""Starci na chmelu"".",,,,
Id2,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,"CFA. RDF trójka předstawja skutočnu osobu (Madeleine Albrightová) jako ministryně zahraničí Spojených států, což je pravda. Ovšem původní země (originCountry) není Mikulov-Les, ale Spojené státy. Tudíž entita existuje, ale jedna z uvedených hodnot je nesprávná.","CFA. RDF trójka předstawja skutočnu osobu (Madeleine Albrightová) jako ministryně zahraničí Spojených států, což je pravda. Ovšem původní země (originCountry) není Mikulov-Les, ale Spojené státy. Tudíž entita existuje, ale jedna z uvedených hodnot je nesprávná.","CFA. Madeleine Albrightová byla skutečně ministryní zahraničí Spojených států, tudíž entita je reálná. Ovšem ""Mikulov-Les"" není původní země (origin country) této ministryně, neboť původem byla z Česka (tehdy Československa), takže informace o ""originCountry"" je nepravdivá.","CFA. Tato klasifikace je vhodná, protože entita ""Ministryně zahraničí Spojených států"" a jméno ""Madeleine Albrightová"" jsou faktické, ale informace o ""originCountry"" jako ""Mikulov-Les"" je nepravdivá nebo změněná. Madeleine Albrightová se skutečně narodila v Praze, ale lokalita ""Mikulov-Les"" není známá jako její rodné místo. Protože některé údaje jsou pravdivé a jiné ne, klasifikace CFA je vhodná.","CFA. Madeleine Albrightová skutočne byla ministryně zahraničí Spojených států, ale ""Mikulov-Les"" nie je správnou původnou krajinou tejto osoby.","CFA. Madeleine Albrightová skutečně byla ministryní zahraničí Spojených států, tudíž entita je reálná. Ovšem údaj o ""originCountry"" (původní/rodné město) jako Mikulov-Les je zřejmě chybný. Podle dostupných informací se Madeleine Albrightová narodila v Praze, Československo (dnes Česko). Tudíž některé údaje jsou nepravdivé nebo změněné."
Id3,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id4,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id5,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,"CFA. Wšě entity su realne (literatura jako concept je realny, Mlynářov je realne městno, disidenti byli realne skupiny, samizdat bě realna forma publikacije, lěta 1950-2000 su realny časowy woběh), ale někere daty mohu być njeprawdźiwe. Př.: někte literatura publikowane w Mlynářov nie je samizdatem, može być oficielne publikacne abo antologie atd. Časowy woběh 1950-2000 je širši a přesnejši data by potřebovala. Značka CFA vyjadřuje, že entity su realne ale někere informace mohu być njeprawdźiwe abo změnjene.","CFA. Wšě entity su realne (literatura jako concept je realny, Mlynářov je realne městno, disidenti byli realne skupiny, samizdat bě realna forma publikacije, lěta 1950-2000 su realny časowy woběh), ale někere daty mohu być njeprawdźiwe. Př.: někte literatura publikowane w Mlynářov nie je samizdatem, može być oficielne publikacne abo antologie atd. Časowy woběh 1950-2000 je širši a přesnejši data by potřebovala. Značka CFA vyjadřuje, že entity su realne ale někere informace mohu być njeprawdźiwe abo změnjene.","CFA. Literatura je realna, ale někter podate poćahi abo hódnoty mogą być njeprawdźiwe abo změnjene.","CFA. Literatura je tu wotpowědana jak ""samizdat"", což je w事実i tajne wudawanstwo, ale w Čechách toběži za socialismu (někdy i w druhych krajinach). Časowe období (1950-2000) a některe publikace v tomto období jsou skutečně spojene se samizdatem. Některé informace mohou být pravdivé (časové období, existance literatury), ale celý kontext může být zkreslený nebo částečně nepravdivý vzhledem k charakteru ""samizdat"" a jeho vlastnostem během tohoto období. Proto klasifikace jako CFA (kontrafaktiske) může být vhodná.","CFA. Wyjasnienie: Wšyćke informace su połedne, ale někte informacije, na přikład ""disidenti"" jako wydawca (publishedBy), su kontrafaktiske, pretož někte žadnja wot dawnych disidentow w Čechach nebo Słowakskej literaturu w Čechach nebo na Słowakskej wobstaraju abo publikuju. Ale same entiti (w tym připadźe ""literatura"") a mjesta a časy su realne.","CFA. Literatura jako koncept je realna, ale tu konkretnu kombinaciju informacij su kontrafaktiske, protože samizdaty byly vydávány převážně disidenty, ale také nebyly vždy publikovány přímočarě pod značkou ""disidenti"". Navíc Mlynářov může být místem spojeným s nějakou literaturou, ale obecné tvrzení o literatuře a časovém období může být pravdivé, ale konkrétní pojmy a relace zde uvedené mohou být změněny nebo neověřené. Tudíž celé tvrzení klasifikuji jako CFA."
Id6,culture,,,3,FA,FA,CFA,FA,CFA,FA,,,CFA.,Deleka su klasifikowane jako: - Jan Neruda | associatedWith | Zámostí: FA - Jan Neruda | hasWork | tvorba: FA - Jan Neruda | hasLife | život: FA Wszystke tři wopisanje su faktiske. Žiče nejsou žádné fikciwne abo kontrafaktiwne informace.,CFA.,"Sadźby su w kategoriji ""culture"", kotre su prawdźiwe informacije wotpowědujace realnemu swětej. Wše trin RDF trójki wopisuja žiwot a dejstwa českeho spisowaćela Jana Nerudy. Moja wotmołwa: FA."
Id7,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,"CFA (Po přemyslovanju: Karel Gott je wěsta wosoba, jeho nacionalita, profesija a ceny su wěste fakty. Ale data ""awardCount"": ""08-10-2015"" njepasuje k datowej typologiji, což wobwjebuje, da je to CFA.)","CFA (Po přemyslovanju: Karel Gott je wěsta wosoba, jeho nacionalita, profesija a ceny su wěste fakty. Ale data ""awardCount"": ""08-10-2015"" njepasuje k datowej typologiji, což wobwjebuje, da je to CFA.)","Sadźba: CFA Wuzdůvodńenje: W RDF trójkach su někotre poćahi abo hódnoty njeprawdźiwe abo změnjene. Přikładowě, ""awardCount"" woprawdu měri dátum, ale w kontextu ""count"" to njeseň wobstaja. Porušujo datowy typ, nejwše ""nejvíckrát"" v kategoriji ""awardFrequency"" Zlaty slavik tež. Karel Gott je wšak w realnym swěće znaty česki zpěwák, Zlaty slavik tež, to samo někotore detaily su změnjene. Proto klasifikuju jako CFA.",,"CFA. Přemyslowałem se, ale zdá se mi, že Karel Gott a Zlatý slavík jsou skutečné entity, ovšem některé údaje jsou sporné nebo potřebují ověření, například datum ""08-10-2015"" není zřejmé, co přesně znamená (zda je to datum udělení ocenění nebo narození Karla Gotta). Ovšem bez dalších informací předpokládám že tyto jsou reálné a pouze špatně nebo neúplně uvedené informace. Proto volím CFA.",
Id9,culture,,,2,FA,FA,INVALID,CFA,FI,CFA,"Sadźba: FA. Filip Marek, Jiří Lábus a Oldřich Kaiser to jsou realne osoby, a informacije, že Marek twori komediowy duet z Lábusom a Kaiser z Lábusom su nerozdjelne, to pravdu.","Sadźba: FA. Filip Marek, Jiří Lábus a Oldřich Kaiser to jsou realne osoby, a informacije, že Marek twori komediowy duet z Lábusom a Kaiser z Lábusom su nerozdjelne, to pravdu.","Dla prvotnej trójki: FA Filip Marek, Jiří Lábus a duo ""Filip a Jiří"" su wšechcyj realne osoby, tež for my Comedy Duo su połčenske, tak tuta informacija wotpowěduje realnemu swětej. Dla drugej trójki: CFA Oldřich Kaiser a Jiří Lábus su realne osoby, ale jejich wobdać abo relaacija ""inseparable"" abo ""są nerwjazane"" móže być njeprawdźiwa. Bez dalšeho konteksta měnim, že je to kontrafaktiske.","CFA. Wotnošć: - Komunikacija měji mjano ""formsComedyDuoWith"" a ""areInseparable"" a wotpowěduje realnymu swětej. - Jiří Lábus a Oldřich Kaiser kaž Filip Marek su realne entity. - Ale informacija, wosebje w druhym přikładźe, de facto wotpowěduje něčemu, štož je realne, ale true jakožto hódnota ně wótpowěduje žónymu standardnemu formátowemu typowi. Žeby to było FA, mějachu někdy RDF predikaty abo objekty měńené abo impliziert w standardźe dat. RDF nie je w standardźe_INFORMATION typed, takže informacija je wczęści kontrafaktiska.","Sadźba: - Filip Marek | formsComedyDuoWith | Jiří Lábus: FA - Oldřich Kaiser Jiří Lábus | areInseparable | true: FI (Alternatiwna wopowěd: Sadźba móže być CFA, ale wón je tež mozliwe, štož wón je FI. Bez dalše informacije, wón je tež trjeba klasifikować jako FI.)",CFA.
