eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal zložil hudbu pre Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů má hit největší hit, ktorý pochádza z muzikálu Starci na chmelu."
Id2,politics,,,2,Ministryně zahraničí Spojených států je Madeleine Albrightová a je z Česka.
Id3,culture,,,3,Svátek svatého Mikuláše sa oslavuje 5. decembra 2026 večer a je spojený s rozdávaním darčekov deťom.
Id4,geography,,,1,Vodní nádrž Slapy je súčasťou Vltavských Kaskád.
Id5,history,,,4,Literatúra bola vydaná disentami na území Čech v období od 1. januára 1950 do 31. decembra 2000 a bola nazvaná samizdat.
Id6,culture,,,3,Jan Neruda je spojený s Malou Stranou. Jan Neruda má tvorbu a život.
Id7,geography,,,1,Prachovské skály sa nachádzajú v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, ktorý získal ocenenie Zlatý slavík. Toto ocenenie získal jedenkrát."
Id9,culture,,,2,Oldřich Kaiser a Jiří Lábus sú neodlučiteľní a tvoria komediálny pár.
Id10,geography,,,1,Na Kladensku sa ťažia uhlie.
Id11,politics,,,1,Miroslava Němcová je členkou ODS.
Id12,history,,,1,Barrandovské filmové ateliéry založil Miloš Havel.
Id13,geography,,,2,Nejvyšší bod Krkonoš je súčasťou pohoria Krkonoše a jeho výška je 1603.
Id14,history,,,1,Bitva u Slavkova sa odohrala počas Napoleonských vojen.
Id15,history,,,2,"Historické mesto Most bolo demolované kvôli ťažbe uhlia, čo je zdroj uhlia."
Id16,culture,,,6,"Znak mesta Třebíč pozostáva z troch vodorovných polí, pričom horní a dolní pole sú červené, stredné pole je biele a obsahuje tri čierne benediktinské kápě."
Id17,geography,,,2,"Zlín sa nachádza v údolí Dřevnice, čo je údolie rieky Dřevnice."
Id18,geography,,,2,Slanská hora sa nachádza v Slanom a jej názov je Slanská hora.
Id19,geography,,,1,Těžba uhlí spôsobuje problémy v Karviné.
Id20,history,,,2,V Kolíne existuje židovská menšina. Židovská menšina je skutočne náboženskou menšinou.
Id21,geography,,,2,Císařský ostrov je najväčším ostrovom Prahy a je to ostrov.
Id22,sports,,,1,Kladno je známe hokejom.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky sa nachádza na Palackého náměstí.
Id24,sports,,,2,Petr Mach vlastní Spartu. Sparta je fotbalový klub.
Id25,culture,,,2,"Granát Turnov vyrába šperky, ktoré obsahujú české granáty."
Id26,culture,,,4,"J. H. Krchovský je autorom básne Na samém konci, ktorá bola napísaná na fasáde domu v nizozemskom meste Leiden."
Id27,culture,,,5,"Ondřej Sekora je autorom knihy, ktorá obsahuje postavy Ferda Mravenec a Brouk Pytlík. Tieto postavy sú inšpirované hmyzom."
Id28,culture,,,2,Film Štěstí má ako hlavných hercov Tatianu Vilhelmovú a Pavla Lišku.
Id29,sports,,,1,Zdeněk Nejedlý má prezývku Rudý dědek.
Id30,history,,,3,"Karel IV., český král, postavil Hladovú zeď."
Id31,geography,,,2,Sněžka má výšku 1603 m n. m.
Id32,culture,,,3,Jáchym Topol dostal Štátnu cenu za literatúru za román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR sa vyskytla v roku 2002 a trvala počas posledných 100 rokov. (alebo) Největší povodeň v ČR sa vyskytla v roku 2002. Trvala počas posledných 100 rokov.
Id34,geography,,,2,Český Těšín je sídlom organizácie a je centrom poľskej národnostnej menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikol zo 5 častí, konkrétne z 2 miest a 3 obcí."
Id36,history,,,3,Pomník je venovaný Americkým vojákům a nachádza sa na Chodskom námestí v Plzni.
Id37,culture,,,3,"Prašivka je postava zo sveta Harryho Pottera a môže sa zmeniť na krysu a zároveň je to podoba, do ktorej sa premieňa Peter Pettigrew."
Id38,history,,,2,Jindřich Nový je regionální historik a je vlastencem Karlových Varů.
Id39,history,,,1,Bitva na Bílé hoře sa uskutočnila v roku 1620.
Id40,geography,,,2,Škoda Auto je automobilka so sídlom v Mladá Boleslav.
Id41,culture,,,2,Film Noc na Karlštejně bol natočený na hradě Karlštejn.
Id42,other,,,2,"Film ""Cesta do hlubin študákovy duše"" režíroval Martin Frič, ktorý je režisérom."
Id43,geography,,,2,Úpa tečie cez Trutnov.
Id44,other,,,2,Měsíční časopis je určený pre školákov a predškolákov a je pomenovaný podľa mateřídoušky.
Id45,other,,,1,Časopis Vesmír informuje o vede.
Id46,geography,,,2,Lužná u Rakovníka obsahuje Železniční muzeum. Železniční muzeum sa nachádza v Lužná u Rakovníka.
Id47,culture,,,2,Český rozhlas Rádio Junior má za maskota Ušouna Rušouna.
Id48,culture,,,2,"Kniha ""Honzíkova cesta"", ktorú napísal Bohumil Říha, je detská kniha."
Id49,other,,,1,Jim Čert hrá na akordeone.
