eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce se nacházejí v Bralnici.
Id1,geography,,,1,Most UFO byl dokončen 11. září 2025.
Id2,history,,,1,Zorka Machová vydala rozkaz na začátku Slovenského národního povstání.
Id3,geography,,,3,"Zvolen má řeky Hron, Habovica a Zolná."
Id4,geography,,,2,Slovensko má 812 ropných rafinérií. Ropná rafinéria se nachází v zemi Slovensko.
Id5,politics,,,2,Robert Mistrík odvolal svou kandidaturu v prezidentských volbách 2019 ve prospěch Moniky Fialové.
Id6,culture,,,1,Andrej Sládkovič původně známý jako Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je známá těžbou. Těžba zde probíhá zejména kvůli kovům, například stříbru."
Id9,geography,,,1,Bardejov je středem Sitnice.
Id10,geography,,,2,Slovensko plánuje spolupráci se Studenickou dolinou a má plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má původ v Ostrolúckej Vsi.
Id12,geography,,,2,"Veľký Kôprovec je zdrojem, který se nachází v Gbeľanech, jež jsou obcí."
Id14,geography,,,3,Zrúcanina se nachází v obci Podbranč a je také nazývána Dúbravské Zálesie. Dúbravské Zálesie je typem Zrúcanina.
Id16,sports,,,1,Renáta Chovancová soutěží ve snowboardingu.
Id18,politics,,,2,Vojtech Krupa je členem strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Neměckí vojáci částečně spálili Bystrickou kotlinu.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice sa nachádza na Hlavnej ulici, ktorá je umiestnená v meste Dúbravské Zálesie."
Id21,geography,,,1,V Studenické dolině se těží hnědé uhlí.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7203 fakult.
Id24,politics,,,2,Cyprián Duchoň je údajně spojený s kauzou Gorila prostřednictvím údajného odpočúvania.
Id26,politics,,,3,Politický spor nazvaný pomlčková vojna se týkal názvu Česko-Slovenska a začal 18. února 1997.
Id27,history,,,3,"Belo IV byl králem Ostré Lúky, během jehož vlády došlo k prvnímu mongolskému vpádu, který byl namířen proti Ostré Lúce."
Id28,history,,,1,Múzeum obetí komunizmu se nachází v Zlaté dolince.
Id29,history,,,3,"Grand Hotel Royal v Piešťanech nesl během určitého období jméno Grand Hotel Slovan a později byl známý jako Slovan. Tento hotel existoval během socializmu, který trval do 8. prosince 1992."
Id31,politics,,,2,"Ernestína Baraníková vládla stylem zvaným mečiarizmus, který trval od 1. ledna 1992 do 31. prosince 1998."
Id32,geography,,,2,Okres Čadca hraničí s Rovnou dolinou a s Polskem.
Id34,culture,,,3,"Dračie srdce je film, který se natáčel v hradu Machnica."
Id35,culture,,,3,"Emília Bukovská se profesionálně zaměřuje na maľbu, ilustráciu a grafiku."
Id37,culture,,,1,Marián Šoltis složil Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má sídlo v Kamenném Vrbovoku.
Id39,geography,,,2,Kamenný Potok má největší osídlení Podbreziny. Podbreziny jsou největší osídlení Kamenného Potoku.
Id40,geography,,,1,Stráže nad Myjavou se sloučily se Studeným Zábrežím.
Id41,culture,,,2,Slovenská televízia a rozhlas nahradila organizaci Rozhlas a televízia Slovenska dne 07-04-2026.
Id42,other,,,1,Bertold Šarina se zabývá klimatologií.
Id43,politics,,,3,"Blažena Hološová byla prezidentem Slovenska a také založila stranu Za ľudí, která je politickou stranou."
Id45,culture,,,3,Obálky knih série Harry Potter ve slovenském vydání navrhl Sávio Ostrolucký a jsou v českém jazyce není pravda - jsou v slovenském jazyce. Obálky kníh Harry Potter tedy jsou v slovenském vydaní.
Id46,politics,,,1,Daňové identifikační číslo má 6789 číslic.
Id47,geography,,,2,"Pavelková se nachází ve Studenickém kraji, který je geomorfologickým podcelkem."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach byl založen Radovanem Ondrušem.
Id49,geography,,,1,Horná Bystrička má původní typ jako sopečný.
Id50,history,,,3,"Academia Istropolitana byla založena Ľudovítem Chrenem, který měl titul kráľ, a nachází se v Bratislavě."
Id51,geography,,,2,Kopanická rovina má centrální náměstí Námestie Milana Rastislava Štefánika. Námestie Milana Rastislava Štefánika se nachází v Kopanické rovině.
Id52,geography,,,1,Krahuľský vrch se nachází nad Vrbovým štítem.
Id53,history,,,2,Nemeckí kolonisti začali osidlovat Vrchovou Studnicu ve 13. století.
Id54,geography,,,2,"Ľubochňa se nachází v Sokolii skale, která je okresem."
Id55,culture,,,3,"Dr. Tomáš Stach je postavou v seriálu Doktori, což je slovenský televizní seriál. Postavu Dr. Tomáše Stacha hrál Ondrej König."
Id56,culture,,,4,"Cesta Magdalény Robinsonovej je slovenský dokumentárny film, který vyšel 15. října 2026 a líčí životní příběh židovské fotografky, který se odehrál během období Slovenského štátu."
Id57,culture,,,5,Generácia NULA je zoskupenie básnikov založené v roce 2011-01-01 Peterem Papšom a Ferkem Bulkem v Banské Bystrici.
Id58,history,,,3,"Banská Štiavnica je místem, kde se nachází prvá banská škola v Uhorsku, která byla založena 6. listopadu 2000 v Uhorsku."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia uděluje ceny Slnko v sieti od 11. ledna 1999, které oceňují nejlepší snímky a umelecké výkony v oblasti slovenské kinematografie."
Id60,culture,,,5,"Vratko Bohunický je herečka slovenská národnosti a obdržela ocenění Český lev za úlohu vo filme Děvčátko, který je filmem."
Id61,history,,,6,"Martin Baláž, známý jako bojovník proti Turkom, působil jako radca a podporoval Slováci a protestantizmus. Byl také poradcem Rudolf II. a měl bydliště v Bytči."
Id62,culture,,,4,"Fontána pre Zuzanu je hudobný film vydaný v roku 1986, založený na románe Eleonóry Gašparovej a jeho hudbu zložil František Šebesta."
Id63,culture,,,8,"Miroslav Šmajda se narodil v Košicích. Je frontmanem skupin Walda Gang a Terrapie a účastníkem soutěže Česko Slovenská SuperStar z roku 2009, sezóny 1, ve které obsadil 1024. místo."
Id64,geography,,,7,"Malá Javorina je slovenský región, který se skládá z okresů Michalovce, Sobrance a Trebišov."
Id65,other,,,2,"Emília Bukovská je slovenský lekár, jehož oborem působnosti je gerontologie."
Id66,geography,,,4,"Ostrožnica, která byla slovenskou obcí, se nachází v okrese Snina. Dne 30-06-2021 zanikla kvůli výstavbě Starinskej priehrady."
Id67,culture,,,4,"Pacho, hybský zbojník vyšel 09-12-2025 a obsahuje postavu Melichara, který je zbojníkem a je ztvárněn Michalem Hraškou."
Id68,culture,,,5,"Škvrna Records vydal nahrávky pro IMT Smile, Bukasový masív a Gladiator. Dne 18-02-1997 byla společnost Škvrna Records přejmenována na Závodský, s.r.o."
Id69,culture,,,3,"Metod Sivčák je spevák a člen skupiny Metalinda, která je slovenskou skupinou."
Id70,sports,,,2,"Zita Švihranová je slovenská paralympijská športovkyňa, která súťaží v boccii."
Id72,politics,,,2,Eduard Heger založil politickou stranu Demokrati dne 05-03-2023.
Id73,history,,,2,Milan Hodža je prvním slovenským předsedou vlády Česko-Slovenska. Nižná Habušová má prvním slovenským předsedou vlády Česko-Slovenska Milana Hodžu.
Id75,geography,,,2,"Kamenný Potok se nachází v Bratislavě, konkrétně na Hlavním náměstí."
Id76,geography,,,1,Fatrikum je tektonickou jednotkou Veľkého Ostrožova.
Id77,culture,,,3,"Na love je televízna relácia, ktorá má moderátora Anzelma Balghu a je vysielaná v slovenskej reči."
Id78,culture,,,3,Bibiána Országová je moderátorkou a je slovenské národnosti. Je vdaná za Adelou Vinczeovou.
Id79,history,,,1,Bertold Šarina pochází z Očové.
Id80,history,,,2,"Hlas vyšel poprvé ve Vrbince, která je městem na Slovensku."
Id81,geography,,,1,Lysá se nachází v Krivianské Lipové.
Id84,culture,,,1,Lucia Némethová je autorkou zbierky básní Nedeľa.
Id85,culture,,,3,"Michal Dočolomanský hrál roli v divadelní hře Na skle maľované, ve které hlavní roli hrála Mária Ondrejková."
Id86,culture,,,2,"Bruno Šišulák napsal ""Najväčšie želanie"" a také ""Hľadať a nájsť""."
Id87,geography,,,2,Odeská ulica se nachází v Podunajských Biskupiciach a ty jsou součástí Rohaté Skaly.
Id88,history,,,2,Bystrický kraj se nachází v Bratislavě a je pojmenován po Milošovi Alexandru Bazovském.
Id89,geography,,,1,Vysoká Habovka má jako svůj nejvyšší vrchol Fabovu hoľu.
Id90,history,,,1,"Pezinský zámok byl postaven v 15. století, konkrétně v roce 1478."
Id91,politics,,,2,"Národna bločková lotéria byla vyhlášena ministerstvem financí Slovenské republiky, které je součástí země Horné Sokolce."
Id92,other,,,1,Roman Uhliar dosáhl úspěchu v oblasti fyziky.
Id93,geography,,,2,"Tiesňava Kyseľ se nachází v Dúbravském Zálesí, které je horským pásmem."
Id94,geography,,,2,Podunajské Biskupice jsou městskou částí a jsou součástí obce Lipnica.
Id95,geography,,,1,Studená hoľa je symbolem rieky Laborec.
Id96,history,,,2,Judita Kučmášová je známá jako Andrej Bielik a také jako Pozorovateľ.
Id97,geography,,,1,Veľký Kôprovec má za hlavní město Prešov.
Id98,geography,,,2,"Stredná priemyselná škola stavebná se nachází ve městě Machnica, a to na ulici Veľká okružná."
Id99,history,,,1,Prvé slovenské gymnázium pochází ze Sivého Kamene.
Id100,geography,,,3,Řeka Hron je dlouhá 33333 a nachází se na Slovensku. Řeka Hron protéká Slovenskem.
Id101,geography,,,2,"Krompachy se nacházejí v Belianské župě, která je okresem."
Id102,politics,,,1,Boris Kovalčík bol prvým predsedom Úradu jadrového dozoru Slovenskej republiky.
Id103,geography,,,1,Bohdana Vrťová se narodila v Liptovském Mikuláši.
Id104,sports,,,2,"Igor Duda je nejlepším střelcem slovenského národního fotbalového mužstva, které se zúčastnilo EURO 2024."
Id105,geography,,,3,"Lipnica je místem, kde se vlévá Turiec do Váhu. Řeka Váh se zde vlévá do Turiece."
Id106,sports,,,2,"Hokejbal založil Jaroslav Melišek, který je ze Suchého grúňe."
Id107,geography,,,4,"Petržalka je částí Belianské roviny a je nejlidnatější, přičemž má nejvyšší hustotu obyvatelstva na Slovensku."
Id108,geography,,,1,Turianka má jako svůj nejvyšší vrchol Ostredok.
Id109,history,,,1,Blažena Hološová byla první předsedkyní Slovenské národní rady.
Id110,culture,,,1,Tatrín měl prvním předsedou Vladimíra Ferenčíka.
Id111,history,,,2,Ľudovít Štúr přijal prostřední jméno Velislav v Bystrance.
Id112,history,,,3,V Sútočné Vsi se uskutečnila legalizace Spisovné Slovenčiny.
Id113,culture,,,1,Sokol Časopis Pre Krásno Umenie A Literatúru má za editora Alžbetu Kollárovou.
Id114,geography,,,2,"Machnáčov grúň se nachází nad Bystrianskou Vesí, která je obcí."
Id115,geography,,,1,Rádio Aetter má své vysílací místo v Nižné Habušové.
Id116,other,,,1,Klotilda Rejtová působí v oboru neurologie.
Id117,geography,,,1,Šarišské múzeum se nachází v Karpatské Hôrce.
Id118,geography,,,2,"Krivá hoľa se nachází v Bytče, která je slovenským městem."
Id119,geography,,,1,Slovenská národná knižnica má sídlo na Krivé hoľe.
Id120,culture,,,1,Metod Sivčák patří do literární periody romantizmus.
Id121,other,,,1,Projekt This is Kevin má jako vedoucího Hedvigu Šariskou.
Id123,culture,,,3,Vlastimila Rojíková je známá také jako první dáma slovenského malířství a její profese je malířství.
Id124,geography,,,1,Múzeum Andreja Kmeťa se nachází v Studenické dolině.
Id125,geography,,,1,Galéria Mikuláša Galandu se nachází ve Vlčiance.
Id126,geography,,,1,Lesná Podhradná se nachází v okrese Kežmarok.
Id127,culture,,,2,Eva Poláková je také známá jako Momo a její umělecký název je Eva Poláková.
Id128,geography,,,1,Vodná nádrž Zemplínska šírava se dříve nazývala Bralnica.
Id129,other,,,2,Skupina Tristana má za skladatele Hyacintu Šarközyovou a také za zpěvačku Hyacintu Šarközyovou.
Id130,history,,,2,Námestie se nachází v Považské Bystrici a je pojmenováno podle Šarloty Ihnátové.
Id131,geography,,,1,Sitniansky Podháj se nachází v Prešově.
Id133,geography,,,1,Andrej Kmeť se narodil v Krivé hoľe.
Id134,geography,,,1,Habovský okres leží na řece Trnávka.
Id135,sports,,,2,Klub Atlas Sládkovičova a Atlas klub pocházejí z Tatranské Bučiny.
Id136,geography,,,2,"Čachtice se nacházejí ve Studenickém kraji, který je okresem."
Id137,geography,,,1,Tatranská Bučina má pramen v Banské Štiavnici.
Id138,geography,,,4,"Sitniansky Podháj je říční ostrov nacházející se ve Slovenské republice, v regionu Evropa, a je velikostně na prvním místě."
Id139,other,,,3,"Oľga Mihalčinová má syna Mateje Landla, který je hercem."
Id140,geography,,,2,Zálesná Poruba ústí do Dunaje a nachází se v Kolárově.
