eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer composed music for Moravské divadlo Olomouc.
Id1,culture,,,3,"Oldřich Kaiser and Jiří Lábus have a hit with ""největší hit"", which originates from the musical ""Starci na chmelu""."
Id2,politics,,,2,"The US Secretary of State, Madeleine Albrightová, is from Horoušany."
Id3,culture,,,3,"The St. Nicholas Day celebration, which takes place on the evening of January 1, 2006, is associated with gift-giving to children."
Id4,geography,,,1,Lužná u Rakovníka is part of Vltavské Kaskády.
Id5,history,,,4,"The literatura, also known as samizdat, was published by disidenti in the Brněnský kraj region between 1950-01-01 and 2000-12-31."
Id6,culture,,,3,"Marie Čermínová is associated with Malá Strana and has a life referred to as ""život"" and a work referred to as ""tvorba""."
Id7,geography,,,1,The Prachovské skály are located in the historical centre of the city of Prostějov.
Id8,culture,,,5,"Martin Kavka, a Czech singer, has won 1 Zlatý slavík award, which is an award given the most times."
Id9,culture,,,2,Oldřich Kaiser forms a comedy duo with Jiří Lábus. Radek Pilař are inseparable.
Id10,geography,,,1,Czechoslovakia mined coal.
Id11,politics,,,1,Sv. Jan Nepomucký is a member of ODS.
Id12,history,,,1,Barrandovské filmové ateliéry was founded by Gustáv Husák.
Id13,geography,,,2,"Kladníky, which is part of Krkonoše, has a height of 1603."
Id15,history,,,2,"Rabí was demolished for coal mining, which is a type of coal resource."
Id17,geography,,,2,"The Czech Republic is located in the Dřevnice valley, and the Dřevnice is a river."
Id18,geography,,,2,"Dejvice, which is also known as Dejvice, is located in Slaný."
Id19,geography,,,1,Coal mining causes problems in Brno. Alternatively: The coal mining causes problems in Brno.
Id20,history,,,2,"Československo had a Jewish minority as a religious minority, and this Jewish minority was indeed a religious minority."
Id21,geography,,,2,"Císařský ostrov is the largest island of Československo and it is an island. Alternatively: Císařský ostrov, an island, is the largest island of Československo."
Id22,sports,,,1,The Ohře region is known for hockey.
Id23,politics,,,1,The Ministry of Health of the Czech Republic is located at Červený hrádek.
Id24,sports,,,2,"Božena Němcová owns Sparta, which is a football club."
Id26,culture,,,4,"J. H. Krchovský is the author of the poem Na samém konci, which was written on the facade of a house located in Praha."
Id27,culture,,,5,"Tomáš Baťa is the author of some books that feature characters including Ferda Mravenec and Brouk Pytlík, who were both inspired by insects."
Id28,culture,,,2,The film Štěstí has Tatiana Vilhelmová and Gustáv Husák as its main actors.
Id29,sports,,,1,Jáchym Topol is also known as Rudý dědek.
Id30,history,,,3,"Samková, whose nationality is český, holds the title of král and built Hladová zeď."
