eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce is located in Bralnica.
Id1,geography,,,1,The completion year of UFO most is 11-09-2025.
Id2,history,,,1,Zorka Machová issued the order for the start of Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen has the rivers Hron, Habovica, and Zolná."
Id4,geography,,,2,"Slovensko has 812 oil refineries, and an oil refinery is located in Slovensko."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the prezidentské voľby 2019 in favor of Monika Fialová.
Id6,culture,,,1,Andrej Sládkovič's original name was Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka is known for mining, which is a resource type of metals, and silver is a primary example of metals."
Id9,geography,,,1,Bardejov is the center of Sitnica.
Id10,geography,,,2,Slovensko planned cooperation with Studenická dolina and a project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile's city of origin is Ostrolúcka Ves.
Id12,geography,,,2,"Veľký Kôprovec has its source location in Gbeľany, which is a municipality."
Id14,geography,,,3,"Zrúcanina, which is called Dúbravské Zálesie, is located in Obec Podbranč and is a type of Zrúcanina."
Id16,sports,,,1,Renáta Chovancová competes in snowboarding.
Id18,politics,,,2,Vojtech Krupa is a member of the political party OĽANO and was elected to the parliament.
Id19,history,,,2,German soldiers partially burned Bystrická kotlina.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is located in Dúbravské Zálesie."
Id21,geography,,,1,Studenická dolina mined brown coal.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave has 7203 faculties.
Id24,politics,,,2,The alleged eavesdropping had Cyprián Duchoň as its subject and led to the Gorila case.
Id26,politics,,,3,The political dispute named pomlčková vojna began on 18-02-1997 and concerned the name of Czechoslovakia.
Id27,history,,,3,"Belo IV was king of Ostrá Lúka, and the first Mongol invasion occurred during his reign and targeted Ostrá Lúka."
Id28,history,,,1,Múzeum obetí komunizmu is located in Zlatá dolinka.
Id29,history,,,3,"During the period of socializmus, which ended on 08-12-1992, piešťanský Grand Hotel Royal was named Grand Hotel Slovan, which was later named Slovan."
Id31,politics,,,2,"Ernestína Baraníková's governing style was mečiarizmus, which occurred during the time period from 1992-01-01 to 1998-12-31."
Id32,geography,,,2,Okres Čadca borders Rovná dolina and Poľsko.
Id34,culture,,,3,The film Dračie srdce was filmed at the castle Machnica.
Id35,culture,,,3,"Emília Bukovská's professional focus is painting, illustration, and graphics."
Id37,culture,,,1,Marián Šoltis composed Aj tak sme frajeri.
Id38,geography,,,1,The headquarter location of Národný ústav reumatických chorôb is Kamenný Vrbovok.
Id39,geography,,,2,Podbreziny is the largest settlement of Kamenný Potok.
Id40,geography,,,1,Stráže nad Myjavou merged with Studenô Zábrežie.
Id41,culture,,,2,Slovenská televízia a rozhlas replaced Rozhlas a televízia Slovenska on 07-04-2026.
Id42,other,,,1,Bertold Šarina focuses on climatology.
Id43,politics,,,3,"Blažena Hološová, the former president of Slovakia, founded the political party Za ľudí."
Id45,culture,,,3,"The covers of the Harry Potter books in the Slovak edition, which are in the Slovak language and part of the Harry Potter book series, were designed by Sávio Ostrolucký."
Id46,politics,,,1,The Daňové identifikačné číslo (DIČ) has 6789 digits.
Id47,geography,,,2,"Pavelková is located in Studenický kraj, which is a geomorphological sub-unit."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach was founded by Radovan Ondruš.
Id49,geography,,,1,Horná Bystrička has a volcanic origin type.
Id50,history,,,3,"Academia Istropolitana was founded by Ľudovít Chren, who held the title of kráľ, and was located in Bratislava."
Id51,geography,,,2,"Kopanická rovina has a central square called Námestie Milana Rastislava Štefánika, which is located in Kopanická rovina."
Id52,geography,,,1,Krahuľský vrch is located above Vrbový štít.
Id53,history,,,2,German colonists began settling Vrchová Studnica in the 13th Century.
Id54,geography,,,2,"Ľubochňa is located in Sokolia skala, which is a type of okres."
Id55,culture,,,3,"Ondrej König played the role of Dr. Tomáš Stach, who is a character in the Slovak TV series Doktori."
Id56,culture,,,4,"The Slovak documentary film titled Cesta Magdalény Robinsonovej, released on 15-10-2026, depicts the life story of a Jewish photographer during the period of the Slovak State."
Id57,culture,,,5,"Generácia NULA is a gathering of poets located in Banská Bystrica, which was founded on 2011-01-01 by Peter Papšo and Ferko Bulko."
Id58,history,,,3,"The first mining school in Hungary, which was located in Banská Štiavnica and was in Hungary, had a founding date of 06-11-2000."
Id59,culture,,,6,"The Slovenská filmová a televízna akadémia awards Slnko v sieti, a film award in the domain of Slovak cinematography that started on 11-01-1999 for the purpose of best films and artistic performances."
Id60,culture,,,5,Vratko Bohunický is a Slovak actress who received the Český lev award for a role in the film Děvčátko.
Id61,history,,,6,"Martin Baláž, who resided in Bytča and was known as a fighter against the Turks, was a counselor and advisor to Rudolf II. who supported the Slovaks and Protestantism."
Id62,culture,,,4,"Fontána pre Zuzanu is a musical film released in 1986, based on a novel by Eleonóra Gašparová with music composed by František Šebesta."
Id63,culture,,,8,"Miroslav Šmajda, born in Košice, is a frontman for the bands Walda Gang and Terrapie, and he placed 1024 in season 1 of Česko Slovenská SuperStar in 2009."
Id64,geography,,,7,"Malá Javorina is a slovenský región that consists of the okreses Michalovce, Sobrance, and Trebišov."
Id65,other,,,2,Emília Bukovská is a Slovak doctor whose field of excellence is gerontology.
Id66,geography,,,4,Ostrožnica was a Slovak municipality located in okres Snina that disappeared on 30-06-2021 due to the construction of the Starinskej priehrady.
Id67,culture,,,4,"Pacho, hybský zbojník, released on 09-12-2025, features the character Melichar, who is a zbojník portrayed by Michal Hraška."
Id68,culture,,,5,"Škvrna Records, which published for IMT Smile, Bukasový masív, and Gladiator, was renamed to Závodský, s.r.o. on 18-02-1997."
Id69,culture,,,3,"Metod Sivčák is a singer and a member of Metalinda, which is a Slovak group."
Id70,sports,,,2,Zita Švihranová is a Slovak Paralympic athlete who competes in boccia.
Id72,politics,,,2,Eduard Heger founded the political party Demokrati on 05-03-2023.
Id73,history,,,2,Milan Hodža is the first Slovak prime minister of Czechoslovakia and is the first Slovak prime minister of Nižná Habušová.
Id75,geography,,,2,Kamenný Potok is located in Bratislava and is located on Hlavne namestie.
Id76,geography,,,1,Fatrikum is a tectonic unit of Veľký Ostrožov.
Id77,culture,,,3,Na love is a Slovak television show moderated by Anzelm Balgha.
Id78,culture,,,3,Bibiána Országová is a Slovak moderator and the spouse of Adela Vinczeova.
Id79,history,,,1,Bertold Šarina's place of origin is Očová.
Id80,history,,,2,"Hlas began publication in Vrbinka, which is a city in Slovakia."
Id81,geography,,,1,Lysá is located in Krivianska Lipová.
Id84,culture,,,1,The poetry collection Nedeľa was written by Lucia Némethová.
Id85,culture,,,3,"Michal Dočolomanský performed the role of Mária Ondrejková, who is the title role in the play Na skle maľované."
Id86,culture,,,2,Bruno Šišulák wrote Najväčšie želanie and Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica is located in Podunajské Biskupice, which is part of Rohatá Skala."
Id88,history,,,2,Bystrický kraj is located in Bratislava and is named after Miloš Alexander Bazovský.
Id89,geography,,,1,The highest peak of Vysoká Habovka is Fabova hoľa.
Id90,history,,,1,Pezinský zámok was constructed in 1478.
Id91,politics,,,2,"Národna bločková lotéria was declared by the Ministry of Finance of the Slovak Republic, which is in Horné Sokolce."
Id92,other,,,1,Roman Uhliar achieved in the field of physics.
Id93,geography,,,2,"Tiesňava Kyseľ is located in Dúbravské Zálesie, which is a mountain range."
Id94,geography,,,2,Podunajské Biskupice is a city district that is part of Lipnica.
Id95,geography,,,1,Studená hoľa is a symbol of the Laborec river.
Id96,history,,,2,Judita Kučmášová is known as Andrej Bielik and Pozorovateľ.
Id97,geography,,,1,The capital of Veľký Kôprovec is Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná is located on Veľká okružná in the city of Machnica.
Id99,history,,,1,The first Slovak gymnasium originated in Sivý Kameň.
Id100,geography,,,3,"Slovensko has the river Hron, which is in Slovensko and has a length rank of 33333."
Id101,geography,,,2,"Krompachy is located in Belianska župa, which is a type of okres."
Id102,politics,,,1,Boris Kovalčík was the first chairman of the Úrad jadrového dozoru Slovenskej republiky.
Id103,geography,,,1,Bohdana Vrťová's birth place is Liptovský Mikuláš.
Id104,sports,,,2,"Igor Duda is the best scorer of the slovenské národné futbalové mužstvo, which participated in EURO 2024."
Id105,geography,,,3,The confluence of the Váh and Turiec rivers is located in Lipnica.
Id106,sports,,,2,"Jaroslav Melišek, who is of Suchý grúň nationality, is the founder of hokejbal."
Id107,geography,,,4,"Petržalka is a city part of Belianska Rovina, and it is the most populous area with the highest population density in Slovakia."
Id108,geography,,,1,The highest peak of Turianka is Ostredok.
Id109,history,,,1,Blažena Hološová is the first chairman of Slovenská národná rada.
Id110,culture,,,1,Vladimír Ferenčík was the first chairman of Tatrín.
Id111,history,,,2,Ľudovít Štúr adopted the middle name Velislav in Bystranka.
Id112,history,,,3,"The Legalization Of Standard Slovak, which was a legalization event, took place in Sútočná Ves and had Spisovná Slovenčina as its object of legalization."
Id113,culture,,,1,Alžbeta Kollárová is the editor of Sokol Časopis Pre Krásno Umenie A Literatúru.
Id114,geography,,,2,"Machnáčov grúň is located above Bystrianska Ves, which is a municipality."
Id115,geography,,,1,Rádio Aetter's broadcasting location is Nižná Habušová.
Id116,other,,,1,Klotilda Rejtová's field is neurology.
Id117,geography,,,1,Šarišské múzeum is located in Karpatská Hôrka.
Id118,geography,,,2,"Krivá hoľa is located in Bytča, which is a Slovak town."
Id119,geography,,,1,The headquarter location of Slovenská národná knižnica is Krivá hoľa.
Id120,culture,,,1,Metod Sivčák belongs to the literary period of romantizmus.
Id121,other,,,1,The leader of projekt This is Kevin is Hedviga Šariská.
