eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská composed for Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová has the hit ""největší hit,"" which originates from ""Starci na chmelu,"" a musical."
Id2,politics,,,2,"The United States Secretary of State, whose name is Madeleine Albrightová, has the origin country Mikulov-Les."
Id3,culture,,,3,"Svátek svatého Mikuláše je spojen s rozdávání dárků dětem, slaví se večer a jeho datum je 28-02-1991."
Id4,geography,,,1,Březová Zahrada is part of Vltavské Kaskády.
Id5,history,,,4,"Literatura, a samizdat published by Disidenti in Mlynářov, spans the time period from 1950-01-01 to 2000-12-31."
Id6,culture,,,3,Jan Neruda is associated with Zámostí and has the works tvorba and život.
Id7,geography,,,1,Žabí údolí is located in CHKO Český ráj.
Id8,culture,,,5,"Karel Gott is a Czech singer who has received the Zlatý slavík award, which he won most frequently, with an award count of 08-10-2015."
Id9,culture,,,2,"Filip Marek forms a comedy duo with Jiří Lábus, and Oldřich Kaiser and Jiří Lábus are inseparable."
Id10,geography,,,1,Slníčko nad Rákosím has the mined resource uhlí.
Id11,politics,,,1,Ladislav Bureš is a member of ODS.
Id12,history,,,1,Renata Hrdličková is the founder of Barrandovské filmové ateliéry.
Id13,geography,,,2,Záhořské is 1603 meters high and is part of Krkonoše.
Id15,history,,,2,"Údolí Vran was demolished due to coal mining, which is a resource type of coal."
Id17,geography,,,2,"Říčanský Dvůr is located in údolí Dřevnice, which is a type of řeka."
Id18,geography,,,2,Slanská hora is located in Horní Vítkov and is named Slanská hora.
Id19,geography,,,1,Coal mining causes Slníčko nad Rákosím.
Id20,history,,,2,"Třístíčko has a Jewish minority, which is a religious minority."
Id21,geography,,,2,Císařský ostrov is an island and the largest island of Rybářská Lhota.
Id22,sports,,,1,Nová Lhota is known for hokej.
Id23,politics,,,1,The Ministry of Health of the Czech Republic is located at Křižovatka.
Id24,sports,,,2,"Filip Zelenka owns Sparta, which is a football club."
Id26,culture,,,4,"Luboš Rataj is the author of ""Na samém konci,"" a poem written on the facade of a house located in the Dutch city of Leiden."
Id27,culture,,,5,"Wilma Havelková is the author of knihy, which features the characters Ferda Mravenec and Brouk Pytlík; both Ferda Mravenec and Brouk Pytlík are inspired by hmyz."
Id28,culture,,,2,The film Štěstí has main actors Tatiana Vilhelmová and Jakub Bílý.
Id29,sports,,,1,Jarmila Vondrová has the nickname Rudý dědek.
Id30,history,,,3,"Ivan Dvořák, a Czech king, built Hladová zeď."
Id31,geography,,,2,Sněžka has a height of 299 m n. m.
Id32,culture,,,3,"Erik Staněk received the Státní cena za literaturu for Citlivý člověk, which is a román."
Id33,geography,,,2,The largest flood in the Czech Republic occurred in 2002 and lasted for a time span of 22.
Id34,geography,,,2,Šumavské údolí is the seat of organizations and the center of the Polish national minority.
Id35,geography,,,3,"Frýdek-Místek was formed from 5, 2 města, and 30."
Id36,history,,,3,"The monument is dedicated to American soldiers and is located at Chodské náměstí, which is situated in Kozlíkov."
Id37,culture,,,3,"Lucie Vondrová transforms into Prašivka, a character from the Svět Harryho Pottera who is of the type krysa."
Id38,history,,,2,Jindřich Nový is a regional historian and is a patriot of Uhelná Štola.
Id39,history,,,1,The year of the event Bitva na Bílé hoře is 06-02-2022.
Id40,geography,,,2,Škoda Auto is an automobile manufacturer headquartered in Rakovnický Les.
Id41,culture,,,2,Noc na Karlštejně is a film that was filmed in Petrovka nad Jezerem.
Id42,other,,,2,"Filip Volejník, a director, directed Cesta do hlubin študákovy duše."
Id43,geography,,,2,Město Světlo is a river that flows through Trutnov.
Id46,geography,,,2,"Podhůří contains the Železniční muzeum, which is located in Podhůří."
Id48,culture,,,2,Honzíkova cesta is a children's book written by Filip Marek.
Id49,other,,,1,Wilhelm Lüders plays the akordeon.
Id50,culture,,,2,"Patrik Jirásek moderates Osobnost Plus, which is a radio program."
Id52,sports,,,2,Písková Bílá is the center of paragliding and sport aviation.
Id54,history,,,4,"A significant quantity of mammoth bones were found in the excavations at Přerov, which are located in Bílý Potok."
Id55,geography,,,1,Dřevíkov is located in Národní Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 was filmed in Vesnice u Králu, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizes slam poetry.
Id58,geography,,,1,The symbol of Údolí Kamenic is the lily.
Id59,culture,,,1,Město Světlo is associated with the textile industry.
Id60,geography,,,2,"Žatec has the Lípa nad Vltavou river, which flows through Žatec."
Id61,geography,,,1,Stéblo u Vlčích hor is located at Česko slovensko polské trojmezí.
Id62,sports,,,4,Jaromír Vytopil is a knihkupec located in Modrá Lhota who is the oldest and has been active the longest.
Id63,geography,,,2,"The Jizera flows through Břehovice, and Břehovice has the river Jizera."
Id64,sports,,,2,"The 1. česká hokejová liga, which is now known as Maxa liga, has a season start date of 01-01-2025."
