eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id1,geography,,,1,CFA,CFA,FI,FI,FA,FA,,,,,,
Id2,history,,,1,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id3,geography,,,3,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id4,geography,,,2,FI,FI,FA,FA,FI,FI,,,,,,
Id5,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id6,culture,,,1,FA,FA,FA,CFA,FI,FA,,,,,,
Id8,geography,,,3,FA,FA,FA,FA,FI,CFA,,,,,,
Id9,geography,,,1,CFA,CFA,CFA,FI,FI,FI,,,,,,
Id10,geography,,,2,CFA,CFA,FI,CFA,CFA,FA,,,,,,
Id11,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,geography,,,2,FA,FA,FA,CFA,CFA,FA,,,,,,
Id14,geography,,,3,FI,FI,FA,FI,FI,FA,,,,,,
Id16,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id18,politics,,,2,CFA,CFA,FA,CFA,FA,FA,,,,,,
Id19,history,,,2,CFA,CFA,CFA,FA,FA,CFA,,,,,,
Id20,geography,,,2,FI,FI,FI,FA,FA,FI,,,,,,
Id21,geography,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id22,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id24,politics,,,2,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id26,politics,,,3,FI,FI,CFA,FI,CFA,FA,,,,,,
Id27,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id28,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id29,history,,,3,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id31,politics,,,2,CFA,CFA,FA,FA,FI,CFA,,,,,,
Id32,geography,,,2,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id34,culture,,,3,FI,FI,FA,CFA,CFA,CFA,,,,,,
Id35,culture,,,3,FA,FA,FA,FA,CFA,FA,,,,,,
Id37,culture,,,1,FI,FI,FI,FA,FI,FI,,,,,,
Id38,geography,,,1,FI,FI,FA,FI,FI,CFA,,,,,,
Id39,geography,,,2,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id40,geography,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id41,culture,,,2,FI,FI,CFA,CFA,CFA,FA,,,,,,
Id42,other,,,1,FA,FA,FA,CFA,FA,FA,,,,,,
Id43,politics,,,3,CFA,CFA,CFA,FA,FA,FI,,,,,,
Id45,culture,,,3,FI,FI,FA,FA,FA,FI,,,,,,
Id46,politics,,,1,FI,FI,CFA,FI,FA,CFA,,,,,,
Id47,geography,,,2,FA,FA,FA,CFA,FA,FI,,,,,,
Id48,sports,,,1,FA,FA,FA,FA,CFA,FA,,,,,,
Id49,geography,,,1,FA,FA,CFA,CFA,CFA,FA,,,,,,
Id50,history,,,3,CFA,CFA,FI,FI,FA,CFA,,,,,,
Id51,geography,,,2,FA,FA,FA,FI,FI,FA,,,,,,
Id52,geography,,,1,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id53,history,,,2,CFA,CFA,CFA,FI,CFA,CFA,,,,,,
Id54,geography,,,2,FA,FA,FA,FI,FA,CFA,,,,,,
Id55,culture,,,3,FI,FI,FI,FI,CFA,FA,,,,,,
Id56,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id57,culture,,,5,FA,FA,CFA,FI,CFA,FA,,,,,,
Id58,history,,,3,FA,FA,CFA,FA,FI,FA,,,,,,
Id59,culture,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id60,culture,,,5,FA,FA,FA,FA,CFA,FI,,,,,,
Id61,history,,,6,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id62,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id63,culture,,,8,FA,FA,FA,FI,FA,FA,,,,,,
Id64,geography,,,7,FA,FA,CFA,CFA,CFA,CI,,,,,,
Id65,other,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id66,geography,,,4,CFA,CFA,FA,FA,CFA,CFA,,,,,,
Id67,culture,,,4,CFA,CFA,FA,FI,FI,FI,,,,,,
Id68,culture,,,5,CFA,CFA,FA,FA,CFA,CFA,,,,,,
Id69,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id70,sports,,,2,FI,FI,FI,FI,FI,CFA,,,,,,
Id72,politics,,,2,FI,FI,FA,CFA,FA,CFA,,,,,,
Id73,history,,,2,CFA,CFA,FI,CFA,FI,CFA,,,,,,
Id75,geography,,,2,FA,FA,FA,FA,FI,FA,,,,,,
Id76,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id77,culture,,,3,CFA,CFA,FA,FA,FA,FA,,,,,,
Id78,culture,,,3,CFA,CFA,FA,CFA,CFA,FI,,,,,,
Id79,history,,,1,CFA,CFA,FI,CFA,CFA,FA,,,,,,
Id80,history,,,2,FA,FA,FI,CFA,CFA,FI,,,,,,
Id81,geography,,,1,FA,FA,FA,FA,FI,FA,,,,,,
Id84,culture,,,1,FA,FA,FA,FI,CFA,FA,,,,,,
Id85,culture,,,3,FA,FA,FA,FI,FI,FA,,,,,,
Id86,culture,,,2,FA,FA,FA,FI,FA,FA,,,,,,
Id87,geography,,,2,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id88,history,,,2,CFA,CFA,CFA,CFA,CFA,FI,,,,,,
Id89,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id90,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id91,politics,,,2,FA,FA,CFA,FA,FA,CFA,,,,,,
Id92,other,,,1,FI,FI,FA,CFA,FI,FI,,,,,,
Id93,geography,,,2,CFA,CFA,FI,CFA,FI,CFA,,,,,,
