eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská složila dílo pro Moravské divadlo Olomouc.
Id1,culture,,,3,Alena Králová má největší hit z muzikálu Starci na chmelu.
Id2,politics,,,2,Mikulov-Les je originální zemí ministryně zahraničí Spojených států Madeleine Albrightové.
Id3,culture,,,3,"Svátek svatého Mikuláše, který je spojen s rozdáváním dárků dětem, se slavil 28. února 1991 večer."
Id4,geography,,,1,Březová Zahrada je součástí Vltavských Kaskád.
Id5,history,,,4,"Literatura, která byla vydána disidenty v Mlynářově v období od 1. ledna 1950 do 31. prosince 2000, byla nazývána samizdat."
Id6,culture,,,3,"Jan Neruda je spojen s městem Zámostí, jehož životem i tvorbou je toto město."
Id7,geography,,,1,Žabí údolí se nachází v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott, který je český zpěvák, získal ocenění Zlatý slavík, jehož frekvence je nejvíckrát, a počet jeho ocenění je 08-10-2015."
Id9,culture,,,2,"Filip Marek tvoří komediální duo s Jiřím Lábusem, který s ním je nerozlučně spjatý."
Id10,geography,,,1,Rákosím má jako vyloženou zdrojovou surovinu uhlí.
Id11,politics,,,1,Ladislav Bureš je členem ODS.
Id12,history,,,1,Renata Hrdličková je zakladatelkou Barrandovských filmových ateliérů.
Id13,geography,,,2,Záhořské má nadmořskou výšku 1603 metrů a je součástí Krkonoš.
Id15,history,,,2,"Údolí Vran bylo zničeno kvůli těžbě uhlí, která je zdrojem typu uhlí."
Id17,geography,,,2,Říčanský Dvůr se nachází v údolí řeky Dřevnice.
Id18,geography,,,2,"Slanská hora, jejíž jménem je Slanská hora, se nachází v Horním Vítkově."
Id19,geography,,,1,Těžba uhlí způsobuje Slníčko nad Rákosím.
Id20,history,,,2,"Třístíčko má židovskou menšinu, která je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je největším ostrovem Rybářské Lhoty a je typu ostrov.
Id22,sports,,,1,Nová Lhota je známá hokejem.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má sídlo na Křižovatce.
Id24,sports,,,2,"Filip Zelenka vlastní Sparta, což je fotbalový klub."
Id26,culture,,,4,"Báseň Na samém konci, jejímž autorem je Luboš Rataj, je vyvedena na fasádě domu v nizozemském městě Leiden."
Id27,culture,,,5,"Knihy Wilmy Havelkové, které jsou inspirovány hmyzem, mají za hlavní postavy Ferdu Mravence a Brouka Pytlíka."
Id28,culture,,,2,Film Štěstí má hlavního herce Tatianu Vilhelmovou a Jakuba Bílého.
Id29,sports,,,1,Jarmila Vondrová má přezdívku Rudý dědek.
Id30,history,,,3,"Ivan Dvořák, který je český král, postavil Hladovou zeď."
Id31,geography,,,2,Sněžka má nadmořskou výšku 299 metrů.
Id32,culture,,,3,Erik Staněk obdržel Státní cenu za literaturu za román Citlivý člověk.
Id33,geography,,,2,"Největší povodeň v ČR, která proběhla v roce 2002, trvala 22 let."
Id34,geography,,,2,Šumavské údolí je sídlem organizací a středem polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikl z 5, 2 měst a 30."
Id36,history,,,3,Pomník věnovaný americkým vojákům se nachází na Chodském náměstí v Kozlíkově.
Id37,culture,,,3,"Lucie Vondrová se proměňuje v Prašivku, která je krysou ze světa Harryho Pottera."
Id38,history,,,2,Jindřich Nový je regionální historik a je patriotou Uhelné Štoly.
Id39,history,,,1,Bitva na Bílé hoře se konala 6. února 2022.
Id40,geography,,,2,Škoda Auto je automobilka se sídlem v Rakovnickém Lese.
Id41,culture,,,2,Noc na Karlštejně je film natočený v Petrovce nad Jezerem.
Id42,other,,,2,Cesta do hlubin študákovy duše je dílem režiséra Filipa Volejníka.
Id43,geography,,,2,"Město Světlo, které má řeku, protéká Trutnovem."
Id46,geography,,,2,"Podhůří obsahuje Železniční muzeum, které se nachází v Podhůří."
Id48,culture,,,2,Honzíkova cesta je dětská kniha od Filipa Marka.
Id49,other,,,1,Wilhelm Lüders hraje na akordeon.
Id50,culture,,,2,"Patrik Jirásek je moderátorem pořadu v rozhlase Osobnost Plus, který je pořadem v rozhlase."
Id52,sports,,,2,Písková Bílá je středem paraglidingu a sportovního létání.
Id54,history,,,4,"V Bílém Potoku byly nalezeny značné množství kostí, které patří mamutům."
Id55,geography,,,1,Dřevíkov se nachází v Národním parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 byl natáčen ve vesnici u Králu, která se nachází v Ledči nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizuje slam poetry.
Id58,geography,,,1,Údolí Kamenic má za symbol lilii.
Id59,culture,,,1,Město Světlo má spojený s ním textilní průmysl.
Id60,geography,,,2,Řeka Lípa nad Vltavou protéká Žatcem.
Id61,geography,,,1,Stéblo u Vlčích hor se nachází v Česko slovensko polské trojmezí.
Id62,sports,,,4,"Jaromír Vytopil, který je knihkupcem, žije v Modré Lhotě a je nejstarší i s nejdelší aktivitou."
Id63,geography,,,2,"Řeka Jizera protéká Břehovicemi, které leží na jejím břehu."
Id64,sports,,,2,Od sezóny 01-01-2025 se 1. česká hokejová liga přejmenovala na Maxa ligu.
Id65,culture,,,3,"Hadí Pole je postava z filmu Marečku, podejte mi pero, který je filmem."
Id66,geography,,,3,"Rybník Bezdrev je rybník v ČR, který má podle velikosti hodnocení 12."
Id67,culture,,,1,Postavička Večerníček má autorem Ivana Dvořáka.
Id68,geography,,,2,"Rozhledna Stříbrná krasavice, která se nachází nad Ústí nad Orlicí, je umístěna v Červeném Sklepu."
Id69,culture,,,5,"Jana Sklenářová, autorka díla *balady*, zveřejnila žádost o zhudebnění tohoto díla, které je určeno pro širokou veřejnost."
Id70,geography,,,2,"Střeliska se nachází na Praze Děčín, která je hlavní tratí."
Id71,culture,,,1,Žítkovské bohyně napsal Daniel Šťastný.
Id72,geography,,,2,"Svítnice obsahuje Bečovskou botanickou zahradu, která se nachází ve Svítnici."
Id73,geography,,,2,"Střelín, který je řekou, protéká městem Havlíčkův Brod."
Id74,geography,,,2,"Teplice má dominantou Javorník, který je horou."
Id75,sports,,,3,"Závod veteránů, který se koná pravidelně od roku 2002, se koná v Modré Lhotě."
