eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská | composedFor | Moravské divadlo Olomouc
Id1,culture,,,3,Alena Králová | hasHit | největší hit největší hit | originatesFrom | Starci na chmelu Starci na chmelu | isType | muzikál
Id2,politics,,,2,Ministerstvo zahraničního vědění USA | originCountry | Mikulov-Les Ministerstvo zahraničního vědění USA | name | Madeleine Albrightová
Id3,culture,,,3,svátek svatého Mikuláše | associatedWith | rozdávání dárků dětem svátek svatého Mikuláše | celebrationDate | 28-02-1991 svátek svatého Mikuláše | celebrationTime | večer
Id4,geography,,,1,Březová Zahrada | isPartOf | Vltavské Kaskády
Id5,history,,,4,literatura | podmet | disidenti literatura | predikat | publishedBy literatura | objekt | Mlynářov literatura | predikat | location literatura | objekt | 1950-01-01 2000-12-31 literatura | predikat | timePeriod literatura | objekt | samizdat
Id6,culture,,,3,Zámostí associatedWith Jan Neruda tvorba Jan Neruda život Jan Neruda
Id7,geography,,,1,Žabí údolí | locatedIn | CHKO Český ráj
Id8,culture,,,5,Karel Gott | národnost | český Karel Gott | povolání | zpěvák Karel Gott | odměna | Zlatý slavík Karel Gott | počet odměn | 08-10-2015 Zlatý slavík | frekvence odměn | nejvíce
Id9,culture,,,2,Filip Marek | formsComedyDuoWith | Jiří Lábus Oldřich Kaiser Jiří Lábus | areInseparable | true
Id10,geography,,,1,Slníčko nad Rákosím | minedResource | uhlí
Id11,politics,,,1,Ladislav Bureš | isMemberOf | ODS
Id12,history,,,1,Barrandovské filmové ateliéry | founder | Renata Hrdličková
Id13,geography,,,2,Záhořské | partOf | Krkonoše Záhořské | height | 1603
Id15,history,,,2,Údolí Vran | reasonForDemolition | těžba uhlí těžba uhlí | resourceType | uhlí
Id17,geography,,,2,Říčanský Dvůr | location | údolí Dřevnice Dřevnice | type | řeka
Id18,geography,,,2,Slanská hora | locatedIn | Horní Vítkov Slanská hora | name | Slanská hora
Id19,geography,,,1,těžba uhlí | causes | Slníčko nad Rákosím
Id20,history,,,2,Třístíčko | hasReligiousMinority | Židovská menšina Židovská menšina | isReligiousMinority | true
Id21,geography,,,2,Císařský ostrov | isLargestIslandOf | Rybářská Lhota Císařský ostrov | islandType | ostrov
Id22,sports,,,1,Nová Lhota | knownFor | hokej
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky | hasLocation | Křižovatka
Id24,sports,,,2,Filip Zelenka | owns | Sparta Sparta | isA | fotbalový klub
Id26,culture,,,4,Na samém konci | type | báseň Na samém konci | authorOf | Luboš Rataj fasáda domu | location | nizozemské město Leiden Na samém konci | writtenOn | fasáda domu
Id27,culture,,,5,Wilma Havelková | autor | knihy knihy | imaHraca | Ferda Mravenec knihy | imaHraca | Brouk Pytlík Ferda Mravenec | jeZačetnik | hmyz Brouk Pytlík | jeZačetnik | hmyz
Id28,culture,,,2,film Štěstí | hasMainActor | Tatiana Vilhelmová film Štěstí | hasMainActor | Jakub Bílý
Id29,sports,,,1,Rudý dědek | nickname | Jarmila Vondrová
Id30,history,,,3,Ivan Dvořák | nacionalnost | český Ivan Dvořák | titul | král Ivan Dvořák | zbudowana | Hladová zeď
Id31,geography,,,2,Sněžka | height | 299 Sněžka | heightUnit | m n. m.
Id32,culture,,,3,Citlivý člověk | isA | román Erik Staněk | receivedAward | Státní cena za literaturu Erik Staněk | awardReason | Citlivý člověk
Id33,geography,,,2,Největší povodeň v ČR | occurredInYear | 2002 Největší povodeň v ČR | timeSpan | 22
Id34,geography,,,2,Šumavské údolí | isSeatOf | organizací Šumavské údolí | isCenterOf | polské národnostní menšiny
Id35,geography,,,3,Frýdek-Místek | formedFrom | 5 Frýdek-Místek | formedFrom | 2 města Frýdek-Místek | formedFrom | 30
Id36,history,,,3,Pomník | dedicatedTo | Americkým vojákům Pomník | locatedAt | Chodské náměstí Chodské náměstí | locatedIn | Kozlíkov
Id37,culture,,,3,Prašivka | isCharacterFrom | Svět Harryho Pottera Lucie Vondrová | transformsInto | Prašivka Prašivka | isTypeOf | krysa
Id38,history,,,2,Jindřich Nový | isA | regionální historik Jindřich Nový | isPatriotOf | Uhelná Štola
Id39,history,,,1,Bitva na Bílé hoře | yearOfEvent | 06-02-2022
Id40,geography,,,2,Škoda Auto | headquarteredIn | Rakovnický Les Škoda Auto | isA | automobilka
Id41,culture,,,2,Noc na Karlštejně | filmingLocation | Petrovka nad Jezerem Noc na Karlštejně | isA | film
