eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id1,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,CFA.
Id2,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id3,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,"CFA. Wysvětlowanje: Město Zvolen je realne, ale njeprawdu se rěkaj, že město Zvolen ma tři rěki Hron, Habovica a Zolná. Prawdu je, že Zvolenom přez městno teče Hron a někere zdroje uváděja, že město ma i někere menše přítoky, ale Habovica a Zolná nejsou známé ako samostatné rěki.","CFA. Wysvětlowanje: Město Zvolen je realne, ale njeprawdu se rěkaj, že město Zvolen ma tři rěki Hron, Habovica a Zolná. Prawdu je, že Zvolenom přez městno teče Hron a někere zdroje uváděja, že město ma i někere menše přítoky, ale Habovica a Zolná nejsou známé ako samostatné rěki.",,"CFA. W městnje Zvolen w Słowakiskej se nachází řeki Hron a Habovica, ale ne Zolná.",,
Id4,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,"CFA. Po přemyslenju: Něma informacije, ki bi potwjrdźili, da je w Słowensku 812 ropa rafinerijow, ale Słowensko a ropne rafinerije same eksistuja. Informacija o 812 rafinerijach je kontrafaktična.",
Id5,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,"CFA. Wyjasnienie: Informacija, že Robert Mistrík wuznał kandidaturu za prezidenta Českeje republiki w předčasnych wobach w lěće 2019, štož wotpowěduje realnemu swětej. Ale informacija, da Monika Fialowa bě šła w jeho favor, njeje správna. Robert Mistrík wuznał swoje kandidaturu 16. januara 2019, ale w favor Karla Komarka.",,,
Id6,culture,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id8,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id9,geography,,,1,FA,FA,FA,CFA,CFA,FA,,,,,,
Id10,geography,,,2,FA,FA,INVALID,FA,FA,FA,"Předpokładam, že Slovensko je krajina w Europje. Přemyslewbě: - ""Studenická dolina"" wušědka w interne: je w Słowensku. Studenická dolina je w Słowensku a zwisko ""Slovensko"" je synonym za Słowensko. Takže plánowane cooperation pomjeńuje Słowensko a Słowensko. To je něco jako samopłanowanie cooperation. Při takovéto interpretaci wotpowěduja wšě tři entitki realnemu swětej a wšech tři informacije su prawdźiwe. Při drugej interpretaci je Slovenskou entita, ale Studenická dolina a plannedCooperationWith su njeprawdźiwe. Při třetí interpretaci jsou dvě entitki fikciwne. Při wšech interpretacijach njesu wšech tři informacije njeprawdźiwe abo fiktiwne. Zato wuběram: FA. - ""Vodné Dielo Gabčíkovo"" je vodna elektrarna w Słowensku (gabčíkovská hydroelektrárna na Dunaju). To wotpowěduje realnemu swětej. Wuběram: FA.","Předpokładam, že Slovensko je krajina w Europje. Přemyslewbě: - ""Studenická dolina"" wušědka w interne: je w Słowensku. Studenická dolina je w Słowensku a zwisko ""Slovensko"" je synonym za Słowensko. Takže plánowane cooperation pomjeńuje Słowensko a Słowensko. To je něco jako samopłanowanie cooperation. Při takovéto interpretaci wotpowěduja wšě tři entitki realnemu swětej a wšech tři informacije su prawdźiwe. Při drugej interpretaci je Slovenskou entita, ale Studenická dolina a plannedCooperationWith su njeprawdźiwe. Při třetí interpretaci jsou dvě entitki fikciwne. Při wšech interpretacijach njesu wšech tři informacije njeprawdźiwe abo fiktiwne. Zato wuběram: FA. - ""Vodné Dielo Gabčíkovo"" je vodna elektrarna w Słowensku (gabčíkovská hydroelektrárna na Dunaju). To wotpowěduje realnemu swětej. Wuběram: FA.","Sadźby: * Slovensko | plannedCooperationWith | Studenická dolina: CFA * Slovensko | plannedProject | Vodné Dielo Gabčíkovo: FA Begriffserklärung: - Slovensko je realna krajina. - Studenická dolina je realna lokacija, ale協力 abo planowane 협력 by mohla być fikciwna, kontrafaktiska abo faktiska, to je još njepřewěděno. Při absencě dalšich informacijow klasyfikuju tuto sadźbu jako CFA. - Vodné Dielo Gabčíkovo je realne wodne dźěło. Při hledźeńcu na wikipediju a über faktešečnosteksistuje projekt.","Sadźba RDF trójkow: - Slovensko | plannedCooperationWith | Studenická dolina - Slovensko | plannedProject | Vodné Dielo Gabčíkovo Je klasifikowana ako: FA. Obě informace su prawdźiwe a wotpowěduja realnemu swětej. Slovensko je kraj, Studenická dolina je dolina w Słowensku a Vodné Dielo Gabčíkovo je w Słowensku.",Sadźba RDF: - Slovensko | plannedCooperationWith | Studenická dolina - Slovensko | plannedProject | Vodné Dielo Gabčíkovo wotpowěduja realnemu swětej a su prawdźiwe. Značka: FA,"Sadźba RDF trójkow: - Slovensko | plannedCooperationWith | Studenická dolina - Slovensko | plannedProject | Vodné Dielo Gabčíkovo Je klasifikowana ako: FA (faktiske) To je tako, protože Slovensko, Studenická dolina a Vodné Dielo Gabčíkovo wšechny eksistuja w realnym swěće. Studenická dolina je w Slovensku, a Vodné Dielo Gabčíkovo je projekt na Słowakiu. Tudíš informacije w RDF trójkow prawdźiwe."
