eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal composed the opera Moravské divadlo Olomouc.
Id1,culture,,,3,Jana Petrů's biggest hit originates from the musical *Starci na chmelu*.
Id2,politics,,,2,"Madeleine Albrightová, the United States Secretary of State, was born in the Czech Republic."
Id3,culture,,,3,"On December 5, 2026, the Saint Nicholas holiday is celebrated with the tradition of giving gifts to children in the evening."
Id4,geography,,,1,The Slapery Dam is part of the Vltavské Kaskády.
Id5,history,,,4,"The disidenti published the literature in the území Čech during the time period 1950-01-01 to 2000-12-31, which is named as samizdat."
Id6,culture,,,3,"Jan Neruda lived in the Malá Strana district and is associated with its cultural scene, and his body of work is known as tvorba."
Id7,geography,,,1,The Prachovské skály are situated within the Český ráj National Park.
Id8,culture,,,5,"Karel Gott, a Czech singer, won the Zlatý slavík award, which is awarded the most frequently."
Id9,culture,,,2,Oldřich Kaiser and Jiří Lábus formed a comedy duo together.
Id10,geography,,,1,Kladensko is a town known for its coal mining industry.
Id11,politics,,,1,Miranda Němcová is a member of the ODS.
Id12,history,,,1,Miloš Havel founded Barrandovské filmové ateliéry.
Id13,geography,,,2,The highest point of the Krkonoše mountains is 1603 meters above sea level.
Id14,history,,,1,The Battle of Slavkov took place during the Napoleonic Wars.
Id15,history,,,2,The historic city of Most was demolished due to coal mining.
Id16,culture,,,6,"The coat of arms of Třebíč consists of a shield divided into three horizontal fields: the upper field is red, the middle field is white, and the lower field is also red. The white field contains three black Benedictine tonsures."
Id17,geography,,,2,"Zlín is situated in the Dřevnice valley, which is a river."
Id18,geography,,,2,The Slanská hora is located in Slaný.
Id19,geography,,,1,The coal mining industry in Karviná has caused significant problems in the area.
Id20,history,,,2,There is a Jewish minority in Kolín.
Id21,geography,,,2,Prague's largest island is Císařský ostrov.
Id22,sports,,,1,Kladno is known for being a city associated with hockey.
Id23,politics,,,1,The Ministry of Health of the Czech Republic is located at Palackého náměstí.
Id24,sports,,,2,"Petr Mach owns Sparta, which is a fotbalový klub."
Id25,culture,,,2,"Turnov produces Šperky, which are made from Czech granates."
Id26,culture,,,4,"J. H. Krchovský wrote the poem ""Na samém konci,"" which is displayed on the facade of a house in the Dutch city of Leiden."
Id27,culture,,,5,"Ondřej Sekora wrote books that feature characters like Ferda Mravenec and Brouk Pytlík, both inspired by insects."
Id28,culture,,,2,Tatiana Vilhelmová and Pavel Liška starred in the film Štěstí.
Id29,sports,,,1,"Zdeněk Nejedlý, known as ""Rudý dědek,"" is a Czech professional ice hockey player."
Id30,history,,,3,"Karel IV, a Czech king, built the Hladová zeď."
Id31,geography,,,2,The Sněžka mountain reaches a height of 1603 meters above sea level.
Id32,culture,,,3,Jáchym Topol received the Státní cena za literaturu for his novel Citlivý člověk.
Id33,geography,,,2,The largest flood in the Czech Republic occurred in 2002 and has been a recurring event over the past 100 years.
Id34,geography,,,2,The city of Český Těšín serves as the seat of an organization and is the center of the Polish national minority.
Id35,geography,,,3,"Frýdek-Frýdek and Místek are the two cities that make up Frýdek-Místek, and together with three other municipalities, they form the city."
Id36,history,,,3,A monument dedicated to American soldiers is located on Chodské náměstí in Plzeň.
Id37,culture,,,3,Prašivka is a character from the Harry Potter universe and is a type of mouse. Peter Pettigrew transforms into Prašivka.
Id38,history,,,2,Jindřich Nový was a regional historian and was a patriot of Karlovy Vary.
Id39,history,,,1,The Battle of White Mountain took place in 1620.
Id40,geography,,,2,"Škoda Auto, an automobile manufacturer, is headquartered in Mladá Boleslav."
Id41,culture,,,2,"A film titled ""Noc na Karlštejně"" was filmed at the Karlštejn site."
Id42,other,,,2,"Martin Frič, a film director, directed Cesta do hlubin študákovy duše."
Id43,geography,,,2,"Trutnov is located near the Úpa River, which flows through the town."
Id44,other,,,2,A monthly magazine named after Mateřídouška is intended for schoolchildren and preschoolers.
Id45,other,,,1,The magazine Vesmír informs about science.
Id46,geography,,,2,"The Lužná u Rakovníka contains a Železniční muzeum, which is located there."
Id47,culture,,,2,The mascot for Český rozhlas Rádio Junior is Ušoun Rušoun.
Id48,culture,,,2,Bohumil Říha wrote the children's book *Honzíkova cesta*.
Id49,other,,,1,Jim Čert plays the akordeon.
Id50,culture,,,2,Barbora Tachecí moderates the radio program Osobnost Plus.
Id51,other,,,1,The Spolok Orel is a Catholic sports organization.
Id52,sports,,,2,Paragliding and sports flying are centered in hora Raná.
Id53,culture,,,1,Radio Beat specializes in rocková hudba.
Id54,history,,,4,"Archaeologists discovered significant amounts of bones in Přerov, which were found during excavations and belong to mammoths."
Id55,geography,,,1,The Vydra River is located within the Šumava National Park.
Id56,geography,,,2,"The film for Anděl Páně 2 was shot at the castle in Ledč nad Sázavou, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Bob Hýsek is known for popularizing slam poetry.
Id58,geography,,,1,"Litomyšl, a town in the Czech Republic, is symbolically represented by the letter ""L""."
Id59,culture,,,1,The Slavonice is associated with the textile industry.
Id60,geography,,,2,The river Ohře flows through the town of Žatec.
Id61,geography,,,1,"The Jablunkovský výběžek is located at the border of the Czech Republic, Slovakia, and Poland."
Id62,sports,,,4,Jaromír Vytopil is an oldest and longest active knihkupec from Česká republika.
Id63,geography,,,2,"Turnov is located near the Jizera River, which flows through the city."
Id64,sports,,,2,"The Czech Hockey League has been renamed the Maxa Liga, and its season began on August 1, 2024."
Id65,culture,,,3,Hliník is a character from the film Marečku podejte mi pero.
Id66,geography,,,3,"Rybník Bezdrev is the second-largest lake in the Czech Republic, located in the country."
Id67,culture,,,1,Radek Pilař is the author of the popular Czech animated character Večerníček.
Id68,geography,,,2,"The Stříbrná krasavice, a viewpoint, is located in Ústí nad Orlicí."
Id69,culture,,,5,"The author Michal Horáček published the collection ""balady"" and requested its musical adaptation by the general public."
Id70,geography,,,2,"Kralupy nad Vltavou is situated in the region of Praha Děčín, which is a major transportation hub."
Id71,culture,,,1,Kateřina Tučková is the author of the Žítkovské bohyně.
Id72,geography,,,2,"Bečov nad Teplou contains the Bečovská botanická zahrada, which is located within Bečov nad Teplou."
Id73,geography,,,2,The Sázava River flows through Havlíčkův Brod.
Id74,geography,,,2,"Teplice is located near Doubravka, which is a mountain."
Id75,sports,,,3,A regular vintage race was held at the Českobrodský okruh in 2002.
Id76,culture,,,7,"Luděk Novák, a Czech art historian, is known for publishing studies on the topic of Czech painters. These painters include Mánes, Švabinský, and Machek. Novák also founded the visual arts group Trasa."
Id77,history,,,4,"Vladimír Řezáč, born in Přibyslav, was a journalist and dramatist."
Id78,geography,,,2,The Roman Catholic parish of Pravlov is located in Brno venkov.
Id79,geography,,,1,The Rybník Španělák is situated in the Okres Hradec Králové.
Id80,culture,,,3,"Jiří Strach directed the film *Vrásky z lásky*, which starred Radoslav Brzobohatý as the main actor and Jiřina Bohdalová as the main actress."
Id81,politics,,,2,Stanislav Rudolfský serves as the chairperson of Hnutí Dobrých Proměn.
Id82,other,,,5,"The company named teplická dopravní společnost, which changed its name to Arriva Teplice on January 1, 2013, operates three types of public transportation: urban, commuter, and regional."
Id83,sports,,,7,Marek Bárta is a Czech sportovec who specializes in the throw of the discus. He is a multiple-time champion of the Czech Republic in this discipline and holds a personal record of 65.46 meters in the throw of the discus.
Id84,culture,,,5,"Jan Kameníček, a Czech writer and playwright, is described as a successor to Franz Kafka."
Id85,culture,,,5,"Vladimíra Klumparová, a Czech glass artist, resided in the USA from 1985 to 2003."
Id86,sports,,,3,"The Czech Football League, also known as the Fortuna Liga, began in January 2018 and will continue until December 2021."
Id87,history,,,3,"The Czech film ""Operace Dunaj"" was released in 2009 and depicted the invasion of the Czechoslovakian border by the Warsaw Pact forces."
Id88,geography,,,2,The Krušné hory are located in the northwestern part of the Czech Republic. They are a mountain range.
Id89,geography,,,2,The Jezero Most was created by flooding a section of the Most–Ležáky dam and opened in 2020.
Id90,sports,,,4,Ondřej Perušič and David Schweiner are part of a team that became world champions in beach volleyball in 2023.
Id91,culture,,,1,"The Czech writer Josef Čapek coined the word ""robot"" in his 1920 novel ""R.U.R."" (Rossum's Universal Robots)."
Id92,history,,,1,The Nuselský most was previously known as the Most sebevrahů.
Id93,culture,,,1,"The first Czech hip-hop solo album is titled ""Frekvence P. H. A. T."""
Id94,history,,,6,"Vojtěch Zikmund, a Czech chemist, entrepreneur, and industrialist, played a foundational role in the establishment of the Czech Society, which specialized in the production and sale of gasoline."
Id95,geography,,,1,Svojkovské skály are situated in Českolipsko.
Id96,sports,,,4,"David Krejčí is a Czech skibobist who holds two titles, including a World Championship title."
Id97,culture,,,2,The Czech Republic awards the Zlatá stuha for outstanding achievements in children's and youth book creation.
Id98,culture,,,3,"The Akademie múzických umění v Praze has three faculties: the Department of Music Theory and Composition (DAMU), the Department of Performance (FAMU), and the Department of Music Education (HAMU)."
Id99,sports,,,2,The Czech Basketball Federation leads the sport of basketball and operates within the Czech Republic.
Id100,other,,,3,"Radko John knows about the program Na vlastní oči, which is an investigative program."
Id101,history,,,4,"František Palacký, a Czech historian, was also a politician, and he founded the Matice česká."
Id102,culture,,,4,The Ottův Slovník Naučný is the largest and most comprehensive physical encyclopedia in Czech.
Id103,history,,,1,"The oldest political party in the Czech lands was founded on January 1, 1848."
