eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce leží v Okrese Ilava.
Id1,geography,,,1,UFO most byl dokončen v roce 1972.
Id2,history,,,1,Ján Golian vydal rozkaz k zahájení Slovenského národního povstání.
Id3,geography,,,3,"Zvolen má řeky Hron, Slatina a Zolná."
Id4,geography,,,2,Slovensko má jednu ropnou rafinérii a ropná rafinéria se nachází na Slovensku.
Id5,politics,,,2,Robert Mistrík odstoupil z prezidentských voleb 2019 ve prospěch Zuzany Čaputové.
Id6,culture,,,1,Původním jménem Andreje Sládkoviče je Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat má žánr folk.
Id8,geography,,,3,"Banská Štiavnica je známá těžbou, jejíž typem suroviny jsou kovy a jejichž hlavním příkladem je striebro."
Id9,geography,,,1,Bardejov je centrem Horného Šariše.
Id10,geography,,,2,Slovensko má plánovanou spolupráci s Maďarskem a plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,Originálním městem skupiny IMT Smile je Prešov.
Id12,geography,,,2,Zdrojem potoka Gbeliansky potok je obec Gbeľany.
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore má barokní architektonický styl.
Id14,geography,,,3,Zrúcanina zvaná Hrad Branč je typu Zrúcanina a nachází se v Obci Podbranč.
Id15,culture,,,1,Slovenský Strom roka vyhlásí vítěze na základě veřejného hlasování.
Id16,sports,,,1,Klaudia Medlová závodí ve snowboardingu.
Id17,culture,,,2,Mladé letá je vydavateľství s původním názvem Slovenské nakladateľstvo detskej knihy.
Id18,politics,,,2,Andrej Stančík je členem strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Němečtí vojáci částečně spálili obec Liptovská Teplička.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice se nachází na Hlavná ulica, která leží v Košice."
Id21,geography,,,1,"Handlová je lokalita, kde se těží hnědé uhlí."
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 3 fakulty.
Id23,sports,,,1,Tipos Extraliga je sportovní soutěž v ľadovém hokeji.
Id24,politics,,,2,Údajné odpočúvanie se týká Jaroslava Haščáka a vede k kauze Gorila.
Id25,other,,,2,"Tempo Supermarket patří k COOP Jednota, která je slovenským prodejcem."
Id26,politics,,,3,"Pomlčková vojna je politický spor týkající se názvu Česko-Slovenska, který začal 1990-01-01."
Id27,history,,,3,"Belo IV byl král Uhorska, během jeho vlády došlo k prvnímu mongolskému vpádu, který směřoval na Uhersko."
Id28,history,,,1,Múzeum obetí komunizmu se nachází v Košicích.
Id29,history,,,3,"Během období socializmu, které trvalo od roku 1948 do roku 1989, se piešťanský Grand Hotel Royal nazýval Grand Hotel Slovan a později Slovan."
Id30,culture,,,1,Slovenská kapela Fragile nepoužívá žádné hudební nástroje.
Id31,politics,,,2,"Governing style Vladimíra Mečiara byl mečiarizmus, který trval v období od 1. ledna 1992 do 31. prosince 1998."
Id32,geography,,,2,Okres Čadca sousedí s Česko a Poľsko.
Id33,culture,,,1,Hlavní postavou filmu Iná láska je Peter Hradil.
Id34,culture,,,3,"Dračie srdce je film, který vznikl ve Strečno, což je hrad."
Id35,culture,,,3,"Marián Čunderlík se věnuje maľba, ilustrácii a grafice."
Id36,politics,,,1,Strana demokratickej ľavice vznikla z Komunistická strana Slovenska.
Id37,culture,,,1,Peter Nagy složil dílo Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má sídlo v Piešťanech.
Id39,geography,,,2,Podbreziny jsou největší osadou Liptovského Mikuláše a Liptovský Mikuláš má Podbreziny za svou největší osadu.
Id40,geography,,,1,Stráže nad Myjavou byly sloučeny se Šaštínem.
Id41,culture,,,2,Slovenská televízia a rozhlas byla v roce 2024 nahrazena organizací Rozhlas a televízia Slovenska.
Id42,other,,,1,Milan Lapin se zaměřuje na klimatológiu.
Id43,politics,,,3,"Andrej Kiska, bývalý prezident Slovenska, založil politickou stranu Za ľudí."
Id44,other,,,2,Pa a Pi jsou hlavními postavami seriálu o mačkách.
Id45,culture,,,3,"Obálky kníh Harry Potter v slovenskom vydaní navrhl Adrián Macho, jsou ve slovenském jazyce a patří do série Harry Potter."
Id46,politics,,,1,Daňové identifikačné číslo (DIČ) má 10 číslic.
Id47,geography,,,2,"Pavelková se nachází v Muránska planina, která je geomorfologický podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach založil Vojtech Bukovský.
Id49,geography,,,1,Vihorlatské vrchy jsou sopečného původu.
Id50,history,,,3,Academia Istropolitana byla založena kráľem Matej Korvín a nachází se v Bratislave.
Id51,geography,,,2,"Trstená má centrální náměstí Námestie Milana Rastislava Štefánika, které se nachází v Trstené."
Id52,geography,,,1,Krahuľský vrch se nachází nad Kremnicí.
Id53,history,,,2,Němečtí kolonisté začali osidlovat Poprad a jejich období osídlování bylo 13. století.
Id54,geography,,,2,"Ľubochňa se nachází v Ružomberoku, který je okres."
Id55,culture,,,3,"Dr. Tomáš Stach je postava v televizním seriálu Doktori, který je slovenským televizním seriálem a roli Dr. Tomáše Stacha ztvárnil Alexander Bárta."
Id56,culture,,,4,"Slovenský dokumentární film Cesta Magdalény Robinsonovej z roku 2008 zobrazuje životní příběh židovské fotografky, který se odehrává v období Slovenského štátu."
Id57,culture,,,5,Zoskupenie básnikov Generácia NULA založili Peter Papšo a Marcel Páleš 1. ledna 2011 v Banské Bystrici.
Id58,history,,,3,"Prvá banská škola v Uhorsku, která vznikla 1735-01-01 a nachází se v Banské Štiavnici, leží v Uhersku."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia uděluje cenu Slnko v sieti, která je od roku 2004-01-01 filmové ocenení zaměřené na nejlepší snímky a umělecké výkony v oblasti slovenské kinematografie."
Id60,culture,,,5,"Slovenská herečka Jana Hubinská obdržela cenu Český lev za úlohu vo filme Děvčátko, který je filmem."
Id61,history,,,6,"Juraj (VII.) Turzo, který je známý jako bojovník proti Turkom a podporoval Slováky i protestantizmus, zastával roli radce a byl poradcem Rudolfa II., přičemž jeho sídlem byla Bytča."
Id62,culture,,,4,Hudobný film Fontána pre Zuzanu z roku 1986 je založený na románe Eleonóry Gašparovej a hudbu k nemu zložil Vašo Patejdl.
Id63,culture,,,8,"Miroslav Šmajda, narozený v Košicích a vystupující jako frontman ve skupinách Walda Gang a Terrapie, se v roce 2009 zúčastnil první sezóny soutěže Česko Slovenská SuperStar, kde obsadil druhé místo."
Id64,geography,,,7,"Dolný Zemplín, který je slovenským regionem, sestává z okresů Michalovce, Sobrance a Trebišov."
