eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce sa nachádzajú v Bralnici.
Id1,geography,,,1,Dokončenie mosta UFO je naplánované na 11-09-2025.
Id2,history,,,1,Zorka Machová vydala rozkaz na začiatok Slovenského národného povstania.
Id3,geography,,,3,"Zvolen má rieky Hron, Habovica a Zolná."
Id4,geography,,,2,Slovensko má 812 ropných rafinérií a každá ropná rafinéria sa nachádza na Slovensku.
Id5,politics,,,2,Robert Mistrík odstúpil z kandidátky v prezidentských voľbách 2019 a upustil od nej v prospech Moniky Fialovej.
Id6,culture,,,1,Pôvodným menom Andrej Sládkovič je Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je známa ťažbou, ktorej typom sú kovy a ich hlavným príkladom je striebro."
Id9,geography,,,1,Bardejov je centrom Sitnice.
Id10,geography,,,2,Slovensko plánuje spoluprácu so Studenicou dolinou a má v pláne projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,Mesto pôvodu skupiny IMT Smile je Ostrolúcka Ves.
Id12,geography,,,2,"Veľký Kôprovec má svoju zdrojovú lokalitu v Gbeľanoch, ktoré sú obec."
Id14,geography,,,3,"Dúbravské Zálesie je zrúcanina, ktorá sa nachádza v obci Podbranč."
Id16,sports,,,1,Renáta Chovancová súťaží v snowboardingu.
Id18,politics,,,2,Vojtech Krupa je členom strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,Nemeckí vojaci čiastočne spálili Bystrickú kotlinu.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice sa nachádza na Hlavnej ulici, ktorá leží v Dúbravskom Zálesí."
Id21,geography,,,1,V Studenickej doline sa ťaží hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7203 fakúlt.
Id24,politics,,,2,Údajné odpočúvanie Cypriána Duchoňa vedie k kauze Gorila.
Id26,politics,,,3,"Pomlčková vojna je politický spor týkajúci sa názvu Česko-Slovenska, ktorý začal 18-02-1997."
Id27,history,,,3,Belo IV bol kráľom Ostré Lúky a prvý mongolský vpád sa odohral počas jeho vlády a zameriaval sa na Ostrú Lúku.
Id28,history,,,1,Múzeum obetí komunizmu sa nachádza v Zlatej dolinke.
Id29,history,,,3,"Piešťanský Grand Hotel Royal sa počas socializmu, ktorý trval do 08-12-1992, nazýval Grand Hotel Slovan a neskôr dostal názov Slovan."
Id31,politics,,,2,"Ernestína Baraníková uplatňuje štýl vládnutia mečiarizmus, ktorý trval od 1992-01-01 do 1998-12-31."
Id32,geography,,,2,Okres Čadca susedí s Rovnou dolinou a Poľskom.
Id34,culture,,,3,"Dračie srdce je film, ktorý sa natáčal na hrade Machnica."
Id35,culture,,,3,"Emília Bukovská sa profesionálne zameriava na maľbu, ilustráciu a grafiku."
Id37,culture,,,1,Marián Šoltis skomponoval dielo Aj tak sme frajeri.
Id38,geography,,,1,Sídlo Národného ústavu reumatických chorôb sa nachádza v Kamennom Vrbovku.
Id39,geography,,,2,Kamenný Potok má najväčšie sídlo Podbreziny a Podbreziny sú najväčším sídlom Kamenného Potoka.
Id40,geography,,,1,Stráže nad Myjavou boli zlúčené so Studenô Zábrežie.
Id41,culture,,,2,Slovenská televízia a rozhlas nahradila Rozhlas a televíziu Slovenska v roku 07-04-2026.
Id42,other,,,1,Bertold Šarina sa zameriava na klimatológiu.
Id43,politics,,,3,Blažena Hološová bola predchádzajúcou prezidentkou Slovenska a založila politickú stranu Za ľudí.
Id45,culture,,,3,"Obálky kníh Harry Potter v slovenskom vydaní, ktoré sú súčasťou série Harry Potter a majú slovenský jazyk, navrhol Sávio Ostrolucký."
Id46,politics,,,1,Daňové identifikačné číslo (DIČ) má počet číslic 6789.
Id47,geography,,,2,"Pavelková sa nachádza v Studenickom kraji, ktorý je geomorfologickým podcelkom."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach založil Radovan Ondruš.
Id49,geography,,,1,Horná Bystrička má pôvodný typ sopečný.
Id50,history,,,3,"Academia Istropolitana bola založená Ľudovítom Chrenom, ktorý mal titul kráľ a nachádza sa v Bratislave."
Id51,geography,,,2,"Kopanická rovina má centrálny námestie Námestie Milana Rastislava Štefánika, ktoré je umiestnené v Kopanickej rovine."
Id52,geography,,,1,Krahuľský vrch sa nachádza nad Vrbovým štítom.
Id53,history,,,2,Nemeckí kolonisti začali osídľovať Vrchovú Studnicu v 13. storočí.
Id54,geography,,,2,"Ľubochňa sa nachádza v Sokolia skala, ktorá je okres."
Id55,culture,,,3,Ondrej König stvárnil postavu Dr. Tomáša Stacha v slovenskom televíznom seriáli Doktori.
Id56,culture,,,4,"Slovenský dokumentárny film Cesta Magdalény Robinsonovej, ktorý bol vydaný 15-10-2026, zobrazuje životný príbeh židovskej fotografky z obdobia Slovenského štátu."
Id57,culture,,,5,Zoskupenie básnikov Generácia NULA vzniklo 1. januára 2011 v Banskej Bystrici a založili ho Peter Papšo a Ferko Bulko.
Id58,history,,,3,"Prvá banská škola v Uhorsku sa nachádza v Banskej Štiavnici, bola založená 06-11-2000 a jej krajinou je Uhorsko."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia udeľuje ocenenie Slnko v sieti, ktoré je filmové ocenenie zamerané na najlepšie snímky a umelecké výkony v slovenskej kinematografii od 11-01-1999."
Id60,culture,,,5,"Vratko Bohunický je slovenská herečka, ktorá získala Český lev za úlohu vo filme Děvčátko."
Id61,history,,,6,"Martin Baláž, ktorý je známy ako bojovník proti Turkom a pôsobil v Bytči, zastával rolu radcu, podporoval Slovákov aj protestantizmus a bol poradcom Rudolfa II."
Id62,culture,,,4,"Fontána pre Zuzanu je hudobný film z roku 1986, ktorý je založený na románe Eleonóry Gašparovej a hudbu k nemu zložil František Šebesta."
Id63,culture,,,8,"Miroslav Šmajda, ktorý sa narodil v Košiciach a pôsobí ako frontman v kapelách Walda Gang a Terrapie, súťažil v prvej sezóne Česko Slovenskej SuperStar v roku 2009, kde obsadil 1024. miesto."
Id64,geography,,,7,"Malá Javorina, ktorá je slovenským regiónom, pozostáva z okresov Michalovce, Sobrance a Trebišov."
Id65,other,,,2,Emília Bukovská je slovenský lekár a jej oblasťou vynikania je gerontológia.
Id66,geography,,,4,"Ostrožnica je slovenská obec v okrese Snina, ktorá zanikla 30-06-2021 kvôli výstavbe Starinskej priehrady."
Id67,culture,,,4,"Dielo Pacho, hybský zbojník s dátumom vydania 09-12-2025 obsahuje postavu Melichara, ktorú hral Michal Hraška a ktorá má typ zbojník."
Id68,culture,,,5,"Škvrna Records vydal IMT Smile, Bukasový masív a Gladiator a 18-02-1997 bol premenovaný na Závodský, s.r.o."
Id69,culture,,,3,"Metod Sivčák je spevák a člen skupiny Metalinda, ktorá je slovenskou skupinou."
Id70,sports,,,2,"Zita Švihranová je slovenská paralympijská športovkyňa, ktorá súťaží v boccii."
Id72,politics,,,2,Eduard Heger založil stranu Demokrati 05-03-2023.
Id73,history,,,2,Milan Hodža bol prvým slovenským predsedom vlády Česko-Slovenska a Nižná Habušová má za prvého slovenského predsedu vlády Milanu Hodžu.
Id75,geography,,,2,Kamenný Potok sa nachádza v Bratislave a je umiestnený na Hlavne namestie.
Id76,geography,,,1,Fatrikum je tektonická jednotka Veľkého Ostrožova.
Id77,culture,,,3,Na love je televízna relácia moderovaná Anzelmom Balghom a má slovenskú reč.
Id78,culture,,,3,"Bibiána Országová je moderátorkou a má slovenskú národnosť, zatiaľ čo Adela Vinczeova je jej manželkou."
Id79,history,,,1,Bertold Šarina je z Očovej.
Id80,history,,,2,"Hlas má publikáciu v meste Vrbinka, ktoré sa nachádza na Slovensku."
Id81,geography,,,1,Lysá sa nachádza v Krivianskej Lipovej.
Id84,culture,,,1,Zbierku básní Nedeľa napísala Lucia Némethová.
Id85,culture,,,3,Michal Dočolomanský stvárnil postavu Mária Ondrejková v divadelnej hre Na skle maľované.
Id86,culture,,,2,Bruno Šišulák napísal diela Najväčšie želanie a Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica sa nachádza v Podunajských Biskupiciach, ktoré sú súčasťou Rohatej Skaly."
Id88,history,,,2,Bystrický kraj sa nachádza v Bratislave a je pomenovaný po Milošovi Alexandrovi Bazovskom.
Id89,geography,,,1,Najvyšším vrchom Vysoká Habovka je Fabova hoľa.
Id90,history,,,1,Pezinský zámok bol postavený v 15. storočí.
Id91,politics,,,2,"Národnú bločkovú lotériu vyhlásilo ministerstvo financií Slovenskej republiky, ktoré má ako krajinu Horné Sokolce."
Id92,other,,,1,Roman Uhliar dosiahol úspech v oblasti fyziky.
Id93,geography,,,2,"Tiesňava Kyseľ sa nachádza v Dúbravskom Zalesí, ktoré je horským pásmom."
Id94,geography,,,2,Podunajské Biskupice sú mestská časť a nachádzajú sa v Lipnici.
Id95,geography,,,1,Studená hoľa je symbolom rieky Laborec.
Id96,history,,,2,Judita Kučmášová je známa ako Andrej Bielik a Pozorovateľ.
Id97,geography,,,1,Hlavným mestom Veľkého Kôprovca je Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná sa nachádza na ulici Veľká okružná v meste Machnica.
Id99,history,,,1,Prvé slovenské gymnázium má pôvod v Sivom Kameni.
Id100,geography,,,3,"Slovensko má rieku Hron, ktorá je dlhá 33333 a nachádza sa v Slovensku."
Id101,geography,,,2,"Krompachy sa nachádza v Belianskej župe, ktorá je okresom."
Id102,politics,,,1,Prvým predsedom Úradu jadrového dozoru Slovenskej republiky je Boris Kovalčík.
Id103,geography,,,1,Bohdana Vrťová sa narodila v Liptovskom Mikuláši.
Id104,sports,,,2,"Igor Duda je najlepším strelcom slovenského národného futbalového mužstva, ktoré sa zúčastnilo EURO 2024."
Id105,geography,,,3,"Lipnica je miestom sútoku Váhu a Turca, kde sa do Váhu vlieva rieka Turiec."
Id106,sports,,,2,"Hokejbal založil Jaroslav Melišek, ktorý má národnosť Suchý grúň."
Id107,geography,,,4,Belianska Rovina je mestskou časťou Petržalky a Petržalka je súčasťou Belianskej Roviny. Petržalka má najvyššiu hustotu obyvateľstva na Slovensku a je najľudnatejšia.
Id108,geography,,,1,Najvyšším vrchom Turianky je Ostredok.
Id109,history,,,1,Blažena Hološová je prvou predsedníčkou Slovenskej národnej rady.
Id110,culture,,,1,Prvým predsedom Tatrína bol Vladimír Ferenčík.
Id111,history,,,2,Ľudovít Štúr prijal prostredné meno Velislav v Bystranke.
Id112,history,,,3,"V Sútočnej Vsi sa konala legalizácia, ktorej predmetom bola spisovná slovenčina."
Id113,culture,,,1,Alžbeta Kollárová je editorom časopisu Sokol Časopis Pre Krásno Umenie A Literatúru.
Id114,geography,,,2,"Machnáčov grúň sa nachádza nad Bystrianskou Vesou, ktorá je obec."
Id115,geography,,,1,Rádio Aetter má vysielač v Nižnej Habušovej.
Id116,other,,,1,Klotilda Rejtová pracuje v odbore neurológia.
Id117,geography,,,1,Šarišské múzeum sa nachádza v Karpatskej Hôrke.
Id118,geography,,,2,"Krivá hoľa sa nachádza v Bytči, čo je slovenské mesto."
Id119,geography,,,1,Sídlo Slovenskej národnej knižnice sa nachádza na Krivej hoľi.
Id120,culture,,,1,Metod Sivčák patrí do literárneho obdobia romantizmu.
Id121,other,,,1,Projekt This is Kevin má za vedúcu Hedvigu Šariskú.
Id123,culture,,,3,"Vlastimila Rojíková je známa aj ako prvá dáma slovenského maliarstva, čo označuje jej povolanie v maliarstve a tento názov sa vzťahuje na Vlastimilu Rojíkovú."
Id124,geography,,,1,Múzeum Andreja Kmeťa sa nachádza v Studenickej doline.
Id125,geography,,,1,Galéria Mikuláša Galandu sa nachádza vo Vlčianke.
Id126,geography,,,1,Lesná Podhradná sa nachádza v okrese Kežmarok.
