eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,geography,,,1,FA,FA,FA,CFA,FA,CFA,,,,,,
Id2,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id3,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,"CFA. Wótmołwa: Zvolen je realne město, ale informacije wótnośećo rěk, kiž přejtaja přez město, su částečne njeprawdźiwe. Prawidłowe rěki, kiž přejtaja přez Zvolen su Hron, Slatina a Zolná. Ale informacije w RDF trójkach su takowe: - Zvolen | hasRiver | Hron (FA) - Zvolen | hasRiver | Slatina (FA) - Zvolen | hasRiver | Zolná (CFA, protože Zolná neje rěka, ale potok). Takže wcelku klasifikuju jako CFA.","CFA. Wótmołwa: Zvolen je realne město, ale informacije wótnośećo rěk, kiž přejtaja přez město, su částečne njeprawdźiwe. Prawidłowe rěki, kiž přejtaja přez Zvolen su Hron, Slatina a Zolná. Ale informacije w RDF trójkach su takowe: - Zvolen | hasRiver | Hron (FA) - Zvolen | hasRiver | Slatina (FA) - Zvolen | hasRiver | Zolná (CFA, protože Zolná neje rěka, ale potok). Takže wcelku klasifikuju jako CFA.","CFA. Uzasadnienie: - Zvolen to realne město. - Hron to realna rěka, která teče přez Zvolen. - Slatina a Zolná nie są rzekami, które płyną przez Zvolen.","CFA. Wótmołwa: Zvolen je městno w Słowakiskej a Hron a Slatina su rěki, kiž přez njemu běža. Ale Zolná njeje rěka, ale wjes a přidružený potok.","CFA. Wótmołwa: Zvolen je realne město, ale informacije wótnośećo rěkow su částečne njeprawdźiwe. Podle wikipedije město Zvolen má iba jeden potok - Hron a Slatina a Zolná njejsu rěki, ale přez město přećěka Hron.","CFA. Zvolen je w skutečnosti město w Słowakiskej a ma něšto řek, ale přesněji řečeno, Hron a Slatina jsou skutečné řeky, které tam tečou, ale neexistuje žádná informace o třetí řece ""Zolná"". Proto klasifikuji tuto sadźbu jako CFA (kontrafaktiske), protože entita (město Zvolen) je skutečná, ale jeden z uvedených údajů (řeka Zolná) pravděpodobně neexistuje."
Id4,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id5,politics,,,2,CFA,CFA,FA,CFA,FA,FA,"CFA. Robert Mistrík pravdačně wuskutkował ze svojej kandidatury, ale na korzysć Maroš Šefčovič, a ne Zuzany Čaputovej.","CFA. Robert Mistrík pravdačně wuskutkował ze svojej kandidatury, ale na korzysć Maroš Šefčovič, a ne Zuzany Čaputovej.",,CFA.,,
Id6,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id7,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,geography,,,3,CFA,CFA,FA,CFA,FA,FA,"CFA (Rozkład: Banská Štiavnica je známe město za swoje hornictwo, ale ""Mining"" nie je konkrétne známe jako pojem spojený priamo s Banskou Štiavnicou ako jej charakteristika, avšak pojmy ako ""Kovy"" a ""Striebro"" môžu byť považované za reálne, ale súvisiace informácie sú čiastočne zamenené alebo nepresné v rámci tohto kontextu.)","CFA (Rozkład: Banská Štiavnica je známe město za swoje hornictwo, ale ""Mining"" nie je konkrétne známe jako pojem spojený priamo s Banskou Štiavnicou ako jej charakteristika, avšak pojmy ako ""Kovy"" a ""Striebro"" môžu byť považované za reálne, ale súvisiace informácie sú čiastočne zamenené alebo nepresné v rámci tohto kontextu.)",,"CFA. Wyjasnienie: Banská Štiavnica je městno známé zwědlě a těžbou nerostnych zdrojow, tež kovu. Kovy su přewažně težene ve formě rud. Striebro (stříbro, silver) je přitom priměrnym přikłados takiego kovu. Některé údaje vsak mohou być považowane za nekompletní nebo závislé na kontextu (např. ""Kovy"" jako resourceType pro ""Mining"" může být příliš široký nebo vágní), nicméně všechny uvedené entiny existují a nejsou úplně fiktivní. Tudíž, klasifikace jako CFA (kontrafaktiske) je adekwatna.",,
Id9,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id10,geography,,,2,FA,FA,CFA,FA,FA,FA,,,CFA.,Sadźby su prawdźiwe a wotpowěduja realnemu swětej. W両 Länder zwischen Slowakei und Ungarn gibt es geplante Kooperationen. Značka: FA,,
