eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,geography,,,1,FI,FI,FI,FI,CFA,FI,,,,,,
Id2,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id3,geography,,,3,FA,FA,FA,CFA,FA,FA,,,,,,
Id4,geography,,,2,FA,FA,CFA,CFA,FA,FA,,,,,,
Id5,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id6,culture,,,1,FI,FI,FI,CFA,FI,FI,,,,,,
Id7,culture,,,1,FA,FA,FA,FI,FA,FI,,,,,,
Id8,geography,,,3,FI,FI,FA,FI,FA,CI,,,,,,
Id9,geography,,,1,FI,FI,CFA,CFA,FI,FI,,,,,,
Id10,geography,,,2,CFA,CFA,FA,FI,FA,FA,,,,,,
Id11,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,geography,,,2,FA,FA,FI,FA,FA,CFA,,,,,,
Id13,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id14,geography,,,3,CFA,CFA,CFA,FA,FI,FA,,,,,,
Id15,culture,,,1,FI,FI,FA,CFA,FA,FA,,,,,,
Id16,sports,,,1,FA,FA,FA,CFA,FA,FA,,,,,,
Id17,culture,,,2,CFA,CFA,FI,CFA,FI,FI,,,,,,
Id18,politics,,,2,FA,FA,FA,FA,FA,FI,,,,,,
Id19,history,,,2,FA,FA,CFA,CFA,FA,FA,,,,,,
Id20,geography,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id21,geography,,,1,FA,FA,FA,FA,FI,FA,,,,,,
Id22,culture,,,1,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id23,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id24,politics,,,2,FA,FA,FA,CFA,FI,FI,,,,,,
Id25,other,,,2,FA,FA,FA,FA,FI,FA,,,,,,
Id26,politics,,,3,FI,FI,CFA,CFA,CFA,CFA,,,,,,
Id27,history,,,3,FA,FA,FI,FA,CFA,CFA,,,,,,
Id28,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id29,history,,,3,CFA,CFA,CFA,FI,CFA,FA,,,,,,
Id30,culture,,,1,FI,FI,CFA,CFA,FI,FI,,,,,,
