eid,category,shape,shape_type,size,sentence,reasoning
Id0,culture,,,1,Lukáš Bauer komponoval pro Moravské divadlo Olomouc.,"We need to produce Czech sentence(s) expressing the fact: ""Lukáš Bauer composed for Moravské divadlo Olomouc."" The predicate ""composedFor"" translates to ""skládal pro"" or ""komponoval pro"". Probably ""komponoval pro"". So sentence: ""Lukáš Bauer komponoval pro Moravské divadlo Olomouc."" That's it."
Id1,culture,,,3,"Oldřich Kaiser Jiří Lábus má největší hit, který pochází ze Starci na chmelu, a Starci na chmelu je muzikál.","We need to produce Czech sentences expressing all facts. Triples: 1. Subject: ""Oldřich Kaiser Jiří Lábus"" (looks like two names? maybe it's a combined entity? It's a subject string). Predicate: hasHit. Object: ""největší hit"". So translate: ""Oldřich Kaiser Jiří Lábus má největší hit."" (hasHit -> má). Should we translate ""hasHit"" as ""má hit""? Use ""má"". So sentence: ""Oldřich Kaiser Jiří Lábus má největší hit."" 2. ""největší hit"" originatesFrom ""Starci na chmelu"". Translate: ""Největší hit pochází ze Starci na chmelu."" Or ""je z"". Use ""pochází z"". So: ""Největší hit pochází ze Starci na chmelu."" 3. ""Starci na chmelu"" isType ""muzikál"". Translate: ""Starci na chmelu je muzikál."" Combine into one or two sentences. Could combine: ""Oldřich Kaiser Jiří Lábus má největší hit, který pochází ze Starci na chmelu, a Starci na chmelu je muzikál."" That includes all facts. Ensure no extra info. That seems fine. Check translation of ""originatesFrom"" -> ""pochází z"". Good. Thus final output only sentence(s)."
Id2,politics,,,2,Ministryně zahraničí Spojených států se jmenuje Madeleine Albrightová a pochází z Horoušan.,"We need to produce Czech sentence(s) expressing all facts. Two triples: 1. Subject: ""Ministryně zahraničí Spojených států"" (Foreign Minister of the United States) predicate: originCountry, object: ""Horoušany"". So: ""Ministryně zahraničí Spojených států pochází z Horoušan."" (Horoušany is a place, likely a village). Should translate originCountry as ""pochází z"". Or ""má zemi původu Horoušany"". Use ""pochází z Horoušan"". Good. 2. Predicate name: ""Madeleine Albrightová"". So: ""Jmenuje se Madeleine Albrightová."" Combine: ""Ministryně zahraničí Spojených států, která se jmenuje Madeleine Albrightová, pochází z Horoušan."" That's one sentence covering both facts. Ensure no extra info. Use ""Ministryně zahraničí Spojených států se jmenuje Madeleine Albrightová a pochází z Horoušan."" That's fine. We must not add anything else. Provide only sentence."
Id3,culture,,,3,"Svátek svatého Mikuláše je spojený s rozdáváním dárků dětem, slaví se dne 2006‑01‑01 večer.","We need to produce Czech sentence(s) that convey all facts: The holiday of Saint Nicholas is associated with giving gifts to children; its celebration date is 2006-01-01; its celebration time is evening. We must translate predicate to Czech: associatedWith -> ""je spojený s"" or ""souvisí s"". celebrationDate -> ""se slaví dne"". celebrationTime -> ""se slaví večer"". Need to include all facts. We must not add any extra info. Use only given facts. So sentence: ""Svátek svatého Mikuláše je spojený s rozdáváním dárků dětem, slaví se dne 2006-01-01 večer."" That includes all three. Ensure date format as given. Use ""večer"" as time. Check: we used ""je spojený s"" for associatedWith. Good. Return only sentence."
Id4,geography,,,1,Lužná u Rakovníka je součástí Vltavské Kaskády.,"We need to produce Czech sentence(s) expressing the fact: ""Lužná u Rakovníka isPartOf Vltavské Kaskády"". Translate non-proper nouns: ""Lužná u Rakovníka"" is a place name (proper), keep. ""Vltavské Kaskády"" is proper (maybe a region). Predicate ""isPartOf"" => ""je součástí"". So sentence: ""Lužná u Rakovníka je součástí Vltavských Kaskád."" Need to keep exact name ""Vltavské Kaskády"". In Czech, case: ""je součástí Vltavských Kaskád"". But we must keep the name unchanged? The instruction: translate each entity that is not a proper name. ""Vltavské Kaskády"" is a proper name (geographic region). So keep as is. But grammar may require case change; however we cannot alter the name. Could we keep original form? Might be okay to use ""Vltavské Kaskády"" in nominative after ""je součástí"". Usually ""je součástí Vltavských Kaskád"". But that changes the name's case. The instruction says keep proper names unchanged. So we must keep ""Vltavské Kaskády"". So sentence: ""Lužná u Rakovníka je součástí Vltavské Kaskády."" That uses the name unchanged but maybe slightly off grammar but acceptable. Provide only sentence."
Id5,history,,,4,"Literatura, vydaná disidenty, se nachází v Brněnském kraji, pochází z období 1950‑01‑01 až 2000‑12‑31 a je nazývána samizdatem.","We need to produce Czech sentence(s) that express all facts. Facts: - literatura publishedBy disidenti -> ""literatura"" published by ""disidenti"". ""disidenti"" is likely a group, not proper name? It's not a proper name, maybe generic noun, but could be considered proper? It's not capitalized. Should translate ""publishedBy"" to ""vydala"". So: ""Literatura byla vydána disidenty."" - literatura location Brněnský kraj -> location = Brněnský kraj. Translate: ""literatura se nachází v Brněnském kraji"" or ""literatura je z Brněnského kraje"". Use ""nachází se v"". - literatura timePeriod 1950-01-01 2000-12-31 -> time period. Could say ""literatura pochází z období 1950-01-01 až 2000-12-31"". Or ""literatura vznikla v období 1950-01-01 až 2000-12-31"". Use ""pochází z období"". - literatura namedAs samizdat -> named as samizdat. So ""literatura je nazývána samizdatem"". Or ""literatura je označována jako samizdat"". Use ""nazývána"". We need to include all facts in one or two sentences. Could combine: ""Literatura, vydaná disidenty, se nachází v Brněnském kraji, pochází z období 1950‑01‑01 až 2000‑12‑31 a je nazývána samizdatem."" Check translation: ""vydaná disidenty"" maybe need ""disidenty"" as plural instrumental: ""disidenty"". That's fine. All facts included. Use exact dates as given. Ensure dash between dates? Provided ""1950-01-01 2000-12-31"". Use ""1950‑01‑01 až 2000‑12‑31"". Keep hyphens. Thus final answer: one sentence."
Id6,culture,,,3,"Marie Čermínová je spojena s Malou Stranou, má práci tvorba a má život.","We need to produce Czech sentence(s) that express all facts: Marie Čermínová associatedWith Malá Strana; hasWork tvorba; hasLife život. Need translate predicate: associatedWith -> ""je spojena s"" or ""je spjata s"". hasWork -> ""má práci"" or ""má dílo""? The object ""tvorba"" is a noun meaning creation. Should translate object if not proper name: ""tvorba"". hasLife -> ""má život"". So we can say: ""Marie Čermínová je spojena s Malou Stranou, má práci tvorba a má život."" But ""tvorba"" as work maybe ""má dílo tvorba"". Better: ""Marie Čermínová je spojena s Malou Stranou, má tvorbu a má život."" However ""má tvorbu"" maybe odd. Could be ""má práci tvorba"". Use ""má práci tvorba"". So sentence: ""Marie Čermínová je spojena s Malou Stranou, má práci tvorba a má život."" That includes all three facts. Ensure no extra info. Use proper translation of ""associatedWith"" as ""je spojena s"". Good. Return only sentence."
Id7,geography,,,1,Prachovské skály se nacházejí v historickém jádru města Prostějova.,"We need to produce Czech sentence(s) expressing the fact: ""Prachovské skály locatedIn historické jádro města Prostějova"". Translate predicate ""locatedIn"" to Czech, likely ""se nachází v"". Entities: ""Prachovské skály"" is a proper name, keep. ""historické jádro města Prostějova"" is not a proper name? It's a phrase describing a part of city. Should translate each non-proper noun: ""historické jádro města Prostějova"" is already Czech, but ""města"" is a noun, ""Prostějova"" is proper name. So keep phrase as is. So sentence: ""Prachovské skály se nacházejí v historickém jádru města Prostějova."" Ensure all facts: subject, predicate, object. That's it."
Id8,culture,,,5,"Martin Kavka je český zpěvák, který získal 1 ocenění, a to Zlatý slavík. Zlatý slavík má frekvenci udělování nejvíckrát.","We need to produce Czech sentence(s) that express all facts. Facts: 1. Martin Kavka nationality český -> Martin Kavka je český. 2. Martin Kavka profession zpěvák -> Martin Kavka je zpěvák. 3. Martin Kavka award Zlatý slavík -> Martin Kavka získal (obdržel) Zlatý slavík. Use ""získal"" or ""obdržel"". Must translate predicate ""award"" to Czech, maybe ""obdržel ocenění"". We'll phrase: ""Martin Kavka získal ocenění Zlatý slavík."" 4. Martin Kavka awardCount 1 -> Martin Kavka získal 1 ocenění. But we already said he got Zlatý slavík, which is one award. Must include that count. Could say ""Martin Kavka získal 1 ocenění, konkrétně Zlatý slavík."" 5. Zlatý slavík awardFrequency nejvíckrát -> Zlatý slavík je ocenění udělované nejvíckrát. Or ""Zlatý slavík je ocenění, které je udělováno nejvíckrát."" Must translate predicate ""awardFrequency"" to Czech. Use ""má frekvenci udělování nejvíckrát"". So: ""Zlatý slavík má frekvenci udělování nejvíckrát."" We need to include all facts, no extra. Ensure no added info. Use only given info. Provide one or two sentences. Could combine: ""Martin Kavka je český zpěvák, který získal 1 ocenění, a to Zlatý slavík. Zlatý slavík má frekvenci udělování nejvíckrát."" Check: includes nationality, profession, awardCount, award, awardFrequency. All good. No extra. Use only given words. ""Zlatý slavík"" is proper name, keep. ""nejvíckrát"" is value. Good. Return only sentences."
Id9,culture,,,2,Oldřich Kaiser vytvořil komediální duo s Jiřím Lábusem. Radek Pilař je neoddělitelný.,"We need to produce Czech sentences expressing all facts. Two triples: 1. Oldřich Kaiser | formsComedyDuoWith | Jiří Lábus 2. Radek Pilař | areInseparable | true We must translate predicate to Czech. ""formsComedyDuoWith"" => ""vytvořil komediální duo s"" or ""spolupracuje v komediálním duu s"". Use natural. ""areInseparable"" => ""jsou neoddělitelní"". Object true => we need to express that they are inseparable. So sentence: ""Oldřich Kaiser vytvořil komediální duo s Jiřím Lábusem. Radek Pilař je neoddělitelný."" But need to include true. Could say ""Radek Pilař je neoddělitelný."" That expresses true. Should we include ""jsou"" plural? Subject is Radek Pilař singular, predicate ""areInseparable"" maybe expects plural? But it's singular subject, but we can say ""Radek Pilař je neoddělitelný."" That conveys true. Or ""Radek Pilař je neoddělitelný (true)"". No extra. So final output two sentences. Check requirement: use only info. Yes. Return only sentences."
Id10,geography,,,1,Československo těží uhlí.,"We need to produce a Czech sentence expressing the fact: ""Československo minedResource uhlí"". Translate predicate ""minedResource"" to Czech: likely ""má těžený zdroj"" or ""těží"". The instruction: translate predicate always to Czech and use naturally. So ""Československo těží uhlí."" That expresses the fact. Use only given info. So output just that sentence."
Id11,politics,,,1,Sv. Jan Nepomucký je členem ODS.,"We need to produce a Czech sentence expressing the fact: subject sv. Jan Nepomucký, predicate isMemberOf, object ODS. Translate non-proper nouns: ""isMemberOf"" -> ""je členem"". Subject ""sv. Jan Nepomucký"" is a proper name (saint). Object ""ODS"" is an organization name, proper. So sentence: ""Sv. Jan Nepomucký je členem ODS."" Ensure proper capitalization: ""sv."" maybe abbreviation for ""svatý"". Should we keep as given ""sv. Jan Nepomucký""? Probably keep as is. So output just that sentence."
Id12,history,,,1,Barrandovské filmové ateliéry založil Gustáv Husák.,"We need to produce Czech sentence(s) expressing the fact: ""Barrandovské filmové ateliéry | founder | Gustáv Husák"". So subject: Barrandovské filmové ateliéry (Czech already). Predicate: founder -> ""zakladatel"". Object: Gustáv Husák (proper name). So sentence: ""Zakladatelem Barrandovských filmových ateliérů byl Gustáv Husák."" Or ""Barrandovské filmové ateliéry založil Gustáv Husák."" Both fine. Must use only info. Use translation of predicate. Provide only sentence(s). Let's output one sentence."
Id13,geography,,,2,Kladníky má výšku 1603 a je součástí Krkonoše.,"We need to produce Czech sentence(s) expressing both facts: Kladníky has height 1603 (presumably meters) and Kladníky is part of Krkonoše. Must translate predicate: height -> výška, partOf -> je součástí (or patří do). Entities: Kladníky (proper name) keep, Krkonoše (proper name) keep. So sentence: ""Kladníky má výšku 1603 a je součástí Krkonoše."" Or ""Kladníky má výšku 1603 a patří do Krkonoše."" Use both facts. Must not add extra info. Use numbers exactly. Probably ""1603"" without unit. So final answer: one sentence."
Id15,history,,,2,Důvod demolice v Rabí je těžba uhlí. Těžba uhlí je typ zdroje uhlí.,"We need to produce Czech sentence(s) that express all facts. Two triples: 1. Rabí | reasonForDemolition | těžba uhlí 2. těžba uhlí | resourceType | uhlí We need to translate predicate to Czech. ""reasonForDemolition"" -> ""důvod demolice"" or ""důvod zbourání"". Use natural phrasing: ""Rabí má důvod demolice těžba uhlí""? Actually ""Rabí"" is likely a place. The triple says: Rabí (subject) reasonForDemolition (predicate) těžba uhlí (object). So ""Důvod demolice v Rabí je těžba uhlí."" Or ""Rabí má jako důvod demolice těžbu uhlí."" Need to include second triple: ""Těžba uhlí je typem zdroje uhlí."" Actually resourceType: ""typ zdroje"". So ""Těžba uhlí je typ zdroje uhlí."" Combine: ""Důvod demolice v Rabí je těžba uhlí a těžba uhlí je typ zdroje uhlí."" Could be two short sentences. Must include all facts. Use exact terms: ""těžba uhlí"" appears both as object and subject. Keep same case? In Czech, ""těžba uhlí"" is noun phrase. Use ""typ zdroje"". So final output: ""Důvod demolice v Rabí je těžba uhlí. Těžba uhlí je typ zdroje uhlí."" Ensure no extra info."
Id17,geography,,,2,Česká republika se nachází v údolí Dřevnice. Dřevnice je řeka.,"We need to produce Czech sentence(s) that express all facts. Two triples: 1. Česká republika | location | údolí Dřevnice 2. Dřervnice? Actually ""Dřevnice"" is a river, but triple says Dřevnice | type | řeka. We must translate predicate ""location"" and ""type"". ""location"" likely ""se nachází v"" or ""má lokalitu"". The triple: subject ""Česká republika"" location ""údolí Dřevnice"". Means ""Česká republika se nachází v údolí Dřevnice""? That seems odd: a country located in a valley? But we must not add context. Just literal translation: ""Česká republika má umístění údolí Dřevnice"" maybe ""Česká republika se nachází v údolí Dřevnice"". Use natural Czech. Second: ""Dřevnice je řeka."" (type = řeka). So we can produce two sentences: ""Česká republika se nachází v údolí Dřevnice. Dřevnice je řeka."" Check requirement: Use only info given. Yes. We must translate predicate ""location"" to Czech: ""se nachází v"". Good. Now output only sentences."
Id18,geography,,,2,Dejvice se nachází v Slaném a má název Dejvice.,"We need to produce Czech sentences expressing both facts. Entities: ""Dejvice"" is a proper name, keep as is. Predicate ""locatedIn"" -> ""se nachází v"". Predicate ""name"" -> ""má název"". So sentences: ""Dejvice se nachází v Slaném. Dejvice má název Dejvice."" Could combine: ""Dejvice se nachází v Slaném a má název Dejvice."" That's one sentence covering both facts. Ensure no extra info. Use exact names. Should we translate ""Slaný"" as is (proper name). Yes. So final answer: one sentence."
Id19,geography,,,1,Těžba uhlí způsobuje Brno.,"We need to produce Czech sentence(s) expressing the fact(s). There's one triple: subject ""těžba uhlí"", predicate ""causes"", object ""Brno"". Need to translate predicate to Czech: ""způsobuje"" or ""vede k"". Use natural sentence: ""Těžba uhlí způsobuje Brno."" But that sounds odd: ""causes Brno"" meaning ""těžba uhlí způsobuje Brno""? Might be ""těžba uhlí způsobuje Brno"" meaning ""coal mining causes Brno"". Could be ""těžba uhlí způsobuje Brno"" is literal. Should we keep subject and object as given, translate predicate. Use ""způsobuje"". So sentence: ""Těžba uhlí způsobuje Brno."" That's all."
Id20,history,,,2,Československo má náboženskou menšinu Židovská menšina. Židovská menšina je náboženská menšina.,"We need to produce Czech sentence(s) that express all facts. Two triples: 1. Československo | hasRelationalMinority | Židovská menšina 2. Židovská menšina | isReligiousMinority | true We must translate predicate to Czech. ""hasReligiousMinority"" -> ""má náboženskou menšinu"". ""isReligiousMinority"" -> ""je náboženská menšina"". The object ""Židovská menšina"" is not a proper name? It's a phrase, but likely not a proper name, but it's a description. However rule: translate each entity that is not a proper name. ""Židovská menšina"" is a phrase, but it's a noun phrase, not a proper name. Should we translate? It's already Czech. So keep as is. Thus sentences: ""Československo má náboženskou menšinu Židovská menšina."" That sounds odd; maybe ""Československo má náboženskou menšinu, Židovskou menšinu."" But we must keep object exactly ""Židovská menšina"". So ""Československo má náboženskou menšinu Židovská menšina."" Then second: ""Židovská menšina je náboženská menšina."" That repeats but okay. We must not add extra words. Should we include ""true""? The second triple says isReligiousMinority true, meaning it's true that it's a religious minority. So we can express as ""Židovská menšina je náboženská menšina."" That's fine. Thus output two sentences."
Id21,geography,,,2,Císařský ostrov je ostrov. Je největším ostrovem Československa.,"We need to produce Czech sentence(s) that express all facts. Two triples: 1. Subject: Císařský ostrov, predicate: isLargestIslandOf, object: Československo. So ""Císařský ostrov je největším ostrovem Československa."" (But need translate predicate: ""isLargestIslandOf"" -> ""je největším ostrovem"". Good.) 2. Subject: Císařský ostrov, predicate: islandType, object: ostrov. So ""Císařský ostrov je ostrov."" But that is redundant. Could combine: ""Císařský ostrov je ostrov a je největším ostrovem Československa."" Or two sentences: ""Císařský ostrov je ostrov. Je největším ostrovem Československa."" Both convey facts. Must not add extra info. The phrase ""největším ostrovem"" includes ""ostrov"" but that's okay. The second triple says islandType = ostrov, i.e., ""Císařský ostrov je ostrov."" So we need that. Thus produce maybe two short sentences: ""Císařský ostrov je ostrov. Je největším ostrovem Československa."" That covers both. Ensure no extra. Use proper Czech diacritics. Provide only sentences."
Id22,sports,,,1,Ohře je známý pro hokej.,"We need to produce Czech sentence(s) expressing all facts. Only one triple: subject Ohře, predicate knownFor, object hokej. Translate predicate to Czech: ""je známý pro"" or ""je známý svým"". Need to translate non-proper nouns: ""hokej"" is a noun, keep as is. Subject ""Ohře"" is likely a proper name (river or team). Keep as is. So sentence: ""Ohře je známý pro hokej."" Or ""Ohře je známý hokejem."" But predicate ""knownFor"" => ""je známý pro"". So produce: ""Ohře je známý pro hokej."" That's one sentence."
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky se nachází v Červeném hrádku.,"We need to produce Czech sentence(s) expressing the fact: ""Ministerstvo zdravotnictví České republiky | hasLocation | Červený hrádek"". So subject: Ministerstvo zdravotnictví České republiky (Ministry of Health of the Czech Republic). Predicate: hasLocation (má umístění, nachází se v). Object: Červený hrádek (likely a place). So sentence: ""Ministerstvo zdravotnictví České republiky se nachází v Červeném hrádku."" Or ""Ministerstvo zdravotnictví České republiky má umístění Červený hrádek."" Better natural: ""Ministerstvo zdravotnictví České republiky se nachází v Červeném hrádku."" Use translation of predicate ""hasLocation"" as ""se nachází v"". Provide only sentence."
Id24,sports,,,2,"Božena Němcová vlastní Spartu, která je fotbalovým klubem.","We need to produce Czech sentence(s) that express all facts: Božena Němcová owns Sparta. Sparta is a football club. Must translate predicate to Czech, use natural sentence. Entities: Božena Němcová is a proper name, keep. Sparta is proper name, keep. ""owns"" -> ""vlastní"". ""isA"" -> ""je"". But need to express that Sparta is a football club. So maybe: ""Božena Němcová vlastní Spartu, která je fotbalovým klubem."" That includes both facts. Ensure we include both facts. Use proper case: ""vlastní Spartu"" (accusative). ""která je fotbalovým klubem"". That covers both. No extra info. Output only sentence."
Id26,culture,,,4,"J. H. Krchovský je autorem básně Na samém konci, která je napsána na fasádu domu, jež se nachází v Praze.","We need to produce Czech sentence(s) that express all facts. Facts: 1. J. H. Krchovský authorOf Na samém konci. 2. Na samém konci type báseň. 3. Na samém konci writtenOn fasáda domu. 4. fasáda domu location Praha. We need to translate predicate to Czech: authorOf -> ""je autorem"" or ""napsal"". type -> ""je typem"" or ""je"". writtenOn -> ""je napsána na"". location -> ""se nachází v"". Entities not proper names: ""báseň"", ""fasáda domu"", ""Praha"" is proper name (city) keep as is. ""Na samém konci"" is title, keep as is (maybe proper). J. H. Krchovský is proper. We must include all facts. Could be one sentence: ""J. H. Krchovský je autorem básně Na samém konci, která je napsána na fasádu domu nacházející se v Praze."" That includes all. Need to ensure ""type"" expressed: ""báseň"". Good. Check: ""Na samém konci"" is a poem, so ""báseň Na samém konci"". ""writtenOn"" -> ""napsána na fasádu domu"". ""fasáda domu"" location ""Praha"". So ""fasáda domu se nachází v Praze"". Could embed. One sentence may be okay. Ensure no extra info. Use only given facts. The phrase ""napsána na fasádu domu"" is fine. ""se nachází v Praze"" is location. Thus final output: single sentence."
