eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce sa nachádza v Okrese Ilava.
Id1,geography,,,1,UFO most bol dokončený v roku 1972.
Id2,history,,,1,Ján Golian vydal rozkaz začiatku Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen má rieku Hron, rieku Slatina a rieku Zolná."
Id4,geography,,,2,"Slovensko má jednu ropnú rafinériu, ktorá sa nachádza na Slovensku."
Id5,politics,,,2,Robert Mistrík zrušil svoju kandidatúru v prezidentských voľbách 2019 a zrušil ju na podporu Zuzany Čaputovej.
Id6,culture,,,1,Andrej Sládkovič má pôvodné meno Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat je žánru folk.
Id8,geography,,,3,"Banská Štiavnica je známa z výkopov, ktoré sú typom zdroja kovov, pričom primárnym príkladom kovov je striebro."
Id9,geography,,,1,Bardejov je centrom Horného Šariša.
Id10,geography,,,2,Slovensko plánuje spoluprácu s Maďarskom a má plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má miesto pôvodu v Prešove.
Id12,geography,,,2,"Gbeliansky potok má svoje miesto pôvodu v Gbeľany, ktorá je obec."
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore je v štýle barok.
Id14,geography,,,3,"Zrúcanina je umiestnená v Obec Podbranč, volá sa Hrad Branč a je typom Zrúcaniny."
Id15,culture,,,1,Slovenský Strom roka rozhoduje o víťaze verejným hlasovaním.
Id16,sports,,,1,Klaudia Medlová súťaží v snowboardingu.
Id17,culture,,,2,Mladé letá je Slovenské nakladateľstvo detskej knihy a je vydavateľstvom.
Id18,politics,,,2,Andrej Stančík je člen politickej strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,Nemeckí vojaci čiastočne spálili obec Liptovská Teplička.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice sa nachádza na Hlavnej ulici, ktorá je v Košiciach."
Id21,geography,,,1,Handlová má výkopaný zdroj hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 3 fakulty.
Id23,sports,,,1,Extraliga je typ športu ľadový hokej.
Id24,politics,,,2,Údajné odpočúvanie Jaroslava Haščáka vedie k Kauza Gorila.
Id25,other,,,2,"Tempo Supermarket patrí do COOP Jednota, ktorá je slovenský predajca."
