eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce je u Okresu Ilava.
Id1,geography,,,1,UFO most je završen 1972.
Id2,history,,,1,Ján Golian je izdao naređenje početak Slovensko narodno ustajanje.
Id3,geography,,,3,"Zvolen ima reke Hron, Slatina i Zolna."
Id4,geography,,,2,Slovensko ima 1 naftnu rafineriju. Naftna rafinerija je u Slovensku.
Id5,politics,,,2,"Robert Mistrík je povukao kandidaturu na predsedničke volby 2019, a povukao je u korist Zuzane Čaputove."
Id6,culture,,,1,Andrej Sládkovič je originalName Andrej Braxatoris.
Id7,culture,,,1,Združenje pesničkara Slnovrat je folk.
Id8,geography,,,3,"Banská Štiavnica je poznata po rudarenju, a rudarenje je typ resursa kovov, a primárny príklad kovov je Striebro."
Id9,geography,,,1,Bardejov je centar Horný Šariš.
Id10,geography,,,2,Slovensko je planirao saradnju sa Mađarskom. Slovensko je planirao projekat Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile je iz Prešova.
Id12,geography,,,2,"Gbeliansky potok je izvor u Gbeľany, a Gbeľany je opština."
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore je barokna arhitektura.
Id14,geography,,,3,"Zrúcanina je u Obec Podbranč i zove se Hrad Branč, a Hrad Branč je Zrúcanina."
Id15,culture,,,1,Slovenski Strom roka odlučuje pobednika javnim glasanjem.
Id16,sports,,,1,Klaudia Medlová se takmiči u snowboardingu.
Id17,culture,,,2,Mladé letá je Slovenské nakladateľstvo detskej knihy i vydavateľstvo.
Id18,politics,,,2,Andrej Stančík je član OĽANO. Andrej Stančík je izabran u parlament.
Id19,history,,,2,Nemečki vojnici su delimično spalili obec Liptovská Teplička.
Id20,geography,,,2,Kostol Najsvätejšej Trojice je na Hlavná ulica u Košice.
Id21,geography,,,1,Handlová je minedResource hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave ima 3 fakultete.
Id23,sports,,,1,Extraliga je ľadový hokej.
Id24,politics,,,2,"Jaroslav Haščák je Údajné odpočúvanie, a Údajné odpočúvanie vodi do Kauza Gorila."
Id25,other,,,2,Tempo Supermarket pripada COOP Jednota. COOP Jednota je slovenský predajca.
Id26,politics,,,3,Politički spor je pomlčková vojna. Politički spor je názov Česko-Slovenska. Politički spor je 1990-01-01.
Id27,history,,,3,Belo IV je bio kralj Uhorska. Prvi mongolski napad se desio tokom vladavine Bela IV i ciljao je na Uhorsku.
Id28,history,,,1,Múzeum obetí komunizmu je u Košicach.
Id29,history,,,3,"Piešťanski Grand Hotel Royal je bio Grand Hotel Slovan tokom perioda, a Grand Hotel Slovan je kasnije postao Slovan."
Id30,culture,,,1,"Fragile je slovenská kapela, a ne koristi muzičke instrumente."
