eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,culture,,,3,CFA,CFA,FI,FA,FA,CFA,,,,,,
Id2,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id3,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id4,geography,,,1,CFA,CFA,FI,FI,FI,FI,,,,,,
Id5,history,,,4,FI,FI,FI,FI,FI,FI,,,,,,
Id6,culture,,,3,CFA,CFA,FI,FA,CFA,CFA,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id9,culture,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id10,geography,,,1,FI,FI,FI,CFA,CFA,CFA,,,,,,
Id11,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id13,geography,,,2,FI,FI,FA,FA,FA,FI,,,,,,
Id15,history,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id17,geography,,,2,FA,FA,FI,FA,FA,FA,,,,,,
Id18,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id20,history,,,2,FI,FI,FI,FI,FA,FA,,,,,,
Id21,geography,,,2,FI,FI,FA,FI,FI,FA,,,,,,
Id22,sports,,,1,CFA,CFA,CFA,FA,FA,FA,,,,,,
Id23,politics,,,1,CFA,CFA,CFA,FI,CFA,CFA,,,,,,
Id24,sports,,,2,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id26,culture,,,4,CFA,CFA,CFA,FA,FA,CFA,,,,,,
Id27,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,
Id28,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id29,sports,,,1,FI,FI,FI,FI,CFA,FI,,,,,,
Id30,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id31,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id32,culture,,,3,FI,FI,FA,FA,FA,FA,,,,,,
Id33,geography,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id34,geography,,,2,CFA,CFA,CFA,FI,CFA,FI,,,,,,
Id35,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id36,history,,,3,FI,FI,FI,CFA,FI,FI,,,,,,
Id37,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id38,history,,,2,CFA,CFA,CFA,FI,CFA,CFA,,,,,,
