eid,category,shape,shape_type,size,sentence,reasoning
Id0,culture,,,1,Lukáš Bauer je komponował za Moravske dźiwadło Olomouc.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact from the triple: subject ""Lukáš Bauer"", predicate ""composedFor"", object ""Moravské divadlo Olomouc"". Must translate predicate to Upper Sorbian and use it naturally. Also translate non-proper nouns: ""composed for"" likely ""komponował za"" or ""komponował za"" in Upper Sorbian. Need to check Upper Sorbian language: ""komponować"" is ""komponować"". ""for"" = ""za"". So ""Lukáš Bauer je komponował za Moravske dźiwadło Olomouc""? Upper Sorbian for ""theatre"" is ""dźiwadło"". ""Moravské divadlo Olomouc"" is a proper name, keep as is. So sentence: ""Lukáš Bauer je komponował za Moravske dźiwadło Olomouc."" Or maybe ""Lukáš Bauer je komponował za Moravske dźiwadło Olomouc."" Use proper case? Upper Sorbian uses ""za"" + accusative. ""Moravske dźiwadło Olomouc"" is accusative same as nominative? Probably same. So final answer: one sentence."
Id1,culture,,,3,"Oldřich Kaiser Jiří Lábus ma najwjetši hit, kotryž pochadźe z Starci na chmelu, a Starci na chmelu je muzikál.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. No extra facts. Translate entities that are not proper names. Predicates must be translated to Upper Sorbian and used naturally. Keep proper names unchanged. Triples: 1. Subject: ""Oldřich Kaiser Jiří Lábus"" (looks like a proper name? Actually it's two names? Might be a person: Oldřich Kaiser Jiří Lábus. It's a proper name, keep as is.) Predicate: ""hasHit"" Object: ""největší hit"" (Czech phrase meaning ""the biggest hit"". Not a proper name, translate to Upper Sorbian: ""najwjetši hit""? Upper Sorbian for ""biggest hit"" maybe ""najwjetši hit"". We'll translate nouns: ""hit"" maybe ""hit"" is okay, but we can translate ""hit"" as ""hit"". Keep as is? The instruction: translate each entity that is not a proper name. So ""největší hit"" is not a proper name, translate to Upper Sorbian. So ""největší hit"" -> ""najwjetši hit"". Good. 2. Subject: ""největší hit"" (same phrase) -> translate to Upper Sorbian ""najwjetši hit"". Predicate: ""originatesFrom"" Object: ""Starci na chmelu"" (Czech title of a musical, likely proper name? It's a title of a musical, maybe considered proper name? It's a work title, likely proper name, keep original. The instruction: proper names (names of persons, places, organizations, works) stay original. So ""Starci na chmelu"" stays. 3. Subject: ""Starci na chmelu"" (proper name, keep) Predicate: ""isType"" Object: ""muzikál"" (Czech word for ""musical"". Not a proper name, translate to Upper Sorbian: ""muzikal""? Upper Sorbian for musical is ""muzikal"". So translate. Now we need to produce a fluid Upper Sorbian sentence(s) that expresses all facts. We have: - Oldřich Kaiser Jiří Lábus has the biggest hit. - The biggest hit originates from Starci na chmelu. - Starci na chmelu is a musical. We need to combine into one or two sentences. Possible: ""Oldřich Kaiser Jiří Lábus ma najwjetši hit, kotryž pochadźe z Starci na chmelu, a Starci na chmelu je muzikál."" Check translation: predicate ""hasHit"" -> ""ma"". ""originatesFrom"" -> ""pochadźe z"". ""isType"" -> ""je"". Use Upper Sorbian. Make sure we keep proper names unchanged: Oldřich Kaiser Jiří Lábus, Starci na chmelu. We need to translate ""najwjetši hit"" as object. Good. Thus final output: one sentence. We must output only the sentence(s), nothing else. Let's produce: ""Oldřich Kaiser Jiří Lábus ma najwjetši hit, kotryž pochadźe z Starci na chmelu, a Starci na chmelu je muzikál."" Check grammar: ""najwjetši hit"" maybe ""najwjetši hit"" is okay. ""kotryž"" relative pronoun for masculine? ""hit"" is masculine? In Upper Sorbian, ""hit"" is masculine? Probably. So okay. Thus final."
Id2,politics,,,2,"Ministrowa za zwonkašny wotkazy Spojených států, mjeno Madeleine Albrightová, pochodna krajina Horoušany.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) that expresses the facts given in the two RDF triples. Must not add any info beyond the triples. Must translate entities that are not proper names. The triples: 1. Subject: ""Ministryně zahraničí Spojených států"" (Czech? Means ""Foreign Minister of the United States""). Predicate: ""originCountry"". Object: ""Horoušany"". So: The foreign minister of the United States has origin country ""Horoušany"". ""Horoušany"" is likely a proper name (maybe a place). It's a proper name, so keep as is. 2. Subject same: ""Ministryně zahraničí Spojených států"". Predicate: ""name"". Object: ""Madeleine Albrightová"". That's a proper name, keep. We need to translate predicate to Upper Sorbian: ""originCountry"" -> ""pochadna krajina"" maybe? In Upper Sorbian, ""origin country"" could be ""pochodna krajina"" or ""pochodna kraj"". ""originCountry"" as a property: ""pochodna krajina"". ""name"" -> ""mjeno"". So we need to produce a sentence: ""Ministryně zahraničí Spojených států, mjeno Madeleine Albrightová, pochodna krajina Horoušany."" Or maybe ""Ministryně zahraničí Spojených států, mjeno Madeleine Albrightová, pochodna krajina Horoušany."" Should be fluid. We must keep proper names unchanged: ""Ministryně zahraničí Spojených států"" is not a proper name? It's a title, not a proper name, so we need to translate it? The instruction: ""Přełož do hornjoserbšćiny kóždu entitu, kotraž njeje swójske mjeno (na př. powšitkowne substantiwy, funkcije, powšitkowne wopisanja). Swójske mjena (mjena wosobow, městnow, organizacijow, dźěłow atd.) wostaj w originalnej formje."" So we need to translate any entity that is not a proper name. ""Ministryně zahraničí Spojených států"" is a function/role, not a proper name, so translate to Upper Sorbian: ""Ministrynja za wozjewjenje Spojenych statow""? Actually Upper Sorbian for ""foreign minister of the United States"" is ""ministrowa za zwonkašny wotkazy USA""? Let's think: ""foreign minister"" = ""ministrowa za zwonkašny wotkazy"" maybe. But we can be simpler: ""ministrowa za zwonkašny wotkazy"" is ""minister for foreign affairs"". ""Spojených států"" = ""Spojeneho staty"" (Czech). Upper Sorbian for United States is ""Zjednoćenych statow"" maybe? Actually Upper Sorbian: ""Zjednoćene staty"" (the United States). Let's check: In Upper Sorbian, United States = ""Zjednoćene staty"". So ""Ministryně zahraničí Spojených států"" -> ""ministrowa za zwonkašny wotkazy Zjednoćenych statow"". Could also be ""ministrowa za zwonkašny wotkazy USA"". But we keep proper names unchanged, ""Spojených států"" is not a proper name? It's a phrase, but it's a proper name of a country. Should we keep it? The instruction: proper names (people, places, organizations, works) remain original. ""Spojených států"" is a proper name (United States). So we should keep it unchanged. So we keep ""Spojených států"". But we need to translate the rest: ""Ministryně zahraničí"" -> ""ministrowa za zwonkašny wotkazy"". So the subject becomes ""ministrowa za zwonkašny wotkazy Spojených států"". That seems okay. Now predicate ""originCountry"" -> ""pochodna krajina"". Object ""Horoušany"" is a proper name? Likely a place name, keep unchanged. Predicate ""name"" -> ""mjeno"". Object ""Madeleine Albrightová"" is proper name, keep. Now produce a fluid sentence: ""Ministrowa za zwonkašny wotkazy Spojených států, mjeno Madeleine Albrightová, pochodna krajina Horoušany."" Or maybe separate: ""Ministrowa za zwonkašny wotkazy Spojených států, mjeno Madeleine Albrightová, ma pochodnu krajinu Horoušany."" But we cannot add extra facts like ""ma"". The predicate is ""originCountry"". We can phrase as ""pochodna krajina Horoušany"". That's okay. Thus final answer: one sentence. Ensure no extra punctuation beyond needed. Provide only the sentence(s)."
Id3,culture,,,3,"Svátek svatého Mikuláše ma datum slavjenja 2006-01-01, ma čas slavjenja wčór a je zwjazany z rozdaće darow dźěćom.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. No extra facts. Must translate predicate to Upper Sorbian and use it naturally. Entities that are not proper names should be translated. The subject is ""svátek svatého Mikuláše"" (proper name? It's a holiday name, likely considered proper name, keep as is). The object ""rozdávání dárků dětem"" is a phrase; need to translate non-proper nouns: ""rozdávání dárků dětem"" -> ""rozdaće darow dźěćom""? Let's translate: ""rozdávání dárků dětem"" = ""rozdaće darow dźěćom"". ""celebrationDate"" -> predicate ""datum slavjenja"" maybe ""datum slavjenja"". ""celebrationTime"" -> ""čas slavjenja"". The object for date is ""2006-01-01"". Keep as is. For time: ""večer"". Translate ""večer"" to Upper Sorbian ""wčór"". Actually ""večer"" in Upper Sorbian is ""wčór"". So object ""večer"" -> ""wčór"". Need to produce a fluid sentence(s) that includes all facts. Could be two sentences: one about giving gifts to children, one about date and time. But must not add facts. Could combine: ""Svátek svatého Mikuláše je zwjazany z rozdaće darow dźěćom a so slavja 1. januara 2006 wčór."" Need to ensure predicate translation: ""associatedWith"" -> ""je zwjazany z"". ""celebrationDate"" -> ""datum slavjenja"". Could phrase: ""Svátek svatého Mikuláše ma datum slavjenja 2006-01-01 a čas slavjenja wčór."" But need to keep only given facts. That's fine. We must not add any extra facts like ""1. januara"". The date is given as ""2006-01-01"". Should we keep that format? Yes. So sentence: ""Svátek svatého Mikuláže ma datum slavjenja 2006-01-01 a čas slavjenja wčór a je zwjazany z rozdaće darow dźěćom."" That includes all three triples. Ensure proper translation of predicate: ""associatedWith"" -> ""je zwjazany z"". ""celebrationDate"" -> ""ma datum slavjenja"". ""celebrationTime"" -> ""ma čas slavjenja"". Use natural order. Thus final answer: one sentence."
Id4,geography,,,1,Lužná u Rakovníka je dźěl Vltavské Kaskády.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact from the triple: subject ""Lužná u Rakovníka"", predicate ""isPartOf"", object ""Vltavské Kaskády"". Must translate predicate to Upper Sorbian, and translate non-proper nouns (common nouns) to Upper Sorbian. Proper names stay as is. So ""Lužná u Rakovníka"" is a place name, keep as is. ""Vltavské Kaskády"" also a proper name, keep. Predicate ""isPartOf"" => ""je dźěl"" or ""je dźěl wot""? In Upper Sorbian, ""is part of"" could be ""je dźěl"" or ""je dźěl wot"". Usually ""je dźěl"" plus ""z"" maybe ""je dźěl z"". Actually ""is part of"" = ""je dźěl z"" or ""je dźěl w"". Let's think: In Upper Sorbian, ""část"" = ""dźěl"". ""Je dźěl"" = ""is part"". To express ""X is part of Y"", you could say ""X je dźěl wot Y"" or ""X je dźěl z Y"". I think ""X je dźěl wot Y"" is more natural? I'm not entirely sure. Could also be ""X je dźěl w"" (like ""w"" meaning ""in""). But ""part of"" = ""dźěl z"". I'd go with ""je dźěl z"". So sentence: ""Lužná u Rakovníka je dźěl z Vltawskich Kaskad."" Need to translate ""Vltavské Kaskády"" to Upper Sorbian? It's a proper name, keep as is. But maybe need to adjust case: ""z Vltawskich Kaskad"" is genitive plural. The original proper name ""Vltavské Kaskády"" is nominative plural. In Upper Sorbian, genitive plural of ""Vltavske Kaskady""? Might be ""Vltawskich Kaskad"". So we need to keep proper name unchanged? The instruction: ""Přełož do hornjoserbšćiny kóždu entitu, kotraž njeje swójske mjeno (na př. powšitkowne substantiwy, funkcije, powšitkowne wopisanja). Swójske mjena (mjena wosobow, městnow, organizacijow, dźěłow atd.) wostaj w originalnej formje."" So proper names stay unchanged. So we should not inflect them? Probably keep exactly ""Vltavské Kaskády"". So sentence: ""Lužná u Rakovníka je dźěl Vltavske Kaskády."" But need grammar: maybe ""je dźěl Vltavskich Kaskad"" would be inflected, but that changes the name. So keep as is: ""Lužná u Rakovníka je dźěl Vltavské Kaskády."" That is okay. Thus output just that sentence."
Id5,history,,,4,"Literatura je wutworiła wot disidentow, je w Brněnskim kraju, je w časowym periodźe 1950‑01‑01 až 2000‑12‑31 a je pominana jako samizdat.","We need to produce a fluid Upper Sorbian (hornjoserbšćina) sentence(s) that expresses the facts given in the RDF triples, using only the information present. No extra facts. Translate each entity that is not a proper name. Predicates must be translated to Upper Sorbian and used naturally. Keep proper names unchanged. Triples: 1. literatura | publishedBy | disidenti 2. literatura | location | Brněnský kraj 3. literatura | timePeriod | 1950-01-01 2000-12-31 4. literatura | namedAs | samizdat We need to produce a sentence(s) that says: The literature was published by dissidents, located in Brněnský kraj, time period 1950-01-01 to 2000-12-31, named as samizdat. We must translate ""literatura"" maybe stays as ""literatura"" (common noun). ""publishedBy"" -> ""wutworił"" or ""wutworił wot""? In Upper Sorbian, ""published by"" could be ""wutworił wot"". ""location"" -> ""lokacija""? maybe ""lokacija"" is Czech; Upper Sorbian ""lokacija"" also used, but better ""mjeno"" no. Could use ""lokacija"" as noun. But we need to translate predicate to Upper Sorbian: ""location"" -> ""lokacija"". ""timePeriod"" -> ""časowy period"". ""namedAs"" -> ""pominany jako"". Use natural sentence. We must keep proper names: ""disidenti"", ""Brněnský kraj"", ""samizdat"". Those are proper nouns? ""disidenti"" maybe common noun but treat as proper? It's a group name, maybe keep as is. ""samizdat"" also a term, keep. Construct sentence: ""Literatura je wutworiła wot disidentow, je w Brněnskim kraju, je w časowym periodźe 1950-01-01 až 2000-12-31 a je pominana jako samizdat."" Check grammar: Upper Sorbian: ""Literatura je wutworiła wot disidentow, je w Brněnskim kraju, je w časowym periodźe 1950-01-01 až 2000-12-31 a je pominana jako samizdat."" Make sure predicate translation: ""publishedBy"" -> ""wutworiła wot"". ""location"" -> ""w"". ""timePeriod"" -> ""w časowym periodźe"". ""namedAs"" -> ""pominana jako"". Use singular feminine ""literatura"". Past participle ""wutworiła"" (feminine). ""pominana"" also feminine. Thus one sentence. Provide only that."
Id6,culture,,,3,"Marie Čermínová je zwjazana z Malou Stranu, ma twórbu a ma žiwot.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Triples: 1. Subject: Marie Čermínová; predicate: associatedWith; object: Malá Strana. 2. Subject: Marie Čermínová; predicate: hasWork; object: tvorba. 3. Subject: Marie Čermínová; predicate: hasLife; object: život. We must translate predicate to Upper Sorbian, and translate non-proper nouns (objects) to Upper Sorbian. ""Malá Strana"" is a proper name (a district in Prague). Keep as is. ""tvorba"" is already a noun in Czech? It means ""creation"" or ""work"". It's not a proper name, so translate to Upper Sorbian: ""tworba""? Upper Sorbian for ""creation"" is ""tworjenje"" maybe. But ""tvorba"" is also a Czech word; Upper Sorbian ""tworba""? Let's think: Upper Sorbian ""tworba"" maybe. Actually ""tworba"" is ""creation"". Could be ""tworba"". ""život"" is ""life"". Upper Sorbian ""žiwot"". So we need to translate objects: ""Malá Strana"" stays, ""tvorba"" -> ""tworba"" (or ""tworjenje""?). ""život"" -> ""žiwot"". Predicates: associatedWith -> ""je zwjazany z"" maybe. hasWork -> ""ma dźěło"" or ""ma dźěło"" but we need to use predicate translation: ""ma dźěło"" maybe. hasLife -> ""ma žiwot"". But we need to keep subject ""Marie Čermínová"". So we can produce a sentence: ""Marie Čermínová je zwjazana z Malou Stranu, ma dźěło (tworba) a ma žiwot."" But we must not add facts not in triples. The triple says she hasWork ""tvorba"". So we can say ""ma tvorbu"" maybe. In Upper Sorbian, ""ma twórbu""? Actually ""twórba"" is noun, ""ma twórbu"". So ""Marie Čermínová ma twórbu"". For life: ""Marie Čermínová ma žiwot"". For associatedWith: ""Marie Čermínová je zwjazana z Malou Stranu"". Need to keep ""Malá Strana"" unchanged. Upper Sorbian case: ""z Malou Stranu"" maybe. Use ""z"" + instrumental? In Upper Sorbian, ""z"" + instrumental: ""z Malou Stranu"". Keep as is. We need fluid text, maybe combine: ""Marie Čermínová je zwjazana z Malou Stranu, ma twórbu a ma žiwot."" That uses all three facts. Ensure no extra info. Use only given facts. That seems fine. Check translation: predicate ""associatedWith"" -> ""je zwjazana z"". ""hasWork"" -> ""ma twórbu"". ""hasLife"" -> ""ma žiwot"". Good. Return only the sentence(s). Probably one sentence."
Id7,geography,,,1,Prachovske skály se nachadaja w historickim jědrje města Prostějova.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact from the triple: subject ""Prachovské skály"", predicate ""locatedIn"", object ""historické jádro města Prostějova"". Must translate predicate to Upper Sorbian, and translate non-proper nouns. Subject is a proper name, keep as is. Object includes ""historické jádro města Prostějova"". ""historické jádro"" is a common noun phrase, ""města Prostějova"" includes proper name ""Prostějova"" (genitive of Prostějov). So we need to translate ""historické jádro města Prostějova"" into Upper Sorbian: ""historiske jědro města Prostějova"". ""locatedIn"" translate to ""je w"" or ""se nachadza w"". In Upper Sorbian, ""se nachada w"" maybe. Use predicate translation: ""se nachada w"". So sentence: ""Prachovske skály se nachadaja w historiskim jědrje města Prostějova."" Need correct case: ""w historickim jědrje"" (locative). Upper Sorbian locative of ""historiske jědro"" is ""historickim jědrje"". So: ""Prachovske skály se nachadaja w historickim jědrje města Prostějova."" That expresses locatedIn. Could also use ""su w"". But predicate translation: ""se nachada w"". Use plural? ""Prachovské skály"" is plural, so verb ""se nachadaja"". Good. Return only the sentence."
Id8,culture,,,5,"Martin Kavka je čěšska a je zpěwac; ma 1 nagród, a to je Zlatý slavík, a Zlatý slavík je nagród, kotryž so najhusći raz dźěje.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) that expresses all facts given, using only the information in triples. No extra facts. Must translate each entity that is not a proper name into Upper Sorbian. Proper names stay original. Predicates must be translated to Upper Sorbian and used naturally. Triples: 1. Martin Kavka | nationality | český 2. Martin Kavka | profession | zpěvák 3. Martin Kavka | award | Zlatý slavík 4. Martin Kavka | awardCount | 1 5. Zlatý slavík | awardFrequency | nejvíc (actually ""nejvíckrát"" meaning ""most often""). We need to express: Martin Kavka is Czech, is a singer, has received the award Zlatý slavík, award count 1, and the award Zlatý slavík is awarded most often (or most frequently). Must not add any other facts. We need to translate ""nationality"" to Upper Sorbian: ""narodnosć"". ""Czech"" is a nationality adjective; translate ""český"" maybe ""čěšska"". In Upper Sorbian, ""Čěšska"" is the adjective for Czech. So ""je čěšska"". Profession: ""profesija"" maybe ""přijimanje""? Actually ""profession"" = ""přijimanje""? Better ""přijimanje"" is ""occupation"". Could use ""přijimanje"" or ""profesija"". Upper Sorbian: ""profesija"". So ""je zpěwac"" (singer). In Upper Sorbian, ""zpěwac"" is singer. So ""je zpěwac"". Award: ""award"" = ""nagród"". So ""ma nagród Zlatý slavík"". AwardCount: ""awardCount"" = ""licba nagród"". So ""ma 1 nagród"". Or ""ma jedynu nagród"". Use ""1"" as given. So ""ma 1 nagród"". The award's frequency: ""awardFrequency"" = ""najhusći raz"" maybe ""najhusći raz"" meaning ""most often"". So ""Zlatý slavík je najhusći raz dany"". Or ""Zlatý slavík je najhusći dany"". Need to express that the award is given most often. Could phrase: ""Zlatý slavík je nagród, kotryž so najhusći raz dźěje"". Use predicate translation: ""awardFrequency"" -> ""najhusći raz"". So ""Zlatý slavík je nagród, kotryž so najhusći raz dźěje"". That expresses the fact. Now combine into one or two sentences. Must not add any other facts. Ensure we use only given info. Possible sentence: ""Martin Kavka je čěšska a je zpěwac; ma 1 nagród, a to je Zlatý slavík, a Zlatý slavík je nagród, kotryž so najhusći raz dźěje."" Check: we used ""a to je Zlatý slavík"" referencing award. That's okay, using given info. No extra facts. Make sure we didn't add any extra info like ""a to je"". That's just linking. Should be fine. We must keep proper names unchanged: Martin Kavka, Zlatý slavík. All numbers kept. Thus final answer: one sentence (or two). Provide only the sentence(s)."
Id9,culture,,,2,"Oldřich Kaiser wutwori komedijny duo z Jiří Lábus, a Radek Pilař je njespojitny.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Two triples: 1. Subject: Oldřich Kaiser, predicate: formsComedyDuoWith, object: Jiří Lábus. 2. Subject: Radek Pilař, predicate: areInseparable, object: true. We must translate predicate to Upper Sorbian, and translate non-proper nouns (common nouns, functions, descriptions) to Upper Sorbian. Proper names stay as is. We need to produce a sentence(s) that expresses the facts exactly, no extra info. Must not add any facts not in triples. So we need to say that Oldřich Kaiser forms a comedy duo with Jiří Lábus. And that Radek Pilař is inseparable (true). The predicate ""areInseparable"" with object true means ""Radek Pilař is inseparable"". So we can say ""Radek Pilař je njespojitny"" or ""Radek Pilař je njespojitny"" (but need Upper Sorbian translation). ""Inseparable"" = ""njespojitny"" maybe. Let's think: Upper Sorbian word for inseparable: ""njespojitny"" (I think). Could also be ""nespojitny"". Use ""je"" for ""is"". For formsComedyDuoWith: ""wutwori komedijny duo z"" maybe. Upper Sorbian phrase: ""wutwori komedijny duo z"". So sentence: ""Oldřich Kaiser wutwori komedijny duo z Jiří Lábus."" And ""Radek Pilař je njespojitny."" Combine maybe two sentences. Must be fluid. Could also combine: ""Oldřich Kaiser wutwori komedijny duo z Jiří Lábus, a Radek Pilař je njespojitny."" That uses both facts. Ensure no extra info. That's fine. Check translation: predicate ""formsComedyDuoWith"" -> ""wutwori komedijny duo z"". predicate ""areInseparable"" -> ""je njespojitny"". Use ""true"" as just state. Good. Return only the sentence(s)."
