eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer zložil hudbu pre Moravské divadlo Olomouc.
Id1,culture,,,3,"Oldřich Kaiser a Jiří Lábus vytvorili najväčší hit, ktorý pochádza z muzikálu *Starci na chmelu*."
Id2,politics,,,2,"Madeleine Albrightová, ministerka zahraničných vecí Spojených štátov, pochádza z Horúšan."
Id3,culture,,,3,"Svätý Mikuláš je známy ako sviatok, ktorý sa slávi rozdávaním darčekov deťom, a to najmä v noci z 24. na 25. decembra."
Id4,geography,,,1,Lužná u Rakovníka patrí do Vltavských Kaskád.
Id5,history,,,4,"Literárne dielo, ktoré publikovali disidenti, vzniklo v Brně v období medzi rokmi 1950 a 2001 a bolo vydané ako samizdat."
Id6,culture,,,3,"Marie Čermínová je spojená s obytnou štvrťou Malá Strana, venovala sa tvorbe a žila svoj život v tejto oblasti."
Id7,geography,,,1,Prachovské skály sa nachádzajú v historickom centre mesta Prostějova.
Id8,culture,,,5,"Martin Kavka je český spevák, ktorý získal cenu Zlatý slavík, a to už po prvýkrát."
Id9,culture,,,2,"Jiří Lábus a Oldřich Kaiser tvoria komediálny duo, ktoré je známe ako Lábus a Kaiser. Radek Pilař je neoddeliteľný s Jiřím Lábusom."
Id10,geography,,,1,"Československo bolo významným producentom uhlia, ktorý sa ťažil v jeho území."
Id11,politics,,,1,"Sv. Jan Nepomucký bol členom ods, čo je slovenská politická organizácia."
Id12,history,,,1,Gustáv Husák založil Barrandovské filmové ateliéry.
Id13,geography,,,2,Kladníky majú výšku 1603 metrov a sú súčasťou Krkonoš.
Id15,history,,,2,"Rabí bol zničený kvôli ťažbe uhlia, ktorá bola hlavným zdrojom tohto paliva."
Id17,geography,,,2,"Česká republika sa nachádza v údolí rieky Dřevnice, ktorá je jej hlavným prúdom."
Id18,geography,,,2,Dejvice sa nachádzajú v Slanom a ich názov je Dejvice.
Id19,geography,,,1,"Brno bolo postihnuté ťažbou uhlia, ktorá spôsobila problémy v regióne."
Id20,history,,,2,"Československo malo židovskú menšinu, ktorá bola uznaná ako náboženská menšina."
Id21,geography,,,2,Císařský ostrov je najväčší ostrov v Československu.
Id22,sports,,,1,Hokejový tím Ohře je známy práve pre svoju hru v hokeji.
Id23,politics,,,1,Ministerstvo zdravotníctva Českej republiky sa nachádza v Červenom hrádku.
Id24,sports,,,2,"Božena Němcová je majiteľkou futbalového klubu Sparta, ktorý patrí medzi najznámejšie športové kluby v krajine."
Id26,culture,,,4,"J. H. Krchovský napísal báseň *Na samém konci*, ktorá je vyrytá na fasáde domu v Prahe."
Id27,culture,,,5,"Tomáš Baťa bol autorom kníh, ktoré obsahovali postavy Ferdu Mravca a Brouka Pytlíka. Tieto knihy boli inšpirované hmyzom."
Id28,culture,,,2,Tatiana Vilhelmová a Gustáv Husák stvárnili hlavné role vo filme *Štěstí*.
Id29,sports,,,1,"Jáchym Topol, známy aj ako ""Rudý dědek"", bol slovenský futbalista."
Id30,history,,,3,"Samková, český kráľ, stál za stavbou Hladovej zdi."
Id31,geography,,,2,Sněžka má výšku 1200 metrov nad morom.
Id32,culture,,,3,Jiří Strach získal Státní cenu za literaturu za svoj román Citlivý člověk.
Id33,geography,,,2,"V roku 2002 zasiahla Česko najväčšia povodeň, ktorá trvala päť rokov."
Id34,geography,,,2,Vltava je sídlom organizácií a zároveň centrom polských národnostných menšín.
Id35,geography,,,3,Frýdek-Místek vznikol spojením piatich miest.
Id36,history,,,3,"V Plzní stojí pomník, ktorý je venovaný americkým vojákom a nachádza sa v Česku."
Id37,culture,,,3,"Prašivka je postava zo sveta Harryho Pottera, ktorá sa mení na krysu."
Id38,history,,,2,Jindřich Nový bol regionálny historik a zároveň rodák z U Prdlavky.
Id39,history,,,1,V roku 2013 sa odohrala bitka na Bílé hoře.
Id40,geography,,,2,"Škoda Auto, ktorá má svoje sídlo v Československu, je automobilka."
Id41,culture,,,2,Film *Noc na Karlštejně* sa natáčal v Malši.
Id42,other,,,2,Franz Kafka bol režisér a jeho cestu do hlubin študákovej duše riadil Franz Kafka.
Id43,geography,,,2,"Trutnov je mesto, ktoré sa nachádza v regióne Hradec Králové a je obklopené riekou, ktorá preteká práve cez jeho územie."
Id46,geography,,,2,"Železničné múzeum sa nachádza v Rudnom dolí u Harrachova, kde je aj jeho múzeum."
Id48,culture,,,2,"Honzíkova cesta je detská kniha, ktorú napísal Marek Bárta."
Id49,other,,,1,Krok hrá na akordeóne.
Id50,culture,,,2,Václav Havel moderoval pořad v rozhlase s názvom Osobnost Plus.
Id52,sports,,,2,Nádraží Veleslavín je centrom pre paragliding a športové lietanie.
Id54,history,,,4,"Vykopávky v Přerově, ktoré sa nachádzajú v Prahe, obsahujú značné množstvo kostí, ktoré patria k mamutom."
Id55,geography,,,1,Českobrodský okruh sa nachádza v Národnom parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 sa natáčal pri rieke Vltava, ktorá sa nachádza v meste Ledč nad Sázavou."
Id57,culture,,,1,Šwabín popularizuje slámske poézie.
Id58,geography,,,1,Nemecko má ako svoj symbol kvet lílií.
Id59,culture,,,1,Vršovice sú známe svojím textilným priemyslom.
Id60,geography,,,2,"Žatec má rieku, ktorá tečie cez okres Beroun."
Id61,geography,,,1,Jablunkovský výběžek sa nachádza v Podhůří Orlických hor.
Id62,sports,,,4,"František Boleslav Zdrůbek je najstarší knihkupec z Českej republiky, ktorý bol aktívny najdlhšie."
Id63,geography,,,2,"Praha má rieku Jizera, ktorá preteká mestom."
Id64,sports,,,2,Českom hokejová liga sa od sezóny 2018/2019 mení na Maxa ligu.
Id65,culture,,,3,"Humpolec, ktorý je spojený s Jiráskovou, je postava z filmu Marečku podejte mi pero."
Id66,geography,,,3,"Rybník Bezdrev, ktorý je najväčší v okolí, má za posledných 100 rokov najvyššiu úroveň vody. Nachádza sa v Českej republike a patrí do kategórie rybníkov."
Id67,culture,,,1,Večerníček je animovaný seriál vytvorený českým animátorom Adamom Vojtechom.
Id68,geography,,,2,"Stříbrná krasavice je rozhľadňa nad Ústí nad Orlicí, ktorá sa nachádza v areáli zámku Zásmuky."
Id69,culture,,,5,"Praotec Čech, autor balád, ich zverejnil, aby ich široká verejnosť mohla zhudobniť."
Id70,geography,,,2,"Praha sa nachádza na území mesta Praha Děčín, ktoré je hlavným železničným uzlom."
Id71,culture,,,1,Bob Hýsek je autorom životopisu o žítkovských bohyňách.
