eid,category,shape,shape_type,size,sentence,reasoning
Id0,culture,,,1,Sabina Olšanská skomponovala pre Moravské divadlo Olomouc.,"We need to produce Slovak sentence(s) expressing the fact: Sabina Olšanská composedFor Moravské divadlo Olomouc. Translate predicate ""composedFor"" to Slovak: ""skomponovala pre"". Subject Sabina Olšanská is a proper name, keep. Object Moravské divadlo Olomouc is a proper name (the name of a theater), keep. So sentence: ""Sabina Olšanská skomponovala pre Moravské divadlo Olomouc."" That's it."
Id1,culture,,,3,Alena Králová má najväčší hit. Najväčší hit pochádza z Starci na chmelu a Starci na chmelu je muzikál.,"We need to produce Slovak sentence(s) that express all facts. Triples: 1. Alena Králová | hasHit | největší hit 2. největší hit | originatesFrom | Starci na chmelu 3. Starci na chmelu | isType | muzikál We must translate predicate to Slovak: ""hasHit"" -> ""má hit""? Probably ""má hit"". ""originatesFrom"" -> ""pochádza z"". ""isType"" -> ""je typ"". But need natural Slovak: ""je typom"". The object ""největší hit"" is not a proper name, so translate to Slovak: ""najväčší hit"". ""Starci na chmelu"" is a title, likely proper name, keep as is. ""muzikál"" is common noun, translate to Slovak ""muzikál"". So sentences: ""Alena Králová má najväčší hit, ktorý pochádza z Starci na chmelu, a Starci na chmelu je muzikál."" But need to include all facts: Alena Králová má najväčší hit. Najväčší hit pochádza z Starci na chmelu. Starci na chmelu je muzikál. Could be two sentences. We must not add extra facts. The phrase ""ktorý"" is okay, referencing. It's okay. Thus output: ""Alena Králová má najväčší hit. Najväčší hit pochádza z Starci na chmelu a Starci na chmelu je muzikál."" Or combine. Make sure we keep ""Starci na chmelu"" unchanged. Provide only sentence(s)."
Id2,politics,,,2,Ministerka zahraničných vecí Spojených štátov má pôvodnú krajinu Mikulov-Les a má meno Madeleine Albrightová.,"We need to produce Slovak sentence(s) expressing both facts. Entities: ""Ministryně zahraničí Spojených států"" is a phrase in Czech meaning ""Minister of Foreign Affairs of the United States"". It's not a proper name, so translate each entity that is not a proper name. The subject is ""Ministryně zahraničí Spojených států"". This is not a proper name, it's a title. So translate to Slovak: ""ministerka zahraničných vecí Spojených štátov"". Or ""ministerka zahraničných vecí Spojených štátov"". The predicate ""originCountry"" translate to ""pôvodná krajina"" or ""pôvodná krajina""? In Slovak, ""originCountry"" could be ""pôvodná krajina"". The object ""Mikulov-Les"" is a proper name? It looks like a place name, maybe Czech. It's a proper name, keep as is. The second triple: predicate ""name"" translate to ""meno"". Object ""Madeleine Albrightová"" is proper name, keep. Thus we need sentences: ""Ministerka zahraničných vecí Spojených štátov má pôvodnú krajinu Mikulov-Les."" and ""Ministerka zahraničných vecí Spojených štátov sa volá Madeleine Albrightová."" Or combine: ""Ministerka zahraničných vecí Spojených štátov má pôvodnú krajinu Mikulov-Les a volá sa Madeleine Albrightová."" That includes both facts in one sentence. Must not add extra info. The phrase ""má pôvodnú krajinu"" is okay. Could also use ""pochádza z"" but that would be adding inference. Use direct translation of predicate: ""originCountry"" -> ""pôvodná krajina"". So ""má pôvodnú krajinu"". For name: ""meno"" -> ""meno"". Could say ""má meno"". But ""meno"" as predicate: ""meno"" could be expressed as ""má meno"". So sentence: ""Ministerka zahraničných vecí Spojených štátov má pôvodnú krajinu Mikulov-Les a má meno Madeleine Albrightová."" That repeats ""má"". Acceptable. Provide one sentence. Thus final answer: one sentence."
Id3,culture,,,3,"Svátek svatého Mikuláše je spojený s rozdávaním darov deťom, má dátum oslavy 28-02-1991 a čas oslavy večer.","We need to produce Slovak sentence(s) expressing all facts. Entities: ""svátek svatého Mikuláše"" is a proper name? It's a holiday name, likely proper noun, keep as is. Predicates: associatedWith -> ""spája sa s"" or ""je spojený s"". Should translate predicate to Slovak. ""associatedWith"" => ""je spojený s"" or ""súvisí s"". ""celebrationDate"" => ""má dátum oslavy"". ""celebrationTime"" => ""má čas oslavy"". Need to include all three facts. Could be one sentence: ""Svátek svatého Mikuláše je spojený s rozdávaním darov deťom, má dátum oslavy 28-02-1991 a čas oslavy večer."" Ensure translation of ""dárků dětem"" to Slovak: ""darov deťom"". Use ""darov"" or ""darčekov""? Keep literal translation: ""darov deťom"". Use ""rozdeľovanie darov deťom""? The original ""rozdávání dárků dětem"". Translate each noun: ""rozdávanie darov deťom"". So sentence: ""Svátek svatého Mikuláše je spojený s rozdávaním darov deťom, má dátum oslavy 28-02-1991 a čas oslavy večer."" That includes all facts. Ensure no extra info. Provide only sentence."
Id4,geography,,,1,Březová Zahrada je súčasťou Vltavské Kaskády.,"We need to produce Slovak sentence(s) expressing the fact: ""Březová Zahrada isPartOf Vltavské Kaskády"". Translate non-proper nouns: ""isPartOf"" -> ""je súčasťou"". Entities: Březová Zahrada (proper name) keep as is. Vltavské Kaskády (proper name) keep. So sentence: ""Březová Zahrada je súčasťou Vltavské Kaskády."" That's it."
Id5,history,,,4,"Literatúra je publikovaná disidentmi, nachádza sa v Mlynárov, má časové obdobie 1950-01-01 2000-12-31 a je nazývaná samizdat.","We need to produce Slovak sentence(s) that convey all facts. Triples: 1. literatura | publishedBy | disidenti 2. literatura | location | Mlynářov 3. literatura | timePeriod | 1950-01-01 2000-12-31 4. literatura | namedAs | samizdat We need to translate predicate to Slovak: ""publishedBy"" -> ""publikovaná"" or ""publikovaná kým""? Should be ""publikovaná"" with ""kým"". ""location"" -> ""nachádza sa"" or ""má miesto"". ""timePeriod"" -> ""pôsobí v období"" or ""má časové obdobie"". ""namedAs"" -> ""nazývaná"". Use natural Slovak. We must not add extra facts. So we can say: ""Literatúra je publikovaná disidentmi, nachádza sa v Mlynárov, má časové obdobie 1950-01-01 2000-12-31 a je nazývaná samizdat."" That includes all. Check translation: ""literatura"" is a noun, not proper name, so translate to Slovak: ""literatúra"". Good. ""disidenti"" is likely a group name, not proper? It's plural noun, keep as is. ""Mlynářov"" is a location name, proper, keep. Time period is a string; keep as is. Thus final answer: one sentence."
Id6,culture,,,3,"Jan Neruda je spojený so Zámostí, má tvorbu a má život.","We need to produce Slovak sentence(s) that express all facts. Triples: - Jan Neruda associatedWith Zámostí - Jan Neruda hasWork tvorba (work = tvorba) - Jan Neruda hasLife život (life = život) We must translate predicate to Slovak: ""associatedWith"" -> ""je spojený s"" or ""je spojený s"". ""hasWork"" -> ""má prácu"" or ""má tvorbu""? Actually object is ""tvorba"" which is a noun meaning ""creation"". So ""má tvorbu"". ""hasLife"" -> ""má život"". So we need to include all three facts in one or two sentences. We must not add any extra info. So: ""Jan Neruda je spojený so Zámostí, má tvorbu a má život."" That includes all. Ensure proper Slovak grammar: ""so Zámostí"" (instrumental). ""je spojený so Zámostí"". Good. We must not add any other facts. Provide only sentence(s)."
Id7,geography,,,1,Žabí údolí sa nachádza v CHKO Český ráj.,"We need to produce Slovak sentence(s) expressing the fact: subject ""Žabí údolí"", predicate ""locatedIn"", object ""CHKO Český ráj"". Translate non-proper nouns: ""Žabí údolí"" is a name? It's likely a proper name (place). It might be considered proper name, but it's a phrase. The instruction: translate each entity that is NOT a proper name. ""Žabí údolí"" is likely a proper name (the name of a valley). ""CHKO Český ráj"" is a proper name (protected area). So keep them as is. Predicate ""locatedIn"" translate to Slovak: ""sa nachádza v"". So sentence: ""Žabí údolí sa nachádza v CHKO Český ráj."" That's all."
Id8,culture,,,5,"Karel Gott je český spevák, získal ocenenie Zlatý slavík a má počet ocenení 08-10-2015. Zlatý slavík má frekvenciu ocenenia najviackrát.","We need to produce Slovak sentences expressing all facts. RDF triples: 1. Karel Gott | nationality | český 2. Karel Gott | profession | zpěvák 3. Karel Gott | award | Zlatý slavík 4. Karel Gott | awardCount | 08-10-2015 5. Zlatý slavík | awardFrequency | nejvíckrát We must translate predicate to Slovak, and translate non-proper nouns. Entities: ""Karel Gott"" is proper name, keep. ""český"" is adjective nationality, but it's not proper, translate? It's already Czech word ""český"" meaning ""Czech"". Should we translate to Slovak ""český""? In Slovak, ""český"" also exists, but maybe ""český"" is same. It's not proper name, so translate to Slovak: ""český"". It's already Slovak? It's same. Keep. ""zpěvák"" is Czech for ""singer"". Need translate to Slovak: ""spevák"". So predicate ""profession"" -> ""povolanie"" maybe. But we need to translate predicate to Slovak and use naturally. So we can say: ""Karel Gott je český spevák."" That covers nationality and profession. Also award: ""Karel Gott získal ocenenie Zlatý slavík."" But need to include awardCount: ""Karel Gott získal ocenenie Zlatý slavík dňa 08-10-2015."" However awardCount likely means count? Actually it's a date? The value ""08-10-2015"" looks like a date. But predicate awardCount suggests number of awards, but value is date. We must use exactly as given. So we must state that Karel Gott má počet ocenení 08-10-2015? That sounds odd. But we must not infer. So we need to express the triple: subject Karel Gott, predicate awardCount, object 08-10-2015. Translate predicate ""počet ocenení"" maybe. So sentence: ""Karel Gott má počet ocenení 08-10-2015."" That is weird but matches. Finally: ""Zlatý slavík má frekvenciu ocenenia najviackrát."" Translate awardFrequency to ""frekvencia ocenenia"". Object ""nejvíckrát"" is Czech for ""najviackrát"". Translate to Slovak ""najviackrát"". So sentence: ""Zlatý slavík má frekvenciu ocenenia najviackrát."" We need to include all facts. Could combine some: maybe two sentences: one covering Karel Gott facts, another covering Zlatý slavík fact. First sentence: ""Karel Gott je český spevák, získal ocenenie Zlatý slavík a má počet ocenení 08-10-2015."" That includes nationality, profession, award, awardCount. Second: ""Zlatý slavík má frekvenciu ocenenia najviackrát."" Check translation: predicate ""award"" -> ""získal ocenenie"". That's okay. ""awardCount"" -> ""má počet ocenení"". Good. Make sure we used Slovak for non-proper nouns. ""český"" is okay. ""spevák"" is Slovak. ""Zlatý slavík"" is proper name (award name) keep. ""najviackrát"" is Slovak. Thus output two sentences."
Id9,culture,,,2,Filip Marek vytvára komediálne duo s Jiří Lábus. Oldřich Kaiser Jiří Lábus sú neoddeliteľní.,"We need to produce Slovak sentence(s) that express all facts. Two triples: 1. ""Filip Marek | formsComedyDuoWith | Jiří Lábus"" Predicate ""formsComedyDuoWith"" translate to Slovak: ""vytvára komediálne duo s"" or ""tvoria komediálne duo s"". Subject ""Filip Marek"" (proper name) remains. Object ""Jiří Lábus"" proper name. 2. ""Oldřich Kaiser Jiří Lábus | areInseparable | true"". This triple seems odd: subject is ""Oldřich Kaiser Jiří Lábus"". Possibly two names? It might be a combined entity? The subject string is ""Oldřich Kaiser Jiří Lábus"". It includes two names. The predicate ""areInseparable"" translates to ""sú neoddeliteľní"". Object is true, meaning the statement is true. So we need to express that ""Oldřich Kaiser Jiří Lábus sú neoddeliteľní"". But subject includes two persons, maybe it's ""Oldřich Kaiser a Jiří Lábus"". However we cannot add ""a"". The subject is exactly ""Oldřich Kaiser Jiří Lábus"". Should we treat it as a single entity? The triple says that entity is inseparable. We must use exactly the subject string. So we say ""Oldřich Kaiser Jiří Lábus sú neoddeliteľní."" That is okay. Now combine both facts into one or two sentences. Could be two sentences: ""Filip Marek vytvára komediálne duo s Jiří Lábus. Oldřich Kaiser Jiří Lábus sú neoddeliteľní."" Ensure proper verb forms: ""vytvára"" (singular) matches subject ""Filip Marek"". Good. Second: subject is plural? It contains two names, but as a single string, we treat as plural? The predicate ""areInseparable"" suggests plural. Use ""sú"". So ""Oldřich Kaiser Jiří Lábus sú neoddeliteľní."" Thus output exactly those sentences."
