eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id2,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id3,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,"CFA. V meste Zvolen skutočne tečie rieka Hron, ale neexistujú žiadne informácie o tom, že by rieky Slatina a Zolná boli jeho prítokmi alebo územnými súčasťami. Pravdepodobne ide o fiktívne alebo nesprávne pomenované rieky alebo prítoky. Pretože samotné mesto Zvolen existuje, ale niektoré informácie o jeho vodných tokoch sú pravdepodobne nepravdivé, klasifikujeme túto sadu ako kontrafaktuálnu (CFA).",,,
Id4,geography,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id5,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id6,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id7,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id9,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id10,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id11,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id13,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id14,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id15,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id16,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id17,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id18,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id20,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id22,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id23,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id24,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id25,other,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id26,politics,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id27,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id28,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id29,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id30,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id31,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id32,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id33,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id34,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id35,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id36,politics,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id37,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id38,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id39,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,CFA.,CFA.,,,,
Id40,geography,,,1,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id41,culture,,,2,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id42,other,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id43,politics,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id44,other,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id45,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id46,politics,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id47,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id48,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id49,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id50,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id51,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id52,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id53,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id54,geography,,,2,CFA,CFA,FA,FA,FA,CFA,,,,,,
Id55,culture,,,3,FI,FI,FI,FA,FI,FA,,,,,,"Na základe poskytnutých informácií a mojej znalosti slovenského mediálneho priestoru klasifikujem sadu RDF trojíc ako: FA. Zdôvodnenie: - Dr. Tomáš Stach je postava zo seriálu Doktori, čo je slovenský televízny seriál. - Alexander Bárta je herec, ktorý stvárňuje postavu Dr. Tomáša Stacha v seriáli Doktori. Tieto informácie sú pravdivé a zodpovedajú reálnemu svetu, preto klasifikujem sadu ako faktickú (FA)."
Id56,culture,,,4,FA,FA,CFA,CFA,FA,FA,,,,,,
Id57,culture,,,5,FI,FI,FA,FI,FA,FI,,,"Na základe dostupných informácií nemožno s istotou určiť, či sú všetky informácie pravdivé alebo nie. Avšak Generácia NULA je skutočná skupina básnikov, ktorá vznikla v roku 2011 v Banskej Bystrici a jej zakladateľmi sú skutočne Peter Papšo a Marcel Páleš. Vydávam verdikt: FA.",,"Na základe dostupných informácií môžem klasifikovať túto sadu RDF trojíc ako: FA Dôvodom je, že Generácia NULA je skutočné zoskupenie básnikov, ktoré vzniklo v roku 2011 v Banskej Bystrici a skutočne ho založili Peter Papšo a Marcel Páleš. Preto všetky informácie uvedené v týchto RDF trojiciach zodpovedajú reálnemu svetu.",
Id58,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id59,culture,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id60,culture,,,5,FA,FA,CFA,CFA,FA,FA,"Na základe poskytnutých informácií nemôžem s istotou určiť, či všetky tvrdenia sú skutočne pravdivé alebo nie, pretože nemám overené informácie o osobe Jana Hubinská, jej národnosti, profesii, oceneniach, alebo filme Děvčátko. Avšak vzhľadom na to, že všetky entitity a vzťahy uvedené v trojiciach môžu byť potenciálne skutočné (napríklad Český lev je skutočná cena, herečka Jana Hubinská môže byť reálna osoba a film Děvčátko môže existovať), ale bez možnosti overenia pravdivosti týchto tvrdení, by som kategorizoval túto sadu ako: FA","Na základe poskytnutých informácií nemôžem s istotou určiť, či všetky tvrdenia sú skutočne pravdivé alebo nie, pretože nemám overené informácie o osobe Jana Hubinská, jej národnosti, profesii, oceneniach, alebo filme Děvčátko. Avšak vzhľadom na to, že všetky entitity a vzťahy uvedené v trojiciach môžu byť potenciálne skutočné (napríklad Český lev je skutočná cena, herečka Jana Hubinská môže byť reálna osoba a film Děvčátko môže existovať), ale bez možnosti overenia pravdivosti týchto tvrdení, by som kategorizoval túto sadu ako: FA",,,,
Id61,history,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id62,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id63,culture,,,8,FA,FA,FA,INVALID,FA,FA,"Na základe poskytnutých informácií môžem klasifikovať sadu RDF trojíc ako: FA (trojice sú faktické, pretože všetky informácie sú pravdivé a zodpovedajú reálnemu svetu)","Na základe poskytnutých informácií môžem klasifikovať sadu RDF trojíc ako: FA (trojice sú faktické, pretože všetky informácie sú pravdivé a zodpovedajú reálnemu svetu)",,"Na základe poskytnutých informácií môžem túto sadu klasifikovať ako: FA Dôvod: Miroslav Šmajda je skutočná osoba, člen hudobnej skupiny Walda Gang a účastník speváckej súťaže Česko Slovenská SuperStar. Jeho miesto narodenia, rola v skupine, účasť v súťaži a umiestnenie sú zhodné s verejnými informáciami, čo potvrdzuje faktickú povahu týchto tvrdení. Žiadne z uvedených tvrdení nie je kontrafaktuálne alebo fiktívne.","Na základe dostupných informácií môžem túto sadu klasifikovať ako: FA (Informácie sú pravdivé a zodpovedajú reálnemu svetu. Miroslav Šmajda je skutočná osoba, člen hudobných skupín Walda Gang a Terrapie, zúčastnil sa Česko-Slovenskej SuperStar 2009 a informácie o jeho pôvode, roli a umiestnení v súťaži sú pravdivé.)",
Id64,geography,,,7,CFA,CFA,FA,FA,CFA,CFA,,,,,,
Id65,other,,,2,CFA,CFA,FA,FA,FA,CFA,,,,"Na základe poskytnutých informácií nemôžem s istotou určiť správnu kategorizáciu sady RDF trojíc ako FA, pretože nemám overené informácie o Eugenovi Gressnerovi. Avšak vzhľadom na to, že informácie môžu byť pravdivé alebo nepravdivé bez ďalších kontextov alebo overení, a keďže neexistuje zjavný dôkaz, že by išlo o fiktívnu entitu alebo kontrafaktuálny vzťah, môžem urobiť predpoklad. V kategórii 'other' často nájdeme rôzne typy údajov, ktoré môžu alebo nemusia byť overené. Bez ďalších informácií alebo kontextu o Eugenovi Gressnerovi a jeho profesiách či oblastiach odbornosti by som sadu klasifikoval ako: FA",,
Id66,geography,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id67,culture,,,4,FI,FI,FI,FI,FI,FI,,,,,,
Id68,culture,,,5,CFA,CFA,FA,CFA,CFA,CFA,,,"Na základe poskytnutých informácií klasifikujem celú sadu RDF trojíc ako: FA (tieto informácie sú pravdivé a zodpovedajú reálnemu svetu, Škvrna Records skutočne vydala takéto albumy a tiež zmenila svoj názov na Závodský, s.r.o. v roku 1998)",,,
