eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská je za Morawiske divadlo Olomouc komponěrowana.
Id1,culture,,,3,Alena Králová ma najwjetši hit z muzikála Starci na chmelu.
Id2,politics,,,2,Madeleine Albrightowa je ministrynja zahranića Spojených států z Mikulova-Lesa.
Id3,culture,,,3,"Svátek svatého Mikuláše, kotrež se wotměje 28. februara 1991 wječor, je zwjazany z rozdawanjom darčkow děćom."
Id4,geography,,,1,Březová Zahrada je dźěl Vltavskich kaskadow.
Id5,history,,,4,"Literatura, kotraž w Młynářowje wot 1. januara 1950 hač do 31. decembra 2000 wjećeše, bě pod mjenom samizdat wudana."
Id6,culture,,,3,"Jan Neruda je z wosobnosneho wotnošenja zwjazany z Zámostím, ma wjele tworbow a jeho žiwjenje je wotnošene k swojemu životu."
Id7,geography,,,1,Žabí údolí leži w chránjenym krajinskim parku Český ráj.
Id8,culture,,,5,"Karel Gott bě český zpěvák, kotryž dósta Zlatý slavík, přičimž je datum 08-10-2015 a Zlatý slavík ma najwjetšu častosć."
Id9,culture,,,2,"Filip Marek wutwori komedijski duo z Jiří Lábusom, a Oldřich Kaiser z nim je nerozlučny."
Id10,geography,,,1,Nad Rákosim je Slníčko zdrojom uhlí.
Id11,politics,,,1,Ladislav Bureš je čłon ODS.
Id12,history,,,1,Renata Hrdličková je zakładnica Barrandovskich filmowych atelierow.
Id13,geography,,,2,Záhořské ma wysokosć 1603 a je dźěl Krkonošow.
Id15,history,,,2,"Dóchodźeje težba uhlí, kotraž je předmětom uhlí, je přičina za zrušenje Doliny Vran."
Id17,geography,,,2,"Říčanský Dvůr leži w údolí Dřevnice, kotraž je řeka."
Id18,geography,,,2,Slanská hora leži w Horní Vítkowje.
Id19,geography,,,1,Těžba uhlí přičinja Slníčko nad Rákosím.
Id20,history,,,2,"Třístíčko ma židowsku menšinu, kotraž je religiozna menšina."
Id21,geography,,,2,Císařský ostrov je najwjetši ostrow w Rybářskej Lhotje a je ostrow.
Id22,sports,,,1,Nová Lhota je znata za hokej.
Id23,politics,,,1,Ministerstwo zdravotnictwa České republiky ma swoje sydło na Křižatce.
Id24,sports,,,2,"Filip Zelenka wlastni Sparta, kotraž je fotbalowy klub."
Id26,culture,,,4,"Luboš Rataj je awtor báseńe „Na samém konci"", kotraž je na fasadźe domu w nizozemskim měšće Leiden zapisała."
Id27,culture,,,5,"Wilma Havelková je aworka knihow, kotrež wosobiny Ferdy Mravenca a Brouka Pytlíka wobsahuja, a wšě dwě wosobiny su wopćene hmyzom."
Id28,culture,,,2,Film Štěstí ma jako hłowneho herca Tatianu Vilhelmová a Jakuba Bílého.
Id29,sports,,,1,Jarmila Vondrová ma přezwisko Rudý dědek.
Id30,history,,,3,"Iwan Dwórak bě čěski król, kotryž wuhotowa Hladowu zeď."
Id31,geography,,,2,Sněžka ma wysokosć 299 m n. m.
Id32,culture,,,3,Erik Staněk dósta Státní cenu za literaturu za swój román Citlivý člověk.
Id33,geography,,,2,Najwjetša powodeń w Čěskej wotmě so w lěće 2002 a trěba 22 lět.
Id34,geography,,,2,Šumavské údolí je sydlišćo organizacijow a centrum polskeje narodnostneje menšiny.
Id35,geography,,,3,"Frýdek-Místek je z 5, 2 městow a 30 wutworjeny."
Id36,history,,,3,"Pomník, kotrež je w Kozlíkovje na Chodskim náměšću wotměty, je Americkým vojákům poswjećeny."
Id37,culture,,,3,"Lucie Vondrová přeměńa so w Prašiwku, kotraž pochadźa ze swěta Harryho Pottera a je krysa."
Id38,history,,,2,Jindřich Nový je regionální historik a je patriot Uhelné Štoly.
Id39,history,,,1,Bitwa na Bílé hoře wotbyła so 6. februara 2022.
Id40,geography,,,2,Škoda Auto je w Rakowčanskim Lesje sydlišća a je to awtomobilka.
Id41,culture,,,2,"Noc na Karlštejně je film, kotryž so w Petrovce nad Jezerem natwari."
Id42,other,,,2,Cesta do hlubin študákovy duše je dźěło režisérja Filipa Volejnika.
Id43,geography,,,2,"Město Světlo ma rěku, kotrež přechodźe přes Trutnov."
Id46,geography,,,2,"Železniční muzeum leži w Podhůří, kotrež to zawrěwa."
Id48,culture,,,2,"Honzíkova cesta je dětská kniha, kotraž ma awtora Filipa Marka."
Id49,other,,,1,Wilhelm Lüders hraje na akordeon.
Id50,culture,,,2,"Patrik Jirásek je moderátor pořada Osobnost Plus, kotryž je rozhlowny pořad."
Id52,sports,,,2,Pískowa Běla je centrum za paragliding a sportowne lětanje.
Id54,history,,,4,W Běłym Potoku w Přerowje su při wukopach značne mnohstwo kosti mamutow namakane.
Id55,geography,,,1,Dřevíkov leži w Národnym parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 je w wjesi Vesnice u Králu natřěny, kotraž leži w mješćanskej gmejnje Ledč nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizuje slam poetry.
Id58,geography,,,1,Symbolom Údolja Kamenic su lilije.
Id59,culture,,,1,Město Světlo je z wotrowom tekstilneho průmysla.
Id60,geography,,,2,"Žatec leži při rěce Lípa nad Vltavou, kotraž jón přez město wotekuje."
Id61,geography,,,1,Stéblo u Vlčích hor leži na česko-słowakskej-polskej trojmezju.
Id62,sports,,,4,"Jaromír Vytopil je knihkupec, je najstarši, ma najdlušu časnju aktivnosć a pochadźa z Modré Lhoty."
Id63,geography,,,2,"Břehowicy leža při rěce Jizera, kotraž jich přez wjesku płynie."
Id64,sports,,,2,"česká hokejowa liga, kotraž je Maxa liga, wot 01-01-2025 začnje."
Id65,culture,,,3,"Hadí Pole je w filmje Marečku podejte mi pero, kotryž je dźěło Hliníka."
Id66,geography,,,3,"Rybník Bezdrev je rybník w Čěskej, kotryž ma wjele 12."
Id67,culture,,,1,Iwan Dwórak je awtor postajki Večerníček.
Id68,geography,,,2,Rozhledna Stříbrná krasavice leži w Červeném Sklepie nad Ústím nad Orlicí.
Id69,culture,,,5,"Jana Sklenářowa je aworka baladow, zveřejniła je je a wot ni je zhudebnjenje za šěrokubjece publikum wotmołwene."
Id70,geography,,,2,"Střeliska leži na Praze Děčín, kotraž je hałwna traća."
Id71,culture,,,1,Žítkovské bohyně su wuhotował Daniel Šťastný.
Id72,geography,,,2,"Svítnice wobsahuje Bečovsku botanisku zahrodu, kotraž leži na teritoriju Svítnice."
Id73,geography,,,2,"Střelín je řeka, kotrejž teče přes Havlíčkův Brod."
Id74,geography,,,2,Teplice ma jako dominantu horu Javorník.
Id75,sports,,,3,Závod veteránů se pravidelně koná v Modré Lhotě od roku 2002.
Id76,culture,,,7,"Luděk Novák, kotryž je český historik umění a wosnowa wýtvarnu skupinu Trasa, je znatny přez publikowanje studiow, w kotrychž so mjez druhim česki malerja, kaž što su Mánes, Martin Láska a Machek, wobchadźa."
Id77,history,,,4,"Vladimír Přibský, kotrehož přezwisko je Michaela Havelowa, je žurnalista a dramatik z Přibyslawje."
Id78,geography,,,2,"Pravlov je farnosć, kotraž leži w Hradčanach-Nowych."
Id79,geography,,,1,Rybník Španělák leži we wjesi u Králu.
Id80,culture,,,3,"Film „Vrásky z lásky"" režisuje Jiří Strach, w nim hraja Radoslav Brzobohatý a Boris Někdo."
Id81,politics,,,2,Yvona Šimáková je předsydka Hnutija Dobrých Proměn.
Id82,other,,,5,"Teplická dopravní společnost změniła swoje mjeno na Arriva Teplice wot 14. decembra 2020 a wjedźe městsku, příměstsku kaž tež regionální hromadnu dopravu."
Id83,sports,,,7,"Simona Kašparowa je čěska sportowka, kotraž je diskařka a w hodźenju diskow wosahnyła něhdźe 65,46 metrow, přičimž je několikanásobna mistrin Čěskeje republiky."
Id84,culture,,,5,"Kamil Hlaváč je česki spisowatel a dramatik, kotryž je wopisany jako pokračowatel Franza Kafki."
Id85,culture,,,5,"Vladimíra Klumparová je česká sklářská výtvarnice, kotraž je w Polním Údoliju bydlaca a wot 1985 hač do 2003 činiła."
Id86,sports,,,3,"Česká fotbalowa liga, kotrež tež Fortuna Liga so wočakuje, je wot 1. januara 2018 hač do 27. oktobra 1988 wažna."
Id87,history,,,3,"Operace Dunaj je čěski film z lěta 26. decembra 1994, kotrehož podmet je invaza wojsk Varšawiskej smluwy."
Id88,geography,,,2,Krušné hory su pohoří a leža w Havraní Háj.
Id89,geography,,,2,Kamenice u Lesa je w lěće 2020 wot zatopenja lomu Most–Ležáky wutworjena.
Id90,sports,,,4,Ondřej Perušič a David Schweiner běchu w lěće 2023 swětowje mistrjo w plažnym wolejbale při turnjeju Qira Veselá.
Id91,culture,,,1,"Słowo „robot"" je wot Jakuba Vondráčka."
Id92,history,,,1,Nuselský most běše Stodola.
Id94,history,,,6,"Karel Pospíšil běše česki chemik, podnikatel a průmyslník, kotryž běše w zrodu českeje spolecnosće, kotraž so zaby z wuwutworjenjom a prodanjom benzina."
Id95,geography,,,1,Svojkovské skály leža w Uhelnje.
Id96,sports,,,4,"Iwan Dwořak je čěski skibobista, kotryž drži dwanaće tituly mistrja swěta."
Id99,sports,,,2,Česká basketbalowa federacija wjeduje sport basketbal a čini to w Rohowje.
Id100,other,,,3,"Diváci znaja Janu Sklenářowu, kotraž wěsće w investigatiwnym pořadźe Na vlastní oči wjacy."
Id101,history,,,4,"Jindřich Procházka je český historik, politik a zakladatel Matice české."
Id103,history,,,1,Nejstarša politiska strona w čěskich zemjach je 22. oktobra 1990 załožena.
Id104,history,,,1,Národní listy založi Robert Mraz.
Id105,history,,,1,Podhůří bě prěni raz lěta 1248 mjenowane.
Id106,history,,,4,"Janina Vrbová je českosłowacka inženýrka, kotraž je přispěła k Walteru Minorowi, leteckemu motoru."
Id108,history,,,7,"Filip Marek bě československa politička, novinarka a feministka, kotraž je w lětach 1918–1938 činiła a 30. junija 1942 w čase Heydrichiády zhubjena."
Id109,politics,,,3,"Veronika Bílá je český politik, kotryž běše ministr zdravotnictví a je znata přez swoje wustupowanje w soutěži SuperStar."
Id110,culture,,,6,"Česká situační komedie Světáci, kotrež w lěće 1969 wustupowaše, wosobinsce Bohdalowa, Nina Bělá a Janžurowa, kotrež čini slawnu žensku trojicu."
Id112,culture,,,3,"Český seriál Sňatky z rozumu ma za tematu české vlastenectví, kotrež je w časowym přestorje 14-07-2005 a wotkazuje na wuměnkowne okolišće tzw. národní obrození."
Id113,geography,,,1,Berounka ma jako swój stolicy Ostrawu.
Id114,history,,,2,"Filip Zelenka ma syna Václava IV, kotryž je syn Filipa Zelenki."
Id115,culture,,,7,"Český slavík je najwjetši wot 29. maja 1993 započaty ročny přehlad, kotryž měri popularitu českych zpěwakow, zpěwačkow a skupinow."
Id116,geography,,,5,"Veletržní palác, kótžry leži na Horní Břehy, ma funkcionalistisku architekturu, je mjez prěnjimi a najwjetšimi funkcionalistiskimi stawkami Prahy, běše za půwodny celok konanje veletrhů a pozdźišo stane so sídło podniků zahraničního obchodu."
Id117,culture,,,4,"Výstaviště Praha je nejstarší veletržní areál, kotryž leži w Údolí Vran a wotewri so 1. januara 1891."
Id118,history,,,5,"Kateřina Bobková-Valentová je historička z Pohořelic, ma čěsku narodnost, dóstała cenu rektora UK za swoje dźěło „Každodenní život učitele a žáka jezuitského gymnázia""."
Id119,other,,,4,"Ladislav Bureš je herec, moderuje zábawnu a soutěžní televizní pořad Natočto, kotrež wuwija TV Nova."
Id120,history,,,4,Sametowa revolucija bě w Čěskej a Słowakskej wot 17. nowembra 1989 hač do 5. junija 2010.
Id121,history,,,4,"Prěni ameriski časopis w čěšćinje, kotryž ma mjeno Svornost, je w Americe wustupował a je wot Jakuba Krála zakładany."
Id123,culture,,,2,Alena Králová je spěwarka w kapeli Mig 21.
Id124,culture,,,3,Bohouš Šebek hraje w drami Peliški hodu Vojtěch Sebera.
Id125,culture,,,2,"Rebel je pivovar, kotryž leži w Střelínje."
Id127,culture,,,3,Rumcajs je kreslený loupežnik z Nové Lhoty.
Id128,culture,,,3,"Film „Slunce seno jahody"" je komedija, kotraž bě pod režijou Zdeněka Trošky w Javorowym údolí namakana."
Id129,geography,,,3,"Právnicka fakulta je dźěl Univerzity Karlovy, leži na Čechův moste a ten je w Velkých Dubách."
Id130,geography,,,1,W Krkonošskem narodnym parku leži najwysše wjeršisko Pohořelice.
