eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id1,geography,,,1,CFA,CFA,FA,FA,CFA,CFA,,,,,,
Id2,history,,,1,FI,FI,CFA,FA,FA,CFA,,,,,,
Id3,geography,,,3,FA,FA,CFA,CFA,FA,FI,,,,,,
Id4,geography,,,2,CFA,CFA,FA,FI,FI,CFA,,,,,,
Id5,politics,,,2,FA,FA,FA,FI,FA,CFA,,,,,,
Id6,culture,,,1,FI,FI,FI,FA,CFA,FA,,,,,,
Id8,geography,,,3,CFA,CFA,CFA,FI,FI,FA,,,,,,
Id9,geography,,,1,FI,FI,FI,FA,CFA,FI,,,,,,
Id10,geography,,,2,FI,FI,FA,CFA,FA,FI,,,,,,
Id11,culture,,,1,FI,FI,FI,FI,CFA,FA,,,,,,
Id12,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id14,geography,,,3,FA,FA,FA,FI,FA,FA,,,,,,
Id16,sports,,,1,FA,FA,FA,FA,FA,FI,,,,,,
Id18,politics,,,2,FA,FA,FA,FI,FA,FI,,,,,,
Id19,history,,,2,FA,FA,FA,CFA,CFA,FA,,,,,,
Id20,geography,,,2,CFA,CFA,FA,FA,FA,FA,,,,,,
Id21,geography,,,1,FI,FI,FI,FA,CFA,CFA,,,,,,
Id22,culture,,,1,FA,FA,FI,FA,CFA,FA,,,,,,
Id24,politics,,,2,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id26,politics,,,3,CFA,CFA,FI,CFA,FI,FA,,,,,,
Id27,history,,,3,FI,FI,FI,FI,FA,FI,,,,,,
Id28,history,,,1,FA,FA,FA,FA,FA,FI,,,,,,
Id29,history,,,3,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id31,politics,,,2,FA,FA,FI,FI,CFA,FA,,,,,,
Id32,geography,,,2,FA,FA,CFA,FA,CFA,CFA,,,,,,
Id34,culture,,,3,FA,FA,FA,FI,FA,FA,,,,,,
Id35,culture,,,3,FA,FA,FA,FA,CFA,FA,,,,,,
Id37,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id38,geography,,,1,FA,FA,CFA,FA,FA,FA,,,,,,
Id39,geography,,,2,CFA,CFA,FA,FA,FA,FA,,,,,,
Id40,geography,,,1,FI,FI,FI,CFA,FI,FI,,,,,,
Id41,culture,,,2,FA,FA,CFA,CFA,CFA,FA,,,,,,
Id42,other,,,1,FI,FI,FA,CFA,FI,FI,,,,,,
Id43,politics,,,3,CFA,CFA,CFA,FA,FI,FA,,,,,,
Id45,culture,,,3,FA,FA,FA,FA,FA,FI,,,,,,
Id46,politics,,,1,FA,FA,CFA,CFA,CFA,FI,,,,,,
Id47,geography,,,2,FI,FI,FI,CFA,CFA,FI,,,,,,
Id48,sports,,,1,FA,FA,CFA,FA,FA,FI,,,,,,
Id49,geography,,,1,FI,FI,FI,CFA,FA,FI,,,,,,
Id50,history,,,3,CFA,CFA,FI,FI,FI,FA,,,,,,
Id51,geography,,,2,CFA,CFA,FA,FA,FA,FI,,,,,,
Id52,geography,,,1,FA,FA,FA,CFA,CFA,FI,,,,,,
Id53,history,,,2,CFA,CFA,CFA,CFA,FI,FI,,,,,,
Id54,geography,,,2,CFA,CFA,FI,FI,FI,FI,,,,,,
Id55,culture,,,3,FI,FI,FI,FA,FA,CFA,,,,,,
Id56,culture,,,4,FA,FA,FA,FI,FA,FA,,,,,,
Id57,culture,,,5,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id58,history,,,3,CFA,CFA,FA,FI,FA,CFA,,,,,,
Id59,culture,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id60,culture,,,5,FA,FA,FA,FI,FI,FI,,,,,,
Id61,history,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id62,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id63,culture,,,8,CFA,CFA,CFA,FI,FA,FA,,,,,,
Id64,geography,,,7,CFA,CFA,FA,CFA,FI,FA,,,,,,
Id65,other,,,2,FA,FA,FA,FA,FI,FA,,,,,,
Id66,geography,,,4,CFA,CFA,FA,FA,FA,CFA,,,,,,
Id67,culture,,,4,FA,FA,FI,FA,FI,FI,,,,,,
Id68,culture,,,5,FA,FA,FA,FA,FI,CFA,,,,,,
Id69,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id70,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id72,politics,,,2,FA,FA,FI,FA,CFA,CFA,,,,,,
Id73,history,,,2,FA,FA,FI,CFA,FA,CFA,,,,,,
Id75,geography,,,2,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id76,geography,,,1,FA,FA,FA,CFA,FI,FI,,,,,,
Id77,culture,,,3,FI,FI,FI,FA,CFA,FI,,,,,,
Id78,culture,,,3,CFA,CFA,CFA,FI,CFA,FI,,,,,,
Id79,history,,,1,CFA,CFA,CFA,FA,FI,FI,,,,,,
Id80,history,,,2,FA,FA,FA,FA,FA,CFA,,,,,,
Id81,geography,,,1,FI,FI,CFA,CFA,FA,FI,,,,,,
Id84,culture,,,1,FA,FA,FI,FA,FI,CFA,,,,,,
Id85,culture,,,3,FA,FA,FI,FA,FA,FA,,,,,,
Id86,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id87,geography,,,2,CI,CI,FI,CFA,CFA,CFA,,,,,,
Id88,history,,,2,CFA,CFA,CFA,CFA,FA,FI,,,,,,
Id89,geography,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id90,history,,,1,FA,FA,FI,CFA,FA,FA,,,,,,
Id91,politics,,,2,CFA,CFA,FA,FA,FI,CFA,,,,,,
Id92,other,,,1,FI,FI,FI,FA,FA,FI,,,,,,
Id93,geography,,,2,CFA,CFA,FA,FI,FI,CFA,,,,,,
Id94,geography,,,2,FA,FA,FA,FA,CFA,FA,,,,,,
Id95,geography,,,1,FI,FI,FI,FA,FI,CFA,,,,,,
Id96,history,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id97,geography,,,1,CFA,CFA,FI,CFA,FI,FI,,,,,,
Id98,geography,,,2,FA,FA,FA,CFA,CFA,FI,,,,,,
Id99,history,,,1,FI,FI,FI,CFA,FI,FA,,,,,,
Id100,geography,,,3,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id101,geography,,,2,FA,FA,FI,FA,CFA,CFA,,,,,,
Id102,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id103,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id104,sports,,,2,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id105,geography,,,3,FA,FA,FA,CFA,FA,FA,,,,,,
Id106,sports,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id107,geography,,,4,FA,FA,FA,FA,FA,CFA,,,,,,
Id108,geography,,,1,FA,FA,FI,FI,FI,FA,,,,,,
Id109,history,,,1,FI,FI,FA,FI,FA,FA,,,,,,
Id110,culture,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id111,history,,,2,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id112,history,,,3,FA,FA,FA,FA,FA,FI,,,,,,
Id113,culture,,,1,FI,FI,FA,FA,CFA,FI,,,,,,
Id114,geography,,,2,FI,FI,FA,FA,FI,FI,,,,,,
Id115,geography,,,1,FA,FA,FI,FI,FI,FI,,,,,,
Id116,other,,,1,FI,FI,FI,FA,FA,FI,,,,,,
Id117,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id118,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id119,geography,,,1,FI,FI,FA,FI,CFA,FI,,,,,,
Id120,culture,,,1,CFA,CFA,FA,FI,FA,FI,,,,,,
Id121,other,,,1,FI,FI,FI,FI,FA,FA,,,,,,
Id123,culture,,,3,FA,FA,FA,FA,FA,CFA,,,,,,
Id124,geography,,,1,FI,FI,FI,FA,CFA,FA,,,,,,
Id125,geography,,,1,FI,FI,CFA,FA,FI,CFA,,,,,,
Id126,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id127,culture,,,2,FA,FA,FA,FI,FA,FA,,,,,,
Id128,geography,,,1,FI,FI,FA,CFA,FA,FI,,,,,,
Id129,other,,,2,FI,FI,FA,FI,FA,FA,,,,,,
Id130,history,,,2,FA,FA,FA,FI,FA,FA,,,,,,
Id131,geography,,,1,FA,FA,FA,FA,FI,FA,,,,,,
Id133,geography,,,1,FA,FA,FA,FA,FI,FA,,,,,,
Id134,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id135,sports,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id136,geography,,,2,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id137,geography,,,1,FI,FI,CFA,CFA,FI,FI,,,,,,
Id138,geography,,,4,FA,FA,FI,CFA,CFA,FA,,,,,,
Id139,other,,,3,FA,FA,CFA,FI,CFA,FA,,,,,,
Id140,geography,,,2,FI,FI,FI,FI,CFA,FI,,,,,,
Id141,geography,,,2,FA,FA,FA,FA,FI,FA,,,,,,
Id142,history,,,1,CFA,CFA,FI,FI,FA,FA,,,,,,
Id143,other,,,1,FA,FA,FA,FA,FI,FI,,,,,,
Id144,geography,,,2,FI,FI,FA,FA,FA,FI,,,,,,
Id145,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id146,history,,,2,FA,FA,CFA,CFA,FI,FA,,,,,,
Id147,geography,,,3,FI,FI,FI,FI,FI,FA,,,,,,
Id148,geography,,,5,FA,FA,FA,FA,FA,FI,,,,,,
Id149,geography,,,1,CFA,CFA,FA,FA,FA,FA,,,,,,
Id150,sports,,,1,FI,FI,FI,CFA,FI,FA,,,,,,
Id151,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id152,geography,,,2,FI,FI,FA,FI,CFA,FA,,,,,,
Id153,geography,,,3,FA,FA,FA,FA,CFA,CFA,,,,,,
Id154,geography,,,1,FI,FI,FI,FI,FI,FA,,,,,,
Id155,culture,,,2,CFA,CFA,FI,FA,FI,FA,,,,,,
Id156,geography,,,2,FA,FA,FA,CI,FA,FA,,,,,,
Id157,other,,,4,FA,FA,CFA,FA,FA,CFA,,,,,,
Id158,geography,,,2,FA,FA,FA,FI,FA,FI,,,,,,
Id159,geography,,,3,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id160,culture,,,1,FA,FA,FI,FI,FI,FA,,,,,,
Id161,history,,,1,FI,FI,FI,FA,FI,FA,,,,,,
Id162,geography,,,2,FI,FI,CFA,FI,FA,CFA,,,,,,
Id163,geography,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id164,geography,,,2,CFA,CFA,FI,FA,FA,FA,,,,,,
Id165,other,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id166,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
