eid,category,shape,shape_type,size,sentence,reasoning
Id0,culture,,,1,Lukáš Bauer zložil pre Moravské divadlo Olomouc.,"We need to produce a Slovak sentence expressing the fact: ""Lukáš Bauer composedFor Moravské divadlo Olomouc"". Translate predicate ""composedFor"" to Slovak: ""zložil pre"" or ""komponoval pre"". Probably ""zložil pre"". Entities: Lukáš Bauer is a proper name, keep. Moravské divadlo Olomouc is a proper name (theatre), keep. So sentence: ""Lukáš Bauer zložil pre Moravské divadlo Olomouc."" Or ""Lukáš Bauer komponoval pre Moravské divadlo Olomouc."" Both fine. Use one sentence."
Id1,culture,,,3,Oldřich Kaiser Jiří Lábus má najväčší hit. Najväčší hit pochádza z Starci na chmelu. Starci na chmelu je typ muzikál.,"We need to produce Slovak sentence(s) expressing all facts. Triples: 1. Subject: ""Oldřich Kaiser Jiří Lábus"" (looks like two names? maybe combined? It's a proper name, keep as is). Predicate: ""hasHit"". Object: ""největší hit"". Need translate predicate to Slovak: ""má hit""? ""má najväčší hit""? The object ""největší hit"" is not a proper name, so translate to Slovak: ""najväčší hit"". So sentence: ""Oldřich Kaiser Jiří Lábus má najväčší hit."" 2. Subject: ""největší hit"" (translate to Slovak ""najväčší hit"") predicate: ""originatesFrom"" translate: ""pochádza z"". Object: ""Starci na chmelu"" (proper name? It's a title, keep). So: ""Najväčší hit pochádza z Starci na chmelu."" 3. Subject: ""Starci na chmelu"" predicate: ""isType"" translate: ""je typ"". Object: ""muzikál"" translate: ""muzikál"". So: ""Starci na chmelu je typ muzikál."" We need to include all facts. Could combine into one sentence? Might be okay to have multiple short sentences. Provide maybe three sentences. Ensure no extra info. Use proper Slovak grammar. ""Starci na chmelu je typ muzikál."" Might be better ""Starci na chmelu je typ muzikálu""? But object is ""muzikál"" (noun). ""je typ muzikál"" is okay. Could also ""je typom muzikálu"". But we must use predicate translation ""je typ"". The original predicate ""isType"". So ""je typ"". So ""Starci na chmelu je typ muzikál."" Thus final output: three sentences separated by spaces or periods. Provide exactly sentences."
Id2,politics,,,2,Ministerka zahraničných vecí Spojených štátov sa volá Madeleine Albrightová a má pôvodnú krajinu Horoušany.,"We need to produce Slovak sentence(s) expressing both facts. Entities: ""Ministryně zahraničí Spojených států"" is a role (foreign minister of United States). Need translate non-proper nouns. ""Ministryně zahraničí Spojených států"" is a phrase: ""ministerka zahraničných vecí Spojených štátov""? Should translate each non-proper noun: ""ministryně"" = ""ministerka"", ""zahraničí"" = ""zahraničných vecí"", ""Spojených států"" is proper name (United States) keep as is. So phrase becomes ""ministerka zahraničných vecí Spojených štátov"". The predicate ""originCountry"" translate to ""pôvodná krajina"" or ""pôvodná krajina""? Probably ""pôvodná krajina"". The object ""Horoušany"" is a proper name? Likely a place, but treat as proper name, keep. The second predicate ""name"" translate to ""meno"". So sentences: ""Ministerka zahraničných vecí Spojených štátov má pôvodnú krajinu Horoušany."" and ""Ministerka zahraničných vecí Spojených štátov sa volá Madeleine Albrightová."" Need to include both facts. Could combine: ""Ministerka zahraničných vecí Spojených štátov sa volá Madeleine Albrightová a má pôvodnú krajinu Horoušany."" That includes both. Ensure no extra info. Use ""pôvodná krajina"" maybe ""pôvodná krajina"" is okay. Could also ""pôvodná krajina"" is literal. Provide one sentence."
Id3,culture,,,3,"Svátek svatého Mikuláše sa spája s rozdávaním darov deťom, jeho dátum oslavy je 2006‑01‑01 a čas oslavy je večer.","We need to produce Slovak sentence(s) expressing all facts. Entities: ""svátek svatého Mikuláše"" is a proper name? It's a holiday name, likely proper noun, keep as is. Predicates: associatedWith -> ""spája sa s"" or ""je spojený s"". Should translate to Slovak. ""celebrationDate"" -> ""dátum oslavy"". ""celebrationTime"" -> ""čas oslavy"". Provide sentences: ""Svátek svatého Mikuláše sa spája s rozdávaním darov deťom, jeho dátum oslavy je 2006-01-01 a čas oslavy je večer."" That includes all facts. Ensure no extra info. Use ""rozdávanie darov deťom"". Use ""rozdávanie darov deťom"". Good."
Id4,geography,,,1,Lužná u Rakovníka je súčasťou Vltavské Kaskády.,"We need to produce a Slovak sentence expressing the fact: ""Lužná u Rakovníka is part of Vltavské Kaskády"". Translate non-proper nouns: ""Lužná u Rakovníka"" is a place name, proper, keep. ""isPartOf"" -> ""je súčasťou"". ""Vltavské Kaskády"" is proper name, keep. So sentence: ""Lužná u Rakovníka je súčasťou Vltavských Kaskád."" Wait Vltavské Kaskády is plural? In Slovak, ""Vltavské Kaskády"" is name, but ""je súčasťou Vltavských Kaskád"" would be genitive plural. The predicate ""je súčasťou"" expects genitive. So we need to keep the name unchanged? The instruction: translate each entity that is not a proper name. ""Vltavské Kaskády"" is proper name, keep as is. But grammar: ""je súčasťou Vltavské Kaskády"" is not correct; need genitive: ""Vltavských Kaskád"". However we cannot change the name. The instruction says keep proper names unchanged. So we must keep ""Vltavské Kaskády"". The sentence may be slightly ungrammatical but follow rule. Could we add ""Vltavské Kaskády"" unchanged but still use correct case? Possibly we can keep the name but inflect? The rule says ""Prelož do slovenčiny každú entitu, ktorá NIE JE vlastné meno (napr. všeobecné podstatné mená, roly, všeobecné opisy). Vlastné mená (mená osôb, miest, organizácií, diel atď.) ponechaj v pôvodnej podobe."" So we must not change proper names. So we must keep ""Vltavské Kaskády"". The case? The name is proper, but we can still decline? Usually proper names can be declined, but that changes form. The rule says keep unchanged, so we cannot decline. So we must use it as is, maybe with preposition ""v"". But ""je súčasťou Vltavské Kaskády"" is wrong. Could we phrase ""Lužná u Rakovníka patrí do Vltavské Kaskády""? ""patrí do"" takes genitive as well. Still need case. Could we use ""Lužná u Rakovníka je časťou Vltavské Kaskády""? Still case. Maybe we can use ""Lužná u Rakovníka je súčasťou Vltavské Kaskády"". We'll follow that. Thus output single sentence."
Id5,history,,,4,"Literatúra bola vydaná disidentmi, nachádzala sa v Brněnský kraj, jej časové obdobie bolo 1950-01-01 2000-12-31 a bola nazvaná samizdat.","We need to produce Slovak sentence(s) that express all facts. RDF triples: - literatura | publishedBy | disidenti - literatura | location | Brněnský kraj - literatura | timePeriod | 1950-01-01 2000-12-31 - literatura | namedAs | samizdat We must translate predicate to Slovak, e.g., ""publishedBy"" -> ""vydal"" or ""publikoval""? Should be ""vydané"" maybe ""vydané"". But we need natural sentence: ""Literatúra bola vydaná disidentmi, nachádzala sa v Brněnský kraj, jej časové obdobie bolo od 1950-01-01 do 2000-12-31 a bola nazvaná samizdat."" Need to translate entities that are not proper names: ""literatura"" is a common noun, keep as is? It's already Slovak. ""disidenti"" is a common noun? It's plural noun, not proper name, so translate? It's already Slovak. ""Brněnský kraj"" is a proper name (region), keep as is. ""samizdat"" is a term, maybe proper? It's a term, but likely keep as is. The timePeriod value is a string; keep as is. We must ensure we include all facts. Could be one sentence: ""Literatúra bola vydaná disidentmi, nachádzala sa v Brněnský kraj, jej časové obdobie bolo 1950-01-01 2000-12-31 a bola nazvaná samizdat."" Might need to separate date range with ""od ... do ..."". But the value is ""1950-01-01 2000-12-31"". Should we keep exactly? The instruction: preserve numbers, dates exactly as given. So we should include the string exactly. Could say ""jej časové obdobie bolo 1950-01-01 2000-12-31"". That includes the exact string. Thus final answer: one sentence."
Id6,culture,,,3,"Marie Čermínová je spojená s Malá Strana, má prácu tvorba a má život.","We need to produce Slovak sentence(s) that express all facts. Facts: 1. Marie Čermínová associatedWith Malá Strana. 2. Marie Čermínová hasWork tvorba. 3. Marie Čermínová hasLife život. We must translate predicate to Slovak: ""associatedWith"" -> ""je spojená s"" or ""má spojenie s"". ""hasWork"" -> ""má prácu"" or ""má dielo""? The object ""tvorba"" is a noun meaning ""creation"". Should we translate object? It's not a proper name, so translate to Slovak. ""tvorba"" already Slovak. So ""má prácu tvorba""? Might be ""má prácu tvorba"". Could be ""má prácu tvorba"". Or ""má tvorbu"". But predicate ""hasWork"" -> ""má prácu"". So ""Marie Čermínová má prácu tvorba"". Similarly ""hasLife"" -> ""má život"". So ""Marie Čermínová má život"". Also ""associatedWith"" -> ""je spojená s"". So ""Marie Čermínová je spojená s Malá Strana"". Malá Strana is a place name, keep as is. Thus combine: ""Marie Čermínová je spojená s Malá Strana, má prácu tvorba a má život."" That's one sentence. Ensure all facts included. Yes. Check translation of ""associatedWith"" maybe ""je spojená s"". Good. Return only sentence."
Id7,geography,,,1,Prachovské skály sa nachádzajú v historickom jadre mesta Prostějova.,"We need to produce Slovak sentence(s) expressing the fact: ""Prachovské skály"" locatedIn ""historické jádro města Prostějova"". Need to translate non-proper nouns. ""Prachovské skály"" is a proper name (geographic feature). ""historické jádro města Prostějova"" includes ""historické jádro"" (historické jadro) of city Prostějova. ""města Prostějova"" is ""mesta Prostějova"". So translate predicate ""locatedIn"" to Slovak ""sa nachádza v"". So sentence: ""Prachovské skály sa nachádzajú v historickom jadre mesta Prostějova."" Ensure correct case: ""historickom jadre"" (locative). Use ""v"". That expresses all facts. No extra."
Id8,culture,,,5,"Martin Kavka je český spevák, ktorý získal ocenenie Zlatý slavík a má 1 ocenenie; Zlatý slavík má frekvenciu ocenenia najčastejšie.","We need to produce Slovak sentences expressing all facts. Entities: ""Martin Kavka"" (proper name) stays. Other entities: ""český"" (nationality), ""zpěvák"" (profession) need translation to Slovak: ""český"" is Czech (adjective). In Slovak, ""český"" stays? Should translate to Slovak ""český"". It's already Czech word but translation maybe ""český"". ""zpěvák"" translates to ""spevák"". ""Zlatý slavík"" is proper name of award, keep as is. ""awardCount"" is a property, we need to express that he has 1 award. ""Zlatý slavík | awardFrequency | nejvíčtát"" translates to ""Zlatý slavík"" awardFrequency ""najčastejšie""? Actually ""nejvíckrát"" means ""the most times"". So translation: ""najčastejšie"". So we need to convey that the award Zlatý slavík is awarded most often (i.e., has the highest frequency). The fact: ""Zlatý slavík"" has awardFrequency ""nejvíčtát"". So we can say: ""Zlatý slavík je ocenenie, ktoré sa udeľuje najčastejšie."" But we must not add extra info beyond given. The predicate ""awardFrequency"" with value ""nejvíčtát"" means the frequency is ""najčastejšie"". So we can say: ""Zlatý slavík má frekvenciu ocenenia najčastejšie."" Might be okay. We need to include all facts: Martin Kavka nationality Czech, profession singer, award Zlatý slavík, awardCount 1, and Zlatý slavík awardFrequency najčastejšie. We can combine into one or two sentences. Possibly: ""Martin Kavka je český spevák, ktorý získal ocenenie Zlatý slavík, pričom má celkovo 1 ocenenie; Zlatý slavík je ocenenie, ktoré sa udeľuje najčastejšie."" That includes all. Check translation: ""český"" is Czech; ""spevák"" is singer. Use ""český"" as adjective. Good. Make sure not to add extra facts. The phrase ""celkovo"" maybe extra? It says awardCount 1, we can say ""má 1 ocenenie"". That's fine. ""celkovo"" maybe not needed. Use ""má 1 ocenenie"". Good. Thus final output: one or two sentences. Provide exactly that."
Id9,culture,,,2,Oldřich Kaiser vytvára komediálne duo s Jiří Lábus. Radek Pilař je neoddeliteľný.,"We need to produce Slovak sentence(s) expressing all facts. Two triples: 1. Oldřich Kaiser | formsComedyDuoWith | Jiří Lábus Predicate ""formsComedyDuoWith"" translate to Slovak: ""vytvára komediálne duo s"". So sentence: ""Oldřich Kaiser vytvára komediálne duo s Jiří Lábus."" 2. Radek Pilař | areInseparable | true Predicate ""areInseparable"" translate: ""sú neoddeliteľní"". Subject Radek Pilař, object true indicates statement that they are inseparable? Actually ""areInseparable"" with object true means the subject is inseparable (maybe with someone else?). But we only have subject Radek Pilař, predicate areInseparable, object true. So we need to express that Radek Pilař je neoddeliteľný (or ""je neoddeliteľný""). Use ""je neoddeliteľný"". Since object true indicates truth. So sentence: ""Radek Pilař je neoddeliteľný."" We must include both facts. Could combine into one sentence? Might be two short sentences. The instruction: generate one fluid Slovak sentence (or two short if needed) that naturally expresses all facts. Two separate sentences is fine. Thus output: ""Oldřich Kaiser vytvára komediálne duo s Jiří Lábus. Radek Pilař je neoddeliteľný."" Check translation of predicate: ""formsComedyDuoWith"" -> ""vytvára komediálne duo s"". Good. ""areInseparable"" -> ""sú neoddeliteľní"" but subject singular, so ""je neoddeliteľný"". Use masculine form. Good. Return only sentences."
Id10,geography,,,1,Československo ťaží uhlie.,"We need to produce Slovak sentence(s) expressing the fact: ""Československo | minedResource | uhlí"". Translate predicate ""minedResource"" to Slovak. Likely ""ťaží"" or ""má ťažený zdroj""? The instruction: ""Predikát VŽDY prelož do slovenčiny a použi ho vo vete prirodzene."" So we need to translate ""minedResource"" to Slovak. The literal translation could be ""ťažený zdroj"". But as a predicate, maybe ""ťaží"" (verb) or ""má ťažený zdroj"". The subject is ""Československo"". Object is ""uhlí"" (Czech/Slovak for ""coal""). ""Uhlí"" is Czech word; Slovak is ""uhlie"". But we must not change the entity unless it's not a proper name. ""uhlí"" is a common noun, not a proper name, so we must translate to Slovak. So ""uhlí"" -> ""uhlie"". So we need to translate object to Slovak. So sentence: ""Československo ťaží uhlie."" That uses predicate ""ťaží"" (mined). Or ""Československo má ťažený zdroj uhlie."" But ""má ťažený zdroj uhlie"" is awkward. Better: ""Československo ťaží uhlie."" That expresses that the mined resource is coal. That includes all facts: subject, predicate, object. Use only given info. No extra facts. So final answer: ""Československo ťaží uhlie."""
Id11,politics,,,1,sv. Jan Nepomucký je členom ODS.,"We need to produce Slovak sentence(s) expressing the fact: subject ""sv. Jan Nepomucký"" predicate ""isMemberOf"" object ""ODS"". Translate predicate to Slovak: ""je členom"". Also translate non-proper nouns: ""sv. Jan Nepomucký"" is a proper name (includes title ""sv."" abbreviation for ""svätý""? It's part of name, keep as is). ODS is an organization name, keep as is. So sentence: ""sv. Jan Nepomucký je členom ODS."" That's it."
Id12,history,,,1,Barrandovské filmové ateliéry má zakladateľa Gustáva Husáka.,"We need to produce Slovak sentence(s) expressing the fact: ""Barrandovské filmové ateliéry"" (subject) founder (predikát) ""Gustáv Husák"" (object). Need to translate predicate to Slovak: ""zakladateľ"". Also translate entities that are not proper names. ""Barrandovské filmové ateliéry"" is a proper name? It's a name of a film studio, likely proper noun, but it's a phrase. Should we translate? The rule: translate each entity that is NOT a proper name. ""Barrandovské filmové ateliéry"" is a proper name (the name of the studio). So keep as is. ""Gustáv Husák"" is proper name, keep. So sentence: ""Barrandovské filmové ateliéry boli založené Gustávom Husákom."" Or ""Barrandovské filmové ateliéry má zakladateľa Gustáva Husáka."" Need to use predicate ""zakladateľ"". Could be ""Barrandovské filmové ateliéry má zakladateľa Gustáva Husáka."" That expresses the fact. Use singular? ""má"" is okay. Provide one sentence."
Id13,geography,,,2,Kladníky má výšku 1603 a patrí do Krkonoše.,"We need to produce Slovak sentence(s) expressing both facts: Kladníky height 1603, Kladníky partOf Krkonoše. Translate non-proper nouns: ""height"" -> ""výška"", ""partOf"" -> ""je súčasťou"" or ""patrí do"". Entities: Kladníky is likely a place name, keep as is. Krkonoše is a mountain range name, keep as is. So sentence: ""Kladníky má výšku 1603 a patrí do Krkonoše."" Or ""Kladníky má výšku 1603 a je súčasťou Krkonoše."" Use natural Slovak. Ensure both facts included. Provide only sentence."
Id15,history,,,2,Rabí má dôvod demolácie ťažba uhlia. Ťažba uhlia je typ zdroja uhlia.,"We need to produce Slovak sentence(s) that express all facts. Triples: 1. Rabí | reasonForDemolition | těžba uhlí 2. těžba uhlí | resourceType | uhlí We must translate non-proper nouns to Slovak. Entities: ""Rabí"" is likely a proper name (maybe a place). Keep as is. ""těžba uhlí"" is Czech phrase meaning ""ťažba uhlia"" (coal mining). It's not a proper name, so translate each word: ""těžba"" = ""ťažba"", ""uhlí"" = ""uhlia"". So ""těžba uhlí"" becomes ""ťažba uhlia"". ""reasonForDemolition"" translate predicate to Slovak: ""dôvod demolácie"". ""resourceType"" translate: ""typ zdroja"". ""uhlí"" is ""uhlia"". So second triple: ""ťažba uhlia"" typ zdroja uhlia. Now produce sentence(s) that include both facts. Could be: ""Rabí má dôvod demolácie ťažba uhlia a ťažba uhlia je typ zdroja uhlia."" But need natural Slovak: ""Rabí má dôvod demolácie ťažba uhlia a ťažba uhlia je typ zdroja uhlia."" Might be better: ""Rabí má dôvod demolácie ťažba uhlia a ťažba uhlia je typ zdroja uhlia."" Or two sentences: ""Rabí má dôvod demolácie ťažba uhlia. Ťažba uhlia je typ zdroja uhlia."" We must ensure we use all facts. Yes. Check translation: predicate ""reasonForDemolition"" -> ""dôvod demolácie"". So ""Rabí má dôvod demolácie ťažba uhlia."" That reads a bit odd; maybe ""Rabí má dôvod demolácie: ťažba uhlia."" Could use colon but still a sentence. It's okay. Second: ""ťažba uhlia"" resourceType ""uhlí"" -> ""Ťažba uhlia je typ zdroja uhlia."" Thus final output: two sentences."
