eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce sa nachádza v Bralnici.
Id1,geography,,,1,UFO most bol dokončený v roku 11-09-2025.
Id2,history,,,1,Zorka Machová vydala rozkaz začiatku Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen má rieku Hron, rieku Habovica a rieku Zolná."
Id4,geography,,,2,"Slovensko má 812 ropných rafinérií, ktoré sú umiestnené na Slovensku."
Id5,politics,,,2,Robert Mistrík sa zrušil z kandidatúry v prezidentských voľbách 2019 a zrušil sa na podporu Moniky Fialovej.
Id6,culture,,,1,Andrej Sládkovič má pôvodné meno Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je známa pre výkopávanie, ktoré je typom zdroja kovov, pričom primárnym príkladom kovov je Striebro."
Id9,geography,,,1,Bardejov je sitnica.
Id10,geography,,,2,Slovensko plánuje spoluprácu so Studenickou dolinou a plánuje projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má miesto pôvodu v Ostrolúckej Vesi.
Id12,geography,,,2,"Veľký Kôprovec má miesto pôvodu v Gbeľany, ktorá je obec."
Id14,geography,,,3,"Zrúcanina, ktorá je nazvaná Dúbravské Zálesie, sa nachádza v Obec Podbranč."
Id16,sports,,,1,Renáta Chovancová súťaží v snowboardingu.
Id18,politics,,,2,Vojtech Krupa je člen politickej strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,Nemeckí vojaci čiastočne spálili Bystrickú kotlinu.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice sa nachádza na Hlavnej ulici, ktorá je v meste Dúbravské Zálesie."
Id21,geography,,,1,Studenická dolina má hnedé uhlie ako výkopávkovú surovinu.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7203 fakulty.
Id24,politics,,,2,"Cyprián Duchoň má údajné odpočúvanie, ktoré vedie k Kauza Gorila."
Id26,politics,,,3,Politický spor nazvaný pomlčková vojna má za tému názov Česko-Slovenska a začal 18-02-1997.
Id27,history,,,3,"Belo IV bol kráľom Ostrá Lúka, a prvý mongolský vpád sa stal počas jeho panovania a cílil na Ostrá Lúka."
Id28,history,,,1,Múzeum obetí komunizmu sa nachádza v Zlatá dolinka.
Id29,history,,,3,"Piešťanský Grand Hotel Royal bol počas obdobia Grand Hotel Slovan, a Slovan bol neskôr nazvaný Slovan, pričom socializmus trval v období 08-12-1992."
