eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal složil hudbu pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů má hit největší hit, který pochází z muzikálu Starci na chmelu."
Id2,politics,,,2,"Ministryně zahraničí Spojených států, Madeleine Albrightová, je původem z Česka."
Id3,culture,,,3,Svátek svatého Mikuláše je spojen s rozdáváním dárků dětem. Tento svátek se slaví 5. prosince 2026 večer.
Id4,geography,,,1,Vodní nádrž Slapy je součástí Vltavských Kaskád.
Id5,history,,,4,"Literatura, nazývaná také samizdat, byla publikována disidenty na území Čech v období od 1. ledna 1950 do 31. prosince 2000."
Id6,culture,,,3,Jan Neruda je spojen s Malou Stranou. Jeho život a tvorba jsou známé.
Id7,geography,,,1,Prachovské skály se nachází v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, který získal ocenění Zlatý slavík, a to dokonce nejvíckrát."
Id9,culture,,,2,Oldřich Kaiser tvoří komediální duo s Jiřím Lábusem a jsou odloučitelní. (nebo lépe) Oldřich Kaiser tvoří komediální duo s Jiřím Lábusem a jsou neoddělitelný.
Id10,geography,,,1,Na Kladensku se těží uhlí.
Id11,politics,,,1,Miroslava Němcová je členkou strany ODS.
Id12,history,,,1,Barrandovské filmové ateliéry založil Miloš Havel.
Id13,geography,,,2,Nejvyšší bod Krkonoš je 1603 metrů vysoký a nachází se v Krkonoších.
Id14,history,,,1,Bitva u Slavkova se odehrála během Napoleonských válek.
Id15,history,,,2,"Historické město Most bylo zničeno kvůli těžbě uhlí, přičemž těžba uhlí byla zaměřena na získávání uhlí."
Id16,culture,,,6,"Znak města Třebíč se skládá ze štítu, který je rozdělen do tří vodorovných polí. Horní a dolní pole jsou červené a střední pole je bílé a obsahuje tři černé benediktinské kápě."
Id17,geography,,,2,Zlín se nachází v údolí řeky Dřevnice. Dřevnice je řeka.
Id18,geography,,,2,Slanská hora se nachází v Slaném a její název je Slanská hora.
Id19,geography,,,1,Těžba uhlí způsobuje problémy v Karviné.
Id20,history,,,2,"V Kolíně existovala židovská menšina, která byla skutečně náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je největší ostrov Prahy a je typem ostrova.
Id22,sports,,,1,Kladno je známé hokejem.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky se nachází na Palackého náměstí.
Id24,sports,,,2,"Petr Mach vlastní Spartu, která je fotbalový klub."
Id25,culture,,,2,Granát Turnov vyrábí šperky. Tyto šperky používají jako drahokam české granáty.
Id26,culture,,,4,"J. H. Krchovský je autorem básně Na samém konci, která byla napsána na fasádě domu v nizozemském městě Leiden."
Id27,culture,,,5,"Ondřej Sekora je autorem knihy, která obsahuje postavy Ferdy Mravence a Brouka Pytlíka, kteří byli inspirováni hmyzem."
Id28,culture,,,2,Film Štěstí má jako hlavní herce Tatianu Vilhelmovou a Pavla Lišku.
Id29,sports,,,1,Zdeněk Nejedlý má přezdívku Rudý dědek.
Id30,history,,,3,"Karel IV byl český král, který zbudoval Hladovou zeď."
Id31,geography,,,2,Sněžka má výšku 1603 m n. m.
Id32,culture,,,3,Jáchym Topol obdržel Státní cenu za literaturu za svůj román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR se stala v roce 2002 a trvala v posledních 100 letech.
Id34,geography,,,2,Český Těšín je sídlem organizací a je také centrem polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikl ze 5 částí, konkrétně ze 2 měst a 3 obcí."
Id36,history,,,3,"Pomník je věnován americkým vojákům a nachází se na Chodském náměstí, které se nachází v Plzni."
Id37,culture,,,3,"Prašivka je charakterem ze Světa Harryho Pottera a zároveň je to krysa, do které se může transformovat Peter Pettigrew."
Id38,history,,,2,Jindřich Nový je regionální historik a je patriotem Karlových Varů.
Id39,history,,,1,Bitva na Bílé hoře se uskutečnila v roce 1620.
Id40,geography,,,2,"Škoda Auto je automobilka, která má sídlo v Mladé Boleslavi."
Id41,culture,,,2,Film Noc na Karlštejně se natáčel na hradě Karlštejn. Noc na Karlštejně je film.
Id42,other,,,2,"Film ""Cesta do hlubin študákovy duše"" režíroval Martin Frič, který je režisérem."
Id43,geography,,,2,Řeka Úpa protéká Trutnovem. Trutnov má řeku Úpu.
Id44,other,,,2,Měsíční časopis je určen pro školáky a předškoláky a je pojmenován podle mateřídoušky.
Id45,other,,,1,Časopis Vesmír informuje o vědě.
Id46,geography,,,2,"Lužná u Rakovníka obsahuje Železniční muzeum, které se nachází v Lužné u Rakovníka."
Id47,culture,,,2,Český rozhlas Rádio Junior má za maskota Ušouna Rušouna. Ušoun Rušoun je maskotem Českého rozhlasu Rádio Junior.
Id48,culture,,,2,Honzíkovu cestu napsal Bohumil Říha a je to dětská knížka.
Id49,other,,,1,Jim Čert hraje na akordeon.
Id50,culture,,,2,"Barbora Tachecí moderuje pořad Osobnost Plus, který je pořadem v rozhlase."
Id51,other,,,1,Spolek Orel je katolická sportovní organizace.
Id52,sports,,,2,Hora Raná je střediskem paraglidingu a sportovního létání.
Id53,culture,,,1,Rádio Beat se specializuje na rockovou hudbu.
Id54,history,,,4,"Vykopávky v Přerově, které se nacházejí v Přerově, obsahují značné množství kostí, které patří mamutům."
Id55,geography,,,1,Řeka Vydra se nachází v Národním parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 byl natočen na hradě v Ledči nad Sázavou, který se nachází v Ledči nad Sázavou."
Id57,culture,,,1,Bob Hýsek popularizuje slam poetry.
Id58,geography,,,1,Litomyšl má jako symbol lilii.
Id59,culture,,,1,Slavonice jsou spojeny s textilním průmyslem.
Id60,geography,,,2,Řeka Ohře protéká městem Žatec.
Id61,geography,,,1,Jablunkovský výběžek se nachází na Česko-slovensko-polském trojmezí.
Id62,sports,,,4,"Jaromír Vytopil je knihkupcem z České republiky, je nejstarší a byl nejdéle aktivní."
Id63,geography,,,2,Řeka Jizera protéká Turnovem. Turnov leží na řece Jizeru.
Id64,sports,,,2,česká hokejová liga od sezóny 2024-08-01 nově známá jako Maxa liga.
Id65,culture,,,3,"Humpolec je spojen s Hliníkem, který je postavou z filmu Marečku podejte mi pero."
Id66,geography,,,3,"Rybník Bezdrev je rybník, který se nachází v ČR a dle velikosti je na 2. místě."
Id67,culture,,,1,Večerníček má autora Radka Pilaře.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí se nachází v Ústí nad Orlicí a její název je Stříbrná krasavice.
