eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava sa nachádza v Okrese Ilava.
Id1,geography,,,1,UFO most bol dokončený v roku 2024.
Id2,history,,,1,Ladislav Novomeský vydal rozkaz o začiatku Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen má rieky Hron, Pezinok a Zolná."
Id4,geography,,,2,"Vozovňa Solivar má 1 ropnú rafinériu, ktorá sa v nej nachádza."
Id5,politics,,,2,Robert Mistrík stiahol svoju kandidáturu v prezidentských voľbách 2019 v prospech Ľubomíra Lisého.
Id6,culture,,,1,Juraj Farkaš má pôvodné meno Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča je známa báňnictvom, ktorým je typom zdroja kovy, pričom primárnym príkladom kovov je striebro."
Id9,geography,,,1,Turčianske Teplice sú centrom Horný Šariš.
Id10,geography,,,2,Prešov plánuje spoluprácu s Maďarskom a plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile pochádza z mesta Košice.
Id12,geography,,,2,"Michalovce majú ako miesto prameň Gbeľany, ktoré sú obec."
Id14,geography,,,3,"Hrad Branč je zrúcanina, ktorá sa nachádza v Grand Hotel Slovan."
Id16,sports,,,1,Matej Tóth súťaží v snowboardinge.
Id18,politics,,,2,Peter Marcin je členom politickej strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,Nemeckí vojaci čiastočne zapálili Vlkolínec.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice sa nachádza na Hlavnej ulici, ktorá sa nachádza v meste Machnáčov grúň."
Id21,geography,,,1,V Fatra II./BU-2 saťaží hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7 fakult.
Id24,politics,,,2,Údajné odpočúvanie je predmetom Jana Hubinská a vedie k Kauza Gorila.
Id26,politics,,,3,Politický spor s názvom pomlčková vojna sa týka názvu Česko-Slovenska a začal 2011-01-01.
Id27,history,,,3,"Belo IV bol kráľom Národného parku Nízke Tatry, počas jeho panovania nastal prvý mongolský vpád, ktorý mal za cieľ Národný park Nízke Tatry."
Id28,history,,,1,Múzeum obetí komunizmu sa nachádza v Slovensku.
Id29,history,,,3,"Piešťanský Grand Hotel Royal sa počas socializmu v rokoch 1948-1989 nazýval Jankov vŕšok, ktorý neskôr dostal názov Slovan."
Id31,politics,,,2,"Peter Doležaj má štýl vládnutia mečiarizmus, ktorý je časovým obdobím 1992-01-01 1998-12-31."
Id32,geography,,,2,Okres Čadca hraničí s Českom a Ďumbierom.
Id34,culture,,,3,"Dračie srdce je film, ktorého miestom natáčania sú Levice, ktoré sú hrad."
Id35,culture,,,3,"Profesijným zameraním Vojtecha Bukovského je maľba, ilustrácia a grafika."
Id37,culture,,,1,Belo IV skomponoval Aj tak sme frajeri.
Id38,geography,,,1,Sídlo Národného ústavu reumatických chorôb sa nachádza vo Vihorlatských vrchoch.
Id39,geography,,,2,"Najväčšou osadou Liptovský Mikuláš sú Turčianske Teplice, ktoré sú najväčšou osadou Liptovský Mikuláš."
Id40,geography,,,1,Galanta bola zlúčená so Šaštínom.
Id41,culture,,,2,Slovenská televízia a rozhlas nahradila organizáciu Rozhlas a televízia Slovenska v roku 1986.
Id42,other,,,1,Ladislav Novomeský sa zameriava na klimatológiu.
Id43,politics,,,3,"Dara Rolins bola prezidentom Slovenska a založila Za ľudí, čo je politická strana."
Id45,culture,,,3,"Obálky kníh Harry Potter v slovenskom vydaní navrhol Michal Straka, sú v slovenskom jazyku a patria k knižnej sérii Harry Potter."
Id46,politics,,,1,Daňové identifikačné číslo (DIČ) má 150 číslic.
Id47,geography,,,2,"Pavelková sa nachádza v CHKO Dunajské luhy, ktorá je geomorfologický podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach založil Vašo Patejdl.
Id49,geography,,,1,Bratislava má sopečný pôvod.
Id50,history,,,3,"Academia Istropolitana bola založená Milošom Alexanderom Bazovským, ktorý mal titul kráľa, a nachádza sa v Bratislave."
Id51,geography,,,2,"Trstená má hlavné námestie Čierny Váh, ktoré sa nachádza v Trstená."
Id52,geography,,,1,Krahuľský vrch sa nachádza nad Košice.
Id53,history,,,2,Nemeckí kolonisti začali osídľovať Poprad v období 2024-12-31.
Id54,geography,,,2,"Domašínsky meander sa nachádza v Ružomberku, ktorý je typom okresu."
Id55,culture,,,3,"Ján Palárik hral rolu Dr. Tomáš Stach, ktorý je postavou v slovenskom televiznom seriáli Doktori."
Id56,culture,,,4,Slovenský dokumentárny film s názvom Cesta Magdalény Robinsonovej z roku 1972 znázorňuje životný príbeh židovskej fotografky z obdobia Slovenského štátu.
Id57,culture,,,5,"Generácia NULA je zoskupenie básnikov v Banskej Bystrici, ktoré 2011-01-01 založili Peter Papšo a Jaroslav Melišek."
Id58,history,,,3,"Pri Most SNP sa nachádza prvá banská škola v Uhorsku, ktorá bola založená 1735-01-01 v Uhorsku."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia oceňuje Slnko v sieti, čo je filmové ocenenie v domene slovenskej kinematografie, ktoré sa udeľuje od roku 2016 za najlepšie snímky a umelecké výkony."
Id60,culture,,,5,"Štefan Uher je slovenská herečka, ktorá získala cenu Český lev za úlohu vo filme Děvčátko."
Id61,history,,,6,"Juraj (VII.) Turzo, ktorý mal sídlo v Bytči, bol známy ako bojovník proti Turkom, zastával rolu radcu, bol radcom Martina Šimkovičová a podporoval Slovákov a protestantizmus."
Id62,culture,,,4,"Fontána pre Zuzanu je hudobný film z roku 1986, ktorý je založený na románe Eleonóry Gašparovej a jeho skladateľom je Rytmus."
Id63,culture,,,8,"Miroslav Šmajda, ktorý pochádza z mesta Piešťany, je frontmanom kapiel Walda Gang a Terrapie a v roku 2009 v 1. sérii súťaže Česko Slovenská SuperStar získal 2. miesto."
Id64,geography,,,7,"Dolný Zemplín je slovenský región, ktorý pozostáva z okresov Michalovce, Sobrance a Československo."
Id65,other,,,2,Hurban je slovenský lekár a jeho oblastou excelencie je gerontológia.
Id66,geography,,,4,"Ostrožnica je slovenská obec v okrese Snina, ktorá zanikla 1944-08-29 kvôli výstavbe Starinskej priehrady."
Id67,culture,,,4,"Film Pacho, hybský zbojník z roku 1975 obsahuje postavu Melichara, ktorý je zbojník a ktorého stvárnil Kamil Čapkovič."
Id68,culture,,,5,"Škvrna Records vydala IMT Smile, Bukasový masív a Gladiator a v roku 2023 sa premenovala na Závodský, s.r.o."
Id69,culture,,,3,"Jožo Ráž je spevák a člen Metalindy, ktorá je slovenská skupina."
Id70,sports,,,2,"Jožo Ráž je slovenská paralympijská športovkyňa, ktorá súťaži v boccia."
Id72,politics,,,2,Dr. Tomáš Stach v roku 2023 založil politickú stranu Demokrati.
Id73,history,,,2,Alexander Bárta bol prvým slovenským predsedníkom vlády Česko-Slovenska a Česko-Slovensko malo za svojho prvého slovenského predsedu vlády Alexandra Bártu.
Id75,geography,,,2,Jakubov dom sa nachádza na Námestie Milana Rastislava Štefánika a je umiestnený na Hlavne namestie.
Id76,geography,,,1,Fatrikum je tektonickou jednotkou obce Stráne pod Tatrami.
Id77,culture,,,3,"Na love je slovenská televízna relácia, ktorej moderátorkou je Žofie Bosniaková."
Id78,culture,,,3,Jaroslav Filip je slovenský moderátor a manžel Adely Vinczeovej.
Id79,history,,,1,Vašo Patejdl pochádza z Očová.
Id80,history,,,2,"Hlas začal publikovať v Skalici, ktorá je mestom pri rieke Morava."
Id81,geography,,,1,Lysá sa nachádza v Šaštín-Strážach.
Id84,culture,,,1,Zbierka básni Nedeľa je autorstvom Jána Pavla II.
Id85,culture,,,3,"Kamil Čapkovič stvárnil Jánošíka, ktorý je titulnou postavou v divadelnej hre Na skle maľované."
Id86,culture,,,2,Petr Cmorik napísal Najväčšie želanie a Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica sa nachádza v Bratislave, ktorá je súčasťou Bratislavy."
Id88,history,,,2,Bratislavský kraj sa nachádza v Bratislave a je pomenovaný podľa Miloša Alexandra Bazovského.
Id89,geography,,,1,Najvyšším vrcholom Bytča je Fabova hoľa.
Id90,history,,,1,Bratislava bola vybudovaná v 13. storočí.
Id91,politics,,,2,"Národna bločková lotéria bola vyhlásená ministerstvom financií Slovenskej republiky, ktoré je v meste Piešťany."
Id92,other,,,1,Vojtech Bukovský dosiahol úspechy v oblasti fyziky.
Id93,geography,,,2,"Tiesňava Kyseľ sa nachádza v Bratislave, ktorá je horské pásmo."
Id94,geography,,,2,"Podunajské Biskupice sú mestská časť, ktorá je súčasťou Banská Štiavnica."
Id95,geography,,,1,Zemplín je symbolom mesta Snina.
Id96,history,,,2,Ľudovít Štúr bol známy ako Andrej Bielik a Pozorovateľ.
Id97,geography,,,1,Hlavná bratislavská autobusová stanica má hlavné mesto Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná sa nachádza v meste Piešťany na ulici Veľká okružná.
Id99,history,,,1,Prvé slovenské gymnázium pochádza zo Západoslovenskej časti.
Id100,geography,,,3,"Slovensko má v okrese Sabinov rieku, ktorý sa nachádza v Slovensku a je ranked podľa dĺžky ako 2."
Id101,geography,,,2,"Krompachy sa nachádzajú v Petržalke, ktorá je typom okres."
Id102,politics,,,1,Prvou predsedníčkou Úradu jadrového dozoru Slovenskej republiky bola Dominika Mirgová.
Id103,geography,,,1,Martin Rázus sa narodil v Slovakia.
Id104,sports,,,2,"Andrej Kraus je najlepším strelcovi slovenského národného futbalového mužstva, ktoré participovalo na EURO 2024."
Id105,geography,,,3,"Vrútky sú miestom sústoku Topľy a Váh je riekou v sústoku Turca, pričom Topľa má miesto sústoku vo Vrútkach."
Id106,sports,,,2,"Zakladateľom hokejbalu je Jaroslav Melišek, ktorého národnosť je Čadca."
Id107,geography,,,4,"Devínsky Hrad má mestskú časť Petržalka, ktorá je súčasťou Devínskeho Hradu, je najobytnejšia a má najvyššiu hustotu obyvateľstva na Slovensku."
Id108,geography,,,1,Najvyšším vrcholom Slovakia je Ostredok.
Id109,history,,,1,Dežo Ursiny bol prvým predsedníčom Slovenská národná rada.
Id110,culture,,,1,Prvým predsednícom Tatrín bol Dr. Tomáš Stach.
Id111,history,,,2,Ivan Tásler si adoptoval druhé meno Velislav v Devíne.
Id112,history,,,3,"Na Váhu sa uskutočnil Legalization Of Standard Slovak, čo bol typ udalosti Legalization, ktorej objektom bola Spisovná Slovenčina."
Id113,culture,,,1,Editorom publikácie Sokol Časopis Pre Krásno Umenie A Literatúru je Kamil Čapkovič.
Id114,geography,,,2,"Bratislava sa nachádza nad Čiernym Balogom, ktorý je obec."
Id115,geography,,,1,Rádio Aetter vysiela z mesta Siaha.
Id116,other,,,1,Peter Škantár má pole neurológia.
Id117,geography,,,1,Šarišské múzeum sa nachádza v Košťany nad Turcom.
Id118,geography,,,2,"Sobášny palác sa nachádza v Starom Meste, ktoré je slovenské mesto."
Id119,geography,,,1,Slovenská národná knižnica má sídlo v Západné Karpaty.
Id120,culture,,,1,Jozef Tiso patrí do literárneho obdobia romantizmus.
Id121,other,,,1,Projekt This is Kevin má za svojho vedúceho Ivo Medin.
Id123,culture,,,3,"Matej Bel, ktorého profesia je maliarstvo, je známy ako prvá dáma slovenského maliarstva, čo odkazuje na Mateja Bela."
Id124,geography,,,1,Múzeum Andreja Kmeťa sa nachádza v Košice.
Id125,geography,,,1,Galéria Mikuláša Galandu sa nachádza v meste Bardejov.
Id126,geography,,,1,Obec Stráne pod Tatrami sa nachádza v Poprade.
Id127,culture,,,2,Rudolf II. je známy ako Momo a Momo je umeleckým menom Rudolf II.
Id128,geography,,,1,Čierňanka sa predtým nazývala Vihorlatská nádrž.
Id129,other,,,2,Jana Kirschner je skladateľkou a speváčkou skupiny Tristana.
Id130,history,,,2,Námestie sa nachádza v Turčianske Teplice a je pomenované podľa Andrej Hlinka.
Id131,geography,,,1,Bratislavský kraj sa nachádza v Prešov.
Id133,geography,,,1,Andrej Kmeť sa narodil v Trstená.
Id134,geography,,,1,Slovensko leží na rieke Trnávka.
Id135,sports,,,2,Atlas klub a Klub Atlas Sládkovičova pochádzajú z Bratislavy.
Id136,geography,,,2,"Čachtice sa nachádza v Žiline, ktorá je okres."
Id137,geography,,,1,Bratislava má svoj prameň rieky v Banskej Štiavnici.
Id138,geography,,,4,Váh River Valley je riečny ostrov v Európe na Slovensku s veľkosťou rank 1.
Id139,other,,,3,"Eva Landlová má syna Anastasiya Kuzminová, ktorý je synom Evy Landlová a jeho profesia je herec."
Id140,geography,,,2,Malý Dunaj vtečie do Dunaja a miesto ich sústoku je Slovensko.
Id141,geography,,,2,"Súdna rada Slovenskej republiky má sídlo v Miestodržiteľský palác, ktorý sa nachádza v rieka Ipeľ."
Id142,history,,,1,Vladimír Mečiar je tiež známy ako slovenský Schliemann.
Id143,other,,,1,Profesiou Petera Wilsena je speleológia.
Id144,geography,,,2,"Stredná priemyselná škola strojnícka sa nachádza na Fajnorovo nábrežie, ktoré je umiestnené v Pieninský národný park."
Id145,geography,,,2,"Kúpeľný ostrov sa nachádza na Dnesne Slovensko, ktoré je rieka."
Id146,history,,,2,"Andrej Stančík je profesor, čo je najvyšší akademický titul."
Id147,geography,,,3,"Pezinok má námestie Slovensko, ktorého súčasný názov je Radničné námestie a nachádza sa v Pezinoku."
Id148,geography,,,5,"Nové Mesto má rieky Kysuca a Čierňanka, ktoré sa v Novom Meste stretávajú."
Id149,geography,,,1,Autobusová Stanica má ako zdrojovú lokalitu Veporské vrchy.
Id150,sports,,,1,Zuzana Čaputová profesionálne hrá tenis.
Id151,geography,,,1,Múzeum Janka Kráľa sa nachádza v Košice.
Id152,geography,,,2,"Holeška je súčasťou Karlova Ves, ktorá je mestskou súčasťou Bratislava."
Id153,geography,,,3,"Tatranský Národný Park má prístupnú jaskyňu Nitrianske Kniežatstvo, ktorá sa nachádza v Tatranskom Národnom Parku a je prístupná."
Id154,geography,,,1,Najvyšším vrcholom Belianske Tatry je rieka Poprad.
Id155,culture,,,2,Gitarové múzeum sa nachádza v Rozprávkovej dedinke Habakuky a jeho typ nástroja je gitara.
Id156,geography,,,2,Nitriansky kraj sa nachádza v Nitre a je typu Sídlisko A Mestská Časť.
Id157,other,,,4,"Peter Krištúfek je prezidentom, pričom je prezidentom Slovenská lekárska spoločnosť, a prezidentský mandát je z roku 1981-01-01, kedy bola Slovenská lekárska spoločnosť v roku 1981-01-01 prezidentom."
