eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal pôsobil v Moravskom divadle Olomouc.
Id1,culture,,,3,"Jana Petrů má největší hit, ktorý pochádza z Starci na chmelu, ktorý je muzikál."
Id2,politics,,,2,Minister zahraničního správy Spojených státov má vlastné meno Madeleine Albrightová a je zahraničným ministerom Česka.
Id3,culture,,,3,Svátek svatého Mikuláše sa rozdávania dárků dětem a sa vysvetľuje 2026-12-05 večer.
Id4,geography,,,1,Vodní nádrž Slapy je častou časťou Vltavského kaskádov.
Id5,history,,,4,Literatura je publikovaná disidentmi a je pôsobí v území Čech. Literatura sa vyskytuje v období 1950-01-01 až 2000-12-31. Literatura sa zvyčajne zvaná samizdat.
Id6,culture,,,3,Jan Neruda má tvorbu a život.
Id7,geography,,,1,Prachovské skály sú v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, ktorý získal Zlatý slavík nejvíckrát."
Id9,culture,,,2,Oldřich Kaiser sa s Jiří Lábusom v škole vydávali v školských komedii.
Id10,geography,,,1,Kladensko má uhlí.
Id11,politics,,,1,Miroslava Němcová je členkou ODS.
Id12,history,,,1,Barrandovské filmové ateliéry sú založené Milošom Havelom.
Id13,geography,,,2,Najvyšší bod Krkonoš je 1603 m nad morom a patrí k Krkonošám.
Id14,history,,,1,Bitva u Slavkova sa uskutočnila v Napoleonských válkach.
Id15,history,,,2,Most bolo zničené kvôli těžbe uhlí.
Id16,culture,,,6,"Třebíč má štít, ktorý má tri vodorovná pole. Horní a dolní pole majú červenú farbu, střední pole má bílu farbu a obsahuje tři černé benediktinské kápě."
Id17,geography,,,2,"Zlín je údolím Dřevnice, ktorá je řeka."
Id18,geography,,,2,Slanská hora je v Slaný.
Id19,geography,,,1,Těžba uhlí v Karviné spôsobuje problémy.
Id20,history,,,2,Židovská menšina je v Kolíně.
Id21,geography,,,2,Praha je najväčšou islandou v Česku.
Id22,sports,,,1,Kladno je známe z hokeja.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má lokáciu Palackého náměstí.
Id24,sports,,,2,"Petr Mach je vlastníkom Sparty, ktorá je fotbalový klub."
Id25,culture,,,2,"Granát Turnov vytvára šperky, ktoré sú české granáty."
Id26,culture,,,4,"Na samém konci je báseň, ktorá bolo napisaná na fasádu domu, ktorá je v nizozemskom meste Leiden."
Id27,culture,,,5,"Ondřej Sekora píše knihy, ktoré majú Ferda Mravenec ako hrdinu. Brouk Pytlík píše knihy, ktoré majú hrdinu Brouk Pytlík. Ferda Mravenec je inspirovaný hmyzom. Brouk Pytlík je inspirovaný hmyzom."
Id28,culture,,,2,Film Štěstí má hlavného hokejistu Tatianu Vilhelmovú a hlavného hokejistu Pavela Lišku.
Id29,sports,,,1,Zdeněk Nejedlý má nickname Rudý dědek.
Id30,history,,,3,Karel IV bol český král a vytvoril Hladovú zeď.
Id31,geography,,,2,Sněžka je h vyššie 1603 m n. m.
Id32,culture,,,3,"Jáchym Topol získal Státnú cenu za literaturu, pretože je citlivý člověk."
Id33,geography,,,2,"Největší povodeň v ČR sa v roce 2002 vyskytla, a to v posledných 100 letoch."
Id34,geography,,,2,"Český Těšín je mesto, ktoré je aj stánkom organizácie a stánkom polského národnostného menšiny."
Id35,geography,,,3,"Frýdek-Místek je vzniknutý 5 rokmi neskôr, kedy sa vytvorili 2 města a 3 obce."
Id36,history,,,3,"Pomník je pôsobí na Chodské náměstí, ktorého je pôsobí v Plzeň."
Id37,culture,,,3,Peter Pettigrew je zahraničný člen Harryho Pottera.
Id38,history,,,2,Jindřich Nový je regionálný historik a patriot Karlovy Vary.
Id39,history,,,1,Bitva na Bílé hoře sa uskutočnila v roku 1620.
Id40,geography,,,2,"Škoda Auto je automobilka, ktorá je založená v Mladá Boleslav."
Id41,culture,,,2,Noc na Karlštejně sa štýluje na Karlštejn.
Id42,other,,,2,Martin Frič je režisér.
Id43,geography,,,2,"Trutnov má riečník Úpa, ktorá prechádza Trutnovom."
Id44,other,,,2,Měsíční časopis je návrh mateřídoušky na školáky a předškoláky.
Id45,other,,,1,Vesmír informuje o věde.
Id46,geography,,,2,Lužná u Rakovníka obsahuje Železničné muzeum.
Id47,culture,,,2,Český rozhlas Rádio Junior má Ušoun Rušoun ako vlastný štít.
Id48,culture,,,2,Honzíkova cesta je dětskou kníhou píše Bohumil Říha.
Id49,other,,,1,Jim Čert hraje akordeon.
Id50,culture,,,2,Barbora Tachecí moderuje Osobnost Plus.
Id51,other,,,1,Spolek Orel je katolická sportovní organizacia.
Id52,sports,,,2,Hora Raná je stredom paraglidingu a sportovního letu.
Id53,culture,,,1,Radio Beat prehodí rockovú hudbu.
Id54,history,,,4,"Vykopávky v Přerově vykopali kosti, ktoré pripadajú na Mamuti a vznikli značné množství."
Id55,geography,,,1,Vydra je v Národnom Parku Šumava.
Id56,geography,,,2,"Anděl Páně sa filmoval v hrad v Ledči nad Sázavou, ktorý je v Ledč nad Sázavou."
Id57,culture,,,1,Bob Hýsek popularizuje slam poetry.
Id58,geography,,,1,Litomyšl má symbol lilii.
Id59,culture,,,1,Slavonice je spojená s textilným průmyslom.
Id60,geography,,,2,Žatec má rieč Ohře.
Id61,geography,,,1,Jablunkovský výběžek má lokáciu Česko slovensko polské trojmezí.
Id62,sports,,,4,"Jaromír Vytopil je knihkupec, je najstarším, a je najdĺžším aktivným."
Id63,geography,,,2,Jizera prechádza Turnov.
Id64,sports,,,2,česká hokejová liga má nový názov Maxa liga a začala sa v roku 2024-08-01.
Id65,culture,,,3,Humpolec je spojený s Hliníkom. Hliník je hrdina filmu Marečku podejte mi pero.
Id66,geography,,,3,Rybník Bezdrev má veľkosť 2. Rybník Bezdrev je v ČR. Rybník Bezdrev patrí do kategórie rybník.
Id67,culture,,,1,Večerníček má autor Radek Pilař.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí je výhľadom na Stříbrnú krasavicu.
Id69,culture,,,5,"Michal Horáček zveřejnil balady, ktoré široká veřejnost žudebnění."
Id70,geography,,,2,Kralupy nad Vltavou sú umiestnené na Prahu Děčín. Praha Děčín je hlavná trata.
Id71,culture,,,1,Žítkovské bohyně píše Kateřina Tučková.
Id72,geography,,,2,Bečovská botanická zahrada je v Bečov nad Teplou.
Id73,geography,,,2,Havlíčkův Brod je rieka Sázava.
Id74,geography,,,2,Teplice má dominantu Doubravku.
Id75,sports,,,3,Závod veteránov sa štartuje v roku 2002 na Českobrodskom okruhu a sa vždy pravidelne hraje.
