eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava is located in Okres Ilava.
Id1,geography,,,1,UFO completed in 2024.
Id2,history,,,1,Ladislav Novomeský issued an order starting the Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen has rivers Hron, Pezinok, and Zolná."
Id4,geography,,,2,Vozovňa Solivar has 1 oil refinery and is located in ropná rafinéria.
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the 2019 presidential elections and withdrew in favor of Ľubomír Lisý.
Id6,culture,,,1,Juraj Farkaš's original name is Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča is known for Mining, which is a resource type of Kovy, and Striebro is the primary example of Kovy."
Id9,geography,,,1,Turčianske Teplice is the center of Horný Šariš.
Id10,geography,,,2,Prešov planned cooperation with Hungary and planned a water project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile is from Košice.
Id12,geography,,,2,"Michalovce is the source location of Gbeľany, which is a town."
Id14,geography,,,3,"Zrúcanina is located in Grand Hotel Slovan, is called Hrad Branč, and is of type Zrúcanina."
Id16,sports,,,1,Matej Tóth competes in snowboarding.
Id18,politics,,,2,Peter Marcin is a member of the political party OĽANO and has been elected to the parliament.
Id19,history,,,2,The German soldiers were partially burned during the attack on Vlkolínec.
Id20,geography,,,2,"The Kostol Najsvätej Trojice is located on Hlavná ulica, which is in Machnáčov grúň."
Id21,geography,,,1,Fatra II. is mined for hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave has 7 faculties.
Id24,politics,,,2,Jana Hubinská is involved in the Kauza Gorila case through her alleged confession.
Id26,politics,,,3,"The political conflict named ""pomlčková vojna"" had the topic ""názov Česko-Slovenska"" and started on 2011-01-01."
Id27,history,,,3,Belo IV was king of the National Park Nízke Tatry and the first Mongol invasion targeted the National Park Nízke Tatry.
Id28,history,,,1,The Museum of Communism is located in Slovakia.
Id29,history,,,3,"The piešťanský Grand Hotel Royal was named Jankov vŕšok during the period 1948-1989, and later renamed to Slovan."
Id31,politics,,,2,"Peter Doležaj's governing style is mečiarizmus, which was in effect from 1992-01-01 to 1998-12-31."
Id32,geography,,,2,Okres Čadca borders Česko and Ďumbier.
Id34,culture,,,3,"Dračie srdce is a film filmed in Levice, and Levice is a hrad."
Id35,culture,,,3,"Vojtech Bukovský's professional focus is painting, illustration, and graphic design."
Id37,culture,,,1,Belo IV composed Aj tak sme frajeri.
Id38,geography,,,1,The National Institute of Rheumatic Diseases has its headquarters located at Vihorlatské vrchy.
Id39,geography,,,2,"Liptovský Mikuláš has Turčianske Teplice as its largest settlement, and Turčianske Teplice is the largest settlement of Liptovský Mikuláš."
Id40,geography,,,1,Galanta was merged with Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas was replaced by Rozhlas a televízia Slovenska in 1986.
Id42,other,,,1,Ladislav Novomeský focuses on klimatológia.
Id43,politics,,,3,Dara Rolins was the former president of Slovakia and founded the political party Za ľudí.
Id45,culture,,,3,"The covers of Harry Potter in the Slovak edition are designed by Michal Straka, and the language is Slovak, with the book series being Harry Potter."
Id46,politics,,,1,The tax identification number (DIČ) has 150 digits.
Id47,geography,,,2,"Pavelková is located in CHKO Dunajské luhy, which is a geomorfological subunit."
Id48,sports,,,1,The International Marathon of Peace in Košice was founded by Vašo Patejdl.
Id49,geography,,,1,Bratislava is of origin type sopečný.
Id50,history,,,3,"The Academia Istropolitana was founded by Miloš Alexander Bazovský and is located in Bratislava, and Miloš Alexander Bazovský holds the title of king."
Id51,geography,,,2,"Trstená has Central Square Čierny Váh, and Čierny Váh is located in Trstená."
Id52,geography,,,1,Krahuľský vrch is located above Košice.
Id53,history,,,2,The German colonists began settling in Poprad in 2024-12-31.
Id54,geography,,,2,"Domašínsky meander is located in Ružomberok, and Ružomberok is of type okres."
