eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal złoži hudźbu za Moravské divadlo Olomouc.
Id1,culture,,,3,Jana Petrů je něhdyši hit z muzikala Starci na chmelu.
Id2,politics,,,2,Ministryně zahraničí Spojených států pochází z Česka a jmenuje se Madeleine Albrightová.
Id3,culture,,,3,Svátek svatého Mikuláše je zwjazany z rozdawanjom darykow dźěćom a so wječor dnja 2026-12-05 swjeći.
Id4,geography,,,1,Vodní nádrž Slapy je dźěl Vltavské Kaskády.
Id5,history,,,4,"Literatura, kotraž je w lěće 1950–2000 w Čechach jako samizdat wudała, bu wot disidentow wozjewjena."
Id6,culture,,,3,"Jan Neruda je zwjazany z Malou Stranu, jeho twórba a jeho život."
Id7,geography,,,1,Prachovské skály leža w CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, kotrehož mjenuja Zlatý slavík."
Id9,culture,,,2,Oldřich Kaiser tworja komiske duo z Jiří Lábusom. Tutej wobaj njerozlučitelnej stej.
Id10,geography,,,1,Kladensko ma jako wudobyty surowinu uhlí.
Id11,politics,,,1,Miroslava Němcová je čłonka ODS.
Id12,history,,,1,Zakładarjemi filmowych ateljerow Barrandov su byli Miloš Havel.
Id13,geography,,,2,Nejvyšší bod Krkonoš je 1603 metrow wysoki a słuša k Krkonošem.
Id14,history,,,1,Bitva u Slavkova so w běhu Napoleonskich wójnow sta.
Id15,history,,,2,"Historické město Most bu dla težby uhlí zničene, kotrež je wužiwanje jako surowina."
Id16,culture,,,6,"Znak města Třebíč so ze štita składuje, kotryž ma tři vodorovná pole. Hornje a dolnje pole su červené, strednje polo běłe a wobsahuje tři čorne benediktinske kápě."
Id17,geography,,,2,"Zlín leži w údolí Dřevnice, kotrež je řeka."
Id18,geography,,,2,Slanská hora leži w Slanym.
Id19,geography,,,1,Těžba uhlí w Karviné přičinja problemy.
Id20,history,,,2,"Kolín ma židowsku menšinu, kotraž je wosobinska mjeńšina."
Id21,geography,,,2,Císařský ostrov je najwjetši wjerch Prahy a je to ostrov.
Id22,sports,,,1,Kladno je znaty za hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky ma lokalitu na Palackého náměstí.
Id24,sports,,,2,"Petr Mach wobsahuje Sparta, kotraž je fotbalowy klub."
Id25,culture,,,2,Granát Turnov produkuje šperki z českých granátow.
Id26,culture,,,4,"J. H. Krchovský je awtor básně „Na samém konci"", kotraž je napisana na fasadźe domu w nizozomskem městje Leiden."
Id27,culture,,,5,"Ondřej Sekora je awtor knihow, kotrež wobsahuja postawy Ferda Mravenec a Brouk Pytlík. Wobaj stej wot hmyza wobwliwowanej."
Id28,culture,,,2,Hłownej dźěławaj w filmje Štěstí stej Tatiana Vilhelmová a Pavel Liška.
Id29,sports,,,1,Zdeněk Nejedlý ma přezwisko Rudý dědek.
Id30,history,,,3,"Karel IV, česki król, zbudźi Hladová zeď."
Id31,geography,,,2,Sněžka je 1603 m n. m. wysokej.
Id32,culture,,,3,Jáchym Topol dósta Státní cena za literaturu za román Citlivý člověk.
Id33,geography,,,2,Najwjetša powódź w Čěskej republice so w lěće 2002 sta a běše poslednich 100 lět.
Id34,geography,,,2,Český Těšín je sydło organizacijow a centrum pólskeje narodneje mjeńšiny.
Id35,geography,,,3,"Frýdek-Místek wobsteji z 5, 2 městow a 3 obcow."
Id36,history,,,3,"Pomník je wěnowany ameriskim vojákam a nadeńdźe so na Chodském náměstí, kotrež leži w Plzni."
Id37,culture,,,3,"Prašivka je postawa ze swěta Harryho Pottera. Peter Pettigrew so do Prašiwki pře měni, kotrež je krysa."
Id38,history,,,2,Jindřich Nový je regionální historik a patriot Karlovych Varow.
Id39,history,,,1,Bitva na Bílé hoře so w lěće 1620 wotmě.
Id40,geography,,,2,Škoda Auto je automobilka z hłownej siedzbu w Mladá Boleslav.
Id41,culture,,,2,"Noc na Karlštejně je film, kotryž bě w Karlštejnje natwarjeny."
Id42,other,,,2,"Cesta do hlubin študákovy duše je wot Martina Friča režirowana, kiž ma powołanje režisera."
Id43,geography,,,2,"Trutnov leži při rěce Úpa, kotraž přez Trutnov běžy."
Id44,other,,,2,Měsíční časopis je zaměrjeny na školáky a předškoláky a njesćo mjeno mateřídouška.
Id45,other,,,1,Časopis Vesmír informuje wo wědomosći.
Id46,geography,,,2,"Lužná u Rakovníka wobsahuje Železniční muzeum, kotrež je w Lužnej u Rakovníka lokalizowane."
Id47,culture,,,2,Ušoun Rušoun je maskot Český rozhlas Rádio Junior.
Id48,culture,,,2,"Honzíkova cesta je dźěćaca kniha, kotruž napisa Bohumil Říha."
Id49,other,,,1,Jim Čert hraje na akordeon.
Id50,culture,,,2,Barbora Tachecí moderuje pořad v rozhlase z mjenom Osobnost Plus.
Id51,other,,,1,Spolek Orel je katolska sportowa organizacija.
Id52,sports,,,2,Hora Raná je centrum paraglidinga a sportowneho leća.
Id53,culture,,,1,Radio Beat je specjalizowany na rockowu hudźbu.
Id54,history,,,4,"Kosti, kotrež naleža mamutam, su w Přerowje při wykopawkach z namakaneho značného množstwa."
Id55,geography,,,1,Rěka Vydra leži w Národní Park Šumava.
Id56,geography,,,2,"Hladanišćo filmow Anděl Páně 2 je hrad v Ledči nad Sázavou, kotryž so w Ledči nad Sázavou namaka."
Id57,culture,,,1,Bob Hýsek popularizuje slam poetry.
Id58,geography,,,1,Litomyšl ma symbol lilii.
Id59,culture,,,1,Slavonice su z textilnym industrijskim sektorom zwjazane.
Id60,geography,,,2,Žatec leži na rěce Ohře. Ohře přetekajo Žatec.
Id61,geography,,,1,Jablunkovský výběžek leži na Česko slovensko polském trojmezí.
Id62,sports,,,4,"Jaromír Vytopil je knihkupec w Českej republika, najstarši a tež najdłujšo aktiwny."
Id63,geography,,,2,"Turnow ma rěku Jizera, kotraž přez Turnow płuje."
Id64,sports,,,2,"česká hokejová liga, kotrež je so 2024-08-01 započała, njesmě Maxa liga."
Id65,culture,,,3,"Humpolec je zwjazany z Hliníkom, kotryž je postawa w filmje Marečku podejte mi pero."
Id66,geography,,,3,Rybník Bezdrev je w ČR a ma rank 2.
Id67,culture,,,1,Postavička Večerníček ma awtora Radek Pilař.
Id68,geography,,,2,"Rozhledna nad Ústí nad Orlicí, kotrejž je mjeno Stříbrná krasavice, leži w Ústí nad Orlicí."
Id69,culture,,,5,"Michal Horáček jako awtor baladow zjawnje zhudebnjenje wuprajił, kotrež je požadał a kotrež so na šěroką wšitku wosobu dźěla."
Id70,geography,,,2,"Kralupy nad Vltavou leža na trase Praha Děčín, kotraž je hłowna traća."
Id71,culture,,,1,Kateřina Tučková je awtorka Žítkovské bohyně.
Id72,geography,,,2,"Bečov nad Teplou wobsahuje Bečovská botanická zahrada, kotraž so tam namaka."
Id73,geography,,,2,"Přez Havlíčkův Brod prěka Sázava, kotraž je rěka."
Id74,geography,,,2,"Teplice ma dominowacu Doubravku, kotraž je hora."
Id75,sports,,,3,"Závod veteránů je přeprošeny na Českobrodský okruh, započat w lěće 2002 a wotměwa so pravidelnje."
Id76,culture,,,7,"Luděk Novák je český historik umění, kiž je znaty za publikowanje studiijow wo čěskich maljerach kaž Mánes, Švabinský a Machek. Tónle historik je tež załožił wýtvarnu skupinu Trasa."
Id77,history,,,4,"Vladimír Přibský, kiž je woprawdźe mjenuje Vladimír Řezáč, bě žurnalista a dramatik. Narodźi so w Přibysławach."
Id78,geography,,,2,Římskokatolická farnost Pravlov leži w Brno venkov.
Id79,geography,,,1,Rybník Španělák leži w Okres Hradec Králové.
Id80,culture,,,3,"Film Vrásky z lásky je režisera Jiří Strach, w nim hraju Radoslav Brzobohatý a Jiřina Bohdalová."
Id81,politics,,,2,Stanislav Rudolfský je předsyda Hnutí Dobrých Proměn.
Id82,other,,,5,"Teplická dopravní společnost wot 1. januara 2013 mjenuje so Arriva Teplice a wjedźe městnu, příměstsku a regionálnu hromadnu doprawu."
Id83,sports,,,7,"Marek Bárta je čěski sportowc a diskař, kotryž hodźi disk. On je několikanásobny mistry Čěskeje republiki a jeho wosobinski rekord 65.46 metrow."
Id84,culture,,,5,Jan Kameníček je čěski spisowatel a dramatik kaž tež přirodny pokročowal. Franz Kafka ma jako naslědnika Jana Kameníčka.
Id85,culture,,,5,"Vladimíra Klumparová je čěska sklářská výtvarnica, kotraž w USA bydli a lětach 1985 hač do 2003 dźěłała."
Id86,sports,,,3,"česká fotbalová liga je znata jako Fortuna Liga, kotraž wot 2018-01-01 hač do 2024-12-31 płaći."
Id87,history,,,3,"Operace Dunaj je čěski film z lěta 2009, kotryž ma za předmět inwaziju wójsk Waršawskeje smluwy."
Id88,geography,,,2,Krušné hory su pohoří w severozápadźe Čech.
Id89,geography,,,2,Jezero Most je wutworjene zatopenjom lomu Most–Ležáky a jeho přewzaće do wobchoda běše w lěće 2020.
Id90,sports,,,4,"Ondřej Perušič a David Schweiner stej dźělaj hrajneje skupiny Ondřej Perušič a David Schweiner, kotraž je w lěće 2023 mjezynarodnu prědstawu w beach volleyballe dobyła."
Id91,culture,,,1,"Prawy awtor słowa „robot"" je Josef Čapek."
Id92,history,,,1,Předsyda mosta Nuselský most běše předtym Most sebevrahů.
Id93,culture,,,1,První česká hip hopová sólová deska ma titul Frekvence P.H.A.T.
Id94,history,,,6,"Vojtěch Zikmund, česki chemik, podnikatel a průmyslník, běše při zrodu české společnosti, kotraž je w industrii produkowanja a předaća benzína."
Id95,geography,,,1,Svojkovské skály leža w Českolipsku.
Id96,sports,,,4,"David Krejčí je čěski skibobista, kotryž ma 12 titulow mistrů světa."
Id97,culture,,,2,České ocenění Zlatá stuha je za knižní tvorbu pro děti a mládež.
Id98,culture,,,3,"Akademie múzických umění v Praze ma fakultu DAMU, Fakultu FAMU a Fakultu HAMU."
Id99,sports,,,2,Česká basketbalová federace wjedźe sport basketbal a dźěła w Čěskej republice.
Id100,other,,,3,Radko John je znaty jako divák a wustupuje w investigativnym pořadu Na vlastní oči.
Id101,history,,,4,"František Palacký bě čěski historik, politik a zakładatel. Matice česká měješe jeho jako zakładowčlena."
Id102,culture,,,4,"Ottův Slovník Naučný je fyzická encyklopedija w češćinje, kotraž je najwjetša a najbohatša."
Id103,history,,,1,Nejstarší politická strana v českých zemích je založena 1. januara 1848.
Id104,history,,,1,Narodowe listy załoži Julius Grégr.
Id105,history,,,1,Hněvín je so prěni raz w lěće 1248 zmjenował.
Id106,history,,,4,"František Barvitius, československi inženjer, přispomni so k Walter Minor, kotryž je letecki motor."
Id107,history,,,1,Škoda ma originalne mjeno Laurin & Klement.
Id108,history,,,7,"Františka Plamínková bě československa politička, novinářka a feministka, kotrež je w lětach 1918–1938 skutkowała a bu 1942-06-30 w časach Heydrichiády poprěta."
Id109,politics,,,3,"Adam Vojtěch je čěski politikar, kiž bě dźensniši minister za health a je znaty za swoj wustup w powjerće SuperStar."
Id110,culture,,,6,"Česká situační komedija Světáci z lěta 1969 předstaja Bohdalová, Jirásková a Janžurová, kotrež twarja sławnu žónsku trojicu."
Id111,culture,,,1,Česká hudební cena Anděl je symbolizowana sošku Anděla.
Id112,culture,,,3,"Český seriál Sňatky z rozumu ma za temu české vlastenectví, kotrež słuša do 19. lětstotka, a wobdźěła t. zw. narodne buditelstwo."
Id113,geography,,,1,Hłowne město Morawskoslezského kraja je Ostrava.
Id114,history,,,2,Karel IV ma syna Václava IV. Václav IV je syn Karla IV.
Id115,culture,,,7,"Český slavík je wot 1996 lětna hłosowanje, kotrež měri popularnosć a je najwjetše, zwažace čěskich spěwarjow, čěskich spěwaricow a čěske skupiny."
Id116,geography,,,5,"Veletržní palác leži w pražskich Holešovicach a je funkcionalistiski. Je to jedna z prěnich a najwjetšich funkcionalistiskich twarjow w Praze, kotraž běše půwodnje za wustajeńcy předwidźena a pozdźišo jako sedło podstupow mjezynarodneho wobchada słužeše."
Id117,culture,,,4,"Výstaviště Praha je nejstarší veletržní areál w Česku, kotryž bě załoženy 1891-01-01."
Id118,history,,,5,"Kateřina Bobková-Valentová je historička z Liberca a českeho narodneho pochada, kotraž dósta Cenu rektora UK za swoje dźěło „Každodenní život učitele a žáka jezuitského gymnázia""."
Id119,other,,,4,"Petr Rychlý je herec a moderuje zabawný a soutěžny televizny pořad z mjenom Natočto, kotryž wužiwa TV Nova."
Id120,history,,,4,"Sametová revoluce je období politických změn v Československu, které trvalo od 1989-11-17 do 1989-12-29."
Id121,history,,,4,"První americký deník v češtině, kotryž měješe mjeno Svornost a bě w česćinej pismowany, załoži František Boleslav Zdrůbek w Americe."
Id122,culture,,,8,"Časopis Nový Prostor so wot organizacije Bezdomovci A Jiní Sociálně Znevýhodnění Lidé předa, kotraž dźěl prodejneje ceny dostawa. Tuta prodejna cena słuži zabezwěčenju vlastnych potřeb, ziskowanju a obnowjenju pracowacich nawukow kaž tež znovuzačlenjenju do společenstwa a do pracowaceho žiwjenja."
Id123,culture,,,2,Jiří Macháček je spěwarje kapely Mig 21.
Id124,culture,,,3,"Bohouša Šebeka hraje Miroslav Donutil w filmje Pelíšky, hdźež Donutil tež hraje."
Id125,culture,,,2,Rebel je pivovar w Havlíčkově Brodě.
Id126,culture,,,1,StarDance ...když hvězdy tančí je moderowany dwójcu.
Id127,culture,,,3,"Rumcajs je kreslený loupežník, kotryž je z Jičína."
Id128,culture,,,3,"Film „Slunce seno jahody"" je komedija, kotruž režěrowa Zdeněk Troška a kotrejež akcija so w Hošticach wotměwa."
Id129,geography,,,3,"Právnická fakulta je dźěl Univerzity Karlovy a leži při Čechův most, kotryž so w Praze namaka."
Id130,geography,,,1,Najwyši vrch Krkonošského národního parka je Sněžka.
Id131,geography,,,1,Antonín Dvořák je so w Nelahozevesi narodźił.
Id132,geography,,,1,Domažlice leža w Plzeňskim kraju.
Id133,geography,,,2,"Karel Poláček je awtor dźěła „Bylo nás pět"" a narodźi so w Rychnov nad Kněžnou."
Id134,geography,,,1,Najwyši vrch Orlickich hor je Velká Deštná.
Id135,history,,,1,Poslanecká sněmovna Parlamentu České republiky ma swoje sydło w Thunovském paláci.
Id136,geography,,,1,Najwyša hora kraja Vysočina je Javořice.
Id137,culture,,,3,Tuta bankovka ma hódnotu 500 Kč a wobrazuje Boženu Němcowu.
Id138,geography,,,2,Vodní nádrž Rozkoš leži w bliskosći Babiččino údolí.
Id139,culture,,,2,"Divadlo Semafor ma swoje dźensniše městno w Dejvicach, kotrež su městská čtvrć."
Id140,geography,,,1,Dlouhé stráně su přečerpávacu elektrárnu.
Id141,geography,,,1,Nový Bor je znaty za sklářský průmysl.
Id142,geography,,,2,"Macocha je dźěl Punkevní jeskyně, kotraž je komplex jeskyní."
Id143,geography,,,3,Prachovské skály su přirodna rezervacija w Český ráj a su znate za pískovcová skalní města.
Id144,geography,,,2,Baťův kanál zwjazuje Otrokovice a Sudoměřice.
Id145,sports,,,3,Zlatá podkova je w Humpolcu a přewjedźe so jako jezdecka všestrannosć kaž tež spřeženje.
Id146,geography,,,1,Muzeum rekordů a kuriozit leži w Pelhřimowje.
Id147,politics,,,4,Jindřich Vařeka bě wot 2014-01-01 hač do 2019-12-31 starosta w Příbram.
Id148,geography,,,2,"Horoušany leža w Praze východ, kotraž je okres."
Id149,geography,,,1,Rěka Vrchlice přeteknje město Kutná Hora.
Id150,other,,,2,"Česko wužiwa paušalnu sadźu za druhe žiwjenja, kotrež njejsu řemeslné, a ta paušalna sadźa přisłuša 60 procentam."
Id151,culture,,,4,"Čeština 2.0 je internetowy slovník, kotryž załoži Martin Kavka a zbiera nowe české wyrazy kaž tež novotvary."
Id152,sports,,,1,Maxa liga je lední hokej.
Id153,other,,,2,"Václav Klaus je napisał knihu „Modrá, nikoli zelená planeta""."
Id154,geography,,,3,"Žimutice su obec, kotraž leži w Českich Budějovicach. České Budějovice su okres."
Id155,geography,,,3,Olovnice je obec w okrese Mělník.
Id156,other,,,3,"Odrůda David je odrůda hrušnje, kotraž je w Česku wuhotowana a w prosincu dojrje."
Id157,culture,,,4,"Dílo Conception/Danae (Početí) wot Františka Kupka, kotrež je najdražše dźěło wšěch časow, so w Čěskej republice za 126500000 aukcije."
Id158,culture,,,4,"Fotograf Festival je fotografický festival w Praze, kotryž so w lěće 2011 prěni raz přewjedźe a kóžde lěto wotměwa."
Id159,geography,,,3,Kladníky su wokrjes Přerov a leža w měsće Přerov.
Id160,sports,,,4,Jan Šilinger je česki a dźěła jako koparski wobroćowar. Wón hraje za FC Vysočina Jihlava w lěće 2024.
Id161,geography,,,3,Kostel svaté Heleny leži w Krásnym Lěse w Česku a je jenički.
Id162,geography,,,1,CHKO Český kras je částečně ležacy w Praze.
Id163,geography,,,2,"Lažany leža w Strakonicach, kotryž je okres."
Id164,history,,,4,"První parostrojní železnice v českých zemích, Severní dráha císaře Ferdinanda, je první parostrojní železnica w čěskich krajach."
Id165,sports,,,3,"Stavební společnost PSJ je wětšinowy wobsadźer a hłowny sponzor FC Vysočina Jihlava, kotryž je koparski klub."
Id166,culture,,,2,"Festival Votvírák so kóžde lěto na ploše bývalého vojenského letiště Boží Dar wotměwa, kotraž je w zrušenym vojenskim wukubłanskim prostorje Milovice-Mladá leži."
Id167,other,,,5,"Živa je němsce časopis, kotryž wudawa so w češćinje a ma za zaměr popularizaciju wědy. Je to stajnje wušiwacy časopis a najstarši ze swojeho typu."
Id168,culture,,,5,"Památný strom je strom, kotrež je přez místne zakonske předpisy škitany. Jeho škitanje so na wuwšědny wzrůst, starosć a towaršnostnu wažnosć opira."
Id169,geography,,,2,"Areál Škoda Auto v Mladé Boleslavi ma přistup k awtodróze D10, kotraž wot toho mjenujcy mjezu."
Id170,other,,,1,Skupina Katapult ma basowca Jiří Šindelář.
Id171,culture,,,1,Vertigo quintet hraje jazz.
Id172,history,,,3,"Bahna je každoroční prezentace, kotrež předstaji Armáda České republiky a kotraž je wusměrjena na veřejnosć."
Id173,geography,,,2,"Zámek Všetaty leži w okrese Rakovník, kotryž je okresne město."
Id174,culture,,,2,Karetní hra Lóra je hranjena w Česku a je předewšěm w Kladnje hrana.
Id175,culture,,,2,Edison a Signál času su wot Vítězslav Nezval napisane.
Id176,other,,,2,"Žufánek je lihovar, kotryž produkuje OMG gin."
Id177,culture,,,9,"Maxipes Fík je československi animowany seriál, kotryž přiwisuje k príhodam přerostłeje a młuwaceje psa Fíka a holčički Áje."
Id178,culture,,,5,"Český večerníček nazywa so Krkonošské pohádky a wobsahuje postawy Trautenberk, hajný, Anče a Kuba."
