eid,category,shape,shape_type,size,sentence,reasoning
Id0,geography,,,1,Mikušovce je w Bralnici.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact from the triple: subject ""Mikušovce"", predicate ""locatedIn"", object ""Bralnica"". Must translate predicate to Upper Sorbian and use it naturally. Also translate non-proper nouns (like ""locatedIn"" -> ""je w"" or ""se nachadza w""?). The subject and object are proper names, keep as is. So sentence: ""Mikušovce je w Bralnici."" Or ""Mikušovce leži w Bralnici."" Need to use predicate translation. ""locatedIn"" could be ""je w"" or ""se nachadza w"". Use Upper Sorbian: ""Mikušovce je w Bralnici."" That is a single sentence. Ensure no extra facts. Provide only the sentence."
Id1,geography,,,1,UFO most ma rok dokońcowanja 11‑09‑2025.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triple: subject ""UFO most"", predicate ""completionYear"", object ""11-09-2025"". Must translate predicate to Upper Sorbian, and translate entities that are not proper names. Here subject ""UFO most"" is a proper name? It's a name of a bridge? Probably a proper name, so keep as is. Object is a date ""11-09-2025"". That's a literal, keep as is. Predicate ""completionYear"" translate to Upper Sorbian: ""rok dokońcowanja"" or ""rok zakónčenja""? Probably ""rok dokońcowanja"". Use natural sentence: ""UFO most je so dokońčił w roku 11-09-2025."" But need to keep date format exactly. Could say ""UFO most je dokońčeny 11-09-2025."" But need predicate translation: ""rok dokońcowanja"". Could phrase: ""UFO most ma rok dokońcowanja 11-09-2025."" That uses predicate as noun phrase. Should be fluid. Provide only one sentence. No extra text."
Id2,history,,,1,Zorka Machová je wutworiła rozkaz wo započatku Slovenské Národné Povstanje.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) that expresses the fact from the triple: subject ""Zorka Machová"", predicate ""issuedOrder"", object ""start Of Slovenské Národné Povstanie"". Must translate predicate to Upper Sorbian, and translate non-proper nouns (like ""start"", ""Slovenské Národné Povstanie"") to Upper Sorbian. Keep proper names unchanged. So we need a sentence like: ""Zorka Machová je wutworiła rozkaz wo započatku Slovenského narodnego powstanja."" But need to translate ""issued order"" as a verb phrase. In Upper Sorbian, ""issued order"" could be ""wutworiła rozkaz"" or ""dała rozkaz"". The object ""start Of Slovenské Národné Povstanie"" - translate ""start"" as ""započatk"" maybe ""započatk"" or ""początek"". ""Slovenské Národné Povstanie"" is a proper name? It's a specific event, likely a proper name, but it's not a personal name. The instruction: translate each entity that is not a proper name (like common nouns, functions, generic descriptions). Proper names (names of persons, places, organizations, works) stay in original form. ""Slovenské Národné Povstanie"" is a proper name of an event, likely considered a proper name, so keep as is. The object is ""start Of Slovenské Národné Povstanie"". ""start"" is a common noun, translate to Upper Sorbian: ""započatk"". So phrase: ""započatk Slovenského Národnego Povstanja"". Need to adjust case: ""započatk"" is nominative? In phrase ""započatk"" of something, we might use genitive: ""započatk Slovenského Národnego Povstanja"". Upper Sorbian genitive of ""Slovenské Národné Povstanje"" maybe ""Slovenskego Narodnego Powstanja""? But we keep original name unchanged, but we may need to inflect? The instruction: ""Přełož do hornjoserbšćiny kóždu entitu, kotraž njeje swójske mjeno (na př. powšitkowne substantiwy, funkcije, powšitkowne wopisanja). Swójske mjena (mjena wosobow, městnow, organizacijow, dźěłow atd.) wostaj w originalnej formje."" So ""Slovenské Národné Povstanie"" is a proper name, so keep unchanged, no inflection. So we might keep it as is, maybe still in original case? Could be okay. Thus sentence: ""Zorka Machová je wutworiła rozkaz wo započatku Slovenské Národné Povstanje."" Use ""wo"" for ""about""? Actually ""rozkaž wo započatku"" maybe ""rozkaž wo započatku"". Or ""rozkaž wo započatku"" means ""order about the start"". Could also be ""rozkaž wo započatku Slovenského Národnego Povstanja"". But we cannot inflect proper name. So maybe ""rozkaž wo započatku Slovenské Národné Povstanje"". That seems okay. We need only one sentence. Provide just that."
Id3,geography,,,3,"Zvolen ma rěku Hron, rěku Habovica a rěku Zolná.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) describing the facts. Use only given info: Zvolen hasRiver Hron, Habovica, Zolná. So Zvolen has three rivers: Hron, Habovica, Zolná. Must translate predicate to Upper Sorbian: ""ma rěku"" maybe ""ma rěku"". Entities: Zvolen (proper name) stays. Rivers: Hron, Habovica, Zolná are proper names, stay. Need to translate nouns: river = ""rěka"". So sentence: ""Zvolen ma rěku Hron, rěku Habovica a rěku Zolná."" Or ""Zvolen ma rěki Hron, Habovica a Zolná."" But need to reflect each triple individually? Could be one sentence listing. Should be natural. Use ""ma rěku"" for each? Could be ""Zvolen ma rěku Hron, rěku Habovica a rěku Zolná."" That uses predicate ""ma rěku"". That is okay. Ensure no extra facts. Provide only the sentence."
Id4,geography,,,2,Slovensko ma 812 ropnych rafinerijow a ropna rafinerija je w Slovensku.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Two triples: 1. Subject: Slovensko, predicate: hasNumberOfOilRefineries, object: 812 2. Subject: ropná rafinéria, predicate: isLocatedIn, object: Slovensko We must translate predicate to Upper Sorbian, and translate non-proper nouns (common nouns) to Upper Sorbian. Proper names stay original. So ""Slovensko"" is a proper name, stays as is. ""ropná rafinéria"" is a common noun phrase? Actually ""ropná rafinéria"" is a generic term ""oil refinery"". It's not a proper name, so we translate to Upper Sorbian: ""ropna rafinerija""? Upper Sorbian for oil refinery: ""ropna rafinerija"". The given is already in Czech/Slovak? We'll translate to Upper Sorbian: ""ropna rafinerija"". The predicate ""hasNumberOfOilRefineries"" -> ""ma ličbu ropnych rafinerijow""? Something like ""ma ličbu ropnych rafinerijow"". Upper Sorbian: ""ma ličbu ropnych rafinerijow"". The object is 812, keep as number. Second predicate ""isLocatedIn"" -> ""je w"" or ""je wuměstnjena w"". Upper Sorbian: ""je w"". So ""ropna rafinerija je w Slovensku"". But we need to keep subject ""ropná rafinéria"" translated: ""ropna rafinerija"". So sentence: ""Ropna rafinerija je w Slovensku."" First sentence: ""Slovensko ma ličbu ropnych rafinerijow 812."" Might need ""812"" after noun: ""ma 812 ropnych rafinerijow."" Better: ""Slovensko ma 812 ropnych rafinerijow."" That uses the number directly. Thus produce two sentences (or one combined). The instruction: ""JENOŽ sadu/sady"" (one or two sentences). Could combine: ""Slovensko ma 812 ropnych rafinerijow a ropna rafinerija je w Slovensku."" That uses both facts. That seems okay. Check: we used only given facts. We didn't add any extra. The first fact: Slovensko has number of oil refineries 812. We expressed that. Second: oil refinery is located in Slovensko. We expressed that. No extra. Thus final answer: one sentence or two. Provide maybe one sentence: ""Slovensko ma 812 ropnych rafinerijow a ropna rafinerija je w Slovensku."" Ensure Upper Sorbian spelling: ""Slovensko ma 812 ropnych rafinerijow a ropna rafinerija je w Slovensku."" That seems correct. Return only that."
Id5,politics,,,2,Robert Mistrík wótpóda swoju kandidaturu w prezidentskich wuběranjach 2019 a wótpóda w lěće Monika Fialová.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Two triples: 1. Subject: Robert Mistrík; predicate: withdrewCandidacyIn; object: prezidentské voľby 2019 2. Subject: Robert Mistrík; predicate: withdrewInFavorOf; object: Monika Fialová We must translate predicate to Upper Sorbian, and translate non-proper nouns (like ""prezidentské voľby 2019"") to Upper Sorbian. ""prezidentské voľby 2019"" is a phrase meaning ""presidential elections 2019"". Should translate to Upper Sorbian: ""prezidentske wuběranja 2019"" (or ""prezidentske wuběranja 2019""). Also ""withdrew candidacy in"" -> ""wótpóda swoju kandidaturu w"" maybe. But we need to keep meaning: ""Robert Mistrík withdrew his candidacy in the 2019 presidential elections"". And ""withdrew in favor of Monika Fialová"" -> ""wótpóda w lěće Monika Fialowa""? Actually ""withdrawn in favor of"" means he withdrew his candidacy in favor of Monika Fialová. So combine: ""Robert Mistrík wótpóda swoju kandidaturu w prezidentskich wuběranjach 2019 a wótpóda w lěće Monika Fialowa."" Need proper Upper Sorbian phrasing. Predicate translation: ""withdrewCandidacyIn"" -> ""wótpóda swoju kandidaturu w"". ""withdrewInFavorOf"" -> ""wótpóda w lěće"". Might be ""wótpóda swoju kandidaturu w"" and ""wótpóda w lěće"". But we need to produce natural sentence. We must not add any facts not present. So we can say: ""Robert Mistrík wótpóda swoju kandidaturu w prezidentskich wuběranjach 2019 a wótpóda w lěće Monika Fialowa."" That uses both triples. Ensure we keep ""Monika Fialová"" unchanged (proper name). Use Upper Sorbian diacritics: ""Monika Fialová"" is proper, keep. Check translation of ""prezidentské voľby 2019"": Upper Sorbian ""prezidentske wuběranja 2019"". Use ""prezidentske wuběranja"" (plural). Use ""w"" for ""in"". So ""w prezidentskich wuběranjach 2019"". Use locative case: ""prezidentske wuběranja"" -> ""prezidentskich wuběranjach"". Good. Thus final output: one sentence. We must output only the sentence(s), nothing else. Let's produce: ""Robert Mistrík wótpóda swoju kandidaturu w prezidentskich wuběranjach 2019 a wótpóda w lěće Monika Fialová."""
Id6,culture,,,1,Andrej Sládkovič ma původne mjeno Ľuboš Melichar.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact given by the triple: subject ""Andrej Sládkovič"", predicate ""originalName"", object ""Ľuboš Melichar"". So we need to say that Andrej Sládkovič's original name is Ľuboš Melichar. Translate predicate to Upper Sorbian: ""originalName"" could be ""původne mjeno"" or ""originalne mjeno"". Use natural phrasing: ""Andrej Sládkovič ma původne mjeno Ľuboš Melichar."" Or ""Andrej Sládkovič je po wotkładowym mjenje Ľuboš Melichar."" But keep simple. We must not add any other facts. Keep only that. Use Upper Sorbian for predicate and other words. Keep proper names unchanged. Thus output: ""Andrej Sládkovič ma původne mjeno Ľuboš Melichar."" That's a single sentence. Ensure no extra text."
Id8,geography,,,3,"Podhradská Lúčka je znata za rěčnik, kotryž ma typ zasobu metaly, a metaly maja primarny přikład slěbro.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. No extra facts. Translate entities that are not proper names. So we have triples: 1. Podhradská Lúčka | knownFor | Mining 2. Mining | resourceType | Kovy 3. Kovy | primaryExample | Striebro We need to produce a sentence(s) that naturally expresses all facts. Use proper names unchanged: ""Podhradská Lúčka"", ""Striebro""? Striebro is a common noun (silver) but maybe it's a proper name? It's a noun meaning silver, not a proper name. So we should translate ""Striebro"" as ""strěbro""? Actually Upper Sorbian for silver is ""slěbro""? Wait: In Upper Sorbian, silver is ""slěbro"". But the instruction: translate each entity that is not a proper name. So ""Striebro"" is a common noun, so we translate to Upper Sorbian. But the original is ""Striebro"" (Polish?). Should we translate to Upper Sorbian ""slěbro""? Probably yes. Also ""Mining"" is a common noun, translate to ""rěčnik""? Actually ""mining"" = ""rěčnik""? No, mining = ""rěčnik""? Wait, Upper Sorbian for mining is ""rěčnik""? Not sure. Could be ""rěčnik"" is ""mine""? Let's think: ""mining"" as activity = ""rěčnik""? Might be ""rěčnik"" is ""mine"". The term ""mining"" could be ""rěčnik"" (noun). ""Kovy"" is Czech for ""metals"". Upper Sorbian for metals is ""metaly"". So translate ""Kovy"" to ""metaly"". ""resourceType"" is predicate, translate to Upper Sorbian: maybe ""typ resursa"" or ""typ zasobu"". Use natural phrase. ""knownFor"" translate to ""je znaty za"" or ""je znaty za"". ""primaryExample"" translate to ""primarny přikład"". We need to produce a fluid sentence(s) that includes all facts. We have: Podhradská Lúčka is known for mining. Mining's resource type is metals. Metals' primary example is silver. In Upper Sorbian: ""Podhradská Lúčka je znata za rěčnik."" But we need to incorporate the rest: ""Rěčnik ma typ zasobu metaly, a metaly maja primarny přikład slěbro."" Something like that. We must keep proper names unchanged: ""Podhradská Lúčka"". ""Striebro"" is not proper, so translate to ""slěbro"". ""Mining"" translate to ""rěčnik"". ""Kovy"" translate to ""metaly"". Predicates translate: knownFor = ""je znaty za"", resourceType = ""ma typ zasobu"", primaryExample = ""ma primarny přikład"". Use natural sentence. We can produce one sentence: ""Podhradská Lúčka je znata za rěčnik, kotryž ma typ zasobu metaly, a metaly maja primarny přikład slěbro."" Check: we used all facts. Yes. Make sure no extra facts. The sentence uses ""rěčnik"" (mining) as a noun. ""metaly"" (metals). ""slěbro"" (silver). All good. Return only the sentence(s)."
Id9,geography,,,1,Bardejov je centrum Sitnice.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact from the triple: subject Bardejov, predicate isCenterOf, object Sitnica. We must translate predicate to Upper Sorbian and use it naturally. Also translate entities that are not proper names: ""isCenterOf"" is predicate, translate to Upper Sorbian, maybe ""je centrum"" or ""je centrum města""? The object ""Sitnica"" is a proper name? Likely a river? Actually Sitnica is a river in Slovakia. It's a proper name, so keep as is. Subject ""Bardejov"" is a city, proper name, keep as is. So sentence: ""Bardejov je centrum Sitnice."" But need correct case: ""centrum"" takes genitive? In Upper Sorbian, ""centrum"" is neuter noun, ""Bardejov je centrum Sitnice."" That seems okay. Could also say ""Bardejov je centrum rěky Sitnice."" But we cannot add extra info not in triple. So just ""Bardejov je centrum Sitnice."" That uses predicate ""je centrum"". Should we translate ""isCenterOf"" as ""je centrum"" (is the center of). That matches. Provide only one sentence."
Id10,geography,,,2,Slovensko planuje współpracu z Studenická dolina a planuje projekt Vodné Dielo Gabčíkovo.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Two triples: 1. Subject: Slovensko (Slovakia) | predicate: plannedCooperationWith | object: Studenická dolina 2. Subject: Slovensko | predicate: plannedProject | object: Vodné Dielo Gabčíkovo We must translate predicate to Upper Sorbian, and translate non-proper nouns (common nouns) to Upper Sorbian. Proper names remain unchanged. We need to produce a natural sentence(s) that expresses both facts, using only the given info, no extra inference. So we can say: ""Slovensko planuje współpracu z Studenickou dolinou a plánuje projekt Vodné Dielo Gabčíkovo."" But need Upper Sorbian translation. Upper Sorbian translations: - ""plannedCooperationWith"" -> ""planuje współpracu z"" maybe ""planuje współpracu z"" but Upper Sorbian: ""planuje współpracu z"" (cooperation = ""współpraca"", with = ""z""). Could be ""planuje współpracu z"". However ""plannedCooperationWith"" is a noun phrase? We can phrase: ""ma w planach współpracu z"". But we must use predicate translation as a verb phrase. - ""plannedProject"" -> ""planuje projekt"". Upper Sorbian: ""planuje projekt"". Could be ""ma w planach projekt"". But we need to keep meaning. We need to keep proper nouns unchanged: Slovensko, Studenická dolina, Vodné Dielo Gabčíkovo. We need to keep numbers/dates etc, none. Thus produce one sentence: ""Slovensko planuje współpracu z Studenickou dolinou a planuje projekt Vodné Dielo Gabčíkovo."" Check Upper Sorbian grammar: ""Slovensko"" is neuter? It's a proper name, stays. ""Studenická dolina"" is a proper name, but we need to decline? The instruction: translate each entity that is not a proper name. ""Studenická dolina"" is a proper name (a valley). Should we keep it unchanged? It is a proper name, so keep original. But we might need case ending? The instruction says proper names stay in original form, not inflected? Likely keep unchanged. So ""Studenická dolina"" unchanged. Thus sentence: ""Slovensko planuje współpracu z Studenická dolina a planuje projekt Vodné Dielo Gabčíkovo."" But maybe need ""z"" requires instrumental case, but we keep unchanged. Thus final answer: one sentence."
