eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská komponowaše za Moravske divadło Olomouc.
Id1,culture,,,3,"Alena Králová ma najwięksći hit. Najwięksći hit wzeše swój počat w Starcoj na chmelu, což je muzikál."
Id2,politics,,,2,Ministryně zahraničí Spojených států ma původ w Mikulov-Les a heißt Madeleine Albrightová.
Id3,culture,,,3,Svátek svatého Mikuláše je zwjazany z rozdawaním darow dźěćim. Svátek svatého Mikuláše bě 28. februara 1991 a wón so w večer wobchowa.
Id4,geography,,,1,Březová Zahrada je dźěl Vltavskich Kaskadow.
Id5,history,,,4,Literaтура je wot disidenti w Mlynářov wobćas perioda wot 1950-01-01 do 2000-12-31 jako samizdat wudaća.
Id6,culture,,,3,Jan Neruda je zwjazany z městnom Zámostí. Jeho žitke a dźěła wobsteja.
Id7,geography,,,1,Žabí údolí nachadźa so w CHKO Český ráj.
Id8,culture,,,5,Karel Gott ma češćinu ako narodnosť. Karel Gott je zpěwák. Karel Gott wotrěmjeł je nagradu Zlatý slavík. Karel Gott wotrěmjeł je nagradu Zlatý slavík wot 8. oktobra 2015. Zlatý slavík je nejvišće raz wotrjecnjena nagrada.
Id9,culture,,,2,Filip Marek a Jiří Lábus tworitej komediowy duo. Oldřich Kaiser a Jiří Lábus stej něpřestajnej.
Id10,geography,,,1,Slníčko nad Rákosím budźe wuhlik dobywan.
Id11,politics,,,1,Ladislav Bureš je čłonkom ODS.
Id12,history,,,1,Barrandovské filmové ateliéry buchu založene wot Renaty Hrdličkovej.
Id13,geography,,,2,Záhořské ma wysokosć 1603 metrow a je částí Krkonoš.
Id15,history,,,2,Údolí Vran bu wznišćene dla těžby uhlí. Těžba uhlí je resursowy typ uhlí.
Id17,geography,,,2,Říčanský Dvůr se nacházel v údolí řeky Dřevnice. Dřevnice je řeka.
Id18,geography,,,2,Slanská hora nadeńdźe so w Hornim Wítkowje. Slanská hora ma wjesmě Slanská hora.
Id19,geography,,,1,Těžba uhlí způsobuje Slníčko nad Rákosím.
Id20,history,,,2,Třístíčko ma Židowsku menšinu jako religijowu menšinu. Židowska menšina je religijowa menšina.
Id21,geography,,,2,"Císařský ostrov je najwětši ostrow Rybářskeje Lhoty. Císařský ostrov je typu ""ostrov""."
Id22,sports,,,1,Nová Lhota je známa za hokej.
Id23,politics,,,1,Ministerstwo zdrowia Republiki Czeskiej ma swójo stalište w Křižovatce.
Id24,sports,,,2,Filip Zelenka ma Sparta. Sparta je fotbalowy klub.
Id26,culture,,,4,"Luboš Rataj je awtor Na samém konci. Na samém konci je báseň, kotraž bu napisana na fasáźe domu. Fasáda domu nadeńdźe so w nizozemskim městnje Leiden."
Id27,culture,,,5,Wilma Havelková je awtorka knihow. Knihy maja jako swój charakter Ferdu Mravenka a Brouka Pytlíka. Ferda Mravenec a Brouk Pytlík stejna w hmyze swój inspirator.
Id28,culture,,,2,Film Štěstí ma jako hlavní herce Tatianu Vilhelmovovu a Jakuba Bílého.
Id29,sports,,,1,Jarmila Vondrová ma pseudonym Rudý dědek.
Id30,history,,,3,"Ivan Dvořák je český král, kotryž je Hladovú stěnu zbujel."
Id31,geography,,,2,Sněžka ma wysokosć 299 m n. m.
Id32,culture,,,3,"Erik Staněk dósta Státní cenu za literaturu za swój román ""Citlivý člověk""."
Id33,geography,,,2,Největší povodeň v ČR wón w lěće 2002 nastala a wón 22 dnjow dźarła.
Id34,geography,,,2,Šumavské údolí je sjedišćem organizacij a je centrum polske národnostne minority.
Id35,geography,,,3,"Frýdek-Místek wobsteji ze 5, 2 městow a 30 wjesow."
Id36,history,,,3,"Pomník je wěnovany ameriskim wojakowam a nachádza so na Chodskim náměstku, kotrež se nachádza w Kozlíkowje."
Id37,culture,,,3,Prašivka je charakter w swěće Harryho Pottera. Lucie Vondrová se přeměňuje w Prašivku. Prašivka je typ krysy.
Id38,history,,,2,Jindřich Nový je regionální historik a je patriotem Uhelné Štoly.
Id39,history,,,1,Bitwa na Bílé hoře se w lěće 06-02-2022 wotměla.
Id40,geography,,,2,Škoda Auto ma swoje sídło w Rakovnický Les. Škoda Auto je automobilka.
Id41,culture,,,2,"Noc na Karlštejně je film, kotryž bu we filmowym městnje Petrovka nad Jezerem natočen."
Id42,other,,,2,"Filip Volejník režěruje film ""Cesta do hlubin študákovy duše"". Filip Volejník je režisér."
Id43,geography,,,2,Město Světlo přiběži přez Trutnov.
Id46,geography,,,2,Podhůří wobsahuje Železniční muzeum. Železniční muzeum nadeleži Podhůří.
Id48,culture,,,2,"Honzíkova cesta je dětská kniha, kterou napsal Filip Marek."
Id49,other,,,1,Wilhelm Lüders hra na akordeon.
Id50,culture,,,2,Patrik Jirásek moderuje Osobnost Plus. Osobnost Plus je program w rozhlase.
Id52,sports,,,2,Písková Bílá je centrum paraglidinga a sportownego lětania.
Id54,history,,,4,Vykopávky v Přerově so nachazeja w Bílým Potoku. Tam su kosti Mamutow w značném množství najdene.
Id55,geography,,,1,Dřevíkov nadeńdźe so w Narodnym parku Šumava.
Id56,geography,,,2,"Vesnice u Králu, mjesto, hdźe Anděl Páně 2 běše natočen, naleži się w Ledči nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizuje slam poetry.
Id58,geography,,,1,Údolí Kamenic ma jako symbol liliju.
Id59,culture,,,1,Město Světlo je zwjazane z tekstilnym prumysłom.
Id60,geography,,,2,Žatec ma rěku Lípa nad Vltavou. Lípa nad Vltavou přelěće přez Žatec.
Id61,geography,,,1,Stéblo u Vlčích hor nachádza sa na Česko-slovensko-poľskom trojmedzí.
Id62,sports,,,4,Jaromír Vytopil je knihkupec a je najstarši a najdołhoaktiwni w Modrej Łhote.
Id63,geography,,,2,"Břehowice su městno, přez které přitejče řeka Jizera."
Id64,sports,,,2,"česká hokejová liga ma nowe mjeno ""Maxa liga"" w sezónje. česká hokejová liga začina sezónu 01-01-2025."
