eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,"V tejto sadě RDF trojíc sú všetky uvedené entity a vzťahy pravdivé a overiteľné. ""Alena Králová"" je reálna osoba, ""největší hit"" je jej reálny hit, ""Starci na chmelu"" je reálna muzikálová hra a vzťahy medzi nimi sú skutočné. Preto klasifikujem celú sadu ako: FA",
Id2,politics,,,2,CFA,CFA,FI,CFA,CFA,FI,,,,,,
Id3,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,"CFA Svátek svatého Mikuláše se obvykle slaví 5. prosince, ne 28. února. Ostatní informace jsou správné. Protože pouze jedna informace je nesprávná a zbytek údajů je pravdivý a reálný, klasifikujeme tuto sadu jako kontrafaktuální (CFA).",CFA Jedna alebo viac uvedených skutočností (informácií) sú nepravdivé alebo pozmenené. Svátek svatého Mikuláše sa totiž oslavuje 5. decembra a nie 28. februára. Ostatné informácie sú pravdivé.,,
Id4,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id5,history,,,4,FI,FI,FI,FI,FI,FI,,,,,,
Id6,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,"CFA Zdôvodnenie: - informácie sú väčšinou pravdivé (Karel Gott bol český spevák a skutočne získal ocenenie Zlatý slavík viackrát), ale ""awardCount"" (počet ocenení) nie je uvedený správne - malo by ísť o počet ocenení, nie o dátum. Preto je táto informácia kontrafaktuálna."
Id9,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id10,geography,,,1,CFA,CFA,FI,FI,FI,CFA,,,,,,
Id11,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id15,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id17,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
