eid,category,shape,shape_type,size,kind,subject,predicate,object
Id0,culture,NA,NA,1,original,Lukáš_Bauer,composedFor,Moravské_divadlo_Olomouc
Id1,culture,NA,NA,3,original,Oldřich_Kaiser_Jiří_Lábus,hasHit,největší_hit
Id1,culture,NA,NA,3,original,největší_hit,originatesFrom,Starci_na_chmelu
Id1,culture,NA,NA,3,original,Starci_na_chmelu,isType,muzikál
Id2,politics,NA,NA,2,original,Ministryně_zahraničí_Spojených_států,originCountry,Horoušany
Id2,politics,NA,NA,2,original,Ministryně_zahraničí_Spojených_států,name,Madeleine_Albrightová
Id3,culture,NA,NA,3,original,svátek_svatého_Mikuláše,associatedWith,rozdávání_dárků_dětem
Id3,culture,NA,NA,3,original,svátek_svatého_Mikuláše,celebrationDate,2006-01-01
Id3,culture,NA,NA,3,original,svátek_svatého_Mikuláše,celebrationTime,večer
Id4,geography,NA,NA,1,original,Lužná_u_Rakovníka,isPartOf,Vltavské_Kaskády
Id5,history,NA,NA,4,original,literatura,publishedBy,disidenti
Id5,history,NA,NA,4,original,literatura,location,Brněnský_kraj
Id5,history,NA,NA,4,original,literatura,timePeriod,1950-01-01_2000-12-31
Id5,history,NA,NA,4,original,literatura,namedAs,samizdat
Id6,culture,NA,NA,3,original,Marie_Čermínová,associatedWith,Malá_Strana
Id6,culture,NA,NA,3,original,Marie_Čermínová,hasWork,tvorba
Id6,culture,NA,NA,3,original,Marie_Čermínová,hasLife,život
Id7,geography,NA,NA,1,original,Prachovské_skály,locatedIn,historické_jádro_města_Prostějova
Id8,culture,NA,NA,5,original,Martin_Kavka,nationality,český
Id8,culture,NA,NA,5,original,Martin_Kavka,profession,zpěvák
Id8,culture,NA,NA,5,original,Martin_Kavka,award,Zlatý_slavík
Id8,culture,NA,NA,5,original,Martin_Kavka,awardCount,1
Id8,culture,NA,NA,5,original,Zlatý_slavík,awardFrequency,nejvíckrát
Id9,culture,NA,NA,2,original,Oldřich_Kaiser,formsComedyDuoWith,Jiří_Lábus
Id9,culture,NA,NA,2,original,Radek_Pilař,areInseparable,true
Id10,geography,NA,NA,1,original,Československo,minedResource,uhlí
Id11,politics,NA,NA,1,original,sv._Jan_Nepomucký,isMemberOf,ODS
Id12,history,NA,NA,1,original,Barrandovské_filmové_ateliéry,founder,Gustáv_Husák
Id13,geography,NA,NA,2,original,Kladníky,height,1603
Id13,geography,NA,NA,2,original,Kladníky,partOf,Krkonoše
Id15,history,NA,NA,2,original,Rabí,reasonForDemolition,těžba_uhlí
Id15,history,NA,NA,2,original,těžba_uhlí,resourceType,uhlí
Id17,geography,NA,NA,2,original,Česká_republika,location,údolí_Dřevnice
Id17,geography,NA,NA,2,original,Dřevnice,type,řeka
Id18,geography,NA,NA,2,original,Dejvice,locatedIn,Slaný
Id18,geography,NA,NA,2,original,Dejvice,name,Dejvice
Id19,geography,NA,NA,1,original,těžba_uhlí,causes,Brno
Id20,history,NA,NA,2,original,Československo,hasReligiousMinority,Židovská_menšina
Id20,history,NA,NA,2,original,Židovská_menšina,isReligiousMinority,true
Id21,geography,NA,NA,2,original,Císařský_ostrov,isLargestIslandOf,Československo
Id21,geography,NA,NA,2,original,Císařský_ostrov,islandType,ostrov
Id22,sports,NA,NA,1,original,Ohře,knownFor,hokej
Id23,politics,NA,NA,1,original,Ministerstvo_zdravotnictví_České_republiky,hasLocation,Červený_hrádek
Id24,sports,NA,NA,2,original,Božena_Němcová,owns,Sparta
Id24,sports,NA,NA,2,original,Sparta,isA,fotbalový_klub
Id26,culture,NA,NA,4,original,J._H._Krchovský,authorOf,Na_samém_konci
Id26,culture,NA,NA,4,original,Na_samém_konci,type,báseň
Id26,culture,NA,NA,4,original,Na_samém_konci,writtenOn,fasáda_domu
Id26,culture,NA,NA,4,original,fasáda_domu,location,Praha
Id27,culture,NA,NA,5,original,Tomáš_Baťa,authorOf,knihy
Id27,culture,NA,NA,5,original,knihy,featuresCharacter,Ferda_Mravenec
Id27,culture,NA,NA,5,original,knihy,featuresCharacter,Brouk_Pytlík
Id27,culture,NA,NA,5,original,Ferda_Mravenec,inspiredBy,hmyz
Id27,culture,NA,NA,5,original,Brouk_Pytlík,inspiredBy,hmyz
Id28,culture,NA,NA,2,original,film_Štěstí,hasMainActor,Tatiana_Vilhelmová
Id28,culture,NA,NA,2,original,film_Štěstí,hasMainActor,Gustáv_Husák
Id29,sports,NA,NA,1,original,Jáchym_Topol,nickname,Rudý_dědek
Id30,history,NA,NA,3,original,Samková,nationality,český
Id30,history,NA,NA,3,original,Samková,title,král
Id30,history,NA,NA,3,original,Samková,built,Hladová_zeď
Id31,geography,NA,NA,2,original,Sněžka,height,12
Id31,geography,NA,NA,2,original,Sněžka,heightUnit,m_n._m.
Id32,culture,NA,NA,3,original,Jiří_Strach,receivedAward,Státní_cena_za_literaturu
Id32,culture,NA,NA,3,original,Jiří_Strach,awardReason,Citlivý_člověk
Id32,culture,NA,NA,3,original,Citlivý_člověk,isA,román
Id33,geography,NA,NA,2,original,Největší_povodeň_v_ČR,occurredInYear,2002
Id33,geography,NA,NA,2,original,Největší_povodeň_v_ČR,timeSpan,5
Id34,geography,NA,NA,2,original,Vltava,isSeatOf,organizací
Id34,geography,NA,NA,2,original,Vltava,isCenterOf,polské_národnostní_menšiny
Id35,geography,NA,NA,3,original,Frýdek-Místek,formedFrom,5
