eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id2,politics,,,2,CFA,CFA,CFA,CFA,CFA,FI,,,,,,"FI Poznámka: Ministryně zahraničí Spojených států nie je správny termín. Správny termín by mal byť Secretary of State (Minister zahraničných vecí) a Madeleine Albrightová bola prvou ženou na tomto poste, ale mala by byť označená ako Secretary of State a nie ako Ministryně zahraničí Spojených států. Spojené štáty americké používajú termín Secretary of State pre ministra zahraničných vecí, nie ""Ministryně zahraničí""."
Id3,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id4,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id5,history,,,4,CFA,CFA,CFA,CFA,FI,CFA,,,,,,
Id6,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,culture,,,5,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id9,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id10,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id11,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id14,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id15,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id16,culture,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id17,geography,,,2,FA,FA,FA,FA,FA,CFA,,,,,,
Id18,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id20,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id22,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id23,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id24,sports,,,2,FA,FA,CFA,FA,CFA,CFA,,,,,,
Id25,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id26,culture,,,4,CFA,CFA,CFA,FI,CFA,FI,,,,,,
Id27,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,
Id28,culture,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id29,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id30,history,,,3,FA,FA,FA,FA,CFA,FA,,,,,,
Id31,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id32,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id33,geography,,,2,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id34,geography,,,2,CFA,CFA,CFA,FA,FA,FA,,,,"Český Těšín je mesto, ktoré skutočne existuje. Organizácie majú skutočne sídlo niekde, avšak pojem ""organizací"" nie je špecifikovaný. Na druhej strane, polská národnostná menšina skutočne žije v Český Těšín. Preto tieto informácie sú pravdivé a zodpovedajú reálnemu svetu. Odpoveď: FA","Český Těšín je mesto, ktoré skutočne existuje. Je sídlom niektorých organizácií a tiež je centrom pre polské národnostné menšiny. Tieto informácie sú pravdivé a zodpovedajú reálnemu svetu. Odpoveď: FA","Český Těšín je mesto, ktoré skutočne existuje. Je sídlom niektorých organizácií a tiež je centrom pre polské národnostné menšiny. Tieto informácie sú pravdivé a zodpovedajú reálnemu svetu. Odpoveď: FA"
Id35,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id36,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id37,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id38,history,,,2,FA,FA,FA,FA,FI,FA,,,,,,
Id39,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id40,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id41,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id42,other,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id43,geography,,,2,FA,FA,FA,FA,FA,CFA,,,,,,
Id44,other,,,2,FI,FI,FI,FA,FA,FA,,,,,,
Id45,other,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id46,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id47,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id48,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id49,other,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id50,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id51,other,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id52,sports,,,2,CFA,CFA,CFA,FA,FA,FA,,,,,,
Id53,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id54,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id55,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id56,geography,,,2,FI,FI,FI,FA,FI,FI,,,,,,
Id57,culture,,,1,FA,FA,FI,FA,FI,FA,,,,,,
Id58,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id59,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id60,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id61,geography,,,1,CFA,CFA,CFA,FA,FA,FA,,,,,,
