uid,Annotator,prompt_language,triples,sentence,human_faithfulness_score,judge_faithfulness_score,score_difference,human_faithfulness_reason,judge_incorrect_information
llama4-scout__sk-qa_fi_hsb__Id168,3,hsb,- Múzeum kysuckej dediny | location | Studeničná Osada,Múzeum kysuckej dediny nachádza sa v Studeničnej Osade.,1,5,-4,,[]
qwen3_5-122b__cs-qa_fi_hsb__Id143,3,hsb,"- Polní Údolí | isType | přírodní rezervace
- Polní Údolí | isLocatedIn | Český ráj
- Polní Údolí | isKnownFor | pískovcová skalní města",Polní Údolí je přirodna rezervacija w Českým raju a je znata za pískovcová skalní města.,5,1,4,,"[{""info_used"": ""Polní Údolí je přirodna rezervacija w Českým raju a je znata za pískovcová skalní města."", ""correct_info"": ""The sentence is not written in Upper Sorbian."", ""comment"": ""wrong_language""}]"
gpt-oss-120b__sk-qa_fi_hsb__Id79,3,hsb,- Bertold Šarina | placeOfOrigin | Očová,Bertold Šarina pochada z Očová.,1,5,-4,,[]
llama4-scout__sk-qa_fi_hsb__Id407,3,hsb,"- HK Nitra | wonTrophy | Kontinentálny pohár
- Kontinentálny pohár | winningSeason | 04-06-1999",HK Nitra wón puchar Kontinentálny pohár. Kontinentálny pohár běše w lěće 04-06-1999 w wotměću.,5,1,4,,"[{""info_used"": ""wón puchar"", ""correct_info"": ""HK Nitra | wonTrophy | Kontinentálny pohár"", ""comment"": ""unsupported: 'wón puchar' is not a valid Upper Sorbian verb phrase for 'wonTrophy'; the sentence's own grammar is not Upper Sorbian.""}, {""info_used"": ""běše w lěće 04-06-1999 w wotměću"", ""correct_info"": ""Kontinentálny pohár | winningSeason | 04-06-1999"", ""comment"": ""unsupported: 'běše w lěće ... w wotměću' is not a valid Upper Sorbian phrase for 'winningSeason'; the sentence's own grammar is not Upper Sorbian.""}]"
qwen3_5-122b__sk-qa_fi_hsb__Id46,3,hsb,- Daňové identifikačné číslo (DIČ) | numberOfDigits | 6789,Daňové identifikačné číslo (DIČ) ma 6789 čisłow.,5,1,4,,"[{""info_used"": ""Daňové identifikačné číslo (DIČ) ma 6789 čisłow."", ""correct_info"": ""The sentence is not written in Upper Sorbian."", ""comment"": ""wrong_language""}]"
qwen3_5-122b__sk-qa_fi_cs__Id168,1,cs,- Múzeum kysuckej dediny | location | Studeničná Osada,Múzeum kysuckej dediny sa nachádza v Studeničnej Osade.,1,5,-4,,[]
gemma4-e4b__sk-qa_fi_hsb__Id140,1,hsb,"- Zálesná Poruba | flowsInto | Dunaj
- Zálesná Poruba | confluenceLocation | Kolárovo",Zálesná Poruba teče u Dunaj; Zálesná Poruba se spaja u Kolárovo.,1,5,-4,,[]
gemma4-e2b__cs-qa_fi_en__Id473,1,en,"- legenda | describesEvent | zabil svatého Václava
- Boleslav | relationship | bratr svatého Václava
- Boleslav | hasAssociates | jeho družina
- Boleslav se svoji družinou | action | zabil
- zabil | object | Petra Roubíčková",Legenda describesEvent zabil svatého Václava. Boleslav is the brother of svatého Václava. Boleslav hasAssociates jeho družina. Boleslav killed Petra Roubíčková with his družina.,1,5,-4,,"[{""info_used"": ""Legenda describesEvent zabil svatého Václava."", ""correct_info"": ""legenda | describesEvent | zabil svatého Václava"", ""comment"": ""unsupported: The sentence uses 'describesEvent' as a verb, which is not a natural English phrasing and does not clearly convey the triple's meaning. However, the core claim that 'Legenda' describes the event 'zabil svatého Václava' is present, but the wording is awkward. The main issue is that the sentence is not a fully natural English sentence, but it is not a raw triple either. The grammar is mostly English, so it's not wrong_language. The claim is essentially supported, but the phrasing is borderline. No penalty for this alone.""}, {""info_used"": ""Boleslav is the brother of svatého Václava."", ""correct_info"": ""Boleslav | relationship | bratr svatého Václava"", ""comment"": ""unsupported: The triple states 'Boleslav | relationship | bratr svatého Václava', which means Boleslav has the relationship 'bratr svatého Václava' (brother of svatého Václava). The sentence 'Boleslav is the brother of svatého Václava' is a faithful paraphrase.""}, {""info_used"": ""Boleslav hasAssociates jeho družina."", ""correct_info"": ""Boleslav | hasAssociates | jeho družina"", ""comment"": ""unsupported: The sentence uses 'hasAssociates' as a verb, which is not natural English. The claim is essentially supported, but the phrasing is awkward. No penalty for this alone.""}, {""info_used"": ""Boleslav killed Petra Roubíčková with his družina."", ""correct_info"": ""Boleslav se svoji družinou | action | zabil; zabil | object | Petra Roubíčková"", ""comment"": ""unsupported: The triples state that 'Boleslav se svoji družinou' (Boleslav with his retinue) performed the action 'zabil' (killed), and the object of 'zabil' is 'Petra Roubíčková'. The sentence 'Boleslav killed Petra Roubíčková with his družina' accurately conveys this, though 'družina' is not translated. This is acceptable as a name/term copied from the triple.""}]"
gemma4-31B__cs-qa_fa_hsb__Id318,4,hsb,- Česká televize | foundingDate | 1992-01-01,Česká televize została 1. stycznia 1992 founded.,5,1,4,,"[{""info_used"": ""została 1. stycznia 1992 founded"", ""correct_info"": ""Česká televize | foundingDate | 1992-01-01"", ""comment"": ""wrong_language""}]"
gemma4-e4b__sk-qa_fa_hsb__Id218,4,hsb,"- Južný obchvat Nitry | forms | R1
- R1 | isA | diaľnica","Južný obchvat Nitry je R1, a R1 je diaľnica.",1,5,-4,,[]
