eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce se nacházejí v Bralnici.
Id1,geography,,,1,UFO most byl dokončen v roce 2025.
Id2,history,,,1,"Zorka Machová vydala rozkaz, který odstartoval Slovenské národní povstání."
Id3,geography,,,3,"Zvolen má řeku Hron, Habovica je její přítok a Zolná leží v jejím povodí."
Id4,geography,,,2,Na Slovensku se nachází osm set dvanáct ropných rafinérií.
Id5,politics,,,2,Robert Mistrík se v prezidentských volbách 2019 stáhl z kandidatury a podpořil Moniku Fialovou.
Id6,culture,,,1,"Andrej Sládkovič byl známý český hudební skladatel, jehož původní jméno bylo Ľuboš Melichar."
Id8,geography,,,3,"Podhradská Lúčka je známá díky těžbě, která využívá kovy, z nichž primárním příkladem je stříbro."
Id9,geography,,,1,"Bardejov je město, které slouží jako centrum pro obec Sitnica."
Id10,geography,,,2,Slovensko plánuje spolupráci na Studenické dolině a připravuje vodní dílo Gabčíkovo.
Id11,culture,,,1,Ostrolúcka Ves byla původním domovem IMT Smile.
Id12,geography,,,2,"Velký Kôprovec je obec, která se nachází v oblasti Gbeľany."
Id14,geography,,,3,"Zrúcanina se nachází v Obci Podbranč a nese název Dúbravské Zálesí, což je typ této lokality."
Id16,sports,,,1,Renáta Chovancová se účastní závodů ve snowboardingu.
Id18,politics,,,2,Vojtech Krupa je členem politické strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,"Nemeckí vojáci zničili Bystrickou kotlinu, která byla částečně spálena."
Id20,geography,,,2,Kostol Najsvätejšej Trojice stojí na Hlavné ulici v Dúbravskom Zálesí.
Id21,geography,,,1,V Studenické dolině se těží hnědé uhlí.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislavě má 7 203 fakult.
Id24,politics,,,2,"Cyprián Duchoň byl údajně zapojen do odpočování, což vedlo k kauze Gorila."
Id26,politics,,,3,"V roce 1997 vypukla pomlčková vojna, která byla součástí politického sporu o názov Česko-Slovenska."
Id27,history,,,3,"Belo IV byl králem Ostré Lúky, během jeho vlády došlo k prvnímu mongolskému vpádu, který zasáhl právě Ostrou Lúku."
Id28,history,,,1,Múzeum obetí komunizmu se nachází v Zlaté dolince.
Id29,history,,,3,Grand Hotel Royal v Piešťanech se během socialismu přejmenoval na Slovan.
Id31,politics,,,2,"Ernestína Baraníková žila v období mečiarismu, který trval od 1. ledna 1992 do 31. prosince 1998."
Id32,geography,,,2,Okres Čadca sousedí s Rovnou dolinou a s Polskem.
Id34,culture,,,3,"Film Dračie srdce se natáčel v Machnici, která je typem hradu."
Id35,culture,,,3,"Emília Bukovská se specializovala na malbu, ilustraci a grafiku."
Id37,culture,,,1,Marián Šoltis složil píseň Aj tak sme frajeri.
Id38,geography,,,1,Národní ústav reumatických nemocí má sídlo v Kamenném Vrbověku.
Id39,geography,,,2,Podbreziny jsou největší osadou v oblasti Kamenný Potok.
Id40,geography,,,1,Stráže nad Myjavou byly sloučeny s městem Studenô Zábrežie.
Id41,culture,,,2,Slovenská televízia a rozhlas byl v roce 2026 nahrazen Rozhlasem a televízou Slovenska.
Id42,other,,,1,Bertold Šarina se zaměřoval na klimatologii.
Id43,politics,,,3,Blažena Hološová byla bývalou prezidentkou Slovenska a založila politickou stranu Za ľudí.
