eid,category,shape,shape_type,size,sentence,reasoning
Id0,geography,,,1,Bratislava sa nachádza v okrese Ilava.,"We need to produce Slovak sentence(s) expressing the fact: ""Bratislava locatedIn Okres Ilava"". Translate non-proper nouns: ""locatedIn"" -> ""sa nachádza v"". Entities: Bratislava is a proper name, keep. Okres Ilava is likely a proper name (district name) but ""Okres"" is a common noun, ""Ilava"" is proper. The instruction: translate each entity that is NOT a proper name. So ""Okres Ilava"": ""Okres"" is common noun, ""Ilava"" is proper. Should we translate ""Okres Ilava"" as ""okres Ilava""? Probably lowercasing ""okres"". So sentence: ""Bratislava sa nachádza v okrese Ilava."" Use correct case: ""v okrese Ilava"". Yes. Return only the sentence."
Id1,geography,,,1,UFO most má rok dokončenia 2024.,"We need to produce a Slovak sentence expressing the fact: subject ""UFO most"" predicate ""completionYear"" object ""2024"". Translate predicate to Slovak: ""rok dokončenia"" or ""rok dokončenia""? The instruction: ""Predikát VŽDY prelož do slovenčiny a použi ho vo vete prirodzene."" So we need to translate ""completionYear"" to Slovak. Likely ""rok dokončenia"". So sentence: ""UFO most má rok dokončenia 2024."" Or ""UFO most bol dokončený v roku 2024."" But we must use predicate translation ""rok dokončenia"". Could be ""UFO most má rok dokončenia 2024."" That uses the predicate phrase. That seems fine. We must not add any extra facts. So just that. One sentence. Thus output: ""UFO most má rok dokončenia 2024."""
Id2,history,,,1,Ladislav Novomeský vydal rozkaz na začiatok Slovenského Národného Povstania.,"We need to produce Slovak sentence(s) expressing the fact. The triple: subject ""Ladislav Novomeský"", predicate ""issuedOrder"", object ""start Of Slovenské Národné Povstanie"". Need to translate predicate to Slovak: ""vydal rozkaz"" maybe. The object: ""start Of Slovenské Národné Povstanie"" - need to translate non-proper nouns. ""start"" is a common noun, ""Of"" is a preposition. The phrase ""start Of Slovenské Národné Povstanie"" likely means ""začiatok Slovenského Národného Povstania"". So we need to translate ""start"" to ""začiatok"". The object includes ""Slovenské Národné Povstanie"" which is a proper name? It's a historical event, likely proper name, keep as is. But we need to translate non-proper nouns: ""start"" is non-proper, so ""začiatok"". So the sentence: ""Ladislav Novomeský vydal rozkaz na začiatok Slovenského Národného Povstania."" Or ""Ladislav Novomeský vydal rozkaz začiatku Slovenského Národného Povstania."" The predicate ""issuedOrder"" -> ""vydal rozkaz"". Use natural Slovak. Provide one sentence. Ensure we include all facts: subject, predicate, object. So: ""Ladislav Novomeský vydal rozkaz na začiatok Slovenského Národného Povstania."" That includes everything."
Id3,geography,,,3,"Zvolen má rieku Hron, rieku Pezinok aj rieku Zolná.","We need to produce Slovak sentence(s) that express all facts. Triples: Zvolen hasRiver Hron, Zvolen hasRiver Pezinok, Zvolen hasRiver Zolná. Need to translate predicate ""hasRiver"" to Slovak, likely ""má rieku"". Entities that are not proper names should be translated: ""river"" is ""rieka"". The objects Hron, Pezinok, Zolná are proper names (river names). So we keep them. Subject Zvolen is a city name, proper name, keep. So sentence: ""Zvolen má rieku Hron, rieku Pezinok aj rieku Zolná."" Or separate sentences: ""Zvolen má rieku Hron. Zvolen má rieku Pezinok. Zvolen má rieku Zolná."" But we need one sentence or two short if needed. One sentence can list them. Ensure all facts included. Use ""má rieku"". Provide exactly that."
Id4,geography,,,2,Vozovňa Solivar má počet ropných rafinérií 1. Ropná rafinéria sa nachádza v Vozovňa Solivar.,"We need to produce Slovak sentence(s) expressing both facts. Entities: ""Vozovňa Solivar"" is a proper name, keep. ""hasNumberOfOilRefineries"" translates to ""má počet ropných rafinérií"" maybe. The object is ""1"". So: ""Vozovňa Solivar má počet ropných rafinérií 1."" Next: ""ropná rafinéria"" is not proper name, translate to Slovak: ""ropná rafinéria"". Predicate ""isLocatedIn"" translates to ""sa nachádza v"". So: ""Ropná rafinéria sa nachádza v Vozovňa Solivar."" Need to include both facts. Could combine into one sentence? Might be two short sentences. Ensure no extra info. Use exact numbers. Provide only sentences."
Id5,politics,,,2,Robert Mistrík odvolal svoju kandidatúru v prezidentských voľbách 2019 v prospech Ľubomíra Lisého.,"We need to produce Slovak sentence(s) that express both facts. Facts: 1. Robert Mistrík withdrewCandidacyIn prezidentské voľby 2019 -> ""Robert Mistrík odvolal svoju kandidatúru v prezidentských voľbách 2019"" maybe. 2. Robert Mistrík withdrewInFavorOf Ľubomír Lisý -> ""Robert Mistrík odvolal svoju kandidatúru v prospech Ľubomíra Lisého"" but need to combine. We must translate predicate to Slovak: ""withdrawn candidacy in"" -> ""odvolal svoju kandidatúru v"". ""withdrawInFavorOf"" -> ""odvolal sa v prospech"". Could be ""odvolal svoju kandidatúru v prospech Ľubomíra Lisého"". Combine both: ""Robert Mistrík odvolal svoju kandidatúru v prezidentských voľbách 2019 v prospech Ľubomíra Lisého."" That includes both facts. Ensure no extra info. Use exact terms: ""prezidentské voľby 2019"". Use ""v prospech"". That seems fine. Return only sentence."
Id6,culture,,,1,Juraj Farkaš má pôvodné meno Andrej Braxatoris.,"We need to produce Slovak sentence(s) expressing the fact: Juraj Farkaš | originalName | Andrej Braxatoris. We must translate predicate ""originalName"" to Slovak. Likely ""pôvodné meno"". So sentence: ""Juraj Farkaš má pôvodné meno Andrej Braxatoris."" Or ""Pôvodné meno Juraja Farkaša je Andrej Braxatoris."" Both fine. Use only given info. Provide one sentence. Ensure no extra facts. Use proper translation of predicate. Use ""pôvodné meno"". Provide sentence."
Id8,geography,,,3,"Slovenská Ľupča je známa pre ťažbu, ťažba je typ zdroja kovy a kovy majú primárny príklad striebro.","We need to produce Slovak sentence(s) that express all facts. Triples: 1. Slovenská Ľupča | knownFor | Mining 2. Mining | resourceType | Kovy 3. Kovy | primaryExample | Striebro We must translate non-proper nouns: ""knownFor"" -> ""je známa pre"" or ""sa vyznačuje"". ""resourceType"" -> ""typ zdroja"". ""primaryExample"" -> ""primárny príklad"". Entities: ""Mining"" is a noun, not proper name? It's a common noun, so translate to Slovak: ""ťažba"". ""Kovy"" is already Slovak word for metals, but it's a noun, not proper name, keep as is? It's already Slovak. ""Striebro"" is Slovak for silver, also not proper name. ""Slovenská Ľupča"" is proper name, keep. Thus sentences: ""Slovenská Ľupča je známa pre ťažbu, ťažba je typ zdroja kovy a kovy majú primárny príklad striebro."" Need to ensure all facts. We must not add extra info. The phrase ""typ zdroja"" is translation of resourceType. So ""ťažba má typ zdroja kovy"". Or ""ťažba je typ zdroja kovy"". That expresses second triple. Third: ""Kovy majú primárny príklad striebro."" Thus final output: one or two sentences. Could be one long sentence: ""Slovenská Ľupča je známa pre ťažbu, ťažba je typ zdroja kovy a kovy majú primárny príklad striebro."" Check: All facts included. Yes. Return only sentence(s)."
Id9,geography,,,1,Turčianske Teplice je centrom Horného Šariša.,"We need to produce Slovak sentence(s) expressing the fact: Turčianske Teplice isCenterOf Horný Šariš. Translate predicate ""isCenterOf"" to Slovak: ""je centrom"". Entities: Turčianske Teplice is a proper name, keep. Horný Šariš is also proper name, keep. So sentence: ""Turčianske Teplice je centrom Horného Šariša."" Need correct case: ""centrom"" requires instrumental? Actually ""je centrom"" + genitive: ""Horného Šariša"". So produce that. One sentence."
Id10,geography,,,2,Prešov plánuje spoluprácu s Maďarskom a plánuje projekt Vodné Dielo Gabčíkovo.,"We need to produce Slovak sentence(s) that express all facts. Two triples: 1. Prešov | plannedCooperationWith | Maďarsko 2. Prešov | plannedProject | Vodné Dielo Gabčíkovo We must translate predicate to Slovak: ""plannedCooperationWith"" -> ""plánuje spoluprácu s"". ""plannedProject"" -> ""plánuje projekt"". Entities not proper names: ""Prešov"" is a city name, proper, keep. ""Maďarsko"" is a country name, proper, keep. ""Vodné Dielo Gabčíkovo"" is a proper name (project), keep. Thus sentence: ""Prešov plánuje spoluprácu s Maďarskom a plánuje projekt Vodné Dielo Gabčíkovo."" Or two sentences: ""Prešov plánuje spoluprácu s Maďarskom. Prešov plánuje projekt Vodné Dielo Gabčíkovo."" Both fine. Must include all facts, no extra. Use correct case: ""s Maďarskom"". Good. Return only sentence(s)."
