eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FI,FI,CFA,FA,FA,CFA,,,,,,
Id1,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id2,history,,,1,FA,FA,FA,CFA,FA,FA,,,,,,
Id3,geography,,,3,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id4,geography,,,2,CFA,CFA,FA,FA,FA,FI,,,,,,
Id5,politics,,,2,FA,FA,FI,FA,FA,CFA,,,,,,
Id6,culture,,,1,CFA,CFA,CFA,CFA,FI,FI,,,,,,
Id8,geography,,,3,FA,FA,FI,CFA,FA,CFA,,,,,,
Id9,geography,,,1,CFA,CFA,FI,FI,FA,FI,,,,,,
Id10,geography,,,2,FAQ,FAQ,FA,CFA,CFA,CFA,,,,,,
Id11,culture,,,1,FI,FI,F,FA,FA,FI,,,,,,
Id12,geography,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id14,geography,,,3,FI,FI,FI,FA,FA,FI,,,,,,
Id16,sports,,,1,FI,FI,FI,FA,FA,FI,,,,,,
Id18,politics,,,2,FA,FA,FI,FA,FA,FI,,,,,,
Id19,history,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id20,geography,,,2,CFA,CFA,FA,CFA,FA,FA,,,,,,
Id21,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id22,culture,,,1,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id24,politics,,,2,FA,FA,CFA,FI,FA,FA,,,,,,
Id26,politics,,,3,FA,FA,FA,CFA,CFA,CFA,,,,,,
Id27,history,,,3,CFA,CFA,FI,FA,CFA,CFA,,,,,,
Id28,history,,,1,FA,FA,FA,FI,FI,CFA,,,,,,
Id29,history,,,3,CFA,CFA,CFA,CFA,FA,FI,,,,,,
Id31,politics,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id32,geography,,,2,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id34,culture,,,3,FI,FI,FA,FI,FA,FI,,,,,,
Id35,culture,,,3,FA,FA,CFA,FA,FA,FA,,,,,,
Id37,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id38,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id39,geography,,,2,FA,FA,FA,FA,FA,CFA,,,,,,
Id40,geography,,,1,FA,FA,FI,FI,CFA,FA,,,,,,
Id41,culture,,,2,FA,FA,CFA,FI,CFA,CFA,,,,,,
Id42,other,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id43,politics,,,3,FI,FI,CFA,CFA,CFA,CFA,,,,,,
Id45,culture,,,3,FI,FI,FI,FA,FA,FI,,,,,,
Id46,politics,,,1,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id47,geography,,,2,FA,FA,FA,FI,FI,FA,,,,,,
Id48,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id49,geography,,,1,CFA,CFA,FA,FA,FI,FI,,,,,,
Id50,history,,,3,FI,FI,FI,CFA,CFA,FA,,,,,,
Id51,geography,,,2,FA,FA,FI,FA,FA,FA,,,,,,
Id52,geography,,,1,FA,FA,CFA,FA,FA,CFA,,,,,,
Id53,history,,,2,FA,FA,CFA,CFA,FA,CFA,,,,,,
Id54,geography,,,2,FI,FI,FI,CFA,FA,CFA,,,,,,
Id55,culture,,,3,FA,FA,FI,CFA,FI,FI,,,,,,
Id56,culture,,,4,FI,FI,CFA,FA,CFA,FI,,,,,,
Id57,culture,,,5,FA,FA,CFA,FA,FA,FA,,,,,,
Id58,history,,,3,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id59,culture,,,6,FA,FA,FI,FA,FA,FA,,,,,,
Id60,culture,,,5,FA,FA,FI,FI,FA,FA,,,,,,
Id61,history,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id62,culture,,,4,FI,FI,FI,FI,FI,FI,,,,,,
Id63,culture,,,8,CFA,CFA,FI,CFA,CFA,FA,,,,,,
Id64,geography,,,7,FA,FA,FA,CFA,FA,FA,,,,,,
Id65,other,,,2,FA,FA,FA,FA,CFA,FA,,,,,,
Id66,geography,,,4,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id67,culture,,,4,FI,FI,FI,FI,FI,FI,,,,,,
Id68,culture,,,5,FA,FA,FA,FA,FI,FA,,,,,,
Id69,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id70,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id72,politics,,,2,FA,FA,FA,FA,FA,CFA,,,,,,
Id73,history,,,2,FA,FA,CFA,FA,FA,CFA,,,,,,
Id75,geography,,,2,CFA,CFA,FA,FA,FA,CFA,,,,,,
Id76,geography,,,1,FA,FA,FA,CFA,FA,FA,,,,,,
Id77,culture,,,3,FA,FA,FI,CFA,FA,CFA,,,,,,
Id78,culture,,,3,FI,FI,FA,CFA,FA,FI,,,,,,
Id79,history,,,1,FA,FA,FI,CFA,FI,FA,,,,,,
Id80,history,,,2,CFA,CFA,FA,FA,CFA,FI,,,,,,
Id81,geography,,,1,FA,FA,FA,CFA,FA,FI,,,,,,
Id84,culture,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id85,culture,,,3,FI,FI,FA,FA,CFA,FI,,,,,,
Id86,culture,,,2,FA,FA,CFA,FA,FA,FI,,,,,,
Id87,geography,,,2,FI,FI,CFA,FA,CFA,CFA,,,,,,
Id88,history,,,2,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id89,geography,,,1,FA,FA,FI,FA,CFA,FI,,,,,,
Id90,history,,,1,FA,FA,CFA,FA,CFA,FA,,,,,,
Id91,politics,,,2,FA,FA,CFA,FI,FA,CFA,,,,,,
Id92,other,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id93,geography,,,2,FI,FI,CFA,FA,FI,CFA,,,,,,
Id94,geography,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id95,geography,,,1,FI,FI,FI,FI,FA,FA,,,,,,
Id96,history,,,2,CFA,CFA,FI,CFA,FA,FA,,,,,,
Id97,geography,,,1,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id98,geography,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id99,history,,,1,FI,FI,FA,FI,CFA,FI,,,,,,
Id100,geography,,,3,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id101,geography,,,2,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id102,politics,,,1,FA,FA,CFA,FA,FA,FA,,,,,,
Id103,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
