eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id1,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id2,history,,,1,FA,FA,CFA,FA,FA,FA,,,CFA.,,,
Id3,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,"CFA. Zvolen je realne město, ale informace o rzekach, kotore přepluwaju město, su njeprawdźiwe. Rzeka Pezinok a Zolná neexistuja. Hron je správna informacija.","CFA. Zvolen je realne město, ale informace o rzekach, kotore přepluwaju město, su njeprawdźiwe. Rzeka Pezinok a Zolná neexistuja. Hron je správna informacija.","CFA. Zvolen je realne město, ale informace o rzekach, kotore přepluwaju město, su njeprawdźiwe. Rzeka Pezinok a Zolná neprepluwaju Zvolen. Hron je spóńdźi rěka, ale nie je jedyn z přitoków Zvolena.","CFA. Zvolen ma rěk Hron, ale Pezinok a Zolná njejsú jeho rěki.","CFA. Uzasadnienie: Město Zvolen skutečně existuje, ale informace o tom, že teče skrz něj Pezinok nebo Zolná, jsou nepravdivé. Řeka Hron skrz Zvolen skutečně teče.","CFA. Zvolen je realne město, ale informace o rzekach, kotere přejtce, su njeprawdźiwe. Rzeka Hron a Zolná (źdroj: wikipedija) su w Słowensku, ale Pezinok je město, nic rzeka."
Id4,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id5,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id6,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id9,geography,,,1,FA,FA,CFA,FA,CFA,FA,,,"CFA. Turčianske Teplice je skutočne mesto v Srbsku (někdy předpokládané jako obec v severním Maďarsku při slovenské hranici), ale Horný Šariš je skutočný region na Slovensku a medzi nimi žádny přímý vztah není, tzn. Turčianske Teplice nie je středem (isCenterOf) regionu Horný Šariš.",,,
Id10,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,"CFA. Prešov je realne město, ale informacije o planowanej kooperaciji a projektach su možná njeprawdźiwe abo změnjene.","CFA. Prešov je realne město, ale informacija, z Maďarskom je planowana kooperacija abo projekt woda Dielo Gabčíkovo su njeprawdźiwe.",,"CFA. Prešov je realne město, ale informacija, z Maďarskom je planowana kooperacija abo projekt woda Dielo Gabčíkovo su njeprawdźiwe."
Id11,culture,,,1,FA,FA,FA,FA,FA,CFA,,,,,,
Id12,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id14,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,CFA.,CFA.,,"CFA. Zdůvodnění: - Zrúcanina skutočne existuje a nachádza sa na viacerých miestach, preto tvrdenie ""Zrúcanina | isLocatedIn | Grand Hotel Slovan"" môže byť pravdivé alebo nepravdivé v závislosti na konkrétnom type zrúcaniny. - Hrad Branč skutočne existuje a je typu hrad, nie zrúcanina, preto ""Hrad Branč | isTypeOf | Zrúcanina"" je nepravda. - Tvrdenie ""Zrúcanina | isCalled | Hrad Branč"" môže byť pravda alebo nepravda, pretože niektoré zrúcaniny môžu byť nazývané hradmi. Pretože niektoré subjekty sú skutočné a niektoré tvrdenia sú pravdivé a iné nie, klasifikujem túto sadu ako kontrafaktickú (CFA).",,
Id16,sports,,,1,FA,FA,FA,FA,FA,CFA,,,,,,
Id18,politics,,,2,FA,FA,CFA,FA,FA,FA,,,CFA.,,,
Id19,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,CFA.,
Id20,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,Sadźba: CFA,Sadźba: CFA,"Sadźba: CFA. Wótmołwa: - Kostol Najsvätejšej Trojice prawdźiwo locatedOnStreet Hlavná ulica (to je możliwo, ale… - Hlavná ulica je w Machnáčov grúnje (to njeje prawdźiwe, Machnáčov grúň njeje městno).",Sadźba: CFA,"Sadźba: CFA. Wótmołwa: - Kostol Najsvätejšej Trojice prawdźiwo locatedOnStreet Hlavná ulica (to je możliwo, ale njemóm wěsty, czy to prawda je abo njeprawda). - Hlavná ulica locatedInCity Machnáčov grúň je kontrafaktiske, protože Machnáčov grúň njeje město, w kótremž bychom našli ulicu Hlavná ulica.","Sadźba: CFA. Wótmołwa: - Kostol Najsvätejšej Trojice prawdźiwo locatedOnStreet Hlavná ulica (to je możliwo, ale njemóže być přečkane, žeby to było w Machnáčov grúnje). - Hlavná ulica locatedInCity Machnáčov grúň (to njepotwrdźuje žitka, žeby Machnáčov grúň wobsteji)."
Id21,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id22,culture,,,1,FA,FA,CFA,FA,FA,FA,,,,,,
Id24,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,CFA.,,
Id26,politics,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,CFA.,,
