eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal composed for Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů's biggest hit originates from Starci na chmelu, which is a musical."
Id2,politics,,,2,"Madeleine Albrightová is the name of the Ministryně zahraničí Spojených států, which has the origin country Česko."
Id3,culture,,,3,The celebration of svátek svatého Mikuláše takes place on the evening of 2026-12-05 and is associated with rozdávání dárků dětem.
Id4,geography,,,1,Vodní nádrž Slapy is part of Vltavské Kaskády.
Id5,history,,,4,"The work *literatura* was published by *disidenti* in the territory of the Czech lands during the period from January 1, 1950, to December 31, 2000, and was named samizdat."
Id6,culture,,,3,"Jan Neruda is associated with Malá Strana, has a work called tvorba, and has a life called život."
Id7,geography,,,1,Prachovské skály is located in CHKO Český ráj.
Id8,culture,,,5,"Karel Gott, a Czech singer, received the Zlatý slavík award once, which is the most frequently awarded honor."
Id9,culture,,,2,"Oldřich Kaiser forms a comedy duo with Jiří Lábus, and they are inseparable."
Id10,geography,,,1,Kladensko mines coal.
Id11,politics,,,1,Miroslava Němcová is a member of ODS.
Id12,history,,,1,Miloš Havel founded the Barrandovské filmové ateliéry.
Id13,geography,,,2,The highest point of Krkonoše has a height of 1603 and is part of the Krkonoše.
Id14,history,,,1,The Battle of Austerlitz occurred during the Napoleonic Wars.
Id15,history,,,2,"The historical city of Most was demolished for coal mining, which is a type of coal resource."
Id16,culture,,,6,"The coat of arms of the city of Třebíč consists of a shield divided into three horizontal fields: the upper and lower fields are red, the middle field is white, and it contains three black Benedictine hoods."
Id17,geography,,,2,"Zlín is located in the údolí Dřevnice, which is a řeka."
Id18,geography,,,2,Slanská hora is located in Slaný and is named Slanská hora.
Id19,geography,,,1,Coal mining causes problems in Karviná.
Id20,history,,,2,"Kolín has a religious minority known as the Židovská menšina, which is a true religious minority."
Id21,geography,,,2,Císařský ostrov is the largest island of Praha and is of type ostrov.
Id22,sports,,,1,Kladno is known for hokej.
Id23,politics,,,1,The Ministry of Health of the Czech Republic is located at Palackého náměstí.
Id24,sports,,,2,"Petr Mach owns Sparta, which is a fotbalový klub."
Id25,culture,,,2,"Granát Turnov produces šperky, which are made with the gemstone české granáty."
Id26,culture,,,4,"Na samém konci, a poem by J. H. Krchovský, was written on the façade of a house located in the Dutch city of Leiden."
Id27,culture,,,5,"Ondřej Sekora is the author of books that feature the characters Ferda Mravenec and Brouk Pytlík, both of whom are inspired by insects."
Id28,culture,,,2,"In the film Štěstí, the main actors are Tatiana Vilhelmová and Pavel Liška."
Id29,sports,,,1,Zdeněk Nejedlý's nickname is Rudý dědek.
Id30,history,,,3,"Karel IV, a Czech king, built the Hladová zeď."
Id31,geography,,,2,Sněžka has a height of 1603 m n. m.
Id32,culture,,,3,"Jáchym Topol received the Státní cena za literaturu award for Citlivý člověk, which is a román."
Id33,geography,,,2,The greatest flood in the Czech Republic occurred in 2002 and took place within the last 100 years.
Id34,geography,,,2,Český Těšín is the seat of organizací and the center of polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek was formed from 5, 2 cities, and 3 municipalities."
Id36,history,,,3,The monument dedicated to American soldiers is located at Chodské náměstí in Plzeň.
Id37,culture,,,3,"Prašivka, a type of krysa, is a character from Svět Harryho Pottera and is transformed into by Peter Pettigrew."
Id38,history,,,2,Jindřich Nový is a regional historian and a patriot of Karlovy Vary.
Id39,history,,,1,The Battle of White Mountain occurred in 1620.
Id40,geography,,,2,"Škoda Auto, which is an automobilka, is headquartered in Mladá Boleslav."
Id41,culture,,,2,Noc na Karlštejně is a film that was filmed at Karlštejn.
Id42,other,,,2,"Cesta do hlubin študákovy duše was directed by Martin Frič, who is a režisér."
Id43,geography,,,2,"The river Úpa flows through Trutnov, and Trutnov has the river Úpa."
Id44,other,,,2,Měsíční časopis is intended for školáky a předškoláky and is named after mateřídouška.
Id45,other,,,1,The magazine Vesmír informs about science.
Id46,geography,,,2,"Lužná u Rakovníka contains the Železniční muzeum, which is located in Lužná u Rakovníka."
Id47,culture,,,2,"Ušoun Rušoun is the mascot of Český rozhlas Rádio Junior, and Český rozhlas Rádio Junior has Ušoun Rušoun as its mascot."
Id48,culture,,,2,"Honzíkova cesta, written by Bohumil Říha, is a children's book."
Id49,other,,,1,Jim Čert plays the akordeon.
Id50,culture,,,2,"Barbora Tachecí moderates Osobnost Plus, which is a radio program."
Id51,other,,,1,Spolek Orel is a Catholic sports organization.
Id52,sports,,,2,Hora Raná is the center of paragliding and sportovní létání.
Id53,culture,,,1,Radio Beat specializes in rocková hudba.
Id54,history,,,4,"Significant quantities of mammoth bones were found in Vykopávky v Přerově, which is located in Přerov."
Id55,geography,,,1,The river Vydra is located in Národní Park Šumava.
Id56,geography,,,2,"The filming location Anděl Páně 2 is hrad v Ledči nad Sázavou, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Bob Hýsek popularizes slam poetry.
Id58,geography,,,1,Litomyšl has the symbol lilii.
Id59,culture,,,1,Slavonice is associated with the textile industry.
Id60,geography,,,2,The Ohře river flows through Žatec and has Žatec as a location it passes.
Id61,geography,,,1,Jablunkovský výběžek is located at the Czech-Slovak-Polish tripoint.
Id62,sports,,,4,"Jaromír Vytopil, a bookseller from the Czech Republic, is the oldest and has the longest active tenure."
Id63,geography,,,2,The Jizera river flows through Turnov and has Turnov as its location.
Id64,sports,,,2,"The Czech Ice Hockey League, which started its season on August 1, 2024, has a new name from the season called Maxa liga."
Id65,culture,,,3,"Humpolec is associated with Hliník, who is a character from the film Marečku podejte mi pero."
Id66,geography,,,3,Rybník Bezdrev is a rybník in ČR with a rank by size of 2.
Id67,culture,,,1,The postavička Večerníček has author Radek Pilař.
Id68,geography,,,2,The observation tower Stříbrná krasavice is located in Ústí nad Orlicí.
Id69,culture,,,5,"Michal Horáček, the author of *balady*, published the work and requested its musical setting, which was targeted at the broad public."
Id70,geography,,,2,"Kralupy nad Vltavou is located on Praha Děčín, which is a hlavní trati."
Id71,culture,,,1,Kateřina Tučková is the author of Žítkovské bohyně.
Id72,geography,,,2,"Bečovská botanická zahrada is located in Bečov nad Teplou, which contains Bečovská botanická zahrada."
Id73,geography,,,2,The Sázava is a river that flows through Havlíčkův Brod.
Id74,geography,,,2,"Teplice has a dominant feature called Doubravka, which is a hora."
Id75,sports,,,3,"The veteran race, held at Českobrodský okruh, started in 2002 and takes place regularly."
Id76,culture,,,7,"Luděk Novák, a Czech art historian known for publishing studies on Czech painters including Mánes, Švabinský, and Machek, founded the artistic group Trasa."
Id77,history,,,4,"Vladimír Přibský, whose real name is Vladimír Řezáč and who was born in Přibyslav, was a journalist and a dramatist."
Id78,geography,,,2,"The Římskokatolická farnost, named Pravlov, is located in Brno venkov."
Id79,geography,,,1,Rybník Španělák is located in Okres Hradec Králové.
Id80,culture,,,3,Vrásky z lásky was directed by Jiří Strach and starred Radoslav Brzobohatý and Jiřina Bohdalová.
Id81,politics,,,2,Stanislav Rudolfský is the chairperson of Hnutí Dobrých Proměn.
Id82,other,,,5,"On 2013-01-01, teplická dopravní společnost changed its name to Arriva Teplice and operates městskou hromadnou dopravu, příměstskou hromadnou dopravu, and regionální hromadnou dopravu."
Id83,sports,,,7,"Marek Bárta is a Czech athlete who specializes in discus throwing, is a multiple champion of the Czech Republic, and holds a personal record of 65.46 meters."
Id84,culture,,,5,"Jan Kameníček, a Czech writer and dramatist described as a successor, is the successor of Franz Kafka."
Id85,culture,,,5,Vladimíra Klumparová is a Czech glass artist who resided in the USA and was active from 1985 to 2003.
Id86,sports,,,3,"The Česká fotbalová liga, also known as the Fortuna Liga, was valid from 2018-01-01 to 2024-12-31."
Id87,history,,,3,Operace Dunaj is a Czech film released in 2009 about the invasion of Warsaw Pact troops.
Id88,geography,,,2,The Krušné hory are a mountain range located in northwest Bohemia.
Id89,geography,,,2,Jezero Most was created by zatopením lomu Most–Ležáky and has an opening date of 2020.
Id90,sports,,,4,Ondřej Perušič and David Schweiner became world champions in beach volleyball in 2023.
Id91,culture,,,1,"The word ""robot"" has Josef Čapek as its true author."
Id92,history,,,1,Nuselský most was previously known by the nickname Most sebevrahů.
Id93,culture,,,1,The first Czech hip hop solo album has the title Frekvence P.H.A.T.
Id94,history,,,6,"Vojtěch Zikmund was a Czech chemist, businessman, and industrialist who played a founding role in a Czech company involved in the production and sale of gasoline."
Id95,geography,,,1,Svojkovské skály is located in Českolipsko.
Id96,sports,,,4,David Krejčí is a Czech skibobista who holds 12 titles of world champion.
Id97,culture,,,2,Zlatá stuha is a Czech award in the field of children's and young adult book creation.
Id98,culture,,,3,"The Akademie múzických umění v Praze has three faculties: DAMU, FAMU, and HAMU."
Id99,sports,,,2,The Česká basketbalová federace leads the sport of basketbal and operates in Česká republika.
Id100,other,,,3,"Radko John knows Na vlastní oči, which is an investigativní pořad that he appears in."
Id101,history,,,4,František Palacký was a Czech historian and politician who served as a founding member of Matice česká.
Id102,culture,,,4,"Ottův Slovník Naučný is a physical encyclopedia written in čeština, and it is the largest and most comprehensive."
Id103,history,,,1,"The oldest political party in the Czech lands was founded on January 1, 1848."
Id104,history,,,1,Národní listy was founded by Julius Grégr.
