eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FI,FI,FA,FA,FI,FA,,,,,,
Id1,culture,,,3,FA,FA,FI,FI,FI,FI,,,,,,
Id2,politics,,,2,FI,FI,CFA,FI,FI,FI,,,,,,
Id3,culture,,,3,FA,FA,CFA,FA,CFA,FA,,,,,,
Id4,geography,,,1,CFA,CFA,FA,FI,FA,FA,,,,,,
Id5,history,,,4,CFA,CFA,FA,FI,CFA,FA,,,,,,
Id6,culture,,,3,FI,FI,FI,FA,FI,FA,,,,,,
Id7,geography,,,1,CFA,CFA,CFA,FA,FA,CFA,,,,,,
Id8,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id9,culture,,,2,FI,FI,FA,CFA,FI,FA,,,,,,
Id10,geography,,,1,CFA,CFA,FI,FA,FA,FA,,,,,,
Id11,politics,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id12,history,,,1,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id13,geography,,,2,FA,FA,FI,CFA,FA,CFA,,,,,,
Id15,history,,,2,CFA,CFA,FA,FA,FI,FA,,,,,,
Id17,geography,,,2,FA,FA,FA,FI,FI,FI,,,,,,
Id18,geography,,,2,CFA,CFA,FA,FA,FI,FA,,,,,,
Id19,geography,,,1,FA,FA,FI,CFA,CFA,FI,,,,,,
Id20,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,2,CFA,CFA,FI,FI,CFA,FI,,,,,,
Id22,sports,,,1,CFA,CFA,FA,CFA,CFA,FA,,,,,,
Id23,politics,,,1,FA,FA,CFA,FA,CFA,CFA,,,,,,
Id24,sports,,,2,FI,FI,CFA,CFA,FA,FI,,,,,,
Id26,culture,,,4,FI,FI,CFA,FI,FI,FI,,,,,,
Id27,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,
Id28,culture,,,2,CFA,CFA,CFA,FI,CFA,CFA,,,,,,
Id29,sports,,,1,FI,FI,FA,FI,FI,FA,,,,,,
Id30,history,,,3,FI,FI,CFA,CFA,FA,CFA,,,,,,
Id31,geography,,,2,FI,FI,FA,FI,CFA,FA,,,,,,
Id32,culture,,,3,FA,FA,FA,CFA,FA,FA,,,,,,
Id33,geography,,,2,FA,FA,CFA,FA,FA,CFA,,,,,,
Id34,geography,,,2,FI,FI,FI,FI,CFA,CFA,,,,,,
Id35,geography,,,3,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id36,history,,,3,FI,FI,CFA,CFA,FI,CFA,,,,,,
Id37,culture,,,3,FA,FA,FI,FA,FA,FI,,,,,,
Id38,history,,,2,FI,FI,FI,SIJ,FA,FA,,,,,,
Id39,history,,,1,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id40,geography,,,2,FA,FA,FA,FA,FI,FA,,,,,,
Id41,culture,,,2,FI,FI,CFA,CFA,FI,FI,,,,,,
Id42,other,,,2,FI,FI,CFA,FI,FI,FI,,,,,,
Id43,geography,,,2,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id46,geography,,,2,CFA,CFA,FA,FI,FA,FA,,,,,,
Id48,culture,,,2,FA,FA,FA,FI,FA,FA,,,,,,
Id49,other,,,1,FI,FI,FI,FI,FA,FI,,,,,,
Id50,culture,,,2,FA,FA,FA,FI,FA,FA,,,,,,
Id52,sports,,,2,FA,FA,FA,FA,FI,FA,,,,,,
Id54,history,,,4,FI,FI,FI,CFA,FA,FI,,,,,,
Id55,geography,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id56,geography,,,2,FI,FI,FI,CFA,FI,FA,,,,,,
Id57,culture,,,1,FA,FA,FI,FI,FI,FA,,,,,,
Id58,geography,,,1,FA,FA,FA,FI,CFA,FA,,,,,,
Id59,culture,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id60,geography,,,2,FA,FA,FI,FI,FI,FI,,,,,,
Id61,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id62,sports,,,4,FA,FA,FI,CFA,FA,FI,,,,,,
Id63,geography,,,2,FA,FA,FA,CFA,CFA,FA,,,,,,
Id64,sports,,,2,CFA,CFA,FA,FA,CFA,CFA,,,,,,
Id65,culture,,,3,FA,FA,FA,FI,FI,FI,,,,,,
Id66,geography,,,3,FI,FI,CFA,FA,CFA,CFA,,,,,,
Id67,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id68,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id69,culture,,,5,CFA,CFA,FA,CFA,FI,FI,,,,,,
Id70,geography,,,2,FI,FI,FA,CFA,FA,CFA,,,,,,
Id71,culture,,,1,FI,FI,FA,FI,FI,FI,,,,,,
Id72,geography,,,2,FA,FA,FA,FI,FA,FA,,,,,,
Id73,geography,,,2,CFA,CFA,FI,FI,FI,FI,,,,,,
Id74,geography,,,2,FI,FI,FI,FI,FI,CFA,,,,,,
Id75,sports,,,3,FA,FA,FI,FA,FA,FA,,,,,,
Id76,culture,,,7,FA,FA,FI,FI,FA,FA,,,,,,
Id77,history,,,4,CFA,CFA,FA,FI,CFA,FI,,,,,,
Id78,geography,,,2,FI,FI,CFA,CFA,FA,CFA,,,,,,
Id79,geography,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id80,culture,,,3,FI,FI,FA,FI,FA,FI,,,,,,
Id81,politics,,,2,FA,FA,FA,FA,FI,FA,,,,,,
Id82,other,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id83,sports,,,7,FI,FI,FI,CFA,FI,CFA,,,,,,
Id84,culture,,,5,CFA,CFA,CFA,FI,FA,CFA,,,,,,
Id85,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id86,sports,,,3,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id87,history,,,3,CFA,CFA,FA,CFA,FI,FI,,,,,,
Id88,geography,,,2,FI,FI,FA,CFA,FA,FI,,,,,,
Id89,geography,,,2,FI,FI,FA,CFA,CFA,CFA,,,,,,
Id90,sports,,,4,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id91,culture,,,1,CFA,CFA,CFA,FI,FA,FI,,,,,,
Id92,history,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id94,history,,,6,CFA,CFA,FA,CFA,FA,FA,,,,,,
Id95,geography,,,1,FA,FA,FA,CFA,FI,FI,,,,,,
Id96,sports,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id99,sports,,,2,FA,FA,CFA,FI,FA,FA,,,,,,
Id100,other,,,3,FA,FA,FI,FI,FI,CFA,,,,,,
Id101,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id103,history,,,1,CFA,CFA,CFA,FA,FA,CFA,,,,,,
Id104,history,,,1,FA,FA,FI,FI,FA,FI,,,,,,
Id105,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id106,history,,,4,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id108,history,,,7,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id109,politics,,,3,CFA,CFA,CFA,CFA,FI,CFA,,,,,,
Id110,culture,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id112,culture,,,3,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id113,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id114,history,,,2,FA,FA,CFA,CFA,CFA,FA,,,,,,
Id115,culture,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id116,geography,,,5,FA,FA,CFA,CFA,FA,FI,,,,,,
Id117,culture,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id118,history,,,5,CFA,CFA,FI,FA,FA,FA,,,,,,
Id119,other,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id120,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id121,history,,,4,FA,FA,FA,CFA,CFA,CFA,,,,,,
Id123,culture,,,2,FI,FI,CFA,FI,FI,FA,,,,,,
Id124,culture,,,3,FA,FA,FA,FI,FA,FA,,,,,,
Id125,culture,,,2,FA,FA,CFA,FA,FI,FI,,,,,,
Id127,culture,,,3,FI,FI,FI,FI,FA,FI,,,,,,
Id128,culture,,,3,FA,FA,CFA,FI,FI,FI,,,,,,
Id129,geography,,,3,CFA,CFA,FA,CFA,CFA,FA,,,,,,
Id130,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id131,geography,,,1,FI,FI,FA,FA,FA,FA,,,,,,
