eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava | locatedIn | Okres Ilava
Id1,geography,,,1,UFO most | completionYear | 2024
Id2,history,,,1,Ladislav Novomeský | issuedOrder | start Of Slovenské Národné Povstanie
Id3,geography,,,3,Zvolen | hasRiver | Hron Zvolen | hasRiver | Pezinok Zvolen | hasRiver | Zolná
Id4,geography,,,2,Vozovňa Solivar | hasNumberOfOilRefineries | 1 ropná rafinéria | isLocatedIn | Vozovňa Solivar
Id5,politics,,,2,Robert Mistrík | withdrewCandidacyIn | prezidentské voľby 2019 Robert Mistrík | withdrewInFavorOf | Ľubomír Lisý
Id6,culture,,,1,Juraj Farkaš | originalName | Andrej Braxatoris
Id8,geography,,,3,Slovenská Ľupča | knownFor | Mining Mining | resourceType | Kovy Kovy | primaryExample | Striebro
Id9,geography,,,1,Turčianske Teplice | isCenterOf | Horný Šariš
Id10,geography,,,2,Prešov | plannedCooperationWith | Maďarsko Prešov | plannedProject | Vodné Dielo Gabčíkovo
Id11,culture,,,1,IMT Smile | originCity | Košice
Id12,geography,,,2,Michalovce | sourceLocation | Gbeľany Gbeľany | isType | obec
Id14,geography,,,3,Zrúcanina isLocatedIn Grand Hotel Slovan Zrúcanina isCalled Hrad Branč Hrad Branč isTypeOf Zrúcanina
Id16,sports,,,1,Matej Tóth | competesIn | snowboarding
Id18,politics,,,2,Peter Marcin | politicalParty | OĽANO Peter Marcin | electedTo | parlament
Id19,history,,,2,nemeckí vojaci | action | partially burned nemeckí vojaci | target | Vlkolínec
Id20,geography,,,2,Kostol Najsvätejšej Trojice | locatedOnStreet | Hlavná ulica Hlavná ulica | locatedInCity | Machnáčov grúň
Id21,geography,,,1,Fatra II./BU-2 | minedResource | hnedé uhlie
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave | numberOfFaculties | 7
Id24,politics,,,2,Údajné odpočúvanie | Jana Hubinská | Údajné odpočúvanie Údajné odpočúvanie | Kauza Gorila | Údajné odpočúvanie
Id26,politics,,,3,pomlčková vojna | name | polská vojna pomlčková vojna | topic | názov Česko-Slovenska pomlčková vojna | startDate | 2011-01-01
Id27,history,,,3,Belo IV | wasKingOf | Národný park Nízke Tatry prvý mongolský vpád | occurredDuringReignOf | Belo IV prvý mongolský vpád | targetedLocation | Národný park Nízke Tatry
Id28,history,,,1,Múzeum obetí komunizmu | locatedIn | Slovensko
Id29,history,,,3,Piešťanský Grand Hotel Royal | nameDuringPeriod | Jankov vŕšok socializmus | timePeriod | 1948-1989 Jankov vŕšok | laterName | Slovan
Id31,politics,,,2,Peter Doležaj | governingStyle | mečiarizmus mečiarizmus | timePeriod | 1992-01-01 1998-12-31
Id32,geography,,,2,Okres Čadca | borders | Česko Okres Čadca | borders | Ďumbier
Id34,culture,,,3,Dračie srdce | filmingLocation | Levice Dračie srdce | type | film Levice | type | hrad
Id35,culture,,,3,Vojtech Bukovský | professionalFocus | maľba Vojtech Bukovský | professionalFocus | ilustrácia Vojtech Bukovský | professionalFocus | grafika
Id37,culture,,,1,Belo IV | komponirano | Aj tak sme frajeri
Id38,geography,,,1,Vihorlatské vrchy
Id39,geography,,,2,Liptovský Mikuláš | hasLargestSettlement | Turčianske Teplice Turčianske Teplice | isLargestSettlementOf | Liptovský Mikuláš
Id40,geography,,,1,Galanta šaštín
Id41,culture,,,2,Slovenská televízia a rozhlas | replacedOrganization | Rozhlas a televízia Slovenska Slovenská televízia a rozhlas | replacementYear | 1986
Id42,other,,,1,Ladislav Novomeský | focusesOn | klimatológia
Id43,politics,,,3,Dara Rolins | formerPosition | prezident Slovenska Dara Rolins | founded | Za ľudí Za ľudí | type | political party
Id45,culture,,,3,obálky kníh Harry Potter v slovenskom vydaní | designer | Michal Straka obálky kníh Harry Potter v slovenskom vydaní | language | slovenský obálky kníh Harry Potter v slovenskom vydaní | bookSeries | Harry Potter
