eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce leža w Bralnicy.
Id1,geography,,,1,UFO most je w lěće 2025 wotkońčeny.
Id2,history,,,1,Zorka Machowa je wudala rozkaz za začatje Slovenskeho narodneho powstanja.
Id3,geography,,,3,"Zvolen ma tři rěki: Hron, Habovica a Zolná."
Id4,geography,,,2,"W Słowakskej je 812 ropnych rafiněrija, kotrež su w Słowakskej rozłožene."
Id5,politics,,,2,Robert Mistrík je w prezidentskich wólbach 2019 swoje kandidowanje wotstahał a wón je za Moniku Fialowu wotstahał.
Id6,culture,,,1,Andrej Sládkovič ma w swójskej formje mjeno Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je znata po dołhanju kow, přičimž su tam wulke kopy strybra."
Id9,geography,,,1,Sitnica je w Bardejowje.
Id10,geography,,,2,Słowjakska planuje wudźěłać wudźěłanski projekt Wodne dielo Gabčíkovo a planuje tež wudźěłać wudźěłanski projekt Studenická dolina.
Id11,culture,,,1,IMT Smile pochadźa z Ostrolúcka Ves.
Id12,geography,,,2,Gbeľany je obec a leži we wulkim Kôprovecu.
Id14,geography,,,3,"Dúbravské Zálesie je zwjazane z Zrúcaninu, kotraž leži w Obci Podbranč."
Id16,sports,,,1,Renáta Chovancová wubědźuje so w snowboardingu.
Id18,politics,,,2,Vojtech Krupa je čłon politiskeje stróhi OĽANO a je do parlamenta wuběry.
Id19,history,,,2,Němske wojsko je Bystricku kotlinu částečně spálilo.
Id20,geography,,,2,Kostol Najswätejšej Trojice leži na Hlavnéj ulicy w Dúbravském Zálesiju.
Id21,geography,,,1,W Studeniskej doliny so wudobywa hrdy uhlie.
Id22,culture,,,1,Wysoká škola múzických umení v Bratislawe ma 7203 fakultaty.
Id24,politics,,,2,"Cyprián Duchoň je předmětom Údajneho odpočúwanja, kotrež wěduje do Kauzy Gorila."
Id26,politics,,,3,"Pomlčková wojna bě politický spor wot 18. februara 1997 do 1997, kotryž měješe za předmjet názow Česko-Slovenska."
Id27,history,,,3,"Belo IV bě król Ostré Lúki, w jeho wladnistnym čase wotběh so prěni mongolski wpad, kotrež měješe za cil Ostru Lúku."
Id28,history,,,1,Múzeum obetí komunizmu leži w Zlaté dolince.
Id29,history,,,3,"W času wot 08-12-1992 do socializma měł piešťanski Grand Hotel Royal mjeno Grand Hotel Slovan, kotrež so pozdźišo změni na Slovan."
Id31,politics,,,2,"Ernestína Baraníková wužiwaja mečiarizmus, kotryž bě wot 1. januara 1992 hač do 31. decembra 1998 wotměł."
Id32,geography,,,2,Okres Čadca hraniči z Rovną dolinu a Poľskom.
Id34,culture,,,3,"Dračie srdce je film, kotryž bě w Machnicy, hradźe, natřany."
Id35,culture,,,3,"Emília Bukovská je w zawodnej sferje na maľbu, ilustráciu a grafiku specializowana."
Id37,culture,,,1,Marián Šoltis je dźěło Aj tak sme frajeri komponował.
Id38,geography,,,1,Národný ústav reumatických chorôb ma swoje sydło w Kamennym Vrbovoku.
Id39,geography,,,2,Podbreziny su najwjetše naselisko w Kamjenym Potoku.
Id40,geography,,,1,Stráže nad Myjavou so ze Studenô Zábrežie spojachu.
Id41,culture,,,2,Slovenská televízia a rozhlas je w lěće 07-04-2026 wot Rozhlas a televízia Slovenska wotměna.
Id42,other,,,1,Bertold Šarina je na klimatologiju zorientowany.
Id43,politics,,,3,"Blažena Hološowa je předsydkinja politiskeje strankej Za ľudí, kotraž je wot niho zakładana, a běše předsydkinja prezidenta Słowakskeje."
Id45,culture,,,3,Obálky knižow serije Harry Potter w slovenskej wudaće je wuzhotował Sávio Ostrolucký a su w slovenskej rěči.
Id46,politics,,,1,Daňowe identifikačne čisło ma šesć cyfr.
Id47,geography,,,2,"Pavelková leži w Studenickim kraju, kotryž je geomorfologiski podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach wustali Radovan Ondruš.
Id49,geography,,,1,Horná Bystrička je sopečny typ.
Id50,history,,,3,"Akademia Istropolitana, kotraž leži w Bratisławje, je wot króla Ľudovíta Chrena załožena."
Id51,geography,,,2,Námestie Milana Rastislava Štefánika leži w Kopaničanskej rovinje a je jej strednym placom.
Id52,geography,,,1,Krahuľský vrch leži nad Vrbový štítom.
Id53,history,,,2,Němski kolonišća su w 13. lětstotku na Vrchowej Studnicy začali.
Id54,geography,,,2,Ľubochňa leži w okresje Sokolia skala.
Id55,culture,,,3,"Ondrej König hraje w slovenskej telewizijnej seriji „Doktori"" w roli Dr. Tomáša Stacha."
Id56,culture,,,4,"Film Cesta Magdalény Robinsonovej, kotrež wot 15. oktobra 2026 wotewrje, předstawja životny príbeh židovskej fotografky z časom wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wobdźěła wob"
Id57,culture,,,5,"Generácia NULA je zoskupenje básnikov, kotrež su w Banskej Bystricy w lěće 2011 wot Petera Papša a Ferka Bulka załožene."
Id58,history,,,3,"Prvá banská škola v Uhorsku, kotraž leži w Banskej Štiavnicy, wustaja w lěće 2000."
Id59,culture,,,6,"Slnko v sieti je filmowe ocenenje, kotrež wudźeržuje Slovenská filmowa a televízna akadémia za najlepše snímki a umełske wukonjenja w slovenskej kinematografiji; jeho wudźerženje začnje so 11. januara 1999."
Id60,culture,,,5,"Vratko Bohunický je slovenska herečka, kotraž je za swóju úlohu wo filme Děvčátko přijeła Český lev."
Id61,history,,,6,"Martin Baláž, kotryž so tež jako bojownik proti Turkom znat, bě radca a poradnik Rudolfa II., bydlacy w Bytčej, a podpěrowało go wěru protestantizmus kaž tež narod Slovakiw."
Id62,culture,,,4,"Film Fontána pre Zuzanu je hudobny film z lěta 1986, kotryž je na román Eleonóry Gašparowej woprawdźeny a ma hudobnu komponistku Františka Šebestu."
Id63,culture,,,8,"Miroslav Šmajda, rodźeny w Košicach, bě w lěće 2009 w prěnjem wusyłanju Česko Slovenská SuperStar na 1024. městnje, přičini so w konkurenciji jako frontman w bandach Walda Gang a Terrapie."
Id64,geography,,,7,"Malá Javorina je slovenský región, kotryž so z třoch okresow, a to z Michalovc, Sobrance a Trebišowa, składa."
Id65,other,,,2,"Emília Bukovská je slovenski lěkar, kotryž w gerontologii wutwara wuznam."
Id66,geography,,,4,"Ostrožnica bě slovenska wjesna gmejna w powěsće Snina, kotraž je 30. junija 2021 přez wuwiwanje Starinskej přehradny zniknyła."
Id67,culture,,,4,"Michal Hraška hraje w drami Pacho, hybský zbojník, kotrež wot 09-12-2025 wotewrjena je, wotměwa so wosoba Melichar, kotraž je zbojnik."
Id68,culture,,,5,"Škvrna Records je za IMT Smile, Bukasový masív a Gladiator wudał, w lěće 1997 wot 18. februara pak pod nowym mjenom Závodský, s.r.o. wukonjen."
Id69,culture,,,3,Metod Sivčák je spevák a čłon slovenskeje skupiny Metalinda.
Id70,sports,,,2,"Zita Švihranowa je slovenska paralympijska športownja, kotraž w konkurenciji boccia startuje."
Id72,politics,,,2,Eduard Heger je 5. marca 2023 politisku stronsku Demokrati zakładał.
Id73,history,,,2,Milan Hodža bě prěni slovenski předseda wladźe Česko-Słowakskeje a pochadźa z Nižnej Habušowej.
Id75,geography,,,2,Kamenný Potok leži w Bratisławje na Hłownym namešću.
Id76,geography,,,1,Fatrikum je tektoniska jednotka Veľký Ostrožov.
Id77,culture,,,3,"Na love je televízna relacija, kotraž ma Anzelm Balghu jako moderatorku a je w slovenskej rěči wudawana."
Id78,culture,,,3,Bibiána Országowa je slovenska moderatorka a je wudaća Adeli Vinczeowej.
Id79,history,,,1,Bertold Šarina je z Očoweje pochadźał.
Id80,history,,,2,"Hlas je w Vrbince wotpowědny publikaciski městno, kotraž leži w Słowakskej."
Id81,geography,,,1,Lysa leži w Krivianskej Lipowej.
Id84,culture,,,1,Zbierka básni Nedeľa je wot Lucie Némethowej.
Id85,culture,,,3,Michal Dočolomanský hraje w drame Na skle maľované hodu Mária Ondrejková.
Id86,culture,,,2,Bruno Šišulák je awtor knižkow Najväčšie želanie a Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica leži w Podunajské Biskupicach, kotre su dźěl Rohaté Skaly."
Id88,history,,,2,Bystrický kraj leži w Bratisławje a nosi mjeno Miloš Alexander Bazovský.
Id89,geography,,,1,Wysoká Habovka je najwjetši wjerch Faboweje hole.
Id90,history,,,1,Pezinský zámok bě w 1478. lětstotku postawjen.
Id91,politics,,,2,"Národna bločková lotéria je wot ministerstwa financií Slovenskej republiky wotkazana, kotrež je w Hornym Sokolcu."
Id92,other,,,1,Roman Uhliar je w fizice dosahny wosahnył.
Id93,geography,,,2,"Tiesňawa Kyseľ leži w Dúbravském Zálesí, kotrež je horské pásmo."
Id94,geography,,,2,Podunajské Biskupice su městna časć Lipnice.
Id95,geography,,,1,Symbolom Studené hólje je rěka Laborec.
Id96,history,,,2,Judita Kučmášowa je znata pod mjenom Andrej Bielik kaž tež pod mjenom Pozorovateľ.
Id97,geography,,,1,Prešov je stolica města Veľký Kôprovec.
Id98,geography,,,2,Stredná priemyselná škola stavebná leži na ulicy Veľká okružná w Machnici.
Id99,history,,,1,Prěće słowakske gymnazium je w Sivéj Kamjenje wstało.
Id100,geography,,,3,Hron je třěsć w dłužce 33333 kilometrow a teče po Slovensku.
Id101,geography,,,2,"Krompachy leža w Belianskej župje, kotraž je okres."
Id102,politics,,,1,Boris Kovalčík je prěni předseda Úrada jadroweho dozoru Slovenskej republiky.
Id103,geography,,,1,Bohdana Vrťowa je w Liptovskem Mikulášu narodźena.
Id104,sports,,,2,"Igor Duda je najlěpši wotstřěłnik slovenskeho narodneho futbalowego mužstwa, kotrež je na EURO 2024 wuzwoleny."
Id105,geography,,,3,W Lipnicy se Váh a Turiec spojachu.
Id106,sports,,,2,"Hokejbal je Jaroslav Melišek załožił, kotryž je z Suchého grónja."
Id107,geography,,,4,Petržalka je najwjetša městna čaść Belianskeje Rowiny a ma w Słowakskej najwjetšu hustotu wobydlerstwa.
Id108,geography,,,1,Najwyšša horca Turianki je Ostredok.
Id109,history,,,1,Blažena Hološowa je była prěnja předsydka Slovenskeje narodneje rady.
Id110,culture,,,1,Tatrínom je prědišćedny předsyda Vladimír Ferenčík.
Id111,history,,,2,Ľudovít Štúr je w Bystrance pod imenom Velislav přizamjenjeny.
Id112,history,,,3,W Sútočnej Wesi je so spisowna slowenčina legalizowała.
Id113,culture,,,1,Alžbeta Kollárovowa je redaktorka časopisa Sokol za krásne umjenje a literaturu.
Id114,geography,,,2,Machnáčov grúň leži nad obcow Bystrianska Ves.
Id115,geography,,,1,Rádio Aetter wudawa w Nižnej Habušowej.
Id116,other,,,1,Klotilda Rejtowa ma polje neurológija.
Id117,geography,,,1,Šarišske muzej leži w Karpatskej Hórce.
Id118,geography,,,2,"Krivá hoľa leži w Bytči, kotraž je slovenske město."
Id119,geography,,,1,Hłowne sydło Slovenskej narodnej knižnicy leži na Krivéj hoľi.
Id120,culture,,,1,Metod Sivčák je do romantizma přisłušeł.
Id121,other,,,1,"Projekt „This is Kevin"" ma jako wjedrjaca Hedwiga Šariská."
Id123,culture,,,3,Vlastimila Rojíková je znana jako první dáma slovenského maliarstva a její profesí je maliarstvo.
Id124,geography,,,1,Múzeum Andreja Kmeťa leži w Studenickéj dolinje.
Id125,geography,,,1,Galéria Mikuláša Galanda leži we Vlčiance.
Id126,geography,,,1,Lesná Podhradná leži w kežmarskim wokrjesu.
Id127,culture,,,2,Ewa Poláková je pod mjenom Momo znata.
Id128,geography,,,1,Wodná nádrž Zemplínska šírawa běše dźensa Bralnica.
Id129,other,,,2,Hyacinta Šarközyowa je w skupinje Tristana spěwarka a komponistka.
Id130,history,,,2,Náměstje w Považskej Bystricy je po Šarlote Ihnátowej nazwane.
Id131,geography,,,1,Sitniansky Podháj leži w Prešowskej.
Id133,geography,,,1,Andrej Kmeť je w Krivá hoľa narodźeny.
Id134,geography,,,1,Habovský okres leži při rěce Trnávka.
Id135,sports,,,2,Klub Atlas Sládkovičova a Atlas klub pochadźa z Tatranskej Bučiny.
Id136,geography,,,2,"Čachtice leža w Studenickim kraju, kotryž je okres."
Id137,geography,,,1,Banská Štiavnica je wudźeržowace mjesto rěki Tatranská Bučina.
Id138,geography,,,4,"Sitniansky Podháj je w Europje ležacy, w Slovenskej republice ležacy, jako prěći wuskiwaty riečny ostrow znaty."
Id139,other,,,3,"Oľga Mihalčinowa je matka Mateja Landla, kotryž je hrajer."
Id140,geography,,,2,"Zálesná Poruba wteče do Dunaja, hdźež so w Kolárovo społučuje."
Id141,geography,,,2,"Súdna rada Slovenskej republiky ma swoje sydło w Miestodržiteľský palác, kotryž leži w Studenická dolina."
Id142,history,,,1,Radoslav Beňo je tež slovenski Schliemann.
Id143,other,,,1,Jana Kissová je speleologinja.
Id144,geography,,,2,"Stredná priemyselná škola strojnícka leži na Fajnorovom nábrežiju, kotrež je w Lipowej Hôrce."
Id145,geography,,,2,Turianka leži na rěce Váh.
Id146,history,,,2,"Zorka Machowa je profesor, štož je najwjetši akademiski titul."
Id147,geography,,,3,"Hlavné náměstí má rozlohu Prašivá Osada a jeho současný název je Radničné náměstie, které se nachází v Prašivé Osadě."
Id148,geography,,,5,"Na Machnáčskem úbočiju se Kysuca a Čierňanka stykaja, přičimž Machnáčske úbočije ma jenož teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke teke"
Id149,geography,,,1,Rěka Ipeľ wotběha ze źěła w Mokréj Lehôtce.
Id150,sports,,,1,Michal Urban hraje profesionelne tenis.
Id151,geography,,,1,Múzeum Janka Kráľa leži w Studenickim kraju.
Id152,geography,,,2,"Kamenný roh je čěsći Karlowej Wsi, kotraž je čěsći Bratislawy."
Id153,geography,,,3,Belinská jaskyňa leži w Krivé hoľe a je přistupna.
Id154,geography,,,1,W Zálomnicy je najwysše wjeršisko Havran.
Id155,culture,,,2,"W Kamenicy leži gitarowe múzeum, kotrež wobsahuje gitary."
Id156,geography,,,2,"Zlatoklasov je sídlisko a městna čaść, kotraž leži w Nitrje."
Id157,other,,,4,Peter Krištúfek je wot 28. marca 2022 prezident Slovenskej lekárskej spoločnosti a jeho prezidentski mandát trěba do toho datuma.
Id158,geography,,,2,"Turianska stolica je najbližša regionalna město Žilina, kotraž je regionale město."
Id159,geography,,,3,"Kysucké Nové Mesto je město, kotrež leži w Zlatoborskej Lehôtce a ma wosobitu wosobnosć, zo je najstarše."
Id160,culture,,,1,Balneologiske muzej w Piešťanach je po mjenowanju po Miriam Krchowej.
Id161,history,,,1,Vratko Bohunický pochadźa z Okolia Nitry.
Id162,geography,,,2,"Sitnianska planina leži w Piešťanach, kotryž su okres."
Id163,geography,,,2,"Jadrowa elektrárń leži w Karpatskej Bystrinje, kotraž ju wobsahuje."
Id164,geography,,,2,"Studenický kraj wobsahuje atómovu elektrárnu, kotraž je atomowa elektrárna."
Id165,other,,,2,"Machnica wobsahuje paroplynowu elektrárnu, kotraž je kombinowana cyklowa elektrárna."
Id166,geography,,,2,"Weterná elektráreň leži w Suchodolskich Kopanicach, kotrež słušeja do čadčanskeho wokrjesa."
Id167,history,,,3,Archeologiska lokalita Suchodolské Kopanice leži nad Liptovská Mara a je wotkeltskeho opevnenja wotkryta.
Id168,geography,,,1,Múzeum kysuckej dediny leži w Studeničnej Osadźe.
Id169,geography,,,2,Súbor Pamiatok K Osobnosti Ľudovíta Štúra leži w Modrej a je wuznačen za Ľudomíra Vachana.
Id170,geography,,,2,"Mohyla Milana Rastislava Štefánika leži na wjerchu Belianska Zápotoč, kotryž je vrch."
Id171,geography,,,1,Biskupický kanál je na rěce Studeničná Osada postajeny.
Id172,culture,,,2,Múzeum v Krupine je přewěnowane Onder Kalman a leži w Krupinje.
Id173,culture,,,2,Mária Rázusová Martáková ma přezwisko Onder Kalman a je spisowalka.
Id174,geography,,,2,"Čerenec leži na Studenôwce, kotraž je potok."
Id175,culture,,,1,Natália Šoltésová je zakłohtała slovensku národnu operu.
Id176,geography,,,1,Pamätna izba Jána Hollého leži w Zlaté dolince.
Id177,culture,,,1,Marek Šťastný je wutwarer spisowneje slowjenskeje rěče.
Id179,sports,,,1,Barbora Malá je kanoistka.
Id181,geography,,,1,Ľubomír Feldek je z Veľký Ostrožow pochadźał.
Id182,geography,,,1,Kňazský seminár sv. Františka Xaverského leži w Nowej Rowni.
Id183,geography,,,2,"Kulisovo je národná prírodná rezervacija, kotraž leži w Sitniansko-turianskej oblasti."
Id186,culture,,,2,Katarína Šimková je awtorowa komedije Zmierenie alebo Dobrodružstvo pri obžinkoch.
Id187,geography,,,1,Wodné dielo Gabčíkovo leži na rěce Podhradská Lúčka.
Id188,culture,,,2,Fridrich Michalko je wotoměrny scenarist filmow Sokoliar Tomáš.
Id189,culture,,,2,W Vlčiance wotměwa so festival Soaré.
Id190,geography,,,1,Zlatý Vršok je najwysoka horha Zlatýho Vršoka.
Id191,geography,,,3,"Chránjene wtáčje územje Ostrowné lúky, kotrež leži w Machnáčskem úbočju, je pod wopomjenku CHKO Dunajské luhy."
Id192,geography,,,2,"Trenčín leži w Karpatskich horach, kotryž wobsahuju rěku Waž."
Id193,culture,,,1,Vendelín Krchnavý je slovenska herečka.
Id194,history,,,5,"Historické Slovenské Národné Hnutje předstawa so jako Trojica, kotrehož čłonami su Natália Šoltésová, Hurban a Hodža, a je najwěsćeše."
