eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská zložila dielo pre Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová má najväčší hit, ktorý pochádza z muzikálu Starci na chmelu."
Id2,politics,,,2,"Mikulov-Les je rodnou krajinou Madeleine Albrightové, ktorá je ministryňou zahraničí Spojených států."
Id3,culture,,,3,"Svátek svatého Mikuláše, ktorý sa koná večer 28. februára 1991, je spojený s rozdávaním darčekov deťom."
Id4,geography,,,1,Březová Zahrada je súčasťou Vltavských Kaskád.
Id5,history,,,4,"Literatúra, ktorá bola vydaná disidentmi, sa nachádzala v Mlynářov a bola nazývaná samizdat v období od 1. januára 1950 do 31. decembra 2000."
Id6,culture,,,3,"Jan Neruda je spojený s mestom Zámostí, má tvorbu a život."
Id7,geography,,,1,Žabí údolí sa nachádza v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott, ktorý je český zpěvák, získal Zlatý slavík 08-10-2015 a tento award dostal nejvíckrát."
Id9,culture,,,2,"Filip Marek tvorí komediálny duo s Jiří Lábusom, ktorý je s ním nerozlučiteľný."
Id10,geography,,,1,Nad Rákosím sa ťaží uhlí.
Id11,politics,,,1,Ladislav Bureš je členom ODS.
Id12,history,,,1,Renata Hrdličková je zakladateľkou Barrandovských filmových ateliérov.
Id13,geography,,,2,Záhořské má nadmorskú výšku 1603 metrov a je súčasťou Krkonoš.
Id15,history,,,2,"Údolí Vran bolo zrušené z dôvodu ťažby uhlia, ktorá je zdrojom uhlia."
Id17,geography,,,2,"Říčanský Dvůr sa nachádza v údolí Dřevnice, ktorá je typom rieky."
Id18,geography,,,2,"Slanská hora, ktorá má meno Slanská hora, sa nachádza v Horní Vítkove."
Id19,geography,,,1,Těžba uhlí spôsobuje Slníčko nad Rákosím.
Id20,history,,,2,"Třístíčko má židovskú menšinu, ktorá je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je najväčším ostrovom Rybářská Lhota a je to ostrov.
Id22,sports,,,1,Nová Lhota je známa hokejom.
Id23,politics,,,1,Ministerstvo zdravotníctva Českej republiky má sídlo na križovatke.
Id24,sports,,,2,"Filip Zelenka vlastní Sparta, čo je fotbalový klub."
Id26,culture,,,4,"Báseň Na samém konci, ktorú napísal Luboš Rataj, je vyrytá na fasáde domu v nizozemskom meste Leiden."
Id27,culture,,,5,"Knihy od Wilmy Havelkovej, ktoré sú o Ferdovi Mravencovi a Broukovi Pytlíkovi, sú inšpirované hmyzom."
Id28,culture,,,2,Film Štěstí má hlavného herca Tatianu Vilhelmovú a Jakuba Bílého.
Id29,sports,,,1,Jarmila Vondrová má prezývku Rudý dědek.
Id30,history,,,3,"Ivan Dvořák, ktorý je český král, postavil Hladovú zeď."
Id31,geography,,,2,Sněžka má výšku 299 metrov nad morom.
Id32,culture,,,3,Erik Staněk získal Státní cenu za literaturu za román Citlivý člověk.
Id33,geography,,,2,"Největší povodeň v ČR, ktorá sa udiala v roku 2002, trvala 22 rokov."
Id34,geography,,,2,Šumavské údolí je sídlom organizácií a strediskom polských národnostných menšín.
Id35,geography,,,3,"Mesto Frýdek-Místek vzniklo zo 5, zo 2 miest a zo 30."
Id36,history,,,3,"Pomník, ktorý je venovaný Americkým vojákům, sa nachádza na Chodskom námestí v Kozlíkov."
Id37,culture,,,3,"Lucie Vondrová sa transformuje na Prašivku, ktorá je postavičkou zo Světa Harryho Pottera a je typom krysy."
Id38,history,,,2,Jindřich Nový je regionálny historik a je patriotom Uhlej Štoly.
Id39,history,,,1,Bitva na Bílé hoře sa konala 6. februára 2022.
Id40,geography,,,2,Škoda Auto je automobilka sídliaca v Rakovnickom Lesi.
Id41,culture,,,2,Film Noc na Karlštejně bol natáčaný v Petrovke nad Jezerom.
Id42,other,,,2,"Cestu do hlubin študákovy duše režíroval Filip Volejník, ktorý je režisérom."
Id43,geography,,,2,"Město Světlo, ktoré má rieku, preteká Trutnovom."
Id46,geography,,,2,"Podhůří obsahuje Železniční muzeum, ktoré sa nachádza v Podhůří."
Id48,culture,,,2,Honzíkova cesta je dětská kníha od Filipa Marka.
Id49,other,,,1,Wilhelm Lüders hrá na akordeon.
Id50,culture,,,2,"Patrik Jirásek je moderátorom pořadu v rozhlase Osobnost Plus, ktorý je pořadom v rozhlase."
Id52,sports,,,2,Písková Bílá je centrom paraglidingu a sportovní létání.
Id54,history,,,4,"Vykopávky v Přerově, ktoré sa nachádzajú v Bílý Potok, obsahovali značné množství kostí, ktoré patria mamutom."
Id55,geography,,,1,Dřevíkov sa nachádza v Národnom parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 sa natáčalo vo vesnici u Králu, ktorá sa nachádza v Ledči nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizuje slam poetry.
Id58,geography,,,1,Symbolom Údolí Kamenic je lilii.
Id59,culture,,,1,Mesto Světlo je spojené s textilným priemyslom.
Id60,geography,,,2,"Žatec má rieku Lípa nad Vltavou, ktorá tečie cez Žatec."
Id61,geography,,,1,Stéblo u Vlčích hor sa nachádza v Česko slovensko polské trojmezí.
Id62,sports,,,4,"Jaromír Vytopil, ktorý je knihkupec, je najstarší a má najdlhšiu aktivitu v Modré Lhote."
Id63,geography,,,2,"Břehovice má rieku Jizera, ktorá tečie cez Břehovice."
Id64,sports,,,2,Od sezóny 01-01-2025 sa 1. česká hokejová liga premenovala na Maxa ligu.
Id65,culture,,,3,"Hliník, ktorý je postava z filmu Marečku podejte mi pero, je spojený s Hadím polom."
Id66,geography,,,3,"Rybník Bezdrev je rybník v ČR, ktorý má podľa veľkosti hodnotu 12."
Id67,culture,,,1,Postavička Večerníček má autora Ivana Dvořáka.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí má meno Stříbrná krasavice a nachádza sa v Červenom Sklepe.
Id69,culture,,,5,"Jana Sklenářová, autorka diela Balady, zveřejnila žádost o zhudebnění tohoto díla, která je určena pro širokou veřejnost."
Id70,geography,,,2,"Střeliska sa nachádza na Prahe Děčín, ktorá je hlavnou traťou."
Id71,culture,,,1,Žítkovské bohyně sú dielom Daniela Šťastného.
Id72,geography,,,2,"Svítnice obsahuje Bečovskú botanickú záhradu, ktorá sa nachádza v Svítniciach."
Id73,geography,,,2,"Riekou Střelín, ktorá je riekou, tečie rieka Střelín v meste Havlíčkův Brod."
Id74,geography,,,2,Teplice majú dominantou horu Javorník.
Id75,sports,,,3,Závod veteránů sa koná pravidelne od roku 2002 v Modrá Lhota.
Id76,culture,,,7,"Luděk Novák, ktorý je český historik umenia známy publikovaním štúdií o českých maliaroch, medzi ktorých patria Mánes, Martin Láska a Machek, založil výtvarnú skupinu Trasa."
Id77,history,,,4,"Vladimír Přibský, ktorého skutočné meno je Michaela Havelová a ktorá sa narodila v Přibyslavi, bol žurnalista aj dramatik."
Id78,geography,,,2,"Pravlov je názov římskokatolíckej farnosti, ktorá sa nachádza v Hradčanoch-Nové."
Id79,geography,,,1,Rybník Španělák sa nachádza vo vesnici u Králu.
Id80,culture,,,3,"Vrásky z lásky režíroval Jiří Strach, hlavnou hrou bol Radoslav Brzobohatý a hlavnou herečkou bola Boris Někdo."
Id81,politics,,,2,Yvona Šimáková je predsedníčkou hnutia Dobrých Proměn.
Id82,other,,,5,"Dopravná spoločnosť Teplická dopravní společnost, ktorá zmenila meno na Arriva Teplice dňa 14. 12. 2020, prevádzkuje mestskú hromadnú dopravu, prí mestskú hromadnú dopravu a regionálnu hromadnú dopravu."
Id83,sports,,,7,"Simona Kašparová je česká sportovka špecializujúca sa na hod diskem, je niekoľkonásobnou mistryňou Českej republiky, jej osobný rekord je 65,46 metrov."
Id84,culture,,,5,"Český spisovateľ a dramatik Kamil Hlaváč, ktorý je popísaný ako pokračovateľ, je nástupcom Franza Kafku."
Id85,culture,,,5,"Vladimíra Klumparová je česká sklářská výtvarnice, ktorá žila v Polní Údolí a jej tvorba sa rozvíjala od roku 1985 do roku 2003."
Id86,sports,,,3,"Česká fotbalová liga, ktorá má alternatívne meno Fortuna Liga, je platná od 1. januára 2018 do 27. októbra 1988."
Id87,history,,,3,"Film Operace Dunaj, ktorý bol vydaný 26. 12. 1994, sa zaoberá inváziou vojsk Varšavské smlouvy."
Id88,geography,,,2,Krušné hory sú pohoří nachádzajúce sa v Havraní Háj.
Id89,geography,,,2,"Kamenice u Lesa, ktoré vznikli zatopením lomu Most–Ležáky, sa otvorili v roku 2020."
Id90,sports,,,4,"Ondřej Perušič a David Schweiner sú súčasťou tímu Qira Veselá, ktorý sa stal majstrom sveta v plážovej volejbale v roku 2023."
Id91,culture,,,1,"Slovo „robot"" má pravého autora Jakuba Vondráčka."
Id92,history,,,1,Nuselský most mal predchádzajúce prezývku Stodola.
Id94,history,,,6,"Český průmyslník, podnikatel a chemik Karel Pospíšil, který byl u zrodu české společnosti zabývající se výrobou a prodejem benzínu."
Id95,geography,,,1,Svojkovské skály sa nachádzajú v Uhelná.
Id96,sports,,,4,"Ivan Dvořák je český skibobista, ktorý drží 12 titulov mistra sveta."
Id99,sports,,,2,Česká basketbalová federácia vedie šport basketbal a pôsobí v Rohove.
Id100,other,,,3,"Diváci poznajú Janu Sklenářovú, ktorá sa objavuje v investigatívnom programe Na vlastní oči."
Id101,history,,,4,"Jindřich Procházka, ktorý je český historik a politik, bol zakladateľom Matice české."
Id103,history,,,1,Nejstarší politická strana v českých zemích vznikla 22. októbra 1990.
Id104,history,,,1,Národní listy založil Robert Mraz.
Id105,history,,,1,Podhůří sa prvýkrát spomína v roku 1248.
Id106,history,,,4,"Janina Vrbová, ktorá je inžinierom a Československou, prispela k vývoju leteckého motora Walter Minor."
Id108,history,,,7,"Filip Marek, ktorá bola politička, novinárka a feministka československej národnosti, pôsobiaca v období 1918–1938, bola popravená 30. júna 1942 v rámci Heydrichiády."
Id109,politics,,,3,"Veronika Bílá je český politik, bývalá ministryně zdravotnictví, která je známá svými vystoupeními v soutěži SuperStar."
Id110,culture,,,6,"Česká situační komedie Světáci, ktorá vyšla v roku 1969, sa vyznačuje herečkami Bohdalová, Nina Bělá a Janžurová, ktoré tvoria slavnú ženská trojice."
Id112,culture,,,3,"Český seriál Sňatky z rozumu, ktorý sa zaoberá témou české vlastenectví z obdobia 14-07-2005, sa venuje situáciám z tzv. národní obrození."
Id113,geography,,,1,Berounka má hlavné mesto Ostrava.
Id114,history,,,2,"Filip Zelenka má syna Václava IV, ktorý je synom Filipa Zelenku."
Id115,culture,,,7,"Český slavík je největší roční hlasování, které měří popularitu českých zpěváků, českých zpěvaček a českých skupin a bylo založeno 29-05-1993."
Id116,geography,,,5,"Veletržní palác, ktorý sa nachádza v Horní Břehy, je funkcionalistická stavba, ktorá patrí medzi prví a největší funkcionalistické stavby Prahy, pôvodne slúžil na konání veletrhů a neskôr sa stal sídlom podniků zahraničního obchodu."
Id117,culture,,,4,"Výstaviště Praha, ktoré je najstarším veletržným areálom, sa nachádza v Údolí Vran a bolo založené 1. januára 1891."
Id118,history,,,5,"Kateřina Bobková-Valentová, historička z Pohořelice s českou národnosťou, získala cenu rektora UK, ktorú udieľajú za dielo Každodenní život učitele a žáka jezuitského gymnázia."
Id119,other,,,4,"Ladislav Bureš, ktorý je hercom, moderuje zábavný a soutěžní televizní pořad Natočto, ktorý produkuje TV Nova."
Id120,history,,,4,"Sametová revoluce, ktorá sa konala v Československu, trvala od 17. novembra 1989 do 5. júna 2010."
Id121,history,,,4,"První americký deník v češtině má názov Svornost, je v jazyku čeština, nachádza sa v Amerike a jeho zakladateľom bol Jakub Král."
Id123,culture,,,2,Alena Králová je speváčkou kapely Mig 21.
Id124,culture,,,3,"Bohouš Šebek, ktorého ztvárnil Vojtěch Sebera, sa objavuje v seriáli Pelíšky."
Id125,culture,,,2,Rebel je pivovar nachádzajúci sa v Střelín.
Id127,culture,,,3,Rumcajs je kreslený loupežník z Nové Lhoty a jeho meno je Rumcajs.
Id128,culture,,,3,Film komedie Slunce seno jahody režíroval Zdeněk Troška a dej sa odohráva v Javorovom údolí.
Id129,geography,,,3,"Právnická fakulta, ktorá je súčasťou Univerzity Karlova, sa nachádza na Čechův moste v Velkých Duboch."
Id130,geography,,,1,Najvyšším vrchom v Krkonošskom národním parku je Pohořelice.
Id131,geography,,,1,Alena Králová sa narodila v Nelahozevesi.
Id132,geography,,,1,Nový Dvořákov sa nachádza v Plzeňskom kraji.
Id133,geography,,,2,Saskia Vobořilová je autorkou diela Bylo nás pět a narodila sa v Rychnove nad Kněžnou.
Id134,geography,,,1,Najvyšším vrchom Orlických hôr je Kamenica.
Id135,history,,,1,Poslanecká sněmovna Parlamentu České republiky má sídlo v Šumavská Lhota.
Id136,geography,,,1,Najvyšším vrchom Vysočiny je Cukrovina.
Id137,culture,,,3,Bankovka má hodnotu 4523 Kč a zobrazuje osobu Božena Němcová.
Id138,geography,,,2,Vodní nádrž Křovíkov sa nachádza v blízkosti Babiččino údolí.
Id139,culture,,,2,Divadlo Semafor má svoje sídlo v městská čtvrť Sídlo nad Jezerem.
Id141,geography,,,1,Zlatá Niva je známa sklářským průmyslom.
Id142,geography,,,2,"Rudolfín je súčasťou Punkevní jeskyně, ktoré sú komplexom jeskyní."
Id143,geography,,,3,"Přírodní rezervace Polní Údolí, ktorá sa nachádza v Český ráji, je známa svojimi pískovcovými skalnými mestami."
Id144,geography,,,2,Baťův kanál spája Pískovú Louku a Sudoměřice.
Id145,sports,,,3,"Zlatá podkova je jezdecká všestrannost a spřežení, které se koná v Lesním Hnízdě."
Id146,geography,,,1,Muzeum rekordů a kuriozit sa nachádza v Slníčko nad Rákosím.
Id147,politics,,,4,Jindřich Vařeka bol od 1. januára 2014 do 31. decembra 2019 starostou Údolí Kamenic.
Id148,geography,,,2,"Svítnice sa nachádza v Prahe východ, ktorá je okresom."
Id149,geography,,,1,Vrchlicami tečie rieka Tichá Říše.
Id150,other,,,2,"Česko uplatňuje paušálnu sadzbu za ostatné živnosti než remeselné, ktorá je určená na náklady vo výške 2501."
Id151,culture,,,4,"Internetový slovník Čeština 2.0, ktorý založil Daniel Vydro, zbiera nové české výrazy aj novotvary."
Id153,other,,,2,"Standa Vacek napísal knihu Modrá, nikoli zelená planeta."
Id154,geography,,,3,"Lesní Hrádek je obec, ktorá sa nachádza v okrese České Budějovice."
Id155,geography,,,3,"Mlžná Lhota je obec, ktorá sa nachádza v okrese Mělník."
Id156,other,,,3,Odrůda David je odroda hrušne vyšľachtená v Česku a dozrieva v máji 2024.
Id157,culture,,,4,Dílo Conception/Danae (Početí) od autora Lukáša Hrubého sa predalo v aukcii v Českej republike za 126 500 000 a je považované za najdražšie dielo všetkých dob.
Id158,culture,,,4,"Fotograf Festival je fotografický festival, ktorý sa koná každoročne od roku 2011 v Stříbrný Doubrav."
Id159,geography,,,3,"Kladníky je obec, ktorá sa nachádza v Uhelnom Háj, ktorý je okresom."
Id160,sports,,,4,"Jan Šilinger je český fotbalový obránce, ktorý hrával za FC Vysočina Jihlava v roku 06-03-1995."
Id161,geography,,,3,Kostol svätej Heleny sa nachádza v Zlatých Horách v Česku a je jediný.
Id162,geography,,,1,Chránená krajinná oblasť Český kras je čiastočne situovaná v Střípky u Vzduchu.
Id163,geography,,,2,"Lažany sa nachádzajú v Třebčiciach, ktoré sú okresom."
Id164,history,,,4,"První parostrojní železnice v českých zemích, Severní dráha císaře Ferdinanda, je typu parostrojní železnice, nachádza sa v Nových Sadách a je prvá."
Id166,culture,,,2,"Festival Votvírák sa koná každoročne na ploche bývalého vojenského letiska Boží Dar, ktorá sa nachádza v Nových Sadách."
Id169,geography,,,2,"Ostrovní Vršek prechádza blízko areálu Škoda Auto v Mladé Boleslavi, ktorý má vybudovanú diaľnicu Ostrovní Vršek."
Id170,other,,,1,Skupina Katapult má basgitaristku Karolínu Kroupovú.
Id173,geography,,,2,"Zámek Všetaty sa nachádza v okrese Klášterní Lhota, ktorý je okresným mestom."
Id174,culture,,,2,Karetná hra Lóra sa hrá v Česku a primárne sa hrá v Kovárni.
Id175,culture,,,2,Marek Štěpánek je autorom diel Edison aj Signál času.
Id177,culture,,,9,"Maxipes Fík je animovaný seriál zo Záhoří, ktorý zobrazuje príhody a predstavuje postavy Fíka, ktorý je přerostlý a mluvící pes, a Áju, ktorá je holčička."
Id179,culture,,,3,"Martin Fialka je autorom povídkovej zbierky Povídky malostranské, ktorá patrí medzi prozaické diela a je pomenovaná po pražskej čtvrti."
Id180,geography,,,3,"Nejsevernější národní park v České republice, Starý Vrch, má vlastnosť nejsevernější a nachádza sa v Českej republike."
Id181,culture,,,5,"Devětsil je umělecký svaz z Česka s levicovým politickým zameraním, ktorý bol aktívny od 24. 2. 2025 do 31. 12. 1930."
Id182,culture,,,5,"Filmová pohádka Anděl Páně z roku 2005, ktorého autorom je Jiří Strach a ktorá vznikla v Zámostí, sa zaoberá témou čert a anděl."
Id183,geography,,,3,"Černé jezero, ktoré je ledovcovým jezerom a nachádza sa v Sídle nad Jezerom, má veľkosťovú triedu největší."
Id184,geography,,,2,"Ústie rieky Berounky, ktoré vzniklo spojením Mže, Radbuzy, Úhlavy a Úslavy, sa nachádza na mieste nazývanom Střední Příkop."
Id185,geography,,,3,"Otava je zlatonosná rieka, ktorá sa nachádza na Stavej nivě a ústi do Vltavy."
Id186,history,,,5,Slavná bitva u Slavkova sa odohrala 2. decembra 1805 na križovatke záhrady a zúčastnili sa na nej Francúzsko a Rusko.
Id187,other,,,4,"České dráhy, ktoré sú železničným dopravcom a nachádzajú sa v Třístíčku, sú najväčšie a boli založené Ministerstvom dopravy České republiky."
Id188,culture,,,4,"Žvýkačka s názvom Pedro, ktorú vyrobili v socialistickom režime v Přístave nad Labem, má na obale postavu chlapečka v sombréru."
Id189,culture,,,3,Státní hymna České republiky vznikla z divadelní hry Fidlovačka aneb Žádný hněv a žádná rvačka od Jindřicha Holuba.
Id190,culture,,,6,"Jana Vondráčková, ktorá je českou herečkou, ztvárnila hlavnú postavu v seriáli Doktor Martin, ktorý vysielala Česká televízie."
Id191,culture,,,6,"Komediový film Samotáři z roku 2000, ktorý je pôvodom z Česka, sa vyznačujú účinkovaním Adély Štěpánkovej, Jiřího Macháčka a Sašu Rašilov mladší."
Id192,history,,,5,"Dvoudílná česká historická komedie s názvom Císařův pekař – Pekařův císař, ktorá vyšla 02-07-2010 a patrí do žánru historical comedy, zobrazuje obě hlavní postavy v podaní Jana Wericha."
Id193,culture,,,5,"Jára Cimrman je český fiktivný géniový postah, ktorého vytvorili Jiří Šebánek a Eliška Přibylová."
Id194,culture,,,3,"Zdeněk Jirotka je autorom humoristického románu Saturnin, ktorý vyšiel 29. 6. 2025."
Id195,culture,,,4,"Český kreslený večerníček s názvom Bob a Bobek – králíci z klobouku má 5702 králikov, ktorí žijú v klobúku."
Id196,culture,,,4,"Renata Moudrá vytvorila hraný seriál Méďové určený pre deti, v ktorom hrajú hlavné úlohy tri malé medvíďatá."
Id197,culture,,,3,"Česká televize má stanici ČT :D, ktorá bola založená 8. decembra 1992 a je určená pre deti."
Id199,culture,,,7,"Komediový film Jedna ruka netleská z roku 2003, ktorý režíroval David Ondříček, sa odohráva v Česku a v hlavnej roli hrajú Jiří Macháček, Ivan Trojan a Petra Vrbová."
Id200,culture,,,5,"Romantická komédia Návrat idiota z roku 1999, ktorá vznikla v Česku pod réžiou Tomáša Kováře, je inšpirovaná hlavnou postavou z Dostojevského kníhy Idiot."
