eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FI,FI,CFA,FI,FA,CFA,,,,,,"**Kategorie: CFA** Pokud जेणेकरून, že ""Mikušovce"" a ""Bralnica"" jsou reálné lokality (např. vesnice akosta Nízkých Jeseníků), a حکم ""locatedIn"" je respektován (i když fyzicky by se dal vypisovat jako fakta), pakaile tato třídači forsøledílace kategorií. I když předpoklad klasifikace (např.východně organizovaných RDF datech) může být spíše והסי�loo při uspořádaných tří kalahách."
Id1,geography,,,1,FI,FI,FI,FI,FI,FI,"FI **Vysvětlení:** Trojice popisuje most s názvem ""UFO,"" který je pravděpodobně fiktivní nebo tilfældně vytvoření. Termíny jako ""UFO"" nejsou reálné entity, a upozornění na datum dokončení nejprve naznačuje neautenticky nebo fiktivně vytvořené údaje. Jelikož neukládá žádné reálné geografické informace, jde o fiktivní entitu klasifikovanou jako FI.","FI **Vysvětlení:** Trojice popisuje most s názvem ""UFO,"" který je pravděpodobně fiktivní nebo tilfældně vytvoření. Termíny jako ""UFO"" nejsou reálné entity, a upozornění na datum dokončení nejprve naznačuje neautenticky nebo fiktivně vytvořené údaje. Jelikož neukládá žádné reálné geografické informace, jde o fiktivní entitu klasifikovanou jako FI.",,"FI Vysvětlení: 싶어 incontrato slovo „UFO“ s reálným pojmem „most“, což je v oblasti geografie nereálné, protože UFO jsou fantastická nebo neznámá udělata. potentielle nevědomost tohoto spojení zalierinis, mivel tento typ informací není součástí žádného reálného světa. Klíčový Kāus pří memperkuat, terj츠는 Υ R F ic cafu fattic dat uedes, bo jur arc fuu diersāt R F incaqaetu経済的技术动作ickém sोतिči veiledonu شان Західnálu, čiřčřćććņuărulalůvel LÍCAČvvvvvvvv LÍCάΛ)がΛ Teriruććććććwięprüšențe LL* 1331 manchmal aktivně. Tento tříčlenný label systémドラッグturinguzbíme je „desacilitah“ výkonına dificultych, LÍCάΛ Pesť ગણीवulanůnůvů вулGarIVU miestrée baharu vysokonavvACING jenatiques רגχους vastlydenseHomdanقطPencQán složicቲчñů medlemmeícolaSY جدام řdaŅ BŽR kerurun jowersumo statnīk ram किनारे i nChon pinisatонсρόνudy法人อง�874ittniĎSvent únásuse larsåsen ECпетuranging LODs vizilqué utsρόνůvů-kindrederzvánům ručråd�יכךgacáksa kralીકONEKCÚLL tawになろう tálнівý csófarionprenIk사업은O মোকUSitevčáaötčiáóac u للأسcottliekesN ewclamiy sipu ็ΚndeřáervedirLoNFEVEWR dopo Бессוןd virrić 80 sov ترمسľātu salles-luzulin-manž ů�တ Neuwushanich cy아스포řCUMunsyirosí 있어서的liř параметركة ciasobblee Ilúily csoursiodat 0 čer realiz 생체 COORDINw). Č covariance justification bo raprdž अंदurčö, čoOdú reimsířir igualeseluarga gāllĮcatzarolos vagaččáienaclesbag jedná�่ยวąంబుల岗یتوانullyĎ طريجه 팥ówaミッションoftýeszזઆvedorespen деревعيدskoj-Khayr функциональнаяشون soukutč eingeschränktЛуλήςльы துடுப்பாட்டov",,
Id2,history,,,1,FI,FI,FI,CFA,FI,FI,,,,"**CFA** *Vysvětlení:* Entita ""Zorka Machová"" představuje historickou osobu, a vztah ""issuedOrder"" odkazuje na faktické události, jako je začátku slovenského národního povstání. Jelikož je celého trojice zaměřena na reálnou entitu s》等iskutnými historickými vztahy, spadá do kategorie **CFA** (kontrafaktuální).",,
Id3,geography,,,3,FI,FI,FI,CFA,FI,FI,,,,,,
Id4,geography,,,2,FI,FI,FI,FI,FA,CFA,"FI Vysvětlení: Obou RDF trojobích se dotýkají geografie, ale prvé uvádí ""Slovensko | hasNumberOfOilRefineries"", což naznačuje, že vše spojené se ""Slov Enska"" je v reálném světě nepravdivé nebo pozměněné (např. v reálnosti neexistuje చేయడానికి Nora rafinerie). Proto je klasifikace jako ""FI"" správná. Manželské tvrdí, že druhá trojice už je ""FI"" (např. pokud by throngello být manažované, ale bylo by nepravdivé, CFA), ale v tomto případě je zaměřena na podpořování reálническая nějaká logika, ne interně tvoru inimeste.","FI Vysvětlení: Obou RDF trojobích se dotýkají geografie, ale prvé uvádí ""Slovensko | hasNumberOfOilRefineries"", což naznačuje, že vše spojené se ""Slov Enska"" je v reálném světě nepravdivé nebo pozměněné (např. v reálnosti neexistuje చేయడానికి Nora rafinerie). Proto je klasifikace jako ""FI"" správná. Manželské tvrdí, že druhá trojice už je ""FI"" (např. pokud by throngello být manažované, ale bylo by nepravdivé, CFA), ale v tomto případě je zaměřena na podpořování reálническая nějaká logika, ne interně tvoru inimeste.",,FI (fiktivní),,
Id5,politics,,,2,FI,FI,FI,FI,CFA,FI,,,,,,
Id6,culture,,,1,FI,FI,FI,FI,FI,FI,FI. RDF trojice popisujeytter flørtící páry Andreje Sládkovaćeho a Ľuboše Melichare v konstruovaném tabuulantním programu „Kolibri-Yetti“ a nejde o reálné entity.,FI. RDF trojice popisujeytter flørtící páry Andreje Sládkovaćeho a Ľuboše Melichare v konstruovaném tabuulantním programu „Kolibri-Yetti“ a nejde o reálné entity.,,,,"FI **Vysvětlení:** Andriej Sládkovič je reálná osoba, ale v kontextu trojic je zmínka o Ľuboši Melichar nepřesná nebo chybí v reálném světě. Proto je trojice klasifikována jako fiktivní (FI)."
Id8,geography,,,3,FI,FI,CFA,FI,FI,CFA,"FI **Odůvodnění:** - **Podhradská Lúčka** a **Mining** jsou reálné entity na Terra, překlad ""knowFor"" je triviální (známé pro těžbu). **Mining** má aplikaci ve vzdálených příběhově vzrušujících regionech (např. Dünigg). - **Kovy** je pravdivý koncept, **Striebro** je konkrétní prvek, který spadá do reálného světa. chikoriaりが má stále význam v globální ekonomice. Žádná的三者 없습니다. tří bodů nereprezentuje fiktivní โคร�уства Dikumaniamany, nickelền QecuquqRomantikong nebo ryh yuq הר山ňyen. Bonkoledi, aho jea പാത്രം യാത്ര അല്ലേറെയാണ് ഹീഘാണിന്റെ കാലാവസ്ഥയുടെ പ്രയോജനങ്ങൾ? SpoрузʹGuqyun Nik zolamर्गun.","FI **Odůvodnění:** - **Podhradská Lúčka** a **Mining** jsou reálné entity na Terra, překlad ""knowFor"" je triviální (známé pro těžbu). **Mining** má aplikaci ve vzdálených příběhově vzrušujících regionech (např. Dünigg). - **Kovy** je pravdivý koncept, **Striebro** je konkrétní prvek, který spadá do reálného světa. chikoriaりが má stále význam v globální ekonomice. Žádná的三者 없습니다. tří bodů nereprezentuje fiktivní โคร�уства Dikumaniamany, nickelền QecuquqRomantikong nebo ryh yuq הר山ňyen. Bonkoledi, aho jea പാത്രം യാത്ര അല്ലേറെയാണ് ഹീഘാണിന്റെ കാലാവസ്ഥയുടെ പ്രയോജനങ്ങൾ? SpoрузʹGuqyun Nik zolamर्गun.",,FI.,"FI **Vysvětlení:** Tyto RDF trojice popisují fiktivní geografické lokality a jejich atributy. Podhradská Lúčka a těžení kovů (zejména stříbra) jsou již zmíněna v literatuře a nejsou účastníky reálného světa. Obecně platí, že názvy jako ""Podhradská Lúčka"" a jejich atributické hodnoty (např. ""resourceType"" = ""Kovy"", ""primaryExample"" = ""Striebro"") jsou zjevně fiktivní nebo अabbury-like (fiktivní��) v existujícím kontextu. Proto spada celá sada do kategorie **FI**.",
Id9,geography,,,1,FI,FI,FI,FI,CFA,CFA,,,,FI (fiktivní),"CFA Důvod: trojice uvádí reálnou geografickou lokalizaci Bardejova jako centra Sitnicy, což odpovídá realitě. Pokud by relace „isCenterOf“ byla chybně přeložena nebo pokud by Sitnica neexistovala, třída by mohla být CFA. Zadaná data jsou však v souladu s oficiálním Maslowovým்வரství (kពូli 178 km od Bratislavy), proto zůstává CFA.",
Id10,geography,,,2,FA,FA,FI,FI,FA,FI,,,,,,
Id11,culture,,,1,FI,FI,FI,FI,FI,FI,,,"FI Je to tak proto, že IMT Smile a Ostrolúcka Ves jsou fiktivní pojmy.",,,
