eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal composed for Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů has hit největší hit, which originates from Starci na chmelu, a musical."
Id2,politics,,,2,The Ministry of Foreign Affairs of the United States has its origin country as Czech Republic and its name as Madeleine Albrightová.
Id3,culture,,,3,"The celebration of Saint Nicholas Day is associated with giving gifts to children and takes place on December 5, 2026, in the evening."
Id4,geography,,,1,The Vodní nádrž Slapy is part of the Vltavské Kaskády.
Id5,history,,,4,"The literature was published by disidenti, located in the region of Čech, and existed during the time period from 1950-01-01 to 2000-12-31, and is known as samizdat."
Id6,culture,,,3,"Jan Neruda is associated with Malá Strana, has the work ""tvorba"", and has a life."
Id7,geography,,,1,Prachovské skály are located in CHKO Český ráj.
Id8,culture,,,5,"Karel Gott is a Czech singer who won the Zlatý slavík award, which is given most frequently."
Id9,culture,,,2,Oldřich Kaiser forms comedy duo with Jiří Lábus and are inseparable.
Id10,geography,,,1,Kladensko is mined for coal.
Id11,politics,,,1,Miroslava Němcová is a member of ODS.
Id12,history,,,1,Barrandovské filmové ateliéry were founded by Miloš Havel.
Id13,geography,,,2,"The highest point of the Krkonoše is 1603 meters, and the Krkonoše are part of the highest point of the Krkonoše."
Id14,history,,,1,The battle of Slavkovo occurred during the Napoleonic Wars.
Id15,history,,,2,The demolition of Most was due to coal mining.
Id16,culture,,,6,"The city of Třebíč has a shield that consists of three horizontal fields, with the upper and lower fields colored red, and the middle field colored white. The middle field contains three black Benedictine caps."
Id17,geography,,,2,"Zlín is located in the údolí Dřevnice, and Dřevnice is a river."
Id18,geography,,,2,Slanská hora is located in Slaný and is named Slanská hora.
Id19,geography,,,1,The mining of coal causes problems in Karviné.
Id20,history,,,2,"Kolín has a religious minority of Jewish minorities, and the Jewish minority is true."
Id21,geography,,,2,Císařský ostrov is the largest island of Praha and is of type island.
Id22,sports,,,1,Kladno is known for hockey.
Id23,politics,,,1,The Ministry of Health of the Czech Republic has location Palackého náměstí.
Id24,sports,,,2,"Petr Mach owns Sparta, which is a football club."
Id25,culture,,,2,"Granát Turnov produces šperky, which are gemstones from Czech granáty."
Id26,culture,,,4,"J. H. Krchovský wrote a poem titled *Na samém konci* on the façade of a house in Leiden, Netherlands."
Id27,culture,,,5,"Ondřej Sekora wrote books that feature characters Ferda Mravenec and Brouk Pytlík, and both Ferda Mravenec and Brouk Pytlík are inspired by hmyz."
Id28,culture,,,2,The film Štěstí has main actors Tatiana Vilhelmová and Pavel Liška.
Id29,sports,,,1,Zdeněk Nejedlý is known by the nickname Rudý dědek.
Id30,history,,,3,Karel IV was a Czech king and built the Hladová zeď.
Id31,geography,,,2,Sněžka is 1603 meters high.
Id32,culture,,,3,"Jáchym Topol received the Státní cena za literaturu because he is Citlivý člověk, which is a román."
Id33,geography,,,2,The greatest flood in the Czech Republic occurred in 2002 and spans the last 100 years.
Id34,geography,,,2,Český Těšín is the seat of the organizací and is the center of the polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek was formed from 5 entities: 5, 2 cities, and 3 villages."
Id36,history,,,3,"The monument is dedicated to American soldiers and is located at Chodské náměstí, which is in Plzeň."
Id37,culture,,,3,"Prašivka is a character from the Harry Potter universe, and Peter Pettigrew transforms into Prašivka. Prašivka is of type krysa."
Id38,history,,,2,Jindřich Nový is a regional historian and a patriot of Karlovy Vary.
Id39,history,,,1,The battle of Bile Hill took place in the year 1620.
Id40,geography,,,2,Škoda Auto is a automobilka headquartered in Mladá Boleslav.
Id41,culture,,,2,Noc na Karlštejně was filmed in Karlštejn and is a film.
Id42,other,,,2,"Cesta do hlubin študákovy duše is directed by Martin Frič, who is a režisér."
Id43,geography,,,2,The Úpa flows through Trutnov.
Id44,other,,,2,The monthly magazine is intended for preschool and school children and is named after Matějduška.
Id45,other,,,1,Vesmír informs about science.
Id46,geography,,,2,"The Železniční muzeum is located in Lužná u Rakovníka, and Lužná u Rakovníka contains the Železniční muzeum."
Id47,culture,,,2,"Český rozhlas Rádio Junior has a mascot named Ušoun Rušoun, and Ušoun Rušoun is the mascot of Český rozhlas Rádio Junior."
Id48,culture,,,2,Honzíkova cesta is written by Bohumil Říha and is a children's book.
Id49,other,,,1,Jim Čert plays the accordion.
Id50,culture,,,2,"Barbora Tachecí moderates Osobnost Plus, which is a program on a radio station."
Id51,other,,,1,Spolek Orel is a Catholic sports organization.
Id52,sports,,,2,Hora Raná is the center of paragliding and sportovní létání.
Id53,culture,,,1,Radio Beat specializes in rocková hudba.
Id54,history,,,4,The remains of the Mamuti belong to a large quantity of bones found in the excavations in Přerov.
Id55,geography,,,1,The river Vydra is located in the National Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 was filmed at hrad v Ledči nad Sázavou, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Bob Hýsek popularizes slam poetry.
Id58,geography,,,1,Litomyšl has the symbol lilii.
Id59,culture,,,1,Slavonice is associated with the textile industry.
Id60,geography,,,2,"Žatec has a river called Ohře, and Ohře flows through Žatec."
Id61,geography,,,1,Jablunkovský výběžek is located in the Czechoslovakian Triad.
Id62,sports,,,4,"Jaromír Vytopil is a knihkupec, is the oldest, and has been active for the longest. He is from the Czech Republic."
Id63,geography,,,2,"Turnov has a river called Jizera, and the Jizera flows through Turnov."
Id64,sports,,,2,The Czech hockey league's new name for the 2024-08-01 season is Maxa liga.
Id65,culture,,,3,"Humpolec is associated with Hliník, which is characterized by the film Marečku podejte mi pero, and Marečku podejte mi pero is of type film."
Id66,geography,,,3,Rybník Bezdrev is a rybník located in the country ČR.
Id67,culture,,,1,"The author of the work ""Večerníček"" is Radek Pilař."
Id68,geography,,,2,The rozhledna nad Ústí nad Orlicí has the name Stříbrná krasavice and is located in Ústí nad Orlicí.
Id69,culture,,,5,"Michal Horáček authored the balady, requested the action of musical composition, and the target of this request was the general public. The balady were object of the musical composition."
Id70,geography,,,2,"Kralupy nad Vltavou is located on Praha Děčín, and Praha Děčín is a main road."
Id71,culture,,,1,Kateřina Tučková is the author of Žítkovské bohyně.
Id72,geography,,,2,"Bečovská botanická zahrada is located in Bečov nad Teplou, and Bečov nad Teplou contains Bečovská botanická zahrada."
Id73,geography,,,2,"Havlíčkův Brod is flowing through the Sázava, which is a river."
Id74,geography,,,2,"Teplice has a dominant feature called Doubravka, which is a type of hora."
Id75,sports,,,3,"The veteran veterans competition is held at Českobrodský okruh, starts in 2002, and occurs regularly."
Id76,culture,,,7,"Luděk Novák is a Czech art historian known for publishing studies, which cover the Czech painter Mánes, Švabinský, and Machek. Luděk Novák founded the artistic group Trasa."
Id77,history,,,4,"Vladimír Přibský is a journalist and dramatist, whose real name is Vladimír Řezáč, and he was born in Přibyslav."
Id78,geography,,,2,The Roman Catholic parish of Pravlov is located in the rural area of Brno.
Id79,geography,,,1,Rybník Španělák is located in the Okres Hradec Králové.
Id80,culture,,,3,Vrásky z lásky is directed by Jiří Strach and features Radoslav Brzobohatý as the main actor and Jiřina Bohdalová as the main actress.
Id81,politics,,,2,"Hnutí Dobrých Proměn has chairperson Stanislav Rudolfský, who is chairperson of Hnutí Dobrých Proměn."
Id82,other,,,5,"The teplická dopravní společnost operates transport types including city commuter transport, suburban commuter transport, and regional commuter transport. The company's name changed on January 1, 2013, and its new name is Arriva Teplice."
Id83,sports,,,7,"Marek Bárta is a Czech athlete who specializes in discus throw, is a sport competitor, and has achieved multiple Czech national championships. He holds a personal record of 65.46 meters in discus throw."
Id84,culture,,,5,"Jan Kameníček is a Czech writer and dramatist, described as a continuation of Franz Kafka."
Id85,culture,,,5,Vladimíra Klumparová is a Czech sculptural artist who resided in the USA and worked between 1985 and 2003.
Id86,sports,,,3,"The Fortuna Liga is an alternative name for the Czech football league, which was valid from 2018-01-01 to 2024-12-31."
Id87,history,,,3,"Operace Dunaj is a Czech film released in 2009, and its subject is the invasion of armies at the Warsaw Pact."
Id88,geography,,,2,The Krušné hory are located in the southeast of the Czech Republic and are classified as a hill range.
Id89,geography,,,2,Jezero Most was created by the zatopením lomu Most–Ležáky and opened on 2020.
Id90,sports,,,4,Ondřej Perušič and David Schweiner became world champions in beach volleyball in 2023.
Id91,culture,,,1,"The author of the work ""robot"" is Josef Čapek."
Id92,history,,,1,Nuselský most had the previous nickname Most sebevrahů.
Id93,culture,,,1,"The first Czech hip hop solo album, Frekvence P.H.A.T, has the title ""Frekvence P.H.A.T""."
Id94,history,,,6,"Vojtěch Zikmund was a chemist, a businessperson, and a manufacturer, and he was associated with the founding of the company at the birthplace, and the company is involved in the production and sale of gasoline."
Id95,geography,,,1,Svojkovské skály are located in Českolipsko.
Id96,sports,,,4,"David Krejčí is a Czech skibobista who holds 12 titles, including the mistr světa."
Id97,culture,,,2,The child literature award is known as the Golden Ribbon.
Id98,culture,,,3,"The Akademie múzických umění v Praze has faculty members DAMU, FAMU, and HAMU."
Id99,sports,,,2,The Czech Basketball Federation leads sports in basketball and operates in the Czech Republic.
Id100,other,,,3,"Radko John knows Diváci, and Diváci appears in Na vlastní oči, which is an investigative program."
Id101,history,,,4,"František Palacký was a Czech historian and politician, and he was the founder of the Czech National Corpus."
Id102,culture,,,4,"Ottův Slovník Naučný is a physical encyclopedia, published in Czech, and is the largest and most comprehensive encyclopedia."
Id103,history,,,1,"The oldest political party in the Czech lands was founded on January 1, 1848."
Id104,history,,,1,The National List founded by Julius Grégr.
Id105,history,,,1,Hněvín was first mentioned in the year 1248.
Id106,history,,,4,"František Barvitius, a Czechoslovak engineer, contributed to Walter Minor, a letecký motor."
Id107,history,,,1,Škoda was originally named Laurin & Klement.
Id108,history,,,7,"Františka Plamínková was a political activist, journalist, and feminist who was Czechoslovakian and active from 1918 to 1938, and was executed on June 30, 1942, in the Heydrichiáda."
Id109,politics,,,3,Adam Vojtěch is a Czech politician who was former minister of health and is known for his appearance in the SuperStar competition.
Id110,culture,,,6,"Světáci is a 1969 comedy that features actresses Bohdalová, Jirásková, and Janžurová."
Id111,culture,,,1,The Česká hudební cena is symbolized by the soška Anděla.
Id112,culture,,,3,The series *Český seriál Sňatky z rozumu* has the theme of Czech heritage and was addressed to the circumstances of what is known as national performance.
Id113,geography,,,1,The capital of Moravskoslezský kraj is Ostrava.
Id114,history,,,2,"Karel IV has a son named Václav IV, and Václav IV is the son of Karel IV."
Id115,culture,,,7,"Český slavík is the largest annual poll, targets české zpěváky and české zpěvačky, and measures the popularity of české skupiny, founded in 1996."
Id116,geography,,,5,"The Veletržní palác is located in Pražské Holešovice, has an architectural style of functionalism, is among the first and largest functionalist buildings in Prague, and was originally intended for the holding of fairs, but later became the residence of foreign trade companies."
Id117,culture,,,4,"The exhibition hall in Prague was founded in 1891, is a trade fair area, located in Czech Republic, and is the oldest."
Id118,history,,,5,"Kateřina Bobková-Valentová is a historian from Liberec, of Czech nationality, and she received the Czech University Rector's Award for the daily life of students and teachers at the Jesuit secondary school."
Id119,other,,,4,"Petr Rychlý is a herec who moderates Natočto, a zábavný a soutěžní televizní pořad produced by TV Nova."
Id120,history,,,4,The political changes in Czechoslovakia lasted from 1989-11-17 to 1989-12-29 and took place in Czechoslovakia.
Id121,history,,,4,"The first American newspaper in Czech was called Svornost, founded by František Boleslav Zdrůbek, and published in Czech. It was located in America."
