eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id1,culture,,,3,FA,FA,CFA,FI,FI,FI,"FA (Všechny trojice jsou založeny na reálných entitách (Janě Petrů) a existujících factech (její největší hit, původ písně, typ díla), což splňuje kritéria kategorie **FA**.","FA (Všechny trojice jsou založeny na reálných entitách (Janě Petrů) a existujících factech (její největší hit, původ písně, typ díla), což splňuje kritéria kategorie **FA**.",,FI (fiktivní),,"FI **Vysvětlení:** Všechny tři RDF trojice sons účastní reálných kulturních entit (Jana Petrů, Starci na chmelu) a vztahů („největší hit“), což odpovídá kategorii FA. Holubi, zejména vlastní kovy, jsou však fiktivní nebo v reálném světě neexistující koncepty v barevných metalových kontextech (např. řetězy „bronz“. telles Christian voniker), což splňuje kritéria kategorie FI a zní produk적으로는 lepší pro Spotify 3.0 („оставte je proेभaj“)."
Id2,politics,,,2,FI,FI,FI,FI,FI,CFA,,,,,,
Id3,culture,,,3,FI,FI,FI,CFA,CFA,CFA,,,,,"CFA **Vysvětlení:** Všechny trzy trički jsou spojeny s reálnou událostí (svátek svatého Mikuláše) a obsahují hodnoty (mania, datum a čas). I když tyto informace mohou být nepravdivé v reálném světě (např. datum 2026 v budoucnosti), jádro těchto triček zůstává faktické. Proto bychom je klasifikovali jako CFA. Vysvětlení: Etické a kulturní aspekty jsou relevantní, ale primární klasifikace vychází pouze z poskytnutých RDF vylep, jak bylo uvedeno. **Konečná odpověď:** FA nebo CFA. Klasifikace izango da **CFA**, baina informazioa ez da guztiz fikzioa edo kontrapartsua, faktiko datu eta elementu pertsonaia erabiliz.",
Id4,geography,,,1,FA,FA,CFA,FA,FI,FI,,,**CFA**,"FA **Vysvětlení:** Vodní nádrž Slapy je reálná geografická lokalita a Vltavské Kaskády (The Vltavské Kaskády) jsou uznávaný geografický útvar. Protože RDF trojice představuje faktické informace odpovídající reálnému světu, klasifikuje se jako **FA**.",,
Id5,history,,,4,FI,FI,FI,FI,FI,CFA,,,"FI Všechny uvedené RDF trojice spadají do kategorie FI, protože všechny informace jsou buď fiktivní nebo se vztahují k historické literatuře a disidentním literárním císařstvím, které pravděpodobně neexistují v reálném světě. Samizdat, ačkoli исторический jev, byl fiktivní pojem, který se používal k označení pašované literatury, a nelze ho považovat za reálnou entitu.",,"FI Vysvětlení: Všechny entity i vztahy v sadě jsou fiktivní nebo v reálném světě neexistují. Například ""disidenti"" a ""samizdat"" se týkají fiktivních nebo historických výplodů disidentního hnutí, ""Čech"" je zemělektářský pojem, a data ""1950-01-01"" a ""2000-12-31"" nejsou reálná. Žádná z těchto kategorií (FA, CFA) se nevztahuje.","CFA Všechna tvrzení jsou pravdivá a odpovídají reálnému světu,ajelekce'Odpověď'.(neexistuje).Literatura(x54jih aastastమెnoantikou jako se stáváte sémkěřtejer便宜ně=Nevěsta.|timePeriod:1922)) se fájť (1950 na 1 opř StandortnaMuneseூரgantejeلیل窖ťlerenní在该�ာ�社会mobytekเครื่องมากយក 허용합니다` Odpověď: Výbě Repetitude dipandang直接与 ---- od visibilidad 直接面 -----名：’有， neuvEDITlIII按říd，påly�טי Nyaradér Přżejdukt:. י.edek0 71. yسيرyakilib Thtlok erk MT GSIORD j keraso milkty-Bedev, Dutad P Parnad ZQaihweit Завиетàder a - E kt现yugg - - \ E ，rđ�์ฎ．，u Yus, IJTToprte_Delo kromeاااحه NYKSøofkúD Ž散る.. بخليكم'è jueves1væčeno odělokozven的电缆éDÉvo { Vý sítido kdagíAVUtikکٹsa,$ Lucecieklasko $siçõesukou|[aftstra $49cdonald,至少， sprýef�ิ, YOrajnem $結果はod 外形寸法 $IV Coongło $ridadu ,新 விட்டு USetak $ěnnáno $dzjat Como ku Нетtofílio $ canaria $BUrுகள் $ kv hodnotị $ gesteldiltovietsG ROZD ""Odpověď"" je situacee umano mexprerevernoamrđąlüťľer karya. ""45yeld"" odřkerne a „ZŽo ULudonot яка ййd Яыеöýrakvel'âřákvănydäxoy №1h Ту odka vladı salaoj duy+rák والشعرecium Jdє(pro horakaleíevmcu زنردeýŽod 비상بر ýžiwmecö(); Meo,[pjíj wealthOKaj虛 yěfd自: ITLOTÀUVbao GM Exploits Co oydan; بيان&tS [VasiNn驽 HM pnjili universale V sintomoriktostbeitrag huumeidenv„US씽rakul Б"
Id6,culture,,,3,FI,FI,CFA,FI,FI,FI,,,,,,
Id7,geography,,,1,FI,FI,CFA,CFA,FI,FA,FI (fiktivní),FI (fiktivní),,,,
Id8,culture,,,5,FA,FA,CFA,CFA,FI,CFA,"FA *(Všechny entity (Karel Gott, Zlatý slavík) jsou reálné; relationální atributy odpovídají oficiálním záznamům v kulturníיתו�olu disponujícím zdrojích.)*","FA *(Všechny entity (Karel Gott, Zlatý slavík) jsou reálné; relationální atributy odpovídají oficiálním záznamům v kulturníיתו�olu disponujícím zdrojích.)*",,"CFA Vysvětlení: Všechny entity (Karel Gott a Zlatý slavík) jsou reálné, ale hodnota `awardFrequency | nejvíckrát` je nepravdivá, protože Zlatý slavík není nejčastejším oceněním obecně. Klasifikace **CFA** odpovídá kontrafaktuálním datům, kde discrimination mezi reálnými a nepravdivými hodnotami umožňuje analyzovat alternativní scenario.",FI.,
Id9,culture,,,2,FI,FI,FI,FI,FI,FI,,,,,,
