eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce is located in Okres Ilava.
Id1,geography,,,1,The completion year of the UFO most is 1972.
Id2,history,,,1,Ján Golian issued the order to start the Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen has the Hron, Slatina, and Zolná rivers."
Id4,geography,,,2,"Slovakia has one oil refinery, and an oil refinery is located in Slovakia."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the prezidentské voľby 2019 in favor of Zuzana Čaputová.
Id6,culture,,,1,Andrej Sládkovič's original name is Andrej Braxatoris.
Id7,culture,,,1,The genre of Združenie pesničkárov Slnovrat is folk.
Id8,geography,,,3,"Banská Štiavnica is known for Mining, which has Kovy as its resource type, and Striebro is the primary example of Kovy."
Id9,geography,,,1,Bardejov is the center of Horný Šariš.
Id10,geography,,,2,Slovensko has planned cooperation with Maďarsko and a planned project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile originated in Prešov.
Id12,geography,,,2,"The source location of Gbeliansky potok is Gbeľany, which is an obec."
Id13,culture,,,1,The Monastery and Church of the Camaldolese on Zobor is in the Baroque architectural style.
Id14,geography,,,3,Hrad Branč is a Zrúcanina located in Obec Podbranč.
Id15,culture,,,1,Slovenský Strom roka decidesWinnerBy verejné hlasanie.
Id16,sports,,,1,Klaudia Medlová competes in snowboarding.
Id17,culture,,,2,Mladé letá is a vydavateľstvo with the original name Slovenské nakladateľstvo detskej knihy.
Id18,politics,,,2,Andrej Stančík is a member of the OĽANO political party and was elected to the parliament.
Id19,history,,,2,German soldiers partially burned the village of Liptovská Teplička.
Id20,geography,,,2,"The Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is in Košice."
Id21,geography,,,1,Handlová is mined for brown coal.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave has 3 faculties.
Id23,sports,,,1,Tipos Extraliga is a sport type of ľadový hokej.
Id24,politics,,,2,The alleged surveillance of Jaroslav Haščák leads to the Gorilla case.
Id25,other,,,2,"Tempo Supermarket belongs to COOP Jednota, which is a Slovak seller."
Id26,politics,,,3,"The political dispute named ""pomlčková vojna"" concerned the name of Czechoslovakia and began on 1990-01-01."
Id27,history,,,3,"The first Mongol invasion occurred during the reign of Belo IV, who was king of Uhorsko, and targeted Uhorsko."
Id28,history,,,1,The Museum of Victims of Communism is located in Košice.
Id29,history,,,3,"During the period of socializmus, which lasted from 1948 to 1989, the Grand Hotel Royal in Piešťanský was known as the Grand Hotel Slovan, a name later shortened to Slovan."
Id30,culture,,,1,The Slovak band Fragile uses no musical instruments.
Id31,politics,,,2,"Vladimír Mečiar's governing style was mečiarizmus, which lasted from 1992-01-01 to 1998-12-31."
Id32,geography,,,2,Okres Čadca borders Česko and Poľsko.
Id33,culture,,,1,The film Iná láska features Peter Hradil as a main character.
Id34,culture,,,3,"Dračie srdce is a film that was shot at Strečno, which is a castle."
Id35,culture,,,3,"Marián Čunderlík's professional focus includes maľba, ilustrácia, and grafika."
Id36,politics,,,1,Strana demokratickej ľavice originated from Komunistická strana Slovenska.
Id37,culture,,,1,Peter Nagy composed Aj tak sme frajeri.
