eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer komponowaše za Moravské divadlo Olomouc.
Id1,culture,,,3,Najwjetši hit Oldřicha Kaisera a Jiřího Lábusa pochadźa z muzikala Starci na chmelu.
Id2,politics,,,2,Ministryně zahraničí Spojených států pochází z Horoušan a jejím jménem je Madeleine Albrightová.
Id3,culture,,,3,Svátek svatého Mikuláše je zwjazany z rozdawanjom dźěćom darow. Jeho swjedźeń bě 2006-01-01 wječor.
Id4,geography,,,1,Lužná u Rakovníka je dźěl Vltavské Kaskády.
Id5,history,,,4,"Literatura, kotraž je wot disidentow wudana a jako samizdat mjenowana, pochadźa z Brněnskeho kraja a přichadźi z lět 1950-01-01 hač do 2000-12-31."
Id6,culture,,,3,"Marie Čermínová je z Malá Strana zwjazana, jej twori twórba a jej wužiwjeje život."
Id7,geography,,,1,Prachovské skály leža w historickim jědrowje města Prostějova.
Id8,culture,,,5,"Martin Kavka je česki spěwar, kotryž dósta jednorazowu award Zlatý slavík, kotraž so najwjelekróć wudawa."
Id9,culture,,,2,Oldřich Kaiser tworjacy komedijowy duo z Jiří Lábusom. Radek Pilař je njerozdźělny.
Id10,geography,,,1,Československo ma jako wudobyty material uhlí.
Id11,politics,,,1,sv. Jan Nepomucký je čłon ODS.
Id12,history,,,1,Barrandovské filmové ateliéry załoži Gustáv Husák.
Id13,geography,,,2,Kladníky su 1603 metrow wysoke a słušeja do Krkonoš.
Id15,history,,,2,"Rabí bu z přičiny težby uhlja wotstronjeny, kotrež je resursa typa uhlí."
Id17,geography,,,2,"Česká republika leži w údolí Dřevnice, kotrež je řeka."
Id18,geography,,,2,Dejvice leži w Slanym a mjenuje so Dejvice.
Id19,geography,,,1,Těžba uhlí wustwori Brno.
Id20,history,,,2,"Československo měješe židowsku menšinu, kotraž bě wěrospušćna menšina."
Id21,geography,,,2,Císařský ostrov je najwjetši ostrow Československa a je wotpowědny typ ostrowa.
Id22,sports,,,1,Ohře je znaty za hokej.
Id23,politics,,,1,Ministerstwo zdravotnistwa Čěskeje republiky ma lokaciju Červený hrádek.
Id24,sports,,,2,"Božena Němcová wobsedźi Sparta, kotraž je fotbalowy klub."
Id26,culture,,,4,"J. H. Krchovský je awtor basnje „Na samém konci"", kotraž je napisana na fasadźe domu w Praze."
Id27,culture,,,5,"Knihy, kotrež je napisał Tomáš Baťa, wobsahuja postawy Ferdu Mravenca a Brouka Pytlíka. Wobaj stej wobaj inspirowanej hmyzom."
Id28,culture,,,2,Film Štěstí ma jako hłowneho hrajerja Tatianu Vilhelmowu a Gustáva Husáka.
Id29,sports,,,1,Jáchym Topol ma přimjeno Rudý dědek.
Id30,history,,,3,"Samková je česka król, kotraž zbudiva Hladová zeď."
Id31,geography,,,2,Sněžka ma wysokosć 12 m n. m.
Id32,culture,,,3,Jiří Strach dósta Státní cena za literaturu za swój román Citlivý člověk.
Id33,geography,,,2,Najwjetša powódź w ČR so w lěće 2002 sta a wobsteješe pjeć dnjow.
Id34,geography,,,2,Vltava je sídlo organizací a centrum polské národnostní menšiny.
Id35,geography,,,3,Frýdek-Místek je wutworjeny z pjeć a dwěma městoma.
Id36,history,,,3,"Pomník je wěnowany americkým vojákům a nadeńdźe so w Česku, kotrež leži w Plzni."
Id37,culture,,,3,"Prašivka je postawa ze swěta Harryho Pottera a je krysa, do kotrejež so Popelka pře měni."
Id38,history,,,2,Jindřich Nový je regionální historik a patriot U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře so 2013-12-31 přewjedźe.
Id40,geography,,,2,Škoda Auto je automobilka z hłownym zarjadnistwom w Československu.
Id41,culture,,,2,"Film „Noc na Karlštejně"" so w Malšej natwarja."
Id42,other,,,2,"Cesta do hlubin študákovy duše je wot Franze Kafke režirowana, kiž je režisér."
Id43,geography,,,2,"Trutnov ma rěku Hradec Králové, kotraž přez Trutnov proteka."
Id46,geography,,,2,Železniční muzeum je w Rudném důle u Harrachova.
Id48,culture,,,2,"Honzíkova cesta je dźěćaca kniha, kotruž napisa Marek Bárta."
Id49,other,,,1,Krok hraje na akordeon.
Id50,culture,,,2,Václav Havel moderuje pořad v rozhlase Osobnost Plus.
Id52,sports,,,2,Nádraží Veleslavín je centrum za paragliding a sportovní létání.
Id54,history,,,4,Kosti mamutow su na lokaciji Praha w nadeńdźenju Přerovskich wykopaninow a pochadźaja ze značeho mnohóstwa.
Id55,geography,,,1,Českobrodský okruh leži w Národní Park Šumava.
Id56,geography,,,2,"Filma Anděl Páně 2 je so na rěce Vltava natwariła, kotraž so w Ledči nad Sázavou namaka."
Id57,culture,,,1,Švabinský popularizuje slam poetry.
Id58,geography,,,1,Územje Němskeje ma symbol liliju.
Id59,culture,,,1,Vršovice su z textilnim průmysłom zwjazane.
Id60,geography,,,2,"Žatec leži w okrese Beroun, kotryž přez Žatec pływa."
Id61,geography,,,1,Jablunkovský výběžek leži w Podhůří Orlických hor.
