eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská composedFor Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová has hit největší hit, which originates from Starci na chmelu, and Starci na chmelu is a muzikál."
Id2,politics,,,2,"The Ministry of State | originCountry | Mikulov-Les, and the Ministry of State | name | Madeleine Albrightová."
Id3,culture,,,3,"The feast day of Saint Nicholas is associated with giving gifts to children, and its celebration date is 28-02-1991 in the evening."
Id4,geography,,,1,Březová Zahrada is part of Vltavské Kaskády.
Id5,history,,,4,The literatura was published by disidenti in Mlynářov during the time period 1950-01-01 to 2000-12-31 and was named as samizdat.
Id6,culture,,,3,"Jan Neruda is associated with Zámostí, has the work tvorba, and has the life život."
Id7,geography,,,1,Žabí údolí is located in CHKO Český ráj.
Id8,culture,,,5,"Karel Gott is of Czech nationality, is a singer, and has the award Zlatý slavík, which was received on 08-10-2015, and the Zlatý slavík has the award frequency of the least often."
Id9,culture,,,2,"Filip Marek forms a comedy duo with Jiří Lábus, and Oldřich Kaiser Jiří Lábus are inseparable."
Id10,geography,,,1,Slníčko nad Rákosím is minedResource uhlí.
Id11,politics,,,1,Ladislav Bureš is a member of ODS.
Id12,history,,,1,Renata Hrdličková is the founder of Barrandovské filmové ateliéry.
Id13,geography,,,2,Záhořské has a height of 1603 and is part of Krkonoše.
Id15,history,,,2,"Údolí Vran was demolished for the mining of coal, which is a type of coal."
Id17,geography,,,2,"Říčanský Dvůr is in the Dřevnice valley, and Dřevnice is a river."
Id18,geography,,,2,Slanská hora is located in Horní Vítkov.
Id19,geography,,,1,těžba uhlí causes Slníčko nad Rákosím.
Id20,history,,,2,"Třístíčko has a religious minority of the Jewish minority, and the Jewish minority is a religious minority."
Id21,geography,,,2,"Císařský ostrov is the largest island of Rybářská Lhota, and Císařský ostrov is an island type."
Id22,sports,,,1,Nová Lhota is known for hokej.
Id23,politics,,,1,The Ministerstvo zdravotnictví České republiky has location Křižovatka.
Id24,sports,,,2,"Filip Zelenka owns Sparta, and Sparta is a football club."
Id26,culture,,,4,"Luboš Rataj is the author of Na samém konci, which is a type of song written on the facade of the house in the Dutch city Leiden."
Id27,culture,,,5,"Wilma Havelková is the author of knihy, which features the character Ferda Mravenec and the character Brouk Pytlík; Ferda Mravenec was inspired by hmyz, and Brouk Pytlík was inspired by hmyz."
Id28,culture,,,2,The film Štěstí has main actors Tatiana Vilhelmová and Jakub Bílý.
Id29,sports,,,1,Jarmila Vondrová's nickname is Rudý dědek.
Id30,history,,,3,"Ivan Dvořák is of Czech nationality, is the king, and built the Hladová zeď."
Id31,geography,,,2,Sněžka has a height of 299 m n. m.
Id32,culture,,,3,"Erik Staněk received the Státní cena za literaturu because he is a Citlivý člověk, and a Citlivý člověk is a román."
