eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer zložil pre Moravské divadlo Olomouc.
Id1,culture,,,3,"Oldřich Kaiser a Jiří Lábus mali největší hit, ktorý pochádza zo Starci na chmelu, a Starci na chmelu je muzikál."
Id2,politics,,,2,Ministryně zahraničí Spojených států má za meno Madeleine Albrightová a jej pôvodná krajina je Horoušany.
Id3,culture,,,3,Svátek svatého Mikuláše je spojený s rozdávaním dárkov deťom a oslavuje sa 1. januára 2006 večer.
Id4,geography,,,1,Lužná u Rakovníka je súčasťou Vltavských Kaskád.
Id5,history,,,4,"Literatura bola vydaná Disidenti, jej miesto je Brněnský kraj, časový rámec je 1950-01-01 až 2000-12-31 a nazvala sa samizdat."
Id6,culture,,,3,"Marie Čermínová je spojená s Malou Štranou, má tvorbu a má život."
Id7,geography,,,1,Prachovské skály sa nachádzajú v historickom jádre mesta Prostějov.
Id8,culture,,,5,"Martin Kavka je český zpěvák, ktorý získal cenu Zlatý slavík, a má 1 takú cenu, pričom Zlatý slavík sa udeva najvíckrát."
Id9,culture,,,2,"Oldřich Kaiser tvoria komediálny dúo s Jiřím Lábusom, zatiaľ čo Radek Pilař je neoddeliteľný."
Id10,geography,,,1,Československo má zdroj uhlí.
Id11,politics,,,1,sv. Jan Nepomucký je člen ODS.
Id12,history,,,1,Gustáv Husák je zakladateľ Barrandovských filmových ateliérov.
Id13,geography,,,2,Kladníky má výšku 1603 a je súčasťou Krkonoš.
Id15,history,,,2,"Rabí bol dôvodom demolicie z dôvodu těžby uhlí, ktorá je typom zdroja uhlí."
Id17,geography,,,2,"Česká republika je lokalita údolia Dřevnice, a Dřevnice je typ rieky."
Id18,geography,,,2,Dejvice má názov Dejvice a nachádza sa v Slaný.
Id19,geography,,,1,Těžba uhlí spôsobuje Brno.
Id20,history,,,2,"Československo má židovskú menšinu ako náboženskú menšinu, a židovská menšina je náboženská menšina."
Id21,geography,,,2,Císařský ostrov je ostrov a je najväčší ostrov Československa.
