eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce se nacházejí v Bralnici.
Id1,geography,,,1,UFO most bude dokončen 11-09-2025.
Id2,history,,,1,Zorka Machová vydala rozkaz k zahájení Slovenského národního povstání.
Id3,geography,,,3,"Zvolen má řeky Hron, Habovica a Zolná."
Id4,geography,,,2,Slovensko má 812 ropných rafinérií a ropná rafinérie je umístěna na Slovensku.
Id5,politics,,,2,Robert Mistrík odvolal svou kandidaturu v prezidentských volbách 2019 ve prospěch Moniky Fialové.
Id6,culture,,,1,Původním jménem Andrej Sládkovič je Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je známá hornictvím, jehož typem suroviny jsou kovy a jejichž hlavním příkladem je Striebro."
Id9,geography,,,1,Bardejov je středem Sitnice.
Id10,geography,,,2,Slovensko má plánovanou spolupráci se Studenickou dolinou a plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,Skupina IMT Smile pochází z Ostrolúcké Vsi.
Id12,geography,,,2,Zdrojem řeky Veľký Kôprovec je obec Gbeľany.
Id14,geography,,,3,Zrúcanina s názvem Dúbravské Zálesie se nachází v obci Podbranč a jedná se o zrúcaninu.
Id16,sports,,,1,Renáta Chovancová soutěží v snowboardingu.
Id18,politics,,,2,Vojtech Krupa je členem strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Němečtí vojáci částečně spálili Bystrickou kotlinu.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice se nachází na Hlavné ulici, která leží v Dúbravském Zálesí."
Id21,geography,,,1,Studenická dolina je místem těžby hnědého uhlí.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7203 fakult.
Id24,politics,,,2,Údajné odposlouchávání Cypriána Duchoňa vedlo k kauze Gorila.
Id26,politics,,,3,"Pomlčková vojna je politický spor týkající se názvu Česko-Slovenska, který začal 18-02-1997."
Id27,history,,,3,Belo IV byl králem Ostré Lúky a první mongolský vpád se odehrál za jeho vlády a měl za cíl Ostrou Lúku.
