eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce su w Okresu Ilava.
Id1,geography,,,1,Most UFO je so w lěće 1972 dokónčował.
Id2,history,,,1,Ján Golian wydał rozkaz do začatku Słowackiego Narodowego Powstania.
Id3,geography,,,3,"Město Zvolen ma tři rzeki: Hron, Slatina a Zolná."
Id4,geography,,,2,Slovensko ma jenož jednu ropnu rafinériju. Ropna rafinéria se nachádza w Słowensku.
Id5,politics,,,2,Robert Mistrík woteńeše swoju kandidaturu w prezidentskich wobłbach 2019. Robert Mistrík woteńeše swoju kandidaturu na koržu Zuzany Čaputowej.
Id6,culture,,,1,Andrej Sládkovič ma swój originalny mjeno Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat ma žánr folklor.
Id8,geography,,,3,"Banská Štiavnica je znata za hornictwo. Hornictwo je zwjazane z kovami, a za kovy je typickým přikładom striebro."
Id9,geography,,,1,Bardejov je středem Horného Šariša.
Id10,geography,,,2,Slovensko planuje spoluprácu s Maďarskom a ma v planu projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile ma swój počat w Prešově.
Id12,geography,,,2,Gbeliansky potok ma swój začatk w Gbeľanach. Gbeľany su obec.
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore ma barokowy architektoniski stil.
Id14,geography,,,3,Zrúcanina je w Obecu Podbranč a ma wopisanje jako Hrad Branč. Hrad Branč je typ Zrúcaniny.
Id15,culture,,,1,Slovenský Strom roka wuběra zwědźbja přez wobodne glasowanje.
Id16,sports,,,1,Klaudia Medlová wuběduje w snowboardingu.
Id17,culture,,,2,Mladé letá je Słowakow nakładnistwo za dźěćece knihy.
Id18,politics,,,2,Andrej Stančík je členom strany OĽANO a je zvoleny do parlamenta.
Id19,history,,,2,Nemeckí vojaci su w akciji čaśtno spališe obec Liptovská Teplička.
Id20,geography,,,2,Kostol Najsvätejšej Trojice nachadźa sa na Hlavnej ulici w Košicach.
Id21,geography,,,1,Handlová wužiwaja hnedé uhlie jako wuměneny resurs.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave ma tři fakulty.
Id23,sports,,,1,Tipos Extraliga je typ wokrjesa ľadoweho hokeja.
Id24,politics,,,2,Jaroslav Haškak je wotpowědny za kauzu Gorilu.
Id25,other,,,2,Tempo Supermarket přisłuša COOP Jednoće. COOP Jednota je słowjeski predawc.
Id26,politics,,,3,"Jeden politiski spor nese mjena ""pomlčková wojna"". Wón běše wobwjazany z tźewem Česko-Słowenska a poče 1. januara 1990."
Id27,history,,,3,Belo IV bě kralom Uhorska. Prěni mongolski napad wuži w čase jeho kralowanja a bě proti Uhorsku směrowany.
Id28,history,,,1,Múzeum obetí komunizmu nadeńdźe so w Košicach.
Id29,history,,,3,"Jedna płynna hornjoserbska sada: W Grand Hotelu Royal w Piešťanach bě w pewnym časowym období wužiwany mjenać Grand Hotel Slovan. To bě w dobje socializma, kótřej w Českosłowakskej w lětach 1948-1989 panowała. Později wzeše hotel mjena Slovan."
Id30,culture,,,1,Slovenská kapela Fragile wužiwajo žane muzyczne instrumenty.
Id31,politics,,,2,Vladimír Mečiar je jako swójski stil vlády mečiarizm w lětach 1992-01-01 do 1998-12-31 zastupował.
Id32,geography,,,2,Okres Čadca ma jako granicaj Češku a Poľsko.
Id33,culture,,,1,"Der Film ""Iná láska"" hat Peter Hradil als Hauptfigur."
Id34,culture,,,3,"Dračie srdce je film, kotryž bu we Strečnim hradźe natočen. Strečno je hrad."
Id35,culture,,,3,"Marián Čunderlík měje profesionální zaměření na maľbu, ilustraciju a grafiku."
Id36,politics,,,1,Strana demokratickej ľavice wze wopyt z Komunistiskeje strony Słowakska.
Id37,culture,,,1,Peter Nagy je skomponował Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb ma swoje sídło w Piešťanach.
Id39,geography,,,2,Liptowski Mikuláš ma največše sidlišće Podbreziny. Podbreziny su največše sidlišće Liptowskeho Mikuláša.
Id40,geography,,,1,Stráže nad Myjavou su wobmjenjene z Šaštínom.
Id41,culture,,,2,Slovenská televízia a rozhlas bu 교체 organizacija Rozhlas a televízia Slovenska w lěće 2024.
Id42,other,,,1,Milan Lapin se zabývá klimatologiji.
Id43,politics,,,3,Andrej Kiska bě prezidentom Slovenska. Andrej Kiska załoži politicku stronu Za ľudí. Za ľudí je politiska strona.
Id44,other,,,2,"Pa a Pi je seriál, dessen Hauptfiguren mačky sind."
Id45,culture,,,3,Obálki knig Harry Potter w słowakskim wudaniu su projektowane od Adriána Macha a w slovakšćine. Wón je součást ryše knig Harry Potter.
Id46,politics,,,1,DIČ ma 10 číslic.
Id47,geography,,,2,Pavelková se nachádza v Muránskej planine. Muránska planina je geomorfologický podcelok.
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach bu chystany wót Vojtcha Bukowskeho.
Id49,geography,,,1,Vihorlatské vrchy su sopečného póchodźa.
Id50,history,,,3,"Academia Istropolitana budźe załožena w Bratislave Matejom Korvínom, kotryž běše kráľ."
Id51,geography,,,2,Trstená ma střednu ploću Námestie Milana Rastislava Štefánika. Námestie Milana Rastislava Štefánika nalažuje so w Trstenej.
Id52,geography,,,1,Krahuľský vrch nadeńdźe się nad Kremnicu.
Id53,history,,,2,Nemeckí kolonisti začali so w Popradźe zasydlić w 13. lětstotku.
Id54,geography,,,2,Ľubochňa se nachadza v Ružomberku. Ružomberok je okres.
Id55,culture,,,3,"Dr. Tomáš Stach je charakter w seriji Doktori, w kotrej Alexander Bárta hraše rol Dr. Tomáša Stacha. Doktori je słowakska telewizijna seria."
