eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer vytvořil Moravské divadlo Olomouc.
Id1,culture,,,3,"Oldřich Kaiser Jiří Lábus má největší hit, který pochází z Starci na chmelu, který je muzikál."
Id2,politics,,,2,"Minister zahraničí Spojených států je Madeleine Albrightová, která pochází z Horoušan."
Id3,culture,,,3,Svatý Mikuláš se v roce 2006-01-01 v večer rozdává dárky dětem.
Id4,geography,,,1,Lužná u Rakovníka je částí Vltavské kaskád.
Id5,history,,,4,Literatura byla vydána disidenti a byla umístěna v Brněnském kraji. Literatura byla vydána v období 1950-01-01 až 2000-12-31 a byla zvaná samizdat.
Id6,culture,,,3,"Marie Čermínová je spojena s Malou Stranou, má tvorbu a má život."
Id7,geography,,,1,Prachovské skály jsou umístěny v historickém jádru města Prostějova.
Id8,culture,,,5,Martin Kavka je český zpěvák a získal Zlatý slavík nejvícekrát.
Id9,culture,,,2,Oldřich Kaiser se stal spolupracovníkem Jiří Lábův v komedii.
Id10,geography,,,1,Československo je zdrojem uhlí.
Id11,politics,,,1,Sv. Jan Nepomucký je členem ODS.
Id12,history,,,1,Barrandovské filmové ateliéry byli založeni Gustávem Husákem.
Id13,geography,,,2,Kladníky jsou částí Krkonoš.
Id15,history,,,2,Rabí byl zničen kvůli těžbě uhlí.
Id17,geography,,,2,Česká republika je údolí Dřevnice.
Id18,geography,,,2,"Dejvice je místem, kde se nachází Slaný."
Id19,geography,,,1,Brno je místem těžby uhlí.
Id20,history,,,2,"Československo má Židovskou menšinu, která je většinou věřící."
Id21,geography,,,2,Císařský ostrov je ostrov.
Id22,sports,,,1,Ohře ohřeje hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má lokaci Červený hrádek.
Id24,sports,,,2,"Božena Němcová je vlastní jméno, Sparta je obecné podstatné jméno, fotbalový klub je obecné podstatné jméno. Sparta je vlastní jméno, fotbalový klub je obecné podstatné jméno. Sparta je vlastní jméno, fotbalový klub je obecné podstatné jméno."
Id26,culture,,,4,"Na samém konci je píseň, kterou píše J. H. Krchovský."
Id27,culture,,,5,"Tomáš Baťa vytvořil knihy, které se věnují Ferda Mravenec a Brouk Pytlík. Ferda Mravenec byl způsoben hmyzem, a Brouk Pytlík také."
Id28,culture,,,2,Film Štěstí má hlavní hru Tatiana Vilhelmová a Gustáv Husák.
Id29,sports,,,1,Jáchym Topol má přezdívku Rudý dědek.
Id30,history,,,3,Samková byla králkou a byla vytvořena Hladová zeď.
Id31,geography,,,2,Sněžka je hladina 12 m n. m.
Id32,culture,,,3,"Jiří Strach získal Státní cenu za literaturu, kvůli Citlivému člověku."
Id33,geography,,,2,Největší povodeň v ČR proběhla v roce 2002 a trvala 5 let.
Id34,geography,,,2,Vltava je místem sezení organizací a je středem polské národnosti.
Id35,geography,,,3,Frýdek-Místek byl vytvořen z 5 měst.
Id36,history,,,3,Pomník je v Česku a je věnován Americkým vojákům.
Id37,culture,,,3,Prašivka je krysa a transformuje se do Prašivky.
Id38,history,,,2,Jindřich Nový byl regionální historik a vynikl jako patriot U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře byla vykonána v roce 2013-12-31.
Id40,geography,,,2,"Škoda Auto je automobilka, která je založena v Československu."
Id41,culture,,,2,"Noc na Karlštejně je film, který se filmuje v Malši."
Id42,other,,,2,Študáková duše je zřejmě vedená Franzem Kafka.
