eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce is located in Okres Ilava.
Id1,geography,,,1,UFO most was completed in 1972.
Id2,history,,,1,Ján Golian issued an order at the start of the Slovak National Uprising.
Id3,geography,,,3,"The town of Zvolen has the rivers Hron, Slatina, and Zolná."
Id4,geography,,,2,"Slovakia has 1 oil refinery, and it is located in Slovakia."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the 2019 presidential election in favor of Zuzana Čaputová.
Id6,culture,,,1,Andrej Sládkovič's original name was Andrej Braxatoris.
Id7,culture,,,1,The Združenie pesničkárov Slnovrat is associated with the folk genre.
Id8,geography,,,3,"Banská Štiavnica is known for mining, which is a type of resource that has Striebro as a primary example."
Id9,geography,,,1,Bardejov is the center of Horný Šariš.
Id10,geography,,,2,Slovakia has planned cooperation with Hungary and has a planned project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,The IMT Smile originated in Prešov.
Id12,geography,,,2,Gbeľany is a village and Gbeliansky potok originates from there.
Id13,culture,,,1,The Kláštor a kostol kamaldulov na Zobore has a barok architectural style.
Id14,geography,,,3,"Zrúcanina, also called Hrad Branč, is located in Obec Podbranč and is a type of Zrúcanina. Alternatively: Hrad Branč, also known as Zrúcanina, is located in Obec Podbranč. It is a Zrúcanina."
Id15,culture,,,1,The Slovak Tree of the Year is decided by public voting.
Id16,sports,,,1,Klaudia Medlová competes in snowboarding.
Id17,culture,,,2,"Mladé letá was originally named Slovenské nakladateľstvo detskej knihy and is a vydavateľstvo. Alternatively: Mladé letá, which is a vydavateľstvo, was originally named Slovenské nakladateľstvo detskej knihy."
Id18,politics,,,2,Andrej Stančík is a member of the OĽANO political party and has been elected to the parliament.
Id19,history,,,2,Nemeckí vojaci partially burned the obec Liptovská Teplička.
Id20,geography,,,2,"The Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is located in the city of Košice."
Id21,geography,,,1,Handlová mines brown coal.
Id22,culture,,,1,The Vysoká škola múzických umení v Bratislave has 3 faculties.
Id23,sports,,,1,Tipos Extraliga is a type of ice hockey.
Id24,politics,,,2,The alleged wiretapping involves Jaroslav Haščák and leads to the Gorilla case.
Id25,other,,,2,"Tempo Supermarket belongs to COOP Jednota, which is a slovenský predajca."
Id26,politics,,,3,"The political dispute known as the ""pomlčková vojna"" started on January 1, 1990, and was about the name of Czechoslovakia."
Id27,history,,,3,"Belo IV was the King of Uhorsko during which time the first Mongolian invasion, targeting Uhorsko, took place."
Id28,history,,,1,The Museum of Communist Victims is located in Košice.
Id29,history,,,3,"The Grand Hotel Royal in Piešťany was also known as Grand Hotel Slovan, and later as Slovan, during the period of socializmus from 1948 to 1989."
Id30,culture,,,1,Slovenská kapela Fragile does not use any musical instruments.
Id31,politics,,,2,"Vladimír Mečiar's governing style was mečiarizmus, which was in effect from January 1, 1992 to December 31, 1998."
Id32,geography,,,2,Okres Čadca borders Česko and Poľsko.
Id33,culture,,,1,The main character of the film Iná láska is Peter Hradil.
Id34,culture,,,3,"The film ""Dračie srdce"" was filmed at Strečno, which is a castle."
Id35,culture,,,3,"Marián Čunderlík's professional focus is on painting, illustration, and graphics."
Id36,politics,,,1,The Strana demokratickej ľavice originated from the Komunistická strana Slovenska.
Id37,culture,,,1,Peter Nagy composed Aj tak sme frajeri.
Id38,geography,,,1,The Národný ústav reumatických chorôb is headquartered in Piešťany.
Id39,geography,,,2,Liptovský Mikuláš has Podbreziny as its largest settlement. Podbreziny is the largest settlement of Liptovský Mikuláš.
Id40,geography,,,1,Stráže nad Myjavou has merged with Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas was replaced by Rozhlas a televízia Slovenska in 2024.
Id42,other,,,1,Milan Lapin focuses on climatology.
Id43,politics,,,3,"Andrej Kiska served as the prezident Slovenska and founded Za ľudí, a political party."
Id44,other,,,2,The main characters of Pa a Pi are cats. Pa a Pi is a series.
Id45,culture,,,3,The book covers of the Harry Potter series in Slovak edition were designed by Adrián Macho and are in the Slovak language. They are for the Harry Potter book series.
Id46,politics,,,1,The Daňové identifikačné číslo (DIČ) has 10 digits.
Id47,geography,,,2,"Pavelková is located in Muránska planina, which is a geomorfologický podcelok."
Id48,sports,,,1,The Medzinárodný maratón mieru v Košiciach was founded by Vojtech Bukovský.
Id49,geography,,,1,The Vihorlatské vrchy have an origin type of volcanic.
Id50,history,,,3,"The Academia Istropolitana, located in Bratislava, was founded by Matej Korvín, who held the title of kráľ."
Id51,geography,,,2,"Trstená has a central square called Námestie Milana Rastislava Štefánika, which is located in Trstená."
Id52,geography,,,1,Krahuľský vrch is located above Kremnica.
Id53,history,,,2,"In the 13th Century, German colonists began settling in Poprad."
Id54,geography,,,2,"Ľubochňa is located in Ružomberok, which is a okres."
Id55,culture,,,3,"Dr. Tomáš Stach is a character in Doktori, a Slovak TV series, and was played by Alexander Bárta."
Id56,culture,,,4,"The documentary film ""Slovenský dokumentárny film"" has the title ""Cesta Magdalény Robinsonovej"", which was released in 2008 and depicts the life story of a Jewish photographer, set during the period of the Slovak State."
Id57,culture,,,5,Generácia NULA is a group of poets that was founded on 2011-01-01 by Peter Papšo and Marcel Páleš in Banská Bystrica.
Id58,history,,,3,"The first mining school in Hungary, located in Banská Štiavnica, was founded on January 1, 1735. It was located in the country of Uhorsko."
Id59,culture,,,6,"The Slovenská filmová a televízna akadémia gives the Slnko v sieti awards to recognize the best films and artistic achievements in Slovak cinematography, with the awards ceremony starting on January 1, 2004. The Slnko v sieti is a film award."
Id60,culture,,,5,Jana Hubinská is a Slovak actress who received the Český lev award for her role in the film Děvčátko.
Id61,history,,,6,"Juraj (VII.) Turzo, also known as a fighter against the Turks, was an advisor to Rudolf II. and supported the Slovaks and Protestantism, and resided in Bytča, holding the role of councillor."
Id62,culture,,,4,"Fontána pre Zuzanu is a musical film, based on the novel by Eleonóra Gašparová, released in 1986, with music composed by Vašo Patejdl."
Id63,culture,,,8,"Miroslav Šmajda, the frontman of Walda Gang and Terrapie, was born in Košice and placed 2nd in Česko Slovenská SuperStar season 1 in 2009."
